1.92281 15.7514 | -2.90313 0.347967 | 3476.74 -11156.1
2.41102 15.622 | -2.77622 -0.859016 | -431.25 -6053.1
2.9029 15.5059 | -3.44846 -0.634323 | -9140.2 12295.1
3.39681 15.4402 | -3.21156 0.752256 | 6498.94 2540.64
3.89741 15.4184 | -2.43573 2.93049 | -2478.46 -8325.09
4.39635 15.422 | -2.1707 3.7011 | -8190.58 -2076.7
4.88707 15.4647 | -2.80491 1.88074 | -2046.35 5385.22
5.36804 15.5647 | -3.8081 0.336746 | 6163.19 368.23
5.8408 15.7142 | -1.75572 -1.76367 | 3452.08 3127.26
6.30206 15.9054 | -1.3881 -1.0064 | -3839.94 -1811.91
6.74999 16.1214 | -1.26564 0.407538 | 3155.19 -7043.04
7.1931 16.3493 | 0.352552 2.28836 | 12751.3 6972.55
7.63079 16.6055 | 1.29895 0.225974 | -11095.9 2644.13
8.04185 16.8954 | 1.38261 -1.12996 | -3153.4 169.862
8.43544 17.2058 | 2.72001 -1.07856 | 4678.12 387.015
8.82872 17.5197 | 1.19892 -1.33905 | 145.564 -5756.2
9.22683 17.8238 | 1.6372 -0.996381 | -1481.17 2074.46
9.62742 18.122 | 2.6123 1.10468 | -8673.37 -6876.25
10.0287 18.406 | 4.70926 -0.399764 | 1102.69 -2131.19
10.4381 18.6771 | 2.13057 -1.10183 | 3914.7 8049
10.8555 18.9444 | -1.83929 2.72373 | -3256.6 -4709.33
11.2805 19.1955 | -1.63191 3.56893 | 4354.73 6129.96
11.7179 19.4332 | -0.686422 1.09166 | 2205.43 -3296.74
12.1687 19.6444 | -2.91486 -1.25864 | -8827.13 -2892.85
12.6237 19.8305 | -3.70006 -2.15756 | -913.817 7556.71
13.0862 19.9959 | -2.66896 0.520766 | -3947.55 -7222.91
13.5591 20.1154 | -1.61628 -0.209115 | 4846.46 -154.262
14.045 20.1929 | -2.79285 -1.77289 | 11483.2 12235.3
14.5448 20.2395 | -3.51453 0.233752 | 3145.36 -12851.5
15.05 20.2243 | -1.93416 2.45883 | 1813.51 1891.48
15.5536 20.1676 | -2.11379 3.48936 | -5931.87 5157.06
16.0484 20.0815 | -5.24845 2.2488 | -3508.74 -2630.76
16.5336 19.9595 | -5.64224 3.15874 | 7224.79 -3423.26
17.015 19.8073 | -2.81522 1.65934 | -2643.59 5654.3
17.4878 19.6387 | -2.16131 -0.789104 | -7475.52 -257.636
17.9478 19.4494 | -1.33924 3.14871 | 5420.65 -745.742
18.4041 19.2424 | -0.791068 1.07582 | 7436.85 -1109.06
18.8575 19.018 | 1.46168 -0.936299 | -6046.62 -3626.74
19.2964 18.773 | 1.70506 1.0719 | -11469.7 5663.68
19.7224 18.5246 | -1.88399 -1.03715 | 374.841 1052.7
20.1508 18.2859 | -2.15117 -1.32919 | -2144.06 9002.46
20.5862 18.0701 | 0.273398 0.0123873 | -3905.55 -3326.37
21.0238 17.8614 | -0.225615 -1.67833 | 9659.97 2633.53
21.4702 17.6584 | 0.307535 0.210873 | 152.808 -10843.5
21.9131 17.439 | 1.63269 -0.333822 | -7104.72 -6908.51
22.3539 17.2187 | -0.190473 -1.47065 | 8143.4 14455.3
22.8163 17.0432 | 0.452485 2.61688 | 7543.53 -206.727
23.295 16.8964 | -1.06678 1.87064 | 1773.44 -10874.7
23.7792 16.7534 | -1.27082 1.17643 | -1854.05 8398.83
24.2671 16.6274 | -1.71431 -1.07645 | 7634.54 -10559.7
24.7616 16.4992 | -2.31248 -1.65107 | 2343.01 -2693.28
25.2616 16.3846 | -3.16686 -1.33606 | -7167.1 8553.51
25.7634 16.3087 | -3.13818 -1.40655 | 185.109 -2100.52
26.2682 16.2688 | -2.1894 -0.311057 | -1063.88 -53.2369
26.7729 16.2726 | -1.19566 -2.29401 | -5580.03 2810.68
27.2696 16.3292 | -1.15212 -2.23696 | -4040.58 -5795.53
27.7541 16.4347 | 0.434737 -0.647193 | -1570.51 7758.37
28.2213 16.6042 | 2.27759 2.89002 | 9757.04 6618.62
28.6777 16.8209 | 0.481979 4.43221 | 174.436 -5226.7
29.125 17.0553 | 1.16746 4.36934 | -1473.93 -5225.57
29.5651 17.2984 | 1.19146 3.4488 | 548.296 6604.9
29.9986 17.5583 | -0.258917 1.01982 | 4498.5 607.823
30.4329 17.8227 | 0.95628 1.08708 | 1663.66 -5129.02
30.8687 18.0829 | 1.56422 1.79562 | -4945.83 -4517.19
31.297 18.3478 | -1.55796 1.96573 | 2472.74 7078.91
31.7141 18.6364 | -3.27162 0.33507 | 1116.37 5992.65
32.1179 18.9474 | -2.44695 -1.03901 | -6113.47 -8291.12
32.5094 19.2636 | -0.618013 -0.8917 | -2653.1 888.317
32.8938 19.5854 | -3.36333 0.168427 | 3538.03 -2655.4
33.281 19.905 | -3.54114 -1.08606 | 89.3631 4923.35
33.6692 20.2276 | -0.291758 -2.17512 | 3007.52 763.481
34.0643 20.5453 | -2.14511 -1.37483 | -2095.21 -1613.31
34.4667 20.8525 | -3.06446 1.29157 | 5197.37 6276.33
34.8832 21.148 | -3.02579 0.443149 | -4445.34 -5193.13
35.3134 21.4147 | -4.15604 -0.981372 | -5056.91 -4765.84
35.7588 21.6447 | -4.68868 -0.182851 | 6391.02 3123.04
36.2245 21.8385 | -4.49559 -2.20226 | -7192.56 -5463.08
36.7005 21.9891 | 0.650824 -2.36079 | 1262.43 2723.58


-20.4122 -69.5645 | 2.14465 2.97396 | -5130.96 2736.05
-20.0823 -69.9348 | 0.119536 4.33151 | 5001.63 -5195.36
-19.7346 -70.2964 | -0.163787 1.71952 | 10011.5 -18.5935
-19.3615 -70.6403 | -2.10481 0.142388 | -7431.35 -6207.5
-18.9782 -70.9728 | -3.03204 1.12276 | 268.131 1155.67
-18.5711 -71.2744 | -1.92138 1.69968 | 6260.5 5306.63
-18.1305 -71.526 | 1.1059 1.87166 | -5787.12 904.36
-17.6693 -71.7283 | 3.86839 2.75988 | -1558.47 1153.8
-17.1904 -71.8781 | 1.1993 1.32502 | 170.079 2186.68
-16.6983 -71.9731 | 0.0900198 -0.987468 | -1363.22 -1529.63
-16.1999 -72.0202 | 0.0204016 -1.26656 | 1504.38 -1024.21
-15.6988 -72.02 | -2.69559 0.934791 | -4020.84 -1109.29
-15.2026 -71.9702 | -2.05946 -0.151977 | 2113.14 4755.88
-14.7133 -71.8657 | 0.0808621 -1.03526 | 844.731 -941.941
-14.2337 -71.7199 | 0.253446 -3.21048 | 2097.03 -4585.62
-13.7651 -71.5422 | 0.39071 -2.1715 | -4372.98 -1154.12
-13.3173 -71.3246 | -1.18958 2.25924 | -1409.19 6171.48
-12.8949 -71.0606 | -1.35122 2.92355 | -2098.58 -2538.17
-12.4944 -70.769 | 1.63648 -0.371736 | -4876.79 -6377.78
-12.11 -70.4648 | 2.36754 -1.25305 | 2580.23 1357.43
-11.7314 -70.1505 | 0.476498 0.60833 | 6478.08 2447.33
-11.3518 -69.8293 | 0.526625 1.04843 | 2313.39 2907.88
-10.9738 -69.5012 | 2.83381 2.40827 | 537.039 -2024.26
-10.5995 -69.17 | 3.61279 3.23943 | -9284.34 1991.68
-10.2347 -68.8332 | 2.1518 1.22525 | 6519.2 -1277.02
-9.85835 -68.5055 | -0.749203 0.831682 | 7178 500.175
-9.46763 -68.1893 | -2.35205 1.67428 | -8062.5 -3773.25
-9.07786 -67.8801 | -1.31627 1.55413 | 770.304 863.795
-8.68788 -67.5705 | -2.14752 3.91409 | -103.89 8628.79
-8.29781 -67.2552 | -0.770328 2.46928 | -194.146 -2408
-7.89664 -66.9544 | -0.28084 2.08327 | 5425.8 -3995.03
-7.4747 -66.6802 | 0.0247548 0.421464 | 71.9605 8172.4
-7.03815 -66.4247 | -0.172458 1.57243 | -4087.3 -5646.93
-6.58543 -66.2079 | -0.305105 3.14045 | 2556 -3700.65
-6.11351 -66.0354 | 0.49985 0.995911 | 582.499 7467.87
-5.62755 -65.8977 | 0.527375 0.199838 | 7554.16 -5543.68
-5.12543 -65.8124 | -0.0759767 1.68555 | -3837.41 2186.4
-4.61919 -65.7734 | -1.01598 4.28234 | 415.109 588.711
-4.11132 -65.7857 | 0.241781 4.64602 | 4495.36 -8864.95
-3.60583 -65.859 | 0.100714 3.25925 | -5708.47 6135.04
-3.11301 -65.9717 | -0.201827 0.798058 | -10546.1 580.851
-2.63963 -66.1238 | 1.78234 -2.32265 | -3368.5 -2157.03
-2.18172 -66.3092 | 2.62494 -0.0814964 | 770.883 8310.07
-1.73153 -66.5081 | 1.26322 0.440805 | 1074.72 -2768.21
-1.29022 -66.73 | -0.18843 -1.28717 | 4808.32 -279.437
-0.856298 -66.9752 | 0.129415 0.0456289 | 8985.21 -7475.75
-0.431295 -67.2503 | 1.30249 -0.301642 | -5830.78 74.6916
-0.0255329 -67.5483 | 3.06623 -0.611295 | -5198.6 6537.55
0.365078 -67.8573 | 4.01626 0.423039 | 4299.52 -2166.78
0.748537 -68.1784 | 2.69459 1.70909 | -1696.68 -211.968
1.12261 -68.5098 | 1.18368 1.57772 | -2014.62 -2246.79
1.49103 -68.8482 | 2.56175 1.65097 | 5555.3 389.772
1.86698 -69.1826 | 0.297515 -0.12448 | -1670.46 -4177.73
2.24963 -69.5108 | -2.20313 0.153022 | 11.8805 4640.41
2.64732 -69.8165 | 0.759866 3.23759 | -1123.09 6710.2
3.05977 -70.0949 | -0.0124726 0.963522 | -6735.65 -5322.58
3.47812 -70.3593 | -0.532071 0.483303 | -3163.48 -3901.89
3.9108 -70.5966 | 1.6101 2.86849 | 1676.19 9232.46
4.37005 -70.775 | 1.28889 0.775076 | 10793.1 -2744.67
4.85496 -70.9013 | 0.382593 -0.043162 | 3158.51 -5186.06
5.35362 -70.9838 | -0.39073 -0.921478 | -797.452 33.196
5.85845 -71.0144 | 1.1773 0.726948 | 3885.43 2466.06
6.3652 -70.9837 | 2.93331 -2.49551 | -6518.82 3806.37
6.86089 -70.8908 | 2.78982 -0.674729 | -218.463 4242.63
7.34611 -70.7498 | 3.0761 -1.77009 | 9250.12 -10305.8
7.8289 -70.5889 | 3.35134 -2.39804 | -2269.78 -1292.27
8.29478 -70.3901 | 2.20676 0.797528 | -9993.99 8292.81
8.72633 -70.134 | 1.12097 0.339564 | -6773.64 1717.75
9.12907 -69.8414 | -2.20596 0.852741 | 4098.94 -13423.2
9.52587 -69.5473 | -2.57113 1.01394 | -920.719 -1021.49
9.91224 -69.2414 | 0.57028 -2.95072 | -5410.48 12622.5
10.2836 -68.9136 | -1.24549 -0.923969 | 7511.64 -6213.35
10.6668 -68.5979 | -1.17023 -0.122613 | -1268.1 -2730.38
11.0622 -68.3001 | -1.3811 -0.511233 | 254.578 513.834
11.4701 -68.0184 | -1.03088 0.378493 | 2697.62 2702.75
11.8907 -67.7515 | -0.762782 0.86596 | 416.802 -3824.82
12.3209 -67.5034 | -3.6456 3.97824 | -7687.39 -2690.95
12.7503 -67.2653 | -1.79551 4.28762 | -3528.23 4760.63
13.18 -67.0279 | 1.51548 3.85657 | 12819.2 1520.92
13.6243 -66.8015 | 1.64884 3.32877 | -2681.11 703.34
14.0732 -66.5871 | 0.808921 2.47928 | -9242.99 -3293.96
14.5224 -66.3897 | -1.70064 1.8745 | 1282.87 -3113.82
14.9789 -66.2113 | -1.43789 0.851561 | 4264.9 5557.19
15.4428 -66.0408 | -1.46381 2.44386 | 1104.29 3168.09
15.9125 -65.8825 | -1.33488 4.57147 | -7777.89 -5090.88
16.3852 -65.7504 | 0.786995 1.23394 | 7157.72 4390.99
16.8698 -65.6423 | 1.0791 0.650155 | 10533 431.76
17.3681 -65.5669 | -0.204974 0.841339 | -3634.32 -3727.87
17.868 -65.5283 | -0.896115 1.04274 | -8821.52 5093.12
18.3618 -65.5156 | -1.90856 1.84928 | -10752.6 345.434
18.8474 -65.5384 | -2.47251 -0.824504 | 6609.58 -1853.9
19.3338 -65.6047 | -0.646788 -2.94241 | 13302.6 1409.03
19.8226 -65.7127 | 3.42381 2.1898 | 1715.47 -4232.61
20.3007 -65.8711 | 3.02633 1.22317 | -1974.85 -1013.49
20.7604 -66.0741 | -0.00055085 -1.33806 | -5308.51 5205.52
21.1981 -66.311 | -0.999284 0.622642 | -1449.99 -4224.79
21.6155 -66.5832 | 0.0901841 2.0136 | 9989.81 -311.044
22.0241 -66.8767 | -0.180105 1.49717 | -7676.98 6563.15
22.4114 -67.1873 | -0.344376 -0.988796 | -8235.5 -5759.29
22.7756 -67.5209 | 2.95087 -1.81974 | 9842.44 1037.62


-18.5198 91.2448 | 2.70008 -0.114317 | 11114.7 -2879.75
-18.0261 91.3739 | -0.546667 -1.59641 | -420.887 9744.86
-17.5479 91.5569 | -2.3165 -0.141891 | 3208.72 -775.653
-17.0858 91.78 | -1.81438 0.749037 | -9008.69 -3344.1
-16.65 92.0371 | -0.615462 -0.410522 | -8788.27 2864.04
-16.2398 92.3242 | 0.645282 -2.05977 | -1018.2 -2069.54
-15.8363 92.6168 | 1.31128 -3.25774 | 3517.34 -6286.71
-15.4225 92.8949 | -0.512291 -3.77356 | 7756.73 5471.11
-14.9962 93.1661 | -0.94883 -4.67235 | 565.686 -957.552
-14.5643 93.4309 | -0.0843194 -3.94796 | -3863.33 5055.95
-14.1324 93.6958 | 0.168429 -4.21435 | 3681.86 1346.75
-13.6902 93.9478 | -0.933755 -5.18277 | 2263.88 -10594.4
-13.2345 94.1717 | -1.81159 -2.63744 | -659.187 7926.11
-12.7745 94.3904 | -0.999535 0.376713 | -2015.83 1283.23
-12.3111 94.598 | 0.972551 1.30412 | -5988.31 -5134.86
-11.8431 94.7803 | 2.12524 -0.355809 | 971.526 -2365.47
-11.3658 94.9344 | 0.526161 -2.17275 | -298.393 -112.792
-10.8816 95.0655 | -0.373553 -0.0207713 | 1437.09 4155.28
-10.3912 95.1795 | 0.930183 1.35925 | 1848.5 -225.835
-9.89358 95.2674 | 1.72761 0.18552 | 3276.49 1707.97
-9.38931 95.3221 | 0.295458 0.214655 | -2575.03 1011.82
-8.88575 95.3298 | -1.43994 -0.130398 | -14976.9 -5311.25
-8.39682 95.2719 | -1.34977 0.455488 | -3560.11 2452.17
-7.92234 95.1556 | -0.139843 0.529262 | 3425.9 96.223
-7.46122 94.9858 | 2.34068 2.05387 | 9605.49 -425.195
-7.01276 94.7681 | 3.78601 1.50491 | 3126.14 -5906.79
-6.58711 94.5013 | 3.71991 1.27263 | -7874.52 8337.84
-6.19219 94.2019 | 1.47828 1.27559 | -1081.05 -3965.23
-5.82487 93.8687 | -3.30878 -0.400681 | 4327.57 854.864
-5.47462 93.5163 | -3.42289 0.18649 | -580.924 11658.7
-5.14326 93.1532 | 1.44147 0.992055 | -4084.04 -12085.9
-4.84429 92.7577 | 2.27902 0.0313908 | 1879.43 -2135.21
-4.56228 92.3455 | 1.20159 -0.701533 | 8823.26 -2543.76
-4.27893 91.9275 | 1.70306 -0.536609 | -2974.3 -4961.59
-3.99819 91.5063 | 1.76867 -0.644512 | 651.489 14208.9
-3.70927 91.1003 | 0.0429708 -2.21209 | -3909.25 1641.07
-3.42186 90.6975 | 0.119166 0.440489 | -5232.41 -5712.23
