-3.15057 11.9023 | 2.54022 4.93406 | 4817.54 -2915.22
21.1917 -44.0489 | -0.92397 -0.818395 | 7763.91 -6985.13
21.6068 -44.3287 | -0.513086 1.44883 | 11268 -3925.58
22.0126 -44.6368 | 0.950977 2.02373 | -4502.23 -3757.37
22.3979 -44.9704 | 0.633574 1.32674 | -4395.93 3160.41
22.7695 -45.3136 | 0.773724 3.74737 | 1780.26 4632.03
23.1407 -45.6546 | 0.953821 1.79058 | 953.221 870.594
23.5125 -45.9949 | 0.402977 0.589332 | 3765.59 -397.15
23.8821 -46.3396 | 0.78467 2.09138 | -8957.26 -3810.81
24.2358 -46.696 | -0.119753 1.52546 | -2577.89 8534.91
24.586 -47.0479 | -2.27526 -0.686889 | 2386.87 2700.85
24.9388 -47.3972 | -1.70084 -2.87398 | 1573.61 -11698
25.2918 -47.757 | 2.0075 -0.31243 | 6539.7 -5953.38
25.657 -48.1145 | 2.76712 1.21521 | 2787.43 4877.91
26.0396 -48.4525 | 0.947485 -2.03841 | -6801.58 2528.86
26.4328 -48.7706 | 1.21735 0.394748 | -1313.07 772.884
26.8424 -49.0654 | 1.81664 1.88985 | 7957.42 -1824.47
27.2759 -49.3322 | -0.0373671 0.527919 | -4863.57 1676.23
27.7235 -49.5675 | 1.0394 2.28214 | -3441.46 5655.84
28.1837 -49.7671 | 2.85528 1.42425 | 181.651 -5419.2
28.6545 -49.9424 | 2.38312 1.41061 | -781.567 -2897.48
29.1364 -50.0839 | 0.492501 1.94298 | 2542.23 14744.1
29.6302 -50.1703 | -1.79365 2.19444 | -4043.33 -8795.44
30.1244 -50.2386 | -1.65852 -0.825432 | -6036.12 -2788.79
30.617 -50.2909 | -0.550834 -2.93191 | 5439.2 7966.7
31.1147 -50.3164 | -1.00706 -1.27793 | 2765.44 -8206.63
31.6154 -50.3381 | 0.608275 -0.785675 | 1493.65 -5099.63
32.1182 -50.3475 | 1.56876 -1.10155 | 948.818 13104.9
32.6209 -50.3161 | -0.212144 -1.67196 | -2796.91 -2162
33.1205 -50.2673 | -0.169758 -0.937015 | 1286.15 -5474.76
33.6204 -50.2163 | -0.256741 0.0283916 | 1899.18 4279.27
34.1213 -50.156 | 0.217549 -0.797665 | 1757.36 -414.56
34.6234 -50.0959 | 2.69478 -1.4425 | 256.443 -9917.05
35.1255 -50.0431 | 3.88278 1.30668 | -5469.8 12511.8
35.6222 -49.9658 | 3.39592 1.94332 | 4760.1 -2395.26
36.1209 -49.8825 | 0.65752 0.27936 | 2169.1 20.7165
36.6218 -49.8002 | 0.0759959 0.0155643 | -813.724 2098.45
37.1244 -49.7244 | 1.56003 -0.712366 | 6502.53 -8556.58
37.6337 -49.6688 | 2.82214 -2.70222 | 1817.81 5205.28
38.1447 -49.6124 | 2.50902 -3.10241 | -2377.49 6097.35
38.6543 -49.5533 | 1.28793 -3.09202 | -2426.44 -5467.85
39.1631 -49.5136 | 1.03131 -0.611476 | -4492.71 -569.941
39.6697 -49.4958 | 2.00718 0.732332 | 413.848 -135.644
40.1766 -49.5018 | 2.538 -0.0876944 | 2349.55 -2425.53
40.6844 -49.5342 | 3.12018 -0.105824 | 2075.48 2516.15
41.1922 -49.5873 | 3.33163 1.68482 | 2258.84 1380.35
41.6975 -49.6668 | 3.66165 1.31904 | -5307.09 -2524.74
42.1912 -49.7856 | 3.46424 2.08558 | -5946.07 -2417.63
42.6688 -49.9451 | 2.20457 -0.839625 | 179.82 3838.21
43.134 -50.1339 | 1.79363 -1.46379 | -527.337 -1337.44
43.5847 -50.3543 | -0.514373 -0.843722 | 252.497 1326.76
44.0197 -50.6028 | -1.80281 0.071536 | -4391.47 -2211.44
44.4351 -50.8796 | -1.83513 -0.423909 | -465.734 -270.706
44.8387 -51.1724 | 0.0136913 0.493531 | 2090.62 4626.22
45.2402 -51.4668 | 0.264954 -2.26164 | -1345.5 -3472.47
45.6393 -51.7654 | 0.346646 -1.4025 | -807.64 -566.607
46.043 -52.0581 | 1.75101 0.983107 | 6420.93 3018.22
46.4622 -52.3329 | 1.63986 0.925249 | 2664.58 294.04
46.8907 -52.5956 | -0.500724 1.50475 | -8163.52 -317.478
47.3159 -52.8557 | -0.52476 1.03711 | 131.341 130.361
47.7434 -53.1125 | -0.04798 1.09149 | 8015.72 -3797.47
48.1791 -53.3664 | -0.000560718 0.672277 | -1974.05 1106.57
48.6164 -53.6144 | 1.27504 0.333517 | -9653.61 491.752
49.0508 -53.855 | 1.52689 0.251022 | 943.337 4340.85
49.4938 -54.0766 | 1.17861 -1.18688 | 4210.37 -4631.7
49.9485 -54.2834 | 1.53523 -1.4681 | 2511.48 -4657.79
50.4159 -54.4682 | 1.66285 0.607326 | 2.84317 8748.67
50.8959 -54.6105 | -0.827174 1.99999 | -4745.15 -3641.7
51.3809 -54.7221 | -3.88788 1.22288 | -2095.58 764.199
51.8707 -54.7986 | -3.12612 -4.21049 | 4799.61 -503.413


-29.3423 -43.5951 | -5.05255 0.774542 | 2294.04 6220.07
-28.8399 -43.6044 | -0.754339 -2.07724 | 2493.92 -13737.8
-28.3359 -43.6187 | 1.68148 -0.0150042 | -1465.76 8687.89
-27.8323 -43.6126 | -0.793853 -2.81535 | 1390.08 4444.72
-27.3282 -43.5949 | -0.559214 -3.44825 | 34.2343 -10301.1
-26.8246 -43.5921 | 0.873137 -1.07381 | -6878.9 6440.13
-26.326 -43.5901 | 0.33843 -1.68483 | -2069.47 1305.28
-25.8296 -43.6007 | 1.97685 -1.03382 | 1954.59 -8442.08
-25.3331 -43.6405 | 3.49419 -0.977094 | 1269.96 981.482
-24.8356 -43.6918 | 2.87223 1.43042 | 6187.87 5193.2
-24.3333 -43.7416 | 2.05181 1.02265 | 4694.43 -3287.88
-23.8281 -43.7996 | 0.890549 -0.41549 | -2723.63 42.9664
-23.3254 -43.8635 | 2.55268 -2.67266 | -4612.95 3242.37
-22.827 -43.9302 | 3.27072 -1.16927 | -1181.9 97.6455
-22.3316 -44.0071 | 1.95566 1.15351 | 43.219 2997.13
-21.8391 -44.101 | 2.1783 1.23996 | 2737.03 -3074.85
-21.3517 -44.2304 | 0.822745 1.06969 | 5038 -1661.02
