-48.7843 -83.2048 | -5.77386 -3.8087 | 7174.48 -3362.82
-48.4359 -83.5549 | 9.76538 0.237853 | 7250.86 13243.7
-48.0637 -83.8787 | 2.86971 -1.64897 | -6105.85 -23584
-47.696 -84.2182 | 2.4824 -8.31791 | 9247 15075.4
-47.3148 -84.5402 | 0.138411 2.79668 | -18460.3 -12928
-46.944 -84.8682 | -7.07249 5.9734 | 9714.96 12759.3
-46.5462 -85.163 | -1.89999 -2.53471 | 11947 -8133.65
-46.125 -85.437 | 2.8083 -3.08958 | -25255.2 5845.53
-45.7076 -85.6885 | -1.78793 1.97954 | 911.94 1158.84
-45.2731 -85.9081 | 1.87788 -2.77385 | 13014.7 -3683.93
-44.8093 -86.0917 | -1.28093 -10.2117 | 23782.3 -7061
-44.3129 -86.2418 | -4.57877 0.640523 | 9276.79 7189.38
-43.8012 -86.3568 | -0.451427 -0.729799 | -17151.1 -6938.16
-43.3021 -86.4674 | 4.18132 -8.77762 | -33373.4 7893.14
-42.8247 -86.5684 | 0.224422 7.26854 | 18536.2 -16026.3
-42.3355 -86.6649 | 1.95319 1.90604 | 4404.77 14292.2
-41.8377 -86.7044 | 1.81007 0.0835042 | -24337.1 5901.11
-41.3517 -86.6863 | -4.1669 1.66174 | 29594.4 7217.07
-40.8497 -86.6352 | 4.85313 1.28036 | 2566.03 -18260.5
-40.3451 -86.6003 | 5.76634 3.80004 | -19626.2 1379.71
-39.855 -86.5603 | 2.97437 0.411807 | -15626.7 9220.36
-39.3763 -86.5049 | 4.5856 5.81834 | 25303.4 -14780.1
-38.8813 -86.4649 | -2.17254 -1.7135 | -2511.94 9915.59
-38.3857 -86.405 | 3.27755 -2.78731 | 11742.5 2860.91
-37.8861 -86.3294 | 4.76028 -3.36033 | -19828 -6729.37
-37.4008 -86.2508 | 0.516801 -1.7522 | -5622.71 -15167.3
-36.9231 -86.1637 | 0.310725 -2.93168 | 15801.8 35617.6
-36.4466 -86.0066 | 0.20774 1.65756 | 15130.8 -16641.1
-35.9645 -85.848 | -6.80682 -1.20867 | -37644.7 9309.28
-35.5086 -85.6817 | 0.482797 0.0020796 | -2125.02 -26305
-35.0447 -85.5684 | 2.21084 0.136163 | 17721.6 5013.88
-34.5642 -85.4656 | -7.57504 -2.32012 | 17263.9 26781.9
-34.0713 -85.3366 | -5.38203 3.52928 | 467.225 -18370.4
-33.5707 -85.235 | 3.52114 -5.46645 | 9378.75 347.622
-33.0643 -85.1407 | 5.08319 -10.0336 | -21185.5 24290.6
-32.5714 -85.0309 | -2.65471 6.49815 | 2944.02 -21072.6
-32.0714 -84.9866 | -1.18745 -3.69469 | -2094.81 -679.919
-31.5721 -85.0083 | -0.494564 3.62096 | -9723.24 -11917.9
-31.082 -85.093 | 2.29686 1.1583 | 29421.8 11019.6
-30.5764 -85.1893 | -7.7143 -6.67553 | -3849.89 8524.13
-30.0761 -85.3025 | -5.09389 2.39879 | -7509.41 -5082.14
-29.5977 -85.469 | 2.98902 -3.55956 | -14102.2 -9947.74
-29.1559 -85.7 | 4.85276 -2.98039 | 313.02 20656.6
-28.7368 -85.9551 | 7.08459 -6.0322 | -8840.37 -13040.9
-28.3533 -86.2597 | 4.56936 6.83637 | 7105.18 3288.79
-27.9819 -86.5822 | 2.54367 5.78666 | 5817.16 11262.3
-27.6174 -86.909 | 7.23688 4.26605 | -8758.57 2278.08
-27.2843 -87.2647 | -0.757417 0.459752 | 12356.7 -39259.9
-26.9772 -87.6728 | -0.971854 -0.151562 | -4641.26 24374.2
-26.6775 -88.0722 | -6.40528 1.24727 | -5287.53 3613.89
-26.3742 -88.4633 | 1.04248 3.65549 | 22613.6 -7351.16
-26.0457 -88.8476 | -0.170848 -0.157135 | -31418.8 5556.55
-25.7344 -89.2296 | -2.56171 -1.53729 | 26073.6 -252.994
-25.3901 -89.5962 | 2.69115 2.72456 | -3044.63 -16017.8
-25.0404 -89.9642 | -8.45705 1.19233 | -24298.5 32814
-24.6888 -90.3005 | -3.54147 10.4234 | 45008.1 -31634.7
-24.3014 -90.6425 | 8.05125 5.23117 | -34951.7 6694.62
-23.9342 -90.9844 | -3.25738 -4.72789 | 14536.7 3275.7
-23.5498 -91.3081 | -2.17876 -2.10534 | -26083.4 2800.93
-23.1676 -91.6104 | -2.26354 5.00385 | 6874.06 21300.5
-22.7527 -91.8605 | 0.538186 2.34431 | 18210.4 -39036.9
-22.3103 -92.1102 | -4.59241 -1.36003 | 5626.82 6747
-21.8375 -92.3036 | -11.5823 -2.40682 | -4928 29365.9
-21.3483 -92.4131 | 4.15556 -3.06581 | -19060.9 -16100.8
-20.8685 -92.517 | -2.03044 -0.289069 | 10593.6 -12198.6
