-13.3862 72.2663 | 1.0368 -2.39896 | 4942.55 6366.89
-12.8821 72.2275 | 0.716482 -1.82009 | 192.301 -3927.52
-12.3826 72.1457 | 0.920568 -0.765667 | -2820.3 -6509.02
-11.8921 72.0218 | 1.33131 -1.18021 | 2473.21 -798.8
-11.4042 71.8807 | -0.866708 -1.01001 | 2013.56 3579.12
-10.9127 71.7477 | -2.4888 -1.60689 | 5392.35 6798
-10.4143 71.6326 | -1.27944 -0.890868 | -3965.33 -3582.7
-9.91837 71.5179 | 0.479553 -0.623172 | -7845.04 -1241.6
-9.42784 71.4025 | 0.10438 -0.505577 | 2210.06 1490.71
-8.93444 71.2946 | -0.168732 0.137413 | 5285.19 -560.682
-8.43443 71.1959 | 1.4133 0.842444 | 6875.65 -2280.76
-7.92722 71.1073 | 1.14909 1.95183 | -3375.7 -1628.38
-7.41925 71.0356 | -1.12804 1.68519 | -5087.59 4245.8
-6.91172 70.9962 | -2.88267 0.869701 | 2645.62 4153.91
-6.40212 70.9922 | -2.86106 2.6482 | -3617.56 -1860.19
-5.89588 71.0115 | -1.48746 3.36488 | -5468.22 -2113.44
-5.39528 71.0506 | -0.688506 2.09356 | -1264.83 -4373.53
-4.89865 71.1151 | 0.119888 0.495443 | 5278.88 6181.6
-4.40657 71.2277 | 0.152717 -1.14577 | 1192.2 3131.32
-3.92701 71.3889 | -1.54824 -1.86395 | -6643.61 -3591.58
-3.46817 71.5886 | -0.113855 -2.89149 | -3962.45 -4028.47
-3.03134 71.8234 | 2.08381 -3.99902 | -403.68 1831.65
-2.61779 72.0967 | -0.278721 -3.32038 | 1752.97 -437.14
-2.22663 72.403 | -0.73012 -2.91124 | 1280.69 1763.24
-1.85883 72.7396 | 0.961011 -3.77434 | -1437.78 3413.59
-1.51348 73.1012 | -0.838632 -1.77316 | 3127.16 -1033.39
-1.17835 73.4726 | -2.52846 0.34983 | -6250.21 -4123.37
-0.851351 73.8448 | -0.231487 0.899005 | 371.923 -842.862
-0.517575 74.2103 | 1.82543 1.66482 | 8275.98 2861.78
-0.164635 74.5649 | -0.489504 2.12842 | -338.297 -410.102
0.200999 74.9078 | -0.580945 0.781576 | 916.406 1358.95
0.576909 75.2422 | 0.503048 0.669862 | 1481.77 3206.77
0.962096 75.5697 | -0.903722 1.88852 | -964.365 1316.8
1.35705 75.8849 | 0.0578982 1.50384 | -1896.35 -4645.34
1.76535 76.1761 | 0.487271 0.893866 | -5884.08 -3866.65
2.18555 76.44 | -0.236559 0.00866741 | 2153.38 -3100.63
2.62133 76.6771 | -1.36546 -0.198279 | 1904.45 1746.09
3.06691 76.9009 | -0.729995 -1.63569 | 4195.11 4886.04
3.51876 77.1239 | 0.31499 -2.58917 | 6139 4231.11
3.97607 77.3485 | 0.295339 -3.20083 | -1437.95 -232.326
4.43378 77.5711 | -0.637349 -3.44225 | -4359.01 1383.7
4.89039 77.789 | -1.21493 -2.79289 | -6037.29 -2496.84
5.34988 77.9888 | -1.6843 -3.58771 | 261.213 -3487.94
5.82072 78.158 | -2.37961 -4.69137 | 8222.15 -1795.75
6.3067 78.2966 | -2.5825 -3.77604 | 1195.03 2067.7
6.7989 78.4178 | -1.18925 -1.14898 | -2944.87 1996.99
7.29124 78.5289 | 0.070132 -1.43623 | -5302.1 -3844.41
7.78127 78.628 | -1.27371 -0.854979 | -4200.52 3569.32
8.2694 78.7248 | -2.06643 1.46361 | 7104.65 2913.08
8.76377 78.8128 | -1.08175 -0.137836 | -1725.2 -4119.54
9.26017 78.8775 | 0.0697956 1.54595 | -6421.4 1086.23
9.7545 78.9205 | 1.11371 3.98755 | 2035.25 -1865.75
10.2507 78.9376 | 2.47286 2.7347 | -1828.91 6024.92
10.7457 78.9334 | 2.92066 1.9352 | -539.359 -7608.7
11.2383 78.8893 | 2.2754 1.0131 | -1828.47 -6271.48
11.7276 78.8191 | 2.02127 0.135279 | 2823.31 11419.6
12.2207 78.763 | 0.200404 -0.671712 | 9011.98 -2860.83
12.7211 78.7141 | -1.69494 -2.47836 | 749.562 -750.97
13.2228 78.6742 | -1.09036 -3.37246 | -10909.9 3482.24
13.7174 78.6481 | -0.708505 -1.0175 | -5255.65 -5988.49
14.2086 78.6283 | -0.380173 0.612691 | 8551.49 3547.42
14.7062 78.6318 | -0.999825 2.5517 | 7987.45 172.867
