-76.1968 0.869383 | -0.52265 -4.55778 | 2524.34 3744
-39.2132 -36.3915 | 0.974968 -2.13223 | -2465.17 -2848.36
-38.7126 -36.4049 | 1.41139 -4.04473 | 1385.46 9741.07
-38.2125 -36.4237 | 0.438359 0.0807424 | -6015.75 3139.17
-37.7177 -36.4555 | -0.75305 1.1131 | -3993.14 -3578.7
-37.2292 -36.5186 | 0.15593 0.669015 | -2232.84 1006.23
-36.7468 -36.6135 | 0.322893 0.516531 | 10276 -3325.82
-36.2644 -36.7424 | 0.805971 0.413607 | 3983.44 -5612.66
-35.786 -36.8996 | -1.34492 0.733385 | -5045.75 5865.1
-35.3137 -37.0612 | -1.28592 0.441176 | -384.573 8036.66
-34.8442 -37.2207 | 1.32638 1.04931 | -6452.97 -4154.43
-34.3857 -37.399 | 2.22502 0.373907 | -4523.73 -889.647
-33.9367 -37.5931 | 1.69468 -2.66562 | 8142.76 3702.44
-33.4854 -37.7916 | -0.134431 -2.40836 | -2243.29 -2689.9
-33.0391 -38.0034 | -1.59155 0.923151 | 5968.51 -6866.7
-32.5921 -38.2274 | -2.06445 1.30351 | 1599.41 -889.697
-32.1405 -38.445 | -0.756624 3.0192 | -3579.48 10493.5
-31.6814 -38.6366 | 1.40982 2.58433 | 8635.42 -3993.7
-31.2122 -38.818 | 1.784 0.602013 | -6328.06 -5312.11
-30.7444 -38.9971 | 1.44728 -2.17657 | -1792.18 7064.73
-30.2729 -39.1576 | 6.13914 1.4407 | 1554.3 -4283.73
-29.7956 -39.3079 | 4.95977 0.556183 | 4737.39 -5659.19
-29.309 -39.4417 | 0.377104 -1.83837 | 3473.27 10721.7
-28.8126 -39.5352 | 0.119604 2.31087 | -10042.9 -1531.18
-28.3187 -39.6065 | 0.025509 2.51385 | 2235.48 -8934.99
-27.822 -39.6644 | 1.04737 4.63121 | -495.261 7379.61
-27.3234 -39.6826 | 1.34274 2.96125 | -7475.89 5721.76
-26.8277 -39.6647 | -0.668593 0.805469 | 20531.1 -8992.98
-26.3195 -39.6378 | -1.58647 -1.49761 | -429.284 -3292.58
-25.8133 -39.5909 | -0.162488 -0.218807 | -20178.2 5114.78
-25.3262 -39.5013 | 1.14212 -2.17085 | 4219.85 -4234.61
-24.8473 -39.3741 | 0.0604174 -1.65587 | -276.112 4138.08
-24.3822 -39.1987 | 0.711532 0.383725 | 7630.91 2441.27
-23.9288 -38.981 | 2.60252 0.999032 | -128.891 1631.96
-23.4934 -38.7284 | 2.51477 1.85744 | -3344.19 -10160
-23.0781 -38.4534 | 0.867225 1.90896 | 1458.74 5613.15
-22.6898 -38.1395 | 0.429191 -0.845842 | -10108.6 1603.91
-22.3373 -37.7914 | 0.666822 2.86354 | 3063.4 -3340.49
-21.9979 -37.43 | 1.63439 4.14111 | 3340.64 7506.8
-21.6586 -37.0617 | -0.943799 2.76353 | 3084.61 -5373.73
-21.3047 -36.7072 | -4.62774 1.36097 | 7225.26 1062.59
-20.9335 -36.3657 | -4.14088 0.704494 | -4801.77 -2836.43
-20.5606 -36.0318 | -0.462909 2.11752 | -8833.5 -940.85
-20.1943 -35.6996 | -1.11917 3.22998 | -6527.45 -754.914
-19.8262 -35.3759 | -3.7286 0.846298 | 8554.54 -4220.49
-19.4348 -35.0759 | -2.58955 0.507632 | 6647.65 6688.39
-19.0259 -34.789 | -0.134155 1.18328 | -6895.17 -1415.92
-18.612 -34.5154 | -0.386731 0.366297 | -1945.78 2247.99
-18.189 -34.2566 | -0.77406 -1.96246 | 6466.1 1090.75
-17.7471 -34.0232 | -0.38975 0.267469 | -2913.75 -2738.98
-17.2911 -33.8226 | 2.10465 -1.24336 | 4519.35 2704.52
-16.8199 -33.653 | 2.29516 -0.924761 | -6497.64 -2782.86
-16.3421 -33.519 | 1.37594 0.610683 | -2928.18 1454.62
-15.8577 -33.418 | 0.962325 -1.08917 | 10694.9 2110.61
-15.3608 -33.3533 | -0.178977 0.313236 | -7876.55 -7197.09
-14.8646 -33.3313 | 0.421661 0.865757 | 1461.24 7639.05
-14.3674 -33.3293 | 1.30125 -1.87277 | 1152.1 5193.53
-13.8701 -33.3543 | 1.36812 -1.79729 | -1133.87 -12067
-13.3773 -33.4328 | 0.90039 0.430673 | 8084.7 2519.27
-12.8857 -33.5423 | 0.189031 1.80326 | -5194.22 4264.63
-12.4028 -33.6738 | 0.0441108 0.723725 | -132.96 -1840.46


-9.67096 -40.7049 | 0.0511556 0.58869 | -541.877 1869.12
-9.22436 -40.4768 | 0.999422 1.67945 | 7369.1 2366.9
-8.77269 -40.2483 | -1.3073 1.17279 | -814.862 -8243.5
-8.31907 -40.0296 | -0.793995 -0.869978 | -9447.53 9101.64
-7.87245 -39.8025 | -0.354264 -1.94592 | 8812.86 1220.73
-7.41336 -39.5898 | -1.01959 -4.08277 | 2483.12 -13169.3
-6.94066 -39.4114 | -0.851215 -1.77011 | -129.711 7345.37
-6.46518 -39.2367 | 0.614449 -2.16543 | -4764.4 8061.21
-5.99124 -39.0623 | 1.54906 -0.435458 | -5566.83 -5296.52
-5.51116 -38.9188 | 1.69569 0.362076 | 12325.3 -2748.5
-5.0123 -38.8222 | -1.82391 0.981475 | 2131.28 -2950.66
-4.50496 -38.7725 | -1.85322 0.531348 | -7232.76 -323.605
-4.00064 -38.7586 | -1.55316 -0.0961372 | -4936.63 10.0142
-3.50159 -38.7701 | 0.347546 -1.70205 | -9800.14 3703.4
-3.01013 -38.7963 | -0.718705 -2.89499 | 6614.83 4821.01
-2.51679 -38.8396 | -2.59539 1.88289 | -1614.19 -15222.4
-2.028 -38.9218 | -0.432363 5.47529 | 474.921 14663.1
-1.54042 -39.0015 | 2.55528 0.678896 | -1214.32 5290.44
-1.05705 -39.0947 | 3.68188 1.45711 | -3304.94 -3941.36
-0.586335 -39.2354 | -0.584071 0.921478 | 4213.72 -13719.8
-0.129452 -39.4368 | -4.79557 1.50218 | 18760.2 -515.694
0.327978 -39.6662 | -2.21434 2.1276 | -2293.24 7640.53
0.77303 -39.9112 | -1.68576 -0.908628 | -20877.3 -4103.92
1.18866 -40.1828 | -1.11942 3.95874 | 2759.97 12034.4
1.60227 -40.4525 | -0.828714 5.54647 | 13667 -10731.6
2.02171 -40.7349 | -2.52603 5.15775 | 2059.49 -8419.48
2.43974 -41.0282 | -1.21997 0.720718 | -4231.38 15626.3
2.85749 -41.308 | -0.774563 0.727114 | -6055.48 -4666.62
3.26731 -41.5939 | -2.01958 2.15349 | -1029.02 481.612
3.67551 -41.8804 | -0.501132 0.995627 | 2481.96 -1389.12
4.08901 -42.1615 | 0.676548 -0.245219 | -2959.86 3639.17
4.50868 -42.4289 | 2.42305 -0.809748 | 2854.02 -4320.23
4.9387 -42.6834 | 0.663255 -0.938176 | -4219.06 2029.17
5.37824 -42.9133 | -0.824917 1.40436 | -5079.99 6568.02
5.82901 -43.1084 | 2.09457 -0.0978851 | 4705.66 -3316.19
6.29418 -43.2779 | 2.04936 -3.16426 | 3518.01 -12372.3
6.77248 -43.4253 | 0.813597 -0.638999 | 4718.46 13208.2
7.26641 -43.5119 | 1.01953 0.627939 | -6237.97 -415.956
7.76156 -43.5535 | -0.0925063 -2.98578 | -9044.38 -7660.52
8.25207 -43.5637 | -0.553884 -2.35366 | 4480.4 5113.2
8.74284 -43.5263 | -0.914947 -1.1434 | -4366.43 4600.54
9.22659 -43.4493 | 0.109142 -2.2465 | -1553.08 -6795.13
9.70744 -43.3635 | 1.56556 -0.361897 | 9412.58 -8253.08
10.1931 -43.2741 | 0.763655 -2.24113 | -2292.69 8736.86
10.6727 -43.1504 | 1.47507 -2.36224 | 6733.25 1467.34
11.1496 -42.9975 | 1.56828 1.34664 | 6681.03 -2934.17
11.6223 -42.8213 | 0.453995 1.72268 | -7174.43 -128.712
12.0757 -42.6118 | 2.4329 -0.0780691 | -8975.77 2478.25
12.5053 -42.3669 | 1.31814 3.34866 | 1962.49 -1690.88
12.926 -42.1039 | -1.08254 1.9715 | 13963 8050.56
13.3527 -41.8294 | -2.03994 0.162708 | 1996.37 -6827.45
13.7821 -41.5586 | -0.759274 -2.35162 | -4741.9 5311.15
14.2053 -41.2791 | 2.53186 -4.79701 | 2075.01 69.3654
14.6294 -41.0006 | 1.76372 -2.23239 | -4620.06 -5237.34
15.0547 -40.7324 | 0.300243 -2.8911 | 1546.82 -398.894
15.4844 -40.4732 | -0.707172 -2.79068 | -10756.5 1411.66
15.9114 -40.2223 | 0.424227 -3.97296 | -1454.25 -7326.77
16.3492 -39.9978 | -0.0149956 -2.29102 | 7901.01 11126.5
16.804 -39.7939 | -2.07239 -3.38454 | -6707.05 -12304.8
17.2714 -39.6376 | -0.162597 -5.07919 | 2092.89 4863.02
17.7514 -39.5126 | 2.88746 -5.43971 | 15954.1 3913.85
18.2481 -39.4174 | 0.560891 -1.95521 | -15990.7 -5276.55
18.7394 -39.356 | -1.48862 -0.0295015 | -9673.89 10613.3
19.2259 -39.3163 | 0.203752 0.666911 | 3799.45 -5287.04
19.7166 -39.3305 | 1.26914 -2.42125 | 15308.9 -7915.45
20.2139 -39.4052 | -0.200719 -3.08582 | 4380.86 2708.23
20.7081 -39.5173 | -0.434985 -0.222991 | -9868.09 2438.66
21.1892 -39.6569 | 1.40075 4.4284 | 5105.31 -267.78
21.6645 -39.8181 | 0.35172 0.730948 | -7302.9 10736.4
22.1267 -39.9953 | -1.66304 2.14857 | -2328.56 -8186.83
22.5699 -40.215 | 0.510806 1.56157 | 3910.33 1288.97
22.9963 -40.4679 | -1.91175 -0.419197 | -5771.98 2350.29
23.3983 -40.7505 | -1.37862 3.37569 | -3494.44 -1777.74
23.7788 -41.0572 | 0.366688 3.19549 | -2100.33 11080.1
24.149 -41.3673 | 0.526321 1.37369 | 2028.29 -2223.26
24.5121 -41.6895 | -0.0693685 2.34593 | 5252.92 -15250
24.872 -42.0289 | -0.0734849 1.28086 | -3285.41 8991.2
25.2402 -42.3537 | 1.94117 1.4242 | 8619.1 -67.5743
25.6297 -42.6584 | 2.62795 2.55659 | -8121.14 -4372.73
26.0288 -42.9477 | 1.69023 1.00015 | 7324.28 7762.46
26.4519 -43.2051 | 3.30999 -0.0863138 | 7970.54 -8935.49
26.8899 -43.4514 | 3.90062 -1.10495 | -11140.5 1298.1
27.3276 -43.687 | 2.24334 1.39808 | 4872.09 951.416
27.7745 -43.9075 | 2.33888 0.645741 | -9118.34 -5417.13
28.225 -44.1152 | 3.09377 -1.85261 | 15437.1 4466.29
28.7002 -44.2863 | 3.366 -3.36697 | 6287.09 -5693.21
29.1917 -44.4278 | 1.15727 -1.15605 | -3437.94 2948.14
29.6905 -44.5311 | 0.387841 -0.654742 | -3611.35 2123
30.1927 -44.5953 | -0.563553 -0.911501 | -837.058 352.494
30.6975 -44.6246 | -0.983767 -1.19698 | 3428.53 -1468.52
31.2055 -44.6229 | -2.55964 0.390933 | 1863.32 -827.494
31.7131 -44.5875 | -1.03963 0.0564289 | -7368.14 6495.09
32.2116 -44.5113 | 1.21229 3.33468 | 1150.86 -9912.69
32.7049 -44.4138 | -0.445686 0.565377 | -4005.1 5117.25
33.1863 -44.276 | -0.94926 -1.21714 | 3314.94 -118.629
