-26.873 23.6203 | 2.2696 -1.50072 | 641.611 7486.93
-26.3988 23.4503 | 2.06561 -1.46352 | -11354.2 13088.8
-25.9178 23.3373 | 2.59985 0.375675 | 664.354 -9480.48
-25.4315 23.2448 | -0.429933 -0.693005 | 7005.62 -3197
-24.9372 23.1719 | -2.41301 -3.89988 | -6304.38 310.649
-24.4429 23.1262 | 1.26738 -3.24419 | 3085.06 -3860.27
-23.9451 23.1144 | 1.17498 -1.78721 | 1733.19 9446.55
-23.4486 23.1571 | -0.599859 -1.88053 | -8667.99 -5406.43
-22.9634 23.2351 | -2.20474 -5.04788 | -7912.59 2609.38
-22.4898 23.3448 | -2.58596 -2.58131 | 5922.52 -6375.06
-22.0158 23.4658 | -1.28841 -1.05676 | 7699.48 2789.09
-21.5395 23.6052 | -3.23786 -2.19099 | 8714.79 849.812
-21.0626 23.7652 | -1.92236 2.77174 | -3754.61 1798.96
-20.5961 23.9517 | 1.93179 4.39922 | 1638.36 3380.58
-20.138 24.163 | 1.57 2.84597 | 4275.97 -2124.4
-19.6848 24.3877 | -0.561953 2.8637 | -8475.96 1226.21
-19.2448 24.6263 | -0.326428 1.12877 | -4633.61 -7300.43
-18.811 24.8649 | 2.26744 -0.964446 | 1807.49 5884.23
-18.3775 25.1085 | -0.766978 0.150659 | 1125.45 2512.18
-17.9374 25.343 | -2.59584 -4.54305 | -3463.52 -5242.63
-17.485 25.5464 | -1.34055 -4.16788 | 11064.7 -3324.49
-17.012 25.7136 | 0.0121904 0.989972 | -3561.13 5345.42
-16.5335 25.8616 | -0.213571 3.40533 | -5956.56 -3749.76
-16.0529 25.9862 | -2.4371 2.33371 | 3058.42 6125.16
-15.5666 26.094 | -3.84331 -0.517405 | -5170.47 -2476.41
-15.0778 26.1694 | -3.51844 -1.22395 | -1644.67 -2260.21
-14.5851 26.2055 | -3.65857 -3.51722 | 11983.1 4277.71
-14.0828 26.2058 | -2.6121 -3.30878 | 878.568 -4816.47
-13.5814 26.1593 | -0.493874 -2.52855 | -4717.8 -212.516
-13.089 26.0743 | -2.41365 -5.56845 | -9895.57 5803.72
-12.6099 25.9634 | -1.749 -3.38484 | 3758.14 5655.25
-12.1384 25.823 | -1.21235 -0.466602 | -389.894 -7070.47
-11.6837 25.6292 | -0.0565379 1.57999 | 8743.09 -3457.59
-11.2454 25.3871 | 3.07262 4.47072 | -4044.33 -1084.12
-10.8324 25.1059 | 0.153625 -0.30632 | -1752.88 4602.33
-10.4398 24.8017 | -0.30866 0.521912 | 2538.51 3110.6
-10.0632 24.4791 | 3.19531 2.70467 | -3931.23 -4431.35
-9.70944 24.1324 | 0.967409 -1.81065 | 619.74 8720.95
-9.37058 23.7765 | 1.1201 0.301321 | 2019.6 -853.555
-9.05057 23.4028 | 2.19371 2.21762 | -6220.86 -8578.71
-8.75824 23.0049 | 2.34313 -0.303292 | 1434.51 5689.29
-8.47129 22.6069 | 4.8184 -1.51294 | 1655.24 11796.1
-8.17992 22.2194 | 2.55844 -3.03234 | -4704.47 -7969.08
-7.89556 21.824 | 2.17703 1.89834 | 8679.12 -470.653
-7.60453 21.4279 | -0.253787 2.12415 | -2796.41 -7179.97
-7.31737 21.0245 | -4.42555 0.905066 | -5119.01 -1270.1
-7.02483 20.6243 | -1.8839 0.624976 | 12717.8 -1789.38
-6.69747 20.2426 | -1.2949 0.947337 | 4410.89 -6371.13
-6.34037 19.8807 | -1.48098 4.50686 | -2228.46 8262.71
-5.96103 19.5491 | -1.85634 1.23283 | -2877.88 4320.23
-5.57041 19.2376 | 0.18812 0.904824 | -5112.44 -7338.84
-5.17928 18.9282 | 2.44647 0.759256 | -3265.31 4314.44
-4.78079 18.6339 | 0.834772 -4.45988 | 2374.29 279.38
-4.36716 18.3586 | -2.90976 -3.74769 | 6110.64 -3956.44
-3.93625 18.1014 | -2.68131 -1.3475 | -3929.68 -975.685
-3.49427 17.8663 | 1.06755 2.36127 | 3524.09 930.836
-3.03675 17.6626 | 1.5398 1.20478 | -11810.4 5297.76
-2.57381 17.4955 | 1.37612 -1.61306 | -179.733 -4374.24
-2.10065 17.36 | 2.78479 2.93554 | 7947.69 4452.18
-1.61254 17.2666 | 2.7531 0.878408 | 272.371 -4828.12
-1.11808 17.2014 | 0.636638 -1.96984 | 2054.79 966.112
-0.619119 17.1671 | -1.06628 -7.24175 | -2394.1 2424.24
-0.119847 17.161 | 2.56698 -4.94394 | 4745.67 -1851.19
0.38265 17.1707 | 1.0979 -0.14549 | 2125.51 -1960.21
0.886147 17.1912 | -1.43365 -3.06517 | -7827.35 4524.49
1.38544 17.2253 | -0.222611 -1.79835 | 13292.8 1149.95
1.89303 17.2571 | 1.63278 -0.0221105 | 644.294 -3464.57
2.40063 17.2684 | 0.637876 1.04192 | -22611.5 -2203.11
2.8934 17.2536 | 0.59117 -0.341221 | 7019.25 4135.51
3.38752 17.2161 | 1.81869 -1.97419 | 2858.28 -1556.47
3.88057 17.1436 | 2.16412 -1.97655 | 3014.24 -6101.06
4.36883 17.0297 | -0.16164 0.751588 | -1020.75 6246.24
4.84841 16.8912 | 1.51095 -2.40679 | -8939.89 3808.76
5.31145 16.7228 | 3.39048 1.81432 | 2461.87 -2996.77
5.76045 16.5141 | -1.15574 -0.947322 | 9557.9 -7471.89
6.19712 16.2647 | -2.55839 -0.947206 | -5763.77 7481.62
6.61353 15.9914 | 1.06476 6.69769 | -200.98 991.968
7.00965 15.6916 | -2.62935 2.19407 | 2309.45 -2810.75


-22.757 -70.8562 | 1.29923 8.06914 | 1112.26 -5116.08
-22.2603 -70.9346 | 0.867412 2.75054 | 7799.77 8208.98
-21.755 -70.9773 | 1.66572 -1.67735 | -3597.43 973.037
-21.2497 -70.9947 | 0.329603 -1.06508 | 2135.74 -9370.86
-20.7435 -71 | 0.16499 -2.67913 | -6554.8 9484.92
-20.2426 -70.9691 | 0.0590232 -2.54471 | -1943.4 -3631.84
-19.745 -70.9159 | 0.263485 1.28966 | 6966.22 -1105.08
-19.246 -70.8398 | -0.543908 2.27286 | -34.0343 4076.26
-18.7518 -70.7336 | -1.25454 -1.42204 | -4098.41 244.513
-18.2659 -70.606 | -1.18713 -1.97972 | -1959.11 -10700.7
-17.7862 -70.4693 | -2.80705 -1.03996 | -1050.35 4344.35
-17.3176 -70.2974 | -2.92162 -1.52329 | 5731.45 9395.15
-16.861 -70.0823 | -0.766639 -3.64043 | -2475.34 -7067.19
-16.4196 -69.8448 | -3.42289 0.132634 | -7350.06 -2550.19
-15.9975 -69.5843 | -4.19545 1.60143 | 6213.19 -0.857244
-15.5869 -69.3006 | -4.68931 -0.615927 | 1177.72 5777.04
-15.1944 -68.9872 | -3.60655 0.0825522 | -3568.63 -464.094
-14.8212 -68.6541 | 0.844703 1.26027 | 3668.74 -12298.4
-14.4585 -68.3139 | -0.80213 0.222708 | 1167.06 14591.6
-14.1213 -67.9384 | -2.27792 0.435714 | -2412.99 7946.17
-13.8091 -67.537 | -2.61819 0.0571308 | 2946.41 -11838.8
-13.5016 -67.1372 | -1.37043 -2.72925 | -776.187 4639.12
-13.1999 -66.7314 | 0.380459 -2.2726 | 2491.09 -2866.77
-12.8993 -66.3267 | -1.63894 -2.37468 | -3942.81 -8988.43
-12.6083 -65.9233 | -1.30292 -2.06502 | -9529.77 8036.49
-12.3358 -65.5065 | 0.634261 -0.26039 | 4086.98 4283.92
-12.0505 -65.0924 | -0.785923 -0.868632 | 7871.51 4972.89
-11.7276 -64.6991 | -3.12094 1.47643 | 6892.7 -8602.77
-11.3597 -64.3485 | -0.984454 -0.886002 | -3877.76 -5525.09
-10.9672 -64.0323 | -0.0292949 -3.20766 | -6518.99 6996.18
-10.5649 -63.7314 | 2.15758 -0.480795 | -4046.3 170.89
-10.1472 -63.4583 | 1.48176 2.42042 | -1551.13 -6193.96
-9.70541 -63.2348 | 1.88507 2.37662 | 1631.5 -1871.51
-9.24072 -63.0645 | 0.74904 2.87295 | -3115.21 -1589.43
-8.76317 -62.9414 | -3.36065 -0.444467 | 1140.77 7369.68
-8.27623 -62.8512 | -2.62944 -4.42196 | 5644.74 -3769.07
-7.78026 -62.8054 | -1.0187 -2.74373 | -7508.53 2055.5
-7.28737 -62.7964 | -0.687162 -0.15776 | -5612.38 -5879.35
-6.79941 -62.8231 | -2.3926 -0.413491 | 1995.12 12798.2
-6.3108 -62.8577 | -3.93495 0.043127 | 8824.63 -3129.65
-5.81895 -62.9235 | -0.958311 1.0307 | 303.891 -8619.15
-5.33296 -63.0312 | 0.350935 0.0865368 | -6212.04 9587.62
-4.85578 -63.1562 | -2.18421 0.788926 | 5930.41 -4852.5
-4.38165 -63.3071 | -1.11805 2.77031 | 2336.65 -2324.33
-3.91179 -63.4769 | -0.143203 0.61134 | -3781.21 10162.8
-3.4479 -63.6513 | -1.79106 -2.1164 | 789.016 -9574.59
-2.99152 -63.8509 | -2.07346 -2.77957 | 2933.41 -1506.29
-2.53767 -64.0609 | 0.139924 -0.388542 | -4595.29 6923.88
-2.0852 -64.2641 | -0.297723 1.32329 | 1063.08 -5055.9
-1.62957 -64.4639 | -1.40182 1.91684 | 2703.76 835.176
-1.16518 -64.6462 | 1.27116 -2.30227 | -2016.09 2390.31
-0.693052 -64.8024 | 0.457978 -4.92572 | -1525.44 -1429.36
-0.212957 -64.9318 | -2.67312 -3.37693 | 7948.22 822.888
0.280253 -65.0283 | -1.06958 -1.57504 | 877.989 90.0119
0.780117 -65.0942 | 0.406506 -2.67337 | -708.254 -516.183
1.28315 -65.1332 | 1.89051 -0.857943 | 2760.6 -3534.01
1.79025 -65.1462 | -0.126044 -1.09744 | 6222.14 3410.69
2.30124 -65.1199 | -3.18081 -1.42077 | -1963.01 2844.28
2.8075 -65.0525 | -2.93029 1.0464 | -4011.96 304.372
3.30447 -64.9514 | -2.90763 -0.205638 | -5486.73 -3954.43
3.79031 -64.8263 | -1.30267 -1.11658 | -5578.63 150.309
4.26442 -64.6754 | 1.76006 -3.56044 | 5320.59 -5506.42
4.73271 -64.5027 | 1.69806 -0.522616 | -2972.77 8713.85
5.18503 -64.2885 | 1.57686 1.49232 | 4855.19 1809.77
5.6279 -64.0471 | 0.901944 2.46616 | 2422.78 -645.281
6.06433 -63.7917 | -1.05048 2.60057 | -4042.41 -2251.97
6.49326 -63.5306 | -2.31406 2.35532 | -571.382 -9511.9
6.91857 -63.2699 | -0.417375 -0.0151485 | 2466.76 11483
7.3342 -62.9854 | 0.348408 0.53167 | -216.176 -1058.65
7.73993 -62.6884 | -1.06897 0.055786 | -7140.11 -9261.88
