-4.61057 12.4943 | 3.31514 3.07073 | 4595.37 -3630
26.8791 -48.6621 | -0.296999 -2.07233 | 1733.97 7376.33
27.2266 -49.0237 | 1.14011 0.811537 | -500.808 -2658.63
27.5899 -49.37 | 2.4245 3.71066 | 231.47 526.354
27.9727 -49.6932 | 0.340163 0.725941 | -6119.73 2787.09
28.3739 -49.9852 | 1.39858 0.572182 | -883.466 -208.643
28.8002 -50.2372 | 2.05746 0.275698 | 5248.87 3279.51
29.2555 -50.4382 | 1.27286 -0.507108 | 3537.2 -174.134
29.7306 -50.597 | -1.18152 1.1385 | 368.393 -2520.7
30.2159 -50.7282 | -1.82044 2.6968 | 1899.97 -1773.05
30.7086 -50.8395 | 0.874646 4.03981 | 4230.45 -4136
31.2085 -50.9338 | 2.62361 2.51277 | -322.361 4606.87
31.7121 -51.0001 | 3.07396 1.67936 | -4523.89 2612.73
32.2146 -51.0444 | 1.52346 4.17963 | -2184.85 -3980.21
32.7158 -51.0813 | 0.912108 3.41117 | 495.57 -439.662
33.2177 -51.109 | 0.331255 3.25926 | -552.096 -3077.13
33.7203 -51.1237 | -0.669496 3.84681 | 2735.56 6785.56
34.2258 -51.1095 | -1.12561 0.0547998 | 9375.33 -2366.4
34.7373 -51.0768 | -1.24557 -0.842209 | 168.681 2588.96
35.2477 -51.0243 | -0.428108 -1.52614 | -6960.93 1744.11
35.7522 -50.959 | 0.107781 -0.993541 | 1098.64 -5261.6
36.2565 -50.8958 | -0.69107 1.83914 | 630.955 2426.09
36.7603 -50.8289 | 0.499924 -2.48448 | -3999.68 265.551
37.2604 -50.7615 | 0.296026 -4.53323 | -7073.06 -2338.21
37.7558 -50.6995 | -1.22868 0.14273 | 1603.16 -2439.75
38.2523 -50.6421 | -0.817586 0.728823 | 6357.73 3546.46
38.7524 -50.5783 | -0.847151 -0.302144 | -2243.48 2333.22
39.2506 -50.5086 | -0.540749 0.701345 | -2824.37 -4460.99
39.7466 -50.4424 | -0.0851516 2.86639 | -2669.04 5936.06
40.2409 -50.3723 | -0.0903833 2.55285 | 3173.23 -2478.4
40.7394 -50.3149 | 0.730878 0.478997 | 6413.11 261.629
41.244 -50.2759 | -0.208544 -0.544966 | -3030.82 4921.99
41.7476 -50.26 | 0.243336 3.14425 | -9086.25 -8806.09
42.2435 -50.2918 | 0.42809 2.7147 | -2543.59 5015.91
42.733 -50.3592 | -1.6884 3.30564 | 2316.56 -5542.71
43.2177 -50.468 | -1.05186 3.20753 | 6075.38 -2438.09
43.7011 -50.6019 | 0.702789 0.629852 | 2510.78 10486.4
44.1837 -50.7392 | 2.03744 1.35641 | -5138.98 -2429.36
44.657 -50.8996 | 1.50655 -1.69992 | 3271.09 -5429.74
45.1236 -51.0899 | 0.384676 -3.18132 | 9551.28 -3739.08
45.5891 -51.3017 | 0.937736 -0.0815293 | 982.938 3899
46.049 -51.5241 | 0.571003 -2.0384 | -11713.4 370.97
46.493 -51.7615 | 1.61155 -2.9471 | -1942.06 -4139.24
46.9315 -52.007 | 1.52676 -1.06531 | 4585.96 7701.9
47.3789 -52.236 | -1.20143 0.811963 | 213.443 -72.5603
47.8324 -52.4544 | -0.408303 2.93565 | 2796.37 -3158.73
48.2906 -52.6687 | -0.787044 1.38002 | -5191.05 -2044.93
48.7499 -52.8769 | -0.617778 -1.76198 | 5818.3 2409.12
49.2211 -53.0657 | 1.41159 -2.4281 | 5836.6 -2658.38
49.7044 -53.2356 | 0.309043 -2.79196 | -3286.28 -370.834
50.1941 -53.3819 | -0.866862 -2.18395 | 1481.99 2001.37
50.6926 -53.4947 | -1.01535 -0.974984 | -2009.08 3003.76
51.1961 -53.5698 | -1.57689 -0.375496 | -3280.1 -951.438
