-11.9423 20.4624 | -1.05696 -0.116259 | -973.22 -5823.69
-11.4495 20.4814 | -0.618752 2.35545 | -5298.71 7433.14
-10.9645 20.5528 | -1.62831 3.27561 | 3845.25 2072.42
-10.4837 20.6617 | -2.83202 -0.126079 | 5482.61 -13979.3
-10.0044 20.7843 | -1.93246 0.845438 | -5689.01 15525.7
-9.53935 20.9533 | 0.745419 0.322891 | 5809.71 -5025.05
-9.07708 21.1373 | 0.220318 1.25565 | 565.459 -2771.2
-8.61775 21.3285 | -1.35277 0.213716 | -2242.62 6087.29
-8.16334 21.5305 | -0.792007 1.10415 | 168.34 -12175.5
-7.70789 21.7215 | 2.03752e-05 1.586 | -5481.39 10104.2
-7.25842 21.9239 | 0.095266 -3.13205 | 2813.5 584.047
-6.80313 22.1176 | -1.21622 -1.46192 | 1388.64 -4414.11
-6.33617 22.2834 | -2.46341 2.71864 | 7596.82 -2367.41
-5.85606 22.4214 | -2.1116 2.52145 | -8998.91 7016.46
-5.37597 22.5479 | -1.17136 3.05708 | 6367.35 -2252.27
-4.88514 22.6481 | -0.769916 1.72943 | 10687 1433.79
-4.38198 22.7204 | -0.400361 4.39188 | -5435.09 16.9206
-3.87888 22.7622 | -1.14674 4.44579 | -8459.68 -2350.34
-3.38078 22.7694 | -2.24474 -1.82667 | -1189.75 528.276
-2.88551 22.7465 | -2.48386 0.00786553 | -2735.59 6597.89
-2.39498 22.6967 | -1.2261 0.476553 | -1872.97 -5316.92
-1.91232 22.5999 | -0.93987 -1.28036 | 4713.27 770.463
-1.43683 22.4612 | -0.661685 -0.593669 | 2407.06 1358.24
-0.97359 22.282 | -2.92103 -0.106683 | -4297.93 -3185.44
-0.531501 22.0593 | -1.9115 -2.0683 | -757.241 3039.46
-0.106692 21.8077 | -3.11986 -4.44188 | 1877.43 89.3753
0.305725 21.5328 | -4.03314 -0.472614 | 4201.05 -7177.3
0.710972 21.2365 | -5.19596 0.387519 | 8331.86 -2939.05
1.11958 20.9346 | -4.68704 -0.292229 | -1784.4 9155.84
1.52928 20.6405 | -3.75941 -1.57969 | -2365.62 -2876.71
1.93318 20.3406 | -1.7424 -0.105672 | -2385.3 3591.29
2.32928 20.0359 | 3.2168 5.52075 | -6253.26 -317.823
2.71459 19.721 | 2.18535 4.70005 | 8654.57 -11113.3
3.10471 19.3971 | -2.23053 1.22078 | 5479.93 949.104
3.50972 19.0859 | -0.854814 -0.62958 | 1777.67 4620.66
3.9296 18.7974 | 1.57805 -1.50661 | -9455.04 2185.19
4.35363 18.5278 | 0.616582 0.462427 | -5906.24 604.05
4.78572 18.2803 | -0.556773 1.65575 | 9134.66 7190.52
5.23699 18.0655 | -1.52833 -0.384555 | -9579.77 -6928.49
5.68862 17.8608 | -1.23834 2.18882 | -5471.98 -401.913
6.14599 17.6771 | -1.02792 1.75278 | 12793.6 5702.45
6.62323 17.5313 | 1.49001 3.42916 | -3185.84 -3585.12
7.1057 17.4077 | 0.903293 0.997351 | -5574.01 -2268.96
