52.1313 -56.0969 | 0.901267 -2.23881 | -681.43 2361.37
52.554 -56.3673 | -0.0359915 -3.15581 | -2362.13 -4014.75
52.9575 -56.6658 | -0.77194 -3.66272 | 1886.77 -769.843
53.3461 -56.9856 | -0.158687 -3.13361 | 4567.14 4366
53.7215 -57.3204 | -0.317452 -2.58208 | -8951.61 592.098
54.066 -57.6796 | -0.820901 -2.5673 | -4498.19 1369.77
54.3825 -58.0594 | 0.244074 -0.673019 | 3802.62 1063.16
54.685 -58.452 | 1.2851 -0.140186 | -637.233 -5950.14
54.9763 -58.8574 | 3.12251 -1.09103 | 6065.3 -2143.8
55.2719 -59.2644 | 3.35664 -1.05077 | 2421.44 5641.28
55.5726 -59.6652 | 1.65815 -1.97416 | -6325.31 1253.8
55.8646 -60.0674 | 0.688125 -2.87069 | -1961.41 1785.44
56.1501 -60.4709 | -0.0350909 -2.98123 | -1614.17 1953.33
56.4331 -60.8735 | 0.830398 -0.463117 | -201.134 -290.639
56.7189 -61.2737 | -0.16723 0.995746 | 1825.33 2209.16
57.0122 -61.6677 | -2.50711 0.309309 | -3983.02 -1248.2
57.3086 -62.0593 | -1.44758 1.88147 | 3920.42 -6381.51
57.6194 -62.4471 | -0.5108 3.30453 | 6462.25 -3426.91
57.9532 -62.8227 | -0.890939 3.05105 | -3110.35 2392.49


-44.2707 -50.2218 | -3.08288 -1.5735 | 6367.64 3254.78
-43.8128 -50.0066 | -2.28486 -2.39223 | -4738.47 -1176.65
-43.3749 -49.7622 | -1.98607 -2.22651 | -9184.09 -7140.47
-42.9588 -49.4974 | -1.76214 -1.44563 | 2023.81 1741.14
-42.5573 -49.2095 | -0.821328 -0.715956 | 1771.77 4666.09
-42.167 -48.9019 | -0.0289323 -0.938399 | 2112.27 -5033.56
-41.7807 -48.5899 | -0.0880517 -1.5633 | 815.227 791.531
-41.3998 -48.2698 | 0.26834 -1.31924 | -13.6522 731.907
-41.0263 -47.9395 | -0.208544 0.831522 | 1596.1 5548.44
-40.6585 -47.5973 | -0.215334 1.94053 | 4315.64 -2266.18
-40.2894 -47.2535 | 0.677184 0.851361 | 2132.31 -374.531
-39.9234 -46.9037 | 0.972486 0.602105 | -374.96 9712.33
-39.5677 -46.5371 | 0.437567 1.22019 | -1364.65 -854.173
-39.216 -46.1676 | 0.94472 0.308496 | -2558.81 -3382.56
-38.8589 -45.8077 | 0.167155 0.513442 | 2372.18 -2257.36
-38.4854 -45.4658 | -0.264626 0.695516 | -134.547 -3363.02
-38.0961 -45.1447 | 0.423933 0.235517 | -2276.29 3284.42
-37.6955 -44.8388 | -0.592151 1.35997 | -1858.01 -4361.45
-37.2809 -44.557 | -0.178223 -0.227785 | 221.129 939.605
-36.8513 -44.298 | 1.49483 -3.62259 | 348.814 6414.37
-36.4059 -44.0636 | 1.6728 -1.99395 | -1386.95 -5516.23
-35.9411 -43.8785 | 1.66326 1.39851 | -2718.56 -5091.43
-35.461 -43.7509 | 1.95922 0.691708 | -3743.47 1880.98
-34.9728 -43.6713 | 0.538295 0.136283 | 3275.26 1210.01
-34.4765 -43.637 | -0.925147 -0.258009 | 6404.66 -2364.88
-33.9747 -43.6473 | -0.982761 -0.142726 | -3563.41 3279.74
-33.4759 -43.6897 | -0.704154 -0.855084 | 2215.87 4276.84
-32.9793 -43.7645 | -1.31276 0.936211 | 4956.2 -8905.13
-32.4875 -43.8891 | -2.10205 2.71033 | 3929.59 -885.59
-32.003 -44.0512 | -2.67659 2.05644 | -983.129 499.487
-31.5295 -44.2402 | -2.44246 2.78294 | -9888.12 -2027.83
-31.0703 -44.4481 | -3.1196 1.66232 | 3990.01 7041.38
-30.6087 -44.651 | -4.686 -0.270929 | 7353.4 3127.38
-30.1429 -44.8539 | -4.22611 -0.942496 | -4305.91 -6484.49
-29.6875 -45.0791 | -2.01976 -0.80488 | -675.298 -4345.28
-29.2409 -45.3244 | -0.333265 -1.77972 | 3046 -428.65
-28.7936 -45.574 | 0.786531 -2.41733 | 3874.6 -3387.15
-28.3381 -45.8164 | 1.26329 -3.71877 | 3857.33 5949.29
-27.8697 -46.0319 | 1.47379 -3.95533 | -8335.31 7771.71
-27.3992 -46.221 | 0.306512 -5.51911 | -12419.4 -3112.47
-26.9345 -46.4003 | -0.702682 -4.94123 | -4093.32 2154.21
-26.4673 -46.5608 | -0.917977 -2.28539 | 3836.58 -1388.15
-25.9895 -46.6966 | -1.59618 -4.08413 | 5918.37 1380.8
-25.4995 -46.8003 | -1.15291 -5.91809 | 74.1804 1363.42
-25.0033 -46.8749 | -0.243627 -2.10257 | 1130.21 -6556.26
-24.5037 -46.9298 | -0.90816 -0.791153 | -4270.36 -82.1456
-24.0045 -46.9492 | -1.05513 -2.42156 | -2024.98 4150.52
-23.5075 -46.9163 | 0.270521 -2.27144 | 4780.77 2715.77
-23.0132 -46.8321 | 1.58059 -2.22692 | -1322.13 1424.57
-22.5275 -46.708 | 1.29581 -3.34343 | -754.123 -3051.28
-22.0492 -46.5611 | -1.01895 -1.81023 | 2344.08 -4769.06
-21.5759 -46.3976 | -2.48809 -1.18551 | -312.478 3167.42
-21.1136 -46.2048 | -1.83081 -3.21347 | -3655.71 773.109
