39.1117 -52.0241 | -0.173226 1.16506 | 4287.69 -1619.16
39.6054 -52.1243 | -0.109502 2.58205 | -4122.48 -3694.85
40.1038 -52.1852 | 0.838167 -0.534583 | 2990.72 7829.09
40.6074 -52.1892 | 1.40004 0.720442 | 2879.42 -2531.25
41.1113 -52.15 | -0.477433 1.373 | -5264.47 1079.47
41.6069 -52.0702 | -2.05035 -1.96198 | -3662.15 3206.56
42.0945 -51.9584 | 0.928804 -1.67366 | 7883.43 -6455.75
42.5842 -51.8365 | 1.65147 -0.89876 | 4312.71 2107.36
43.0719 -51.6965 | 0.855659 -3.14563 | -11268.7 3754.93
43.547 -51.5363 | 0.45487 -4.61403 | 465.778 -2372.8
44.0211 -51.3752 | -1.80499 -5.10631 | 9444.67 -4859.22
44.5027 -51.2237 | -1.62992 -2.24744 | -7334.28 1477.05
44.9777 -51.0682 | -1.21337 -0.173769 | -11312.1 -1879.72
45.4423 -50.9072 | -3.23418 -0.651947 | 5365.1 -6810.61
45.9068 -50.7426 | -0.722471 -0.683411 | 4239.08 10578.3
46.3648 -50.5475 | 0.761051 -1.78092 | -3228.72 7009.25
46.8132 -50.3305 | 0.785618 0.0340027 | -3723.37 -14411.2
47.2625 -50.1281 | 1.27187 -3.12165 | 5592.37 7959.84
47.718 -49.9275 | 1.277 -6.94372 | 3812.89 -2037.1
48.1803 -49.7399 | 2.78229 -6.0462 | -13862.7 -3687.72
48.6386 -49.5655 | 1.82544 -5.57418 | 6974.52 5012.33
49.1055 -49.4013 | 2.47206 -4.88502 | 4365.38 244.074
49.5828 -49.2578 | 1.54648 -2.44726 | -2884.71 -2450.15
50.0661 -49.141 | 0.0196901 -3.92036 | 4031.89 2013.64
50.5575 -49.0474 | 0.189895 -0.199223 | 2358.06 -2192.29
51.0549 -48.9786 | 1.02695 -0.17433 | -33.1337 64.2957
51.5546 -48.9251 | 0.783681 -2.77916 | 1374 8182.79
52.0561 -48.8773 | 0.398898 -2.43284 | -1504.33 -2298.63
52.558 -48.8571 | -0.635883 -1.83304 | -4510.57 -5535.33
53.0559 -48.8776 | 0.208887 -1.03958 | -5434.01 5311.46
53.5475 -48.9288 | 0.663953 -4.53178 | 4000.42 -2595.59
54.0361 -49.0198 | 1.33953 -4.07813 | 4200.02 -5404.23
54.5204 -49.1493 | 2.80717 -2.75217 | 2283.94 5173.43
55.0003 -49.2973 | 0.544493 -4.94421 | -3613.04 370.803
55.4714 -49.4655 | -0.664957 -2.84893 | 898.155 -5604.97
55.9364 -49.6545 | -0.581924 -1.36881 | 5101.76 10258.7
56.4013 -49.8451 | -0.856457 -0.284799 | -4564.89 -4939.79
56.8539 -50.0596 | 1.30753 0.904534 | -1244.37 -3542.31
57.2943 -50.2985 | 3.21339 1.08415 | 2355.31 4402.92
57.7286 -50.5483 | 2.14413 -1.9044 | -1629.7 -5505.72
58.154 -50.8141 | 3.16899 -2.60871 | -3217.1 2561.15
58.576 -51.0803 | 2.72583 -0.267391 | -701.916 2416.03
59.0037 -51.3358 | -0.563004 -3.73275 | 8021.65 -4512.4
59.446 -51.5775 | 0.460979 -1.90754 | -1788.35 -566.004
59.8991 -51.7958 | -0.57174 0.17807 | -7797.16 5022.95
60.3613 -51.9762 | 1.38413 1.07613 | -1404.61 2436.67
60.8358 -52.1143 | 3.24012 1.34664 | 2863.88 -1695.94
61.3229 -52.2141 | 2.29127 1.01857 | 10105.3 -9481.94
61.8229 -52.2775 | 1.12054 1.08187 | -9158.86 14521
62.3205 -52.2739 | 0.284793 0.908072 | -7848.44 -9366.48
62.8106 -52.2307 | -1.07417 3.33452 | 7962.07 2548.96
63.2984 -52.141 | -0.620988 3.82645 | -3857.09 -1719.49
63.7742 -52.0085 | 0.203294 2.77529 | -1571.89 -1505.23
64.2354 -51.8353 | 1.07291 2.21341 | 2147.65 3014.99
64.6827 -51.6214 | -0.246086 4.18249 | 7966.06 3884.33
65.1214 -51.3758 | -1.43421 5.56241 | 7168.48 -3115.27
65.5515 -51.1103 | 3.81335 -0.510325 | -15181.1 -1995.06
65.9542 -50.8193 | 3.81997 0.889298 | 5664.35 1382.13


-29.8629 -34.0382 | -3.01445 4.36292 | 1327.65 -2029.34
-29.3867 -33.8824 | -3.51764 -0.0685865 | 2335.21 1862.83
-28.907 -33.7309 | -0.393523 -5.60839 | -1031.76 914.852
-28.4257 -33.5837 | -1.47075 -3.07636 | 4304.84 1827.47
-27.9388 -33.4435 | -0.34619 -4.28105 | 422.21 962.222
-27.4475 -33.3171 | 0.392741 -6.78667 | -2884.44 -1112.73
-26.9528 -33.2143 | -0.487897 -2.80789 | 286.344 4025.49
-26.453 -33.1435 | 2.50614 0.797614 | -4811.21 -8571.68
-25.9516 -33.1302 | 0.492501 -1.73182 | 7865.43 -1495.83
-25.447 -33.1675 | -1.41236 0.984873 | -7266.15 3959.62
-24.9503 -33.2438 | -0.267586 2.9988 | 5687.16 -2222.68
-24.4577 -33.3618 | -1.6965 0.941831 | 7730.71 -3110.46
-23.9715 -33.52 | -1.81462 -0.454209 | -15594 51.6895
-23.5074 -33.7104 | -0.639503 -2.07525 | -1230.54 9441.64
-23.0532 -33.9132 | 0.881079 0.883333 | 6519.9 -2572.7
-22.6064 -34.1403 | 0.853081 -1.1012 | -3095.17 -4752.76
-22.1781 -34.3989 | -1.3961 -2.42102 | -5283.48 7266.5
-21.7692 -34.6745 | -2.48008 0.368272 | -10410.8 8937
-21.3826 -34.9653 | -1.10391 2.29544 | 5254.27 -9701.82
-21.0086 -35.282 | 0.324512 2.10858 | 11126 -1337.88
-20.636 -35.6107 | 3.97283 2.53292 | -5989.51 4552.58
-20.2772 -35.9488 | 3.39552 0.584053 | -4764.97 -9764.48
-19.9307 -36.3012 | 1.90233 -1.61982 | 5844.51 10837.8
-19.5715 -36.6366 | 1.55577 -1.02318 | -3378.07 4636.72
-19.2064 -36.9605 | -1.32902 2.86422 | -2273.8 -9086.55
-18.8402 -37.2881 | -3.6122 3.21472 | 11173 -953.083
-18.4586 -37.6064 | -2.6784 -0.13652 | -10319.1 5017.78
-18.0757 -37.9146 | 0.813954 -1.68092 | 3084.02 -13586
-17.6818 -38.2182 | 1.57133 0.346066 | 4658.29 13663.3
-17.2624 -38.4827 | 2.1225 3.14109 | -1622.25 -4391.97
-16.8291 -38.7254 | 1.04063 0.261091 | 364.158 -10037.5
-16.3834 -38.9496 | 2.32602 0.0150608 | -6413.15 11555.4
-15.9229 -39.1229 | -0.741962 -2.54709 | 434.355 2830.83
-15.4476 -39.2498 | -2.58586 -0.794774 | 7475.52 -9637.17
-14.9587 -39.35 | -2.46327 1.71303 | 3561.36 4353.85
-14.46 -39.4121 | -0.417176 -0.799659 | 4625.19 -2077.43
-13.9559 -39.4456 | -1.15915 -0.276389 | -11751.9 1170.83
-13.458 -39.4532 | -2.64735 3.51373 | 2425.79 -4839.61
-12.9587 -39.4417 | -2.26599 5.377 | 9039.71 5952.47
-12.4549 -39.3981 | -3.77929 2.37946 | -3416.51 -4228.87
-11.9551 -39.3322 | -3.05341 -0.376087 | 803.688 3459.61
-11.4598 -39.2379 | -1.98141 0.66289 | -4597.56 -4271.11
-10.9724 -39.1222 | -3.16501 0.53086 | 3036.69 205.187
-10.4903 -38.9778 | -4.50264 -2.22577 | 4582.15 11415.8
-10.0152 -38.7957 | -3.78416 -0.147619 | -738.457 -5424.83
-9.54547 -38.6038 | -1.34523 -2.94423 | -932.344 -3735.18
-9.08 -38.4097 | 0.546036 -0.379092 | -11703.5 -1153.52
-8.62573 -38.2111 | 1.22172 0.322002 | -2804.09 -8085.01
-8.17414 -38.0142 | -0.636584 -0.0347701 | 13499.7 18432.1
-7.7174 -37.7972 | -2.76881 0.290161 | 2402.18 -613.809
-7.25396 -37.5902 | -1.95811 0.00681414 | -7132.06 -14081.3
-6.78557 -37.4185 | 2.09547 -1.29594 | -10501 3702.32
-6.31799 -37.2647 | 1.34137 -0.783168 | 5412.38 -869.978
-5.84034 -37.1343 | -1.06426 -1.06694 | 5694.53 -32.5856
-5.35316 -37.025 | -1.74627 -0.774772 | -2431.47 3095.41
-4.86342 -36.9292 | -0.353627 -0.714255 | 447.723 3734.08
-4.36939 -36.8514 | 1.35906 -1.21339 | 6172.25 -6607.14
-3.86829 -36.81 | 0.603306 -1.70694 | -11011.2 8004.38
-3.37195 -36.7952 | -0.366748 0.393013 | 5522.16 -1459.67
-2.87422 -36.8297 | 1.50157 1.71693 | -1190.56 -8383.45
-2.38449 -36.9292 | 1.12377 1.92652 | 2699.32 4064.41
-1.90391 -37.0749 | 0.798033 2.59059 | 6799.52 -6947.79
-1.43366 -37.2664 | 1.44509 0.769782 | -7066.7 5052.4
-0.980112 -37.4838 | 3.97157 0.963671 | 3857.79 6606.27
-0.537203 -37.7205 | 3.67955 2.95006 | -4765.4 -5479.35
-0.117845 -37.9945 | 1.39725 2.88943 | 274.552 304.952
0.279206 -38.299 | 1.56115 -1.1388 | -346.671 3580.11
0.653316 -38.627 | 0.761142 -2.57633 | -8194.12 4295.37
0.997473 -38.978 | -2.11603 -2.44029 | 4258.68 -2639.38
1.32177 -39.3514 | -0.660599 0.695253 | 2355.25 -4891.84
1.62918 -39.7441 | 0.480403 3.43407 | -4947.13 -2354.12
1.92525 -40.1464 | 1.14393 -0.514984 | 15853.4 2288.13
2.23814 -40.542 | 0.0500845 0.646536 | -11030.6 -3010.05
2.54499 -40.9394 | 0.0700501 4.10666 | 3426.6 6016.93
2.86097 -41.3271 | -1.33251 0.717394 | 3183.79 -2460.91
3.18302 -41.7121 | 0.137968 3.32427 | -9366.81 389.49
3.49961 -42.0966 | 1.2291 2.75496 | 4907.39 2646.38
3.82662 -42.4726 | -0.732297 1.44729 | -2046.66 -868.003
4.16071 -42.8438 | -2.69754 3.67116 | 4071.91 -12641.1
4.50955 -43.2135 | -2.87854 -1.28367 | 7552.3 148.957
4.88777 -43.5592 | -3.00165 -1.09628 | -917.699 9873.55
5.29154 -43.8682 | -0.859424 1.51312 | -2642.07 -5650.35
5.71043 -44.155 | -0.843598 2.12665 | -5375.84 3693.68
6.14298 -44.4093 | -2.26134 -0.428429 | -9695.49 5690.09
6.58832 -44.6223 | -0.195104 -0.265429 | 7946.1 3402.67
7.05455 -44.7934 | -4.18904 2.78346 | -2569.25 -5444.77
7.52924 -44.9423 | -4.2606 -0.158113 | 4771.52 -5274.53
8.01476 -45.0697 | -1.73629 -2.68079 | 4179.39 5971.74
8.51036 -45.1606 | -1.33346 -1.84436 | -7174.22 775.364
9.00592 -45.226 | 1.38587 -3.24303 | 3430.86 -8392.46
9.50566 -45.2777 | 1.53865 -0.340561 | 2707.95 6624.96
10.0098 -45.2954 | -0.888822 -0.789746 | 34.7601 754.156
10.5148 -45.2853 | -2.08941 -0.709569 | 4476.46 -2154.48
11.0211 -45.2565 | -4.7499 2.04465 | -10839.6 1271.05
11.5196 -45.2087 | -0.552987 3.21895 | 7538.95 -711.241
12.0192 -45.1485 | -0.396462 -0.0869073 | -10707.8 -3817.39
12.5092 -45.0786 | -3.42415 -0.317236 | -12704 3454.46
12.9888 -44.991 | -1.96706 0.863361 | 18774 -1384.36
13.4791 -44.8976 | -4.10257 0.0185382 | 2662.18 4668.54
13.9722 -44.7963 | -2.1147 -2.33295 | -4007.52 -2856.42


-32.585 67.2991 | -3.76451 2.61318 | -495.348 -5156.82
-32.3555 67.7382 | 1.5989 -0.371603 | 385.311 110.928
-32.1496 68.1897 | 3.73776 0.595046 | -1296.38 6683.26
-31.9699 68.6577 | 2.16381 1.68591 | 6706.74 7330.28
-31.8053 69.138 | 1.31163 1.45932 | -6552 -4737.65
-31.6631 69.6217 | -2.43836 1.96726 | -7717.57 2604.94
-31.5289 70.1068 | -2.62493 2.68168 | 12756.8 -5462.41
-31.3587 70.5771 | -1.04326 2.52783 | -11429.2 -13670.7
-31.1638 71.0252 | -2.07979 1.88585 | -2085.56 6027.42
-30.9284 71.4557 | -2.31969 1.97937 | 17187.7 3273.79
-30.6289 71.8561 | -0.954232 1.49911 | -3793.07 8581.69
-30.2934 72.2328 | -2.64094 0.0516791 | 263.084 -6881.64
-29.9242 72.5721 | 0.32664 -3.21808 | -6098.5 -7611.27
-29.5331 72.8784 | 1.30473 -2.71928 | 9084.22 15935.6
-29.121 73.1758 | -0.08164 -3.63816 | 5308.5 4169.05
-28.6878 73.452 | 0.124772 -2.21175 | -6300.73 -5133.48
-28.2369 73.6886 | 0.8975 -2.33147 | 3520.74 -2335.67
-27.7631 73.8756 | -0.292056 -1.39848 | -2255.99 -2682.42
-27.2741 74.0094 | -1.81194 -0.59972 | -3006.74 -2171.18
-26.7767 74.092 | -1.33028 -4.29762 | -393.398 -48.8399
-26.2754 74.1306 | 0.791475 -2.767 | -7989.86 1269.12
-25.7776 74.1321 | 2.31608 -0.380833 | 6359 269.467
-25.2781 74.0977 | 2.48094 2.40006 | -4424.8 -1599.06
-24.7852 74.0279 | 3.82405 0.873393 | -4143.26 9053.57
-24.3005 73.9304 | 1.87289 -1.67374 | 9517.56 -8055.63
-23.8229 73.7795 | -2.00206 -2.06331 | -4450.97 -5669.49
-23.3652 73.5757 | -1.04366 -0.512075 | 3353.05 3986.26
-22.9204 73.3426 | 0.446995 -3.3375 | -3394.25 -6162.2
-22.4887 73.0846 | 1.75835 -8.94421 | 7337.67 5366.19
-22.0532 72.8287 | 3.08477 -7.68753 | -2650.82 -2671.28
-21.618 72.5756 | 1.90614 -4.61395 | -10759.2 10768.8
-21.183 72.341 | 1.44841 -1.99816 | 7602.5 -5302.32
-20.7368 72.1149 | 2.06918 1.31977 | 9084.2 -7884.4
-20.2782 71.8978 | 2.33873 -0.609964 | -10225.7 10937.4
-19.8165 71.709 | 1.65315 -0.0364958 | -5261.87 -902.802
-19.3522 71.5386 | -1.60156 2.35477 | 3676.92 4024.59
-18.8806 71.3856 | -0.764308 2.52618 | 1616.56 -9027.47
-18.4067 71.2304 | 1.68814 0.756711 | -1450.87 -2554.37
-17.9302 71.0854 | 1.99734 0.366402 | -4171.28 8033.57
-17.4499 70.9735 | 1.32398 3.58832 | -4671.38 -1774.57
-16.9679 70.8888 | -2.57166 4.36306 | -2919.77 -4225.03
-16.4828 70.8334 | -0.767009 2.66165 | 9390.26 -1650.12
-15.9884 70.8242 | 2.06073 1.61297 | 4641.99 7879.2
-15.4933 70.8797 | 1.1153 0.782074 | -7138.65 -4637.94
-15.0107 70.9833 | 0.851713 -0.421774 | -2954.31 2024.49
-14.5412 71.1315 | -2.51427 -2.66782 | 6854.88 -2725.03
-14.0767 71.3086 | -2.97179 -1.99794 | 9044.17 6731.19
-13.616 71.5157 | 1.24518 -1.57842 | -1743.41 -2795.07
-13.164 71.7385 | 0.828392 0.697926 | -2434.3 -4983.82
-12.7218 71.9718 | -0.99593 2.95623 | -6359.5 -1348.63
-12.2949 72.2224 | -1.89811 1.85508 | 145.732 3065.81
-11.8804 72.4926 | -1.34115 0.0042093 | -2199.64 -8648.13
-11.476 72.7706 | -0.730904 0.757849 | 688.693 6210.25
-11.0834 73.0697 | -2.93356 1.41131 | 6752.04 1428.42
-10.6967 73.384 | -1.59144 1.19554 | -2078.3 2719.18
-10.3213 73.7133 | -4.04049 5.42653 | 1654.16 2218.01
-9.95046 74.0487 | -3.10726 2.99017 | -5920.65 -11647.8
-9.58215 74.375 | -0.616773 0.513328 | -4493.23 3674.54
-9.21452 74.7019 | -2.01427 -0.167676 | 13340.6 10024.5
-8.82789 75.0243 | -0.28159 0.153391 | 3550.83 -709.18
-8.42227 75.3262 | 1.79775 0.00958509 | -8575.67 -5716.63
-8.00525 75.5998 | -0.250977 -2.18012 | -1646.3 -2674.67
-7.57343 75.8437 | -0.754452 -0.942678 | 1737.59 -10.5812
-7.12687 76.0626 | 1.06264 -1.76249 | 3621.8 8250.91
-6.66796 76.2642 | 2.52778 -3.49616 | -2986.4 -9590.16
-6.20013 76.4309 | -0.304226 -0.727941 | -10234.6 2215.84
-5.73245 76.5781 | -2.08648 -3.57762 | 4512.4 -149.978
-5.25643 76.7058 | -0.957929 -4.14061 | 3399.09 4218.24
-4.77217 76.8185 | -1.20257 0.102852 | 8192.71 7052.95
-4.27684 76.9089 | 1.05551 -1.79301 | -4856.07 -8006.89
-3.77845 76.9476 | 2.02557 -3.86606 | -3526.85 -10006.3
-3.28189 76.9357 | -1.6302 -0.735135 | -2494.27 9731.03
-2.78755 76.9158 | -3.0478 -0.0452271 | 2613.96 5777.12
-2.29045 76.8918 | -1.50973 0.0343958 | 13516.4 -6213.48
-1.78546 76.8441 | -1.66024 4.60517 | -4571.91 -2062.08
-1.2844 76.7759 | -1.4484 1.2004 | -1611.84 4717.63
-0.786222 76.6989 | -2.62089 -3.81649 | 2388.87 826.766
-0.289564 76.6071 | -1.97541 -3.47252 | -2823.2 -1430.79
0.200768 76.4899 | -0.411737 -4.42548 | 7097.73 -1326.02
