-52.867 -30.6887 | -2.49145 1.76144 | -1194.48 -368.708
-52.3961 -30.5051 | -2.59028 1.94998 | 141.763 -2987.91
-51.9328 -30.3044 | -2.58708 2.15165 | 1547.7 757.977
-51.4782 -30.0819 | -1.38316 0.845933 | 330.83 2535.46
-51.0361 -29.8335 | 0.126273 -1.07943 | -686.316 460.53
-50.608 -29.5623 | -0.390873 -0.595488 | -1157.97 -1027.06
-50.194 -29.2727 | -1.80771 0.534085 | -2760.05 -1111.04
-49.7945 -28.9677 | -1.64543 -0.33966 | -3571.26 -997.456
-49.4078 -28.6514 | -1.08175 -1.47446 | -1619.03 -834.121
-49.0265 -28.3307 | -1.47841 -1.74548 | 2769.49 -464.814
-48.641 -28.0129 | -1.65632 -2.40649 | 3314.57 433.261
-48.2487 -27.6999 | -1.42859 -3.65737 | -1023.86 2454.99
-47.8534 -27.3893 | -1.89016 -3.96672 | -1274.96 1502.3
-47.4517 -27.0867 | -3.37447 -2.25515 | 861.882 -405.832
-47.0359 -26.8035 | -5.08925 0.845124 | 1703.45 -1247.4
-46.601 -26.5495 | -4.9618 1.97374 | 605.974 -2385.02
-46.1486 -26.3298 | -3.42057 -0.0464991 | -2881.54 -375.213
-45.6848 -26.1414 | -2.39029 -2.7749 | -3185.37 635.426
-45.2127 -25.9829 | -2.23659 -3.49892 | -1964.62 -2354.87
-44.7329 -25.8588 | -1.96948 -2.60848 | -2180.98 -935.14
-44.2484 -25.7651 | -1.09481 -2.47194 | -760.138 2418.04
-43.7605 -25.694 | -0.170282 -2.86192 | 606.374 2456.8
-43.2693 -25.6459 | 0.407989 -1.7441 | 13.6733 841.991
-42.776 -25.6289 | 0.809908 -0.527998 | -503.921 -1314.93
-42.2832 -25.6522 | 0.674776 -0.522073 | 994.636 897.369
-41.7934 -25.7169 | -0.257982 -0.953407 | 1988.07 19.1585
-41.3098 -25.8252 | -1.64748 -1.84173 | 971.539 -1472.42
-40.8368 -25.9776 | -2.38543 -2.53598 | 1619.68 -261.846
-40.3762 -26.1686 | -1.69576 -2.67254 | 735.494 -2026.55
-39.9292 -26.3927 | -0.171773 -1.9829 | 52.9201 -647.421
-39.493 -26.6383 | 0.719532 -1.08497 | 1260.72 2140.09
-39.0618 -26.8929 | 0.506352 -0.782865 | 1784.23 2598.05
-38.6335 -27.1528 | 0.511045 0.087556 | -566.834 -1911.87
-38.2127 -27.4249 | 0.649138 1.03526 | -2424.38 -2050.91
-37.8009 -27.709 | -0.276557 0.164571 | -1470.46 1782.23
-37.3926 -27.995 | -1.33889 -1.22532 | -1253.74 516.975
-36.9822 -28.2759 | -1.04296 -0.504183 | -499.175 -1523.79
-36.5631 -28.5443 | -0.550571 1.24652 | 2288.39 -357.451
-36.127 -28.7872 | -1.24968 1.713 | 2525.86 524.066
-35.6707 -28.9931 | -2.8908 -0.119553 | -170.918 1954.99
-35.1979 -29.1552 | -4.11674 -2.75226 | -2468.29 2177.3
-34.7146 -29.274 | -4.1244 -3.42631 | -3008.11 -321.399
-34.2263 -29.3574 | -3.57227 -3.24207 | -575.566 -1137.87
-33.7343 -29.412 | -3.22769 -2.98652 | 882.191 -1586.23
-33.2397 -29.441 | -3.37532 -2.167 | -258.162 -1174.75
-32.7442 -29.4431 | -3.62413 -1.23095 | -296.175 -625.673
-32.2498 -29.4143 | -3.68014 -1.25648 | 262.062 543.337
-31.7583 -29.3495 | -3.59068 -1.21344 | 1877.24 -394.281
-31.2712 -29.2478 | -3.59389 -1.2302 | 4155.71 1993.22
-30.7897 -29.107 | -3.32005 -2.8138 | 3497.27 2965.66
-30.3164 -28.9297 | -2.77374 -3.58816 | 2451.04 -313.657
-29.8519 -28.7249 | -2.20475 -3.01773 | -286.804 2.99005
-29.3985 -28.4966 | -1.82718 -2.19263 | -1680.2 669.037
-28.9571 -28.2475 | -2.03563 -1.47083 | -122.906 -494.716
-28.5248 -27.9839 | -2.50036 -1.44388 | -642.229 -560.368
-28.0998 -27.71 | -2.52491 -1.56275 | -1010.38 1275.01
-27.6798 -27.4291 | -2.17119 -1.49582 | 360.001 -789.317
-27.2593 -27.1498 | -1.80554 -1.59231 | -850.628 -3103.79
-26.8357 -26.8788 | -1.5319 -1.34992 | -1563.99 -1938.71
-26.4097 -26.6152 | -1.52701 -0.376936 | -1647.59 1630.32


-10.7804 -32.582 | 2.01482 -1.24702 | 5519.54 939.813
-10.338 -32.8256 | 1.80398 -1.25012 | 2447.56 -3326.22
-9.88765 -33.0595 | 1.3784 -1.27216 | 232.064 -1039.67
-9.43259 -33.2851 | 0.701712 -1.4462 | -3538.49 -328.163
-8.97544 -33.5008 | -0.177419 -1.84376 | -3452.03 1120.42
-8.51388 -33.6994 | -1.11436 -2.40588 | -313.759 3582.8
-8.0438 -33.8725 | -1.85931 -3.65623 | 719.478 -536.829
-7.56568 -34.0242 | -1.93875 -4.46444 | 1672.92 -2134.91
-7.0801 -34.157 | -1.55164 -2.84555 | 1599.71 -749.507
-6.58737 -34.2674 | -1.82187 -0.868599 | 186.425 -1621.91
-6.08889 -34.3502 | -2.65084 0.123763 | -814.304 3667.19
-5.58648 -34.3932 | -3.01979 1.01348 | -1445.46 3324.06
-5.08338 -34.398 | -2.63061 0.690077 | 415.656 -3191.85
-4.58033 -34.3785 | -1.85748 -0.653252 | 1574.48 492.966
-4.0775 -34.3359 | -0.947795 -1.16925 | 593.344 701.84
-3.57627 -34.2726 | 0.0383949 -1.68295 | 28.751 -4001.97
-3.07768 -34.1933 | 0.751417 -1.59531 | -419.023 1617.28
-2.58455 -34.0866 | 0.798435 -1.0828 | -658.756 4840.72
-2.09995 -33.9461 | 0.490518 -1.51743 | -1755.6 -143.62
-1.62432 -33.7822 | 0.393516 -1.75666 | -3430.48 154.209
