-24.4583 -45.522 | -1.18651 0.977449 | -1553.17 938.203
-23.9842 -45.3668 | 0.722079 -0.661045 | -3903.7 2854.27
-23.5213 -45.1865 | 3.22449 -3.01147 | 2846.28 -8677.37
-23.0604 -45.0015 | 3.23502 -3.283 | 4819.82 1369.37
-22.603 -44.7975 | 1.04436 -0.993697 | 1701.82 6637.79
-22.1569 -44.5606 | 0.530072 -1.39782 | 6790.29 517.21
-21.7213 -44.2958 | 3.3407 -4.36784 | -2650.89 2157.8
-21.3068 -44 | 2.44227 -3.06748 | -5831.76 691.745
-20.9161 -43.6786 | 0.14735 -0.640815 | -219.131 -3734.4
-20.5396 -43.3457 | 0.228687 -0.424824 | -5528.5 -4963.86
-20.176 -43.008 | -0.553352 -1.26154 | -4618.47 -2433.99
-19.8201 -42.6691 | 0.288673 -1.81052 | -1253.11 -2637.76
-19.4622 -42.3362 | -0.471208 1.04549 | 2374.03 -3377.08
-19.0958 -42.0129 | -0.103019 1.80059 | 974.285 6593.01
-18.7253 -41.6892 | 3.02169 -0.78968 | 1030.29 -1920.3
-18.3491 -41.372 | 3.49353 -1.89012 | -2466.35 755.37
-17.9697 -41.0597 | 3.26107 -2.54404 | -1619.77 5687.82
-17.5825 -40.755 | 2.42218 -2.4991 | 1651.57 -3289.63
-17.174 -40.4802 | -0.392791 -0.885941 | 2671.85 -4183.72
-16.7418 -40.2441 | -0.535345 0.199364 | 4381.38 6657.55


-13.2134 -53.9315 | 3.31337 -2.65039 | 1782.68 893.456
-12.7135 -53.9448 | 2.64477 -0.516385 | -8964.95 -58.1137
-12.2207 -53.925 | 2.13462 -0.440057 | -7307.72 -263.63
-11.7352 -53.8781 | -0.132782 0.347996 | 5419 -1791.1
-11.2486 -53.8128 | -1.79668 2.3007 | 6431.27 -3694.14
-10.76 -53.7302 | -1.22518 -0.704618 | -307.836 2017.1
-10.2774 -53.6161 | -1.77818 -1.80529 | -3153.55 1099.6
-9.80662 -53.4659 | -3.57765 2.25594 | 1027.45 1985.69
-9.34663 -53.2837 | -1.93619 -0.150871 | -1095.04 -3483.95
-8.89665 -53.0817 | -0.394686 -1.39152 | -3141.46 2099.63
-8.4559 -52.8622 | -0.632038 -0.490776 | 6071.92 628.909
-8.01284 -52.6378 | -0.838501 -1.18277 | 6688.64 -1430.34
-7.56431 -52.4161 | -0.890697 2.47191 | -7118.54 1702.81
-7.12064 -52.1924 | 0.718664 2.85523 | -3463.37 -1050.08
-6.67639 -51.9756 | 0.152618 0.667223 | 7013.5 -5758.21
-6.22155 -51.7745 | -1.44149 -0.968929 | 5882.04 3991.5
-5.76362 -51.5694 | -0.832734 -1.0492 | -5593.42 2752.51
-5.31645 -51.3484 | -0.10048 -0.165741 | -9295.52 -564.45
-4.88173 -51.1151 | -0.2804 -0.736959 | 5349.04 3064.02
-4.44308 -50.8807 | 0.589342 0.858924 | 2898.07 3027.04
-3.9929 -50.6623 | 2.16741 1.67918 | -1216.62 -750.449
-3.52674 -50.4835 | 2.78456 -1.32528 | 1514.77 -9734.58
-3.0426 -50.367 | 1.38214 -0.0429827 | -2314.15 1466.66
-2.55069 -50.2966 | -1.3697 3.14242 | 552.284 4111.97
-2.05459 -50.2606 | -2.29826 1.95615 | -1136.13 -2817.67
-1.55782 -50.2619 | -1.56165 0.0499433 | 759.376 2672.36
-1.06149 -50.2908 | -1.32444 -0.881945 | 411.752 1370.02
-0.567306 -50.3467 | -0.63013 0.168865 | -511.84 747.499
-0.0781004 -50.4335 | -0.136501 -1.50875 | 783.468 2877.59
0.402955 -50.5561 | 1.68031 -3.85837 | -3898.57 -6933.52
0.867034 -50.7285 | 2.19789 -3.72556 | 942.864 5512.5
1.31677 -50.9327 | -0.231165 -1.76122 | -691.526 -1464.82
1.74906 -51.17 | 0.88897 0.724397 | -7165.18 540.916
2.16222 -51.4316 | 1.69976 0.906768 | 3301.85 1635.18
2.57184 -51.7015 | 1.06786 2.00518 | 4366.33 -7153.09
2.98698 -51.9737 | 1.58244 2.41534 | 8323.94 2678.04
3.41954 -52.2266 | -1.03168 -1.47865 | 173.522 3390.11
3.86376 -52.4587 | -1.10758 -2.52966 | -924.77 -907.508
4.31323 -52.6816 | -0.691615 -1.9803 | 4404.61 -3284.25
4.76669 -52.9038 | -1.80285 -1.41449 | -2943.13 -30.2714
5.21701 -53.1265 | -1.16901 -0.91142 | -12291.5 1958.22
5.65935 -53.3463 | -1.21015 -1.7688 | 843.897 -229.284
6.10749 -53.5528 | -1.87879 -2.56881 | 4606.16 -432.99
6.56895 -53.7343 | -3.95088 -3.82874 | -2872.57 1962.96
7.03997 -53.882 | -3.79563 -3.49141 | -2485.05 2508.21
7.51836 -53.9939 | 0.145265 -0.357992 | -829.424 -4718.55
8.00232 -54.0782 | 1.33297 -0.538544 | 1680.79 -1904.77
8.49241 -54.1266 | 2.015 1.34064 | -257.772 7041.5
8.98537 -54.1266 | 3.07011 2.80118 | 5184.8 -2553.29
9.48103 -54.0974 | 2.59385 3.90469 | -41.4178 -7135.05
9.97489 -54.0496 | 1.66141 5.36508 | -6279.1 3865.87
10.4608 -53.967 | 0.344495 3.64937 | 6165.16 -2255.48
10.9442 -53.8528 | 1.00508 2.22045 | 6433.06 -803.286
11.4205 -53.6997 | 1.67457 3.28836 | -6902.4 888.881
11.8723 -53.4956 | 1.08665 2.23623 | -5936.61 -1360.12
12.2928 -53.2413 | 1.02024 2.65342 | 4487.41 1272.71
12.6865 -52.9428 | 0.878046 -0.490055 | -557.006 2692.28
13.0515 -52.6077 | 2.53279 -4.5722 | -156.738 -3594.15
13.3951 -52.2522 | 1.65253 -3.14587 | 2239.05 1116.79
13.7251 -51.8811 | -1.35298 -2.09339 | 5983.49 4713.21
14.0474 -51.4971 | 0.60772 -2.09586 | -3129.45 -4764.77
14.3567 -51.1078 | 2.06506 -1.91734 | -3934.42 -7001.58
14.6511 -50.7142 | 0.396835 0.373717 | -1955.56 3160.18
14.9303 -50.3082 | 0.661663 1.73657 | 5127.7 8216.88
15.2061 -49.8906 | 1.26015 0.618265 | 5930.19 5001.67
15.4879 -49.4694 | 1.01457 0.525097 | -2088.87 62.5547
15.775 -49.0514 | 1.18109 -0.0653519 | -1206.69 1557.58
16.0757 -48.6435 | 1.33396 -1.13436 | 906.324 -6704.89
16.4021 -48.2606 | 0.548146 -1.38427 | 1583.53 -4362.78
16.7536 -47.9039 | -0.66472 -1.73965 | -2206.26 -1456.47
17.1172 -47.5639 | -3.30508 1.8827 | -8386.42 268.143
17.4808 -47.2315 | -3.44452 3.42065 | -7812.33 434.221
17.8506 -46.9119 | -1.78251 1.013 | 8441.84 -2707.3
18.2498 -46.6235 | -2.84961 0.586284 | 9179.58 4602.74
18.6762 -46.363 | -2.87439 -0.683033 | -2991.69 385.334
19.1144 -46.1269 | -0.395537 -2.7872 | -11569.5 -6965.28
19.554 -45.915 | 0.0989855 -1.87787 | -2835.72 1597.09
19.9967 -45.7142 | 1.19266 -1.79041 | 7028.56 5958.42
20.4491 -45.5206 | 0.12678 1.02611 | 660.213 408.208
20.9104 -45.3432 | -1.59862 1.38616 | 3717.8 -1853.99
21.3835 -45.1886 | -1.12165 0.572286 | 7994.56 2558.95
21.8688 -45.0499 | -0.199341 2.46544 | 5071 8380.16
22.3628 -44.9221 | 2.29643 1.41658 | -2958.75 -3107.98
22.8615 -44.8275 | 3.10105 -0.284523 | -6236.6 -5403.44
23.3622 -44.78 | 1.40981 -0.645844 | 4785.18 -7399.7
23.8683 -44.7761 | 2.45657 -1.7137 | 6216 3522.42
24.3791 -44.7837 | 3.29555 -0.443783 | -1664.46 3687.08
24.8894 -44.7847 | 2.53019 1.38854 | -1406.82 2497.92
25.3985 -44.7755 | 2.16967 -0.653439 | -819.521 -2505.55
25.9065 -44.7612 | 1.46645 -2.5018 | -1074.33 -2429.7
26.4131 -44.737 | 1.57555 1.2281 | -567.245 5569.89
26.9169 -44.688 | 0.477053 -0.278731 | -4269.02 778.106
27.4149 -44.6209 | 0.346739 -3.80515 | -6021.17 -585.46
27.9065 -44.547 | 2.50004 -3.77764 | -3813.85 -6606.85
28.395 -44.4787 | 0.630273 -0.904782 | 3047.09 3615.41
28.8843 -44.4038 | -1.74777 0.888004 | -301.774 -812.936
29.3726 -44.3242 | -0.645248 -3.22738 | -2503.87 -301.046
29.8586 -44.2397 | 0.348285 -4.76853 | 3582.41 -2818.68
30.3461 -44.15 | 0.338611 -1.86998 | 4097.49 -1222.61
30.8331 -44.0428 | -2.63558 -0.806588 | -484.505 4619.49


-27.7504 31.2886 | -0.315445 7.24174 | -3439.95 987.761
-27.33 31.023 | 0.518003 0.0873521 | 2115.55 -4444.8
-26.8884 30.7887 | 2.87827 1.74477 | 5175.23 6955.36
-26.4227 30.6029 | 2.21879 2.26861 | -4909.66 -1227.53
-25.9465 30.4524 | 0.872723 -0.0356858 | 952.647 -7535.07
-25.4597 30.3301 | 1.41697 -1.45945 | 8494.73 4131.68
-24.9578 30.2566 | 2.36523 -2.26597 | 2773.16 5565.84
-24.4497 30.2327 | 2.96985 -1.08625 | -10627.2 -5028.08
-23.949 30.2378 | 3.03917 -0.842486 | -8439.64 -3244.07
-23.4561 30.2716 | 2.37063 -1.91217 | 3143.04 751.503
-22.9657 30.345 | 1.85713 -1.43554 | 7792.99 3533.76
-22.4781 30.4652 | 2.68959 0.130258 | 5326.1 -612.257
-21.9994 30.6292 | 1.34807 0.662116 | -4654.9 1731.98
-21.5424 30.841 | -1.79628 0.170916 | -4385.85 2157.74
-21.1099 31.0954 | -1.70886 -0.143305 | -610.906 3391.99
-20.6929 31.3761 | -0.983029 0.580173 | 4760.97 -5241.7
-20.275 31.657 | -0.804807 0.653802 | 383.352 -3041.06
-19.8559 31.9345 | 0.397583 0.600578 | -3404.47 3726.58
-19.4396 32.2155 | 2.20694 -0.114668 | 556.34 1910.25
-19.018 32.4906 | 1.27115 -0.666954 | 6559.85 -4179.54
-18.5814 32.7456 | 0.563494 -2.48469 | -1540.96 -1750.55
-18.1388 32.9864 | 0.858738 -1.8772 | -6749.44 -1507.67
-17.699 33.2228 | 1.26332 1.71311 | -415.6 6084.38
-17.2589 33.4624 | 2.58301 2.30119 | 7351.82 1753.87
-16.8075 33.6917 | 2.82528 2.04408 | 1035.56 -4634.24
-16.3461 33.8994 | 1.03831 1.61696 | -5795.35 1953.72
-15.8819 34.0915 | 0.953175 0.475339 | -2623.66 -874.77
-15.4113 34.2613 | 1.44339 1.22477 | 3793.1 -875.098
-14.929 34.4019 | 0.405572 3.52986 | 996.136 2622.63
-14.4378 34.5123 | -1.4975 4.59252 | -3119.9 -3979.6
-13.9416 34.5823 | -2.27658 2.73293 | 1597.12 -2309.9
-13.4408 34.6158 | -1.47666 0.745081 | 2357 3668.97
-12.9376 34.6267 | 0.0653535 0.440214 | -3948.94 4192.24
-12.4372 34.6148 | 0.271327 0.334363 | -2639.02 -4246.59
-11.9416 34.5637 | -0.230186 -0.101101 | -326.465 2999.17
-11.452 34.4754 | 0.300747 -2.93304 | 3640.79 80.2053
-10.9713 34.3414 | 2.24579 -3.21133 | -5048.6 -6039.65
-10.5109 34.1531 | 2.76502 -1.99696 | 306.903 4690.63
-10.0669 33.9296 | 2.25048 -1.37022 | 7011.61 -3177.35
-9.63578 33.6721 | 4.0594 1.2916 | -1700.76 -1618.94
-9.2236 33.3849 | 5.88872 2.27543 | -4957.73 -1247.39
-8.828 33.0779 | 4.31636 -0.739191 | 6767.41 3326.27
-8.43109 32.7685 | 3.05568 -1.0126 | 2731.87 -1259.32
-8.03417 32.4553 | 0.741914 -0.924194 | -2604.57 -5425.55
-7.6418 32.1356 | -0.676366 -0.904847 | -5458.86 3028.89
-7.24672 31.8264 | 0.440885 1.6475 | -596.481 5479.38
-6.83466 31.5449 | 0.0563487 2.03684 | 7436.49 -2110.63
-6.39831 31.293 | 0.178916 0.0155355 | 1371.86 -211.463
-5.9442 31.0712 | 1.40651 0.171466 | -2835.08 438.835
-5.47904 30.8789 | -0.225279 -2.24022 | -3765.99 -621.136
-5.00547 30.7171 | -2.38439 -2.65469 | -1828.42 312.528
-4.5227 30.5936 | -2.44801 0.223663 | -1202.91 4322.85
-4.03231 30.5169 | -0.871079 2.72336 | -3269.58 -3237.44
-3.5392 30.478 | 0.622244 2.76721 | 3866.35 -3954.61
-3.04196 30.4798 | 1.13082 0.435765 | 3095.32 5580.1
-2.54577 30.5384 | 1.38747 0.477202 | -3553.32 2988.99
