-9.32028 -40.0999 | 0.646328 -0.962101 | 2363.23 506.782
-8.83185 -39.9942 | 0.330646 -0.360499 | 1120 -253.904
-8.33727 -39.9162 | 0.141323 -0.438316 | -1497.07 1474.07
-7.84081 -39.858 | -0.236777 0.856578 | -1185.16 1598.5
-7.34339 -39.8178 | -1.11248 2.47712 | 169.042 170.979
-6.84464 -39.7995 | -1.89607 3.7539 | 383.941 950.966
-6.34531 -39.8072 | -1.67899 4.14362 | 307.118 642.514
-5.84736 -39.848 | -0.850662 1.9976 | 481.721 -1412.5
-5.3541 -39.9308 | -0.319443 0.193222 | 644.66 -2490.27
-4.86936 -40.058 | -0.0467456 0.490152 | 372.934 -1445.62
-4.39522 -40.2223 | -0.00831655 0.625336 | 72.7611 2100.59
-3.93112 -40.4118 | -0.123182 0.24375 | -1188.96 1890.52
-3.4776 -40.622 | -0.122221 0.14496 | -1647.54 -1147.3
-3.03539 -40.8534 | 0.36753 0.478363 | 974.211 -561.368
-2.60075 -41.1005 | 1.46767 1.49298 | 1749.88 -536.918
-2.1701 -41.3571 | 1.63762 1.43877 | 666.346 673.444
-1.7417 -41.6175 | -0.0141221 -0.376287 | -586.865 3186.14
-1.31608 -41.8789 | -1.52262 -0.926851 | -2659.4 1122.6
-0.897802 -42.1469 | -1.60817 0.592788 | -3666.65 -1054.55
-0.489868 -42.4259 | -0.934622 2.33068 | -2670.75 893.85
-0.0886477 -42.71 | -0.264655 3.2126 | -1329.16 2031.61
0.312147 -42.9913 | -0.406631 2.57676 | 4.60481 1156.98
0.71714 -43.2651 | -0.506224 2.24547 | -207.564 -758.717
1.12773 -43.5305 | 0.0881556 2.87486 | -1134.42 -1647.42
1.54544 -43.7844 | 0.651754 3.08997 | -458.216 -186.036
1.9747 -44.0181 | 0.785758 2.64732 | 1545.18 847.204
2.41932 -44.2235 | 0.954204 1.65382 | 3206.18 499.828
2.87854 -44.4005 | 1.25692 0.318833 | 1771.98 -1109.33
3.34695 -44.5574 | 1.22659 -0.624612 | -1327.7 -4763.71
3.81956 -44.703 | 0.541907 -1.3366 | -246.295 -2300.15
4.29847 -44.8287 | -0.156151 -2.10546 | 2425.61 2603.15
