-24.8484 22.2576 | 0.518645 1.31437 | -6256.71 -158.506
-24.3584 22.3083 | 1.48959 -1.65661 | -16193.7 743.358
-23.8825 22.3882 | 1.47684 -2.62237 | 12451.4 979.099
-23.4022 22.4904 | 0.273338 -0.509681 | 15262.7 -3386.97
-22.9134 22.6092 | 1.56259 1.02515 | 6916.13 1738.54
-22.4279 22.7618 | 1.98055 -2.96126 | -7286.37 10220.2
-21.964 22.9641 | 1.25903 -4.34511 | -10491.6 -5139.04
-21.5207 23.1897 | 0.317097 -0.625836 | -6092.56 -5051.34
-21.0855 23.4181 | 1.70722 2.61598 | 11349.8 -2702.78
-20.6405 23.6395 | 0.790897 1.21053 | 1416.26 5451.18
-20.194 23.8649 | -0.400532 -2.57925 | -6449.39 3122.34
-19.7491 24.0889 | -0.795016 -0.847471 | 7285.74 -2514.64
-19.2906 24.2894 | -1.31249 1.37934 | -5905.84 -3409.98
-18.8241 24.4589 | -1.06196 -2.23468 | -1362.35 -4055.09
-18.3487 24.5969 | 0.83666 -4.13626 | 7134.7 3360.44
-17.8625 24.7193 | 0.569176 -0.160872 | 8421.92 4835.07
-17.368 24.835 | 0.916806 -2.05254 | -7442.68 -3323.66
-16.8758 24.9401 | -0.948369 -1.24566 | -423.442 -1322.94
-16.3844 25.0406 | -0.49524 0.168651 | -5644.38 10751
-15.8962 25.1467 | 0.940157 -0.476194 | 6876.36 -6034.69
-15.4003 25.2239 | -2.60568 0.816199 | -8879.81 -3152.88
-14.9064 25.2638 | -2.75943 0.588715 | -7057.78 -3386.55
-14.4154 25.2693 | 0.86837 -0.358898 | 12346.5 5776.37
-13.9163 25.2572 | 1.06495 -2.72489 | 4841.9 791.91
-13.4134 25.222 | 0.697618 -2.29512 | 619.036 -2755.15
-12.9126 25.1548 | -1.39783 -3.54742 | -732.571 952.53
-12.4179 25.0573 | -0.931761 -2.99977 | -8460.81 -124.533
-11.9344 24.9278 | -2.0284 1.07371 | 18024.1 -4267.94
-11.4483 24.768 | -2.83654 0.271508 | -434.205 6724.38
-10.974 24.5826 | 3.8273 0.469403 | -21341.6 4215.11
-10.5357 24.3534 | 3.51781 1.6722 | 5488.33 -6514.97
