5.55695 60.4074 | 3.31542 -0.404579 | -5397.88 7571.54
5.94001 60.0935 | -1.11087 -0.794305 | -3733.29 5272.32
6.34164 59.812 | -5.04958 -1.90749 | 6882.58 -8905.61


12.7477 -13.8709 | 1.67845 -4.61416 | -4944.4 -1773.05
13.2322 -13.7605 | -1.34981 0.702024 | 11367.3 2486.7
13.7296 -13.6715 | -1.68804 3.02725 | 3964.37 -501.976
14.2347 -13.607 | -2.06422 3.04653 | 59.6662 2223.92
14.7418 -13.5664 | -4.1652 2.63142 | -10051.8 -7547.82
15.2428 -13.5582 | -1.41983 2.24489 | -5895.88 9561
15.7394 -13.563 | 0.937959 1.8107 | 7531.52 916.053
16.2393 -13.5995 | 1.59391 0.783947 | 3375.93 -5192.04
16.736 -13.6903 | 0.00073729 0.0309803 | 2978.86 -4292.18
17.2212 -13.8389 | -0.209726 3.58218 | -7090.64 1897.04
17.6852 -14.0355 | -3.52327 -0.911369 | 4483.88 -5400.12
18.1338 -14.2745 | -3.49435 -0.0270412 | 6440.49 3826.34
18.5714 -14.5388 | -0.0472906 2.3618 | -3779.69 -234.762
18.987 -14.8331 | 1.65072 -0.970918 | -4503.04 -4100.84
19.3763 -15.1587 | 1.0477 -2.59006 | 3432.58 10003.3
19.7478 -15.4984 | -0.45863 -1.72069 | -10635.2 2024.68
20.0831 -15.8643 | -1.75747 -4.3338 | -4958.66 -4896.61
20.3869 -16.2563 | 0.980574 -0.689084 | 5719.69 2950.42
20.6848 -16.6541 | 1.45587 0.929354 | 3668.33 748.549
20.9829 -17.0531 | 0.738499 0.858169 | -3431.91 505.127
21.2756 -17.4551 | 3.59781 4.41281 | 3521.11 -3835.46
21.5696 -17.8614 | 2.6183 3.4779 | 1435.4 -7763.91
21.8669 -18.2714 | 1.58601 0.396223 | 1666.4 7549.03
22.1757 -18.6694 | 3.23567 -1.89315 | -38.5117 -399.975
22.4912 -19.0614 | 1.90841 -3.20346 | -6732.41 -2296.5
22.8075 -19.4496 | -0.583101 1.54414 | -114.415 6117.92
23.1387 -19.8195 | -0.476492 1.29387 | -4230.97 307.107
23.4872 -20.1682 | -0.643367 0.84571 | -3122.28 5546.28
23.8607 -20.4839 | 0.0279033 2.67259 | 2613.82 -6217.89
24.2643 -20.7676 | 0.729321 0.169144 | 8469.69 -3918.93
24.7031 -21.0079 | 0.323406 -0.151424 | 5866.39 10004.5
25.1697 -21.1939 | -0.181618 1.528 | -7468.56 -12758.5
25.6416 -21.3598 | -1.18781 -0.356303 | -5278.75 6045.8
26.1197 -21.4875 | 2.28752 -0.267953 | -2910.02 -2586.24
26.6041 -21.5779 | 4.08305 2.45628 | 2656.14 173.905
27.0972 -21.6218 | -1.67901 -2.10903 | 7795.26 4826.36
27.5982 -21.6142 | -2.26303 -1.59041 | 3434.7 -2892.68
28.1005 -21.5722 | 0.311023 3.49132 | -4382.58 -1265.68
28.5968 -21.5015 | 2.11688 0.655578 | -454.716 5211.36
29.0878 -21.4037 | 1.64239 -0.400745 | -3062.75 -12530.7
