-13.878 34.0608 | 3.31146 -2.59616 | 523.212 -855.601
-13.5776 33.668 | 4.84014 -1.36476 | 86.6319 -1531.72
-13.2769 33.2737 | 5.30934 -0.350826 | 921.714 -1905.79
-12.9712 32.8807 | 3.83178 -0.499538 | 1636.24 -1977.93
-12.655 32.4931 | 1.98013 -1.27893 | 1022.94 -2361.67
-12.3233 32.1157 | 0.384418 -2.28877 | 1396.34 -979.83
-11.9698 31.7563 | -0.0073898 -2.64725 | 1525.21 -415.482
-11.5899 31.4235 | 1.05989 -1.92612 | -47.5335 -348.618
-11.1821 31.1258 | 2.20785 -0.890073 | -1620.47 1912.53
-10.746 30.8758 | 2.57161 0.0840353 | -608.531 2856.34
-10.283 30.6845 | 2.26699 0.440297 | -75.6955 1793.75
-9.79964 30.5553 | 2.3668 1.0326 | -1191.03 1248.98
-9.30529 30.4845 | 2.61173 1.85176 | -2397.28 -666.019
-8.80791 30.463 | 2.42908 1.48065 | -1204.22 -1902.19
-8.3113 30.4831 | 1.9675 0.0271164 | 1085.36 -1785.02
-7.81727 30.5432 | 1.37308 0.219191 | 1262.51 357.92
-7.32952 30.6475 | 0.704882 1.75448 | 1601.56 -2.89513
-6.8528 30.7979 | -0.261398 3.48544 | 434.146 -801.232
-6.39404 30.9958 | -1.26829 4.27199 | -2826.77 76.8059
-5.96286 31.2443 | -2.22539 4.66637 | -1737.48 688.267
-5.56399 31.5407 | -3.50781 5.42248 | 580.449 1803.35
-5.19585 31.8768 | -4.32308 5.54792 | 1385 1932.61
-4.85201 32.2409 | -4.79733 5.26271 | 2912.97 -203.063
-4.52308 32.6208 | -4.76711 4.41716 | 1907.17 -1045.83
-4.20554 33.0111 | -4.85227 4.00475 | -1637.62 1850.38
-3.90158 33.4129 | -4.52909 4.02251 | -243.612 1568.62
-3.60542 33.8216 | -3.60986 3.85606 | 2706.12 -862.882
-3.30782 34.2302 | -3.57291 3.73843 | -592.554 781.402
-3.00829 34.6375 | -3.4783 3.2281 | -615.303 -1480.65
-2.70371 35.0393 | -2.03515 1.98666 | -404.62 -3180
-2.39172 35.4325 | -0.898869 0.936888 | -2519.37 164.731
-2.07391 35.8193 | -1.13969 0.7899 | 725.288 502.139
-1.74508 36.1975 | -2.49232 1.74712 | 982.93 384.132
-1.40216 36.5635 | -3.68206 2.83523 | -773.034 -1962.6
-1.04522 36.9137 | -4.32731 3.13546 | -1275.86 -2171.66
-0.675862 37.248 | -5.1228 3.13898 | -1132.03 1367.46
-0.296181 37.5704 | -5.00013 2.41461 | 93.0953 2698.04
0.0958559 37.8799 | -4.27721 1.98246 | 1277.16 743.822
0.505232 38.1682 | -3.37074 1.75222 | 154.33 -1926.35


9.78169 -21.0712 | 3.82911 0.022328 | 848.13 1045.71
10.1817 -21.3708 | 2.43844 -1.02554 | -1548.65 -146.548
10.5979 -21.6456 | 1.13309 -2.38059 | -2899.79 -762.96
11.028 -21.8944 | 0.856709 -2.42942 | -1713.67 32.2125
11.474 -22.11 | 0.932065 -2.26763 | -244.34 117.198
11.9375 -22.2834 | 0.936229 -2.62823 | 1160.66 293.652
12.4173 -22.4075 | 1.05124 -2.64544 | 1413.42 166.678
12.9086 -22.4796 | 1.11628 -1.76635 | 220.349 -1126.38
13.4051 -22.5013 | 0.668805 -0.0999287 | -560.246 -485.428
13.9006 -22.4725 | -0.115977 0.972024 | -995.323 265.93
14.3898 -22.3935 | -0.608778 0.546274 | -816.634 796.612
14.8688 -22.2683 | -0.725106 0.15197 | 193.65 -143.425
15.337 -22.1068 | -0.479115 0.570681 | 936.904 -1774.65
15.7958 -21.9196 | 0.174758 0.760743 | 298.152 -1202.05
16.245 -21.7109 | 0.718525 0.670403 | -455.295 92.9997
16.6836 -21.481 | 0.196713 1.42341 | 392.154 1778.27
17.113 -21.2318 | -0.228167 1.50828 | 2367.76 1019.77
17.5376 -20.9706 | 0.350815 0.958339 | 1574.49 995.709
17.961 -20.7041 | 1.2549 0.749173 | -391.378 725.546
18.3856 -20.4395 | 1.99662 0.961221 | -1577.8 -869.016
18.8158 -20.1869 | 2.90881 0.825362 | -851.698 -2111.43
19.2563 -19.956 | 3.66992 0.313077 | -684.02 979.969
19.7089 -19.7506 | 3.76019 -0.195303 | 870.311 1600.97
20.1765 -19.5784 | 3.46928 -1.31397 | 2655.73 -580.59
20.6603 -19.4516 | 2.62398 -1.49311 | 2479.9 -1279.7
21.1568 -19.3769 | 1.68158 -1.33952 | 1339.27 -1275.4
21.6598 -19.354 | 0.88274 -1.96338 | -365.125 -244.892
22.1626 -19.3774 | 0.430926 -1.17123 | -1906.36 -121.574
22.6606 -19.4403 | 0.518489 0.923357 | -1367.48 2252.77
23.1522 -19.5353 | 0.752181 2.48858 | 116.233 1733.35
23.6361 -19.6627 | 0.719266 2.58142 | 1236.86 -1185.4
24.1093 -19.829 | 0.15998 2.0528 | 1365.91 -2452.99
24.5681 -20.0368 | -0.866698 1.36378 | 1090.3 -2343.6
25.0104 -20.2822 | -2.20665 0.0984266 | 2130.53 -2087.86
25.4386 -20.5568 | -3.19213 -0.781418 | 3038.17 -1187.17
25.8566 -20.8517 | -3.33668 -0.684121 | 2369.7 716.999
26.2663 -21.1604 | -2.42785 0.159004 | -159.458 689.64
26.6641 -21.4836 | -1.08211 0.814726 | -2345.41 -166.393
27.0446 -21.8246 | -0.00235378 1.72254 | -2397.39 -429.989
27.4063 -22.1835 | -0.131839 2.32521 | -2539.32 -342.618
27.7513 -22.5559 | -0.15414 2.87342 | -1298.24 3630.87
28.0869 -22.9323 | 0.3876 3.28087 | -2547.11 3907.32
28.4164 -23.3087 | 0.361119 3.05392 | -2140.76 2213.19
28.7425 -23.6842 | 0.0793658 2.70318 | 315.015 1839.23
29.0685 -24.0581 | -0.346913 2.31257 | -360.816 -1285.27
29.3935 -24.434 | -1.00888 2.03669 | 1372.31 -3465.45
29.7204 -24.8126 | -1.16382 2.34429 | 3094.14 -4743.41
30.055 -25.1908 | -1.1152 2.48398 | 1810.81 -2870.56
30.403 -25.5609 | -0.937953 2.27189 | 1251.97 1609.99
30.7708 -25.9118 | -0.515486 2.13061 | 304.164 1381.29
31.1603 -26.2378 | -0.523813 2.0629 | 878.57 1108.63
31.5711 -26.5361 | -0.752569 2.5114 | 27.1874 646.022
32.0002 -26.807 | -0.885446 2.9215 | -1069.14 -312.429
32.444 -27.0516 | -0.828531 3.10354 | -491.309 396.348
32.9016 -27.2675 | -0.880485 3.36356 | -1594.57 -177.938
33.3711 -27.4519 | -0.925224 3.56595 | -2803.4 709.583
33.851 -27.5978 | -0.904969 2.87139 | -2288.54 1390.34
34.34 -27.6973 | -0.640677 2.22466 | -1831.81 -523.607
34.8344 -27.7461 | -0.283041 1.59833 | -2118.79 1142.64
35.329 -27.7381 | 0.203753 0.0667828 | -1680.61 2130.59
35.8184 -27.6744 | 0.746887 -1.01554 | 683.724 -1375.36
36.3011 -27.5683 | 0.943429 -0.517649 | 2929.9 -1417.25
36.7777 -27.4295 | 1.36039 0.105924 | 1911.39 1905.97
37.2471 -27.2612 | 2.02005 0.695329 | 100.583 2222.65
37.7099 -27.0725 | 2.36651 1.43829 | 1460.87 -849.634
38.1721 -26.8796 | 2.52869 2.03545 | 1664.04 -1481.65
38.6379 -26.6937 | 2.38388 1.98419 | -490.155 232.48
39.1079 -26.5194 | 2.03621 0.395668 | -643.905 -2.92612
