33.8931 -54.3664 | -0.362021 -3.06404 | -7821.9 -3326.35
34.245 -54.7188 | -0.643744 -0.60084 | 4611.16 3600.32
34.6293 -55.0358 | -0.731717 -1.59268 | 980.943 -1589
35.0422 -55.3147 | 0.595752 0.730722 | -11421.4 418.347
35.4748 -55.5488 | 0.512814 -0.237262 | 7855.83 6176.87
35.9391 -55.7211 | 0.878494 -1.71686 | 10214 -6782.37
36.427 -55.8487 | 0.292771 0.260949 | -1239.61 -995.571
36.9249 -55.9341 | -0.776985 3.33872 | 81.2927 -446.135
37.4278 -55.9767 | -1.30746 3.38453 | -4279.54 -1751.73
37.9297 -55.9734 | -1.10666 -0.699686 | 1693.13 9897.22
38.429 -55.9131 | 0.67679 -0.105013 | -684.009 -1627.38
38.9234 -55.8236 | 0.540516 -0.0690696 | -2736.71 -8803.6
39.414 -55.7262 | 1.78119 -2.57518 | 7331.83 1646.92
39.9047 -55.6085 | 1.43564 -1.90603 | -2893.75 4924.96
40.3864 -55.4611 | 0.146185 -2.12037 | -2945.33 -3927.71
40.8591 -55.2944 | -0.153346 -1.41787 | 2000.78 3412.72
41.3249 -55.106 | -0.239103 -2.3817 | -2002.55 -2916.63
41.7828 -54.9048 | 0.0387159 -4.80655 | -1946.83 -2715.44
42.2322 -54.6913 | 0.498403 -3.90723 | -2939.01 1924.52
42.6709 -54.4595 | 2.00009 -1.7803 | 3220.97 1964.84
43.1049 -54.213 | 1.79533 -0.98694 | 3722.57 1466.19
43.5372 -53.9584 | -0.920394 -0.313708 | -6129.74 441.901
43.965 -53.7022 | 0.673465 1.52371 | -224.557 -3042.78
44.3988 -53.4587 | 2.22577 0.95332 | 3454.53 4206.44
44.8449 -53.2327 | -2.61306 3.13676 | -3962.8 -3939.46
45.3033 -53.0406 | -2.26146 1.61333 | 2772.05 -3926.17
45.7771 -52.888 | 0.252391 -0.160067 | 1492.79 3966.99
46.2605 -52.7623 | 0.227089 2.82995 | -2311.26 2020.53
46.7493 -52.6635 | 0.161286 -0.750461 | 2139.5 -2162.8
47.2447 -52.5998 | -1.43351 -2.85584 | -2097.3 -4248.67
47.7418 -52.5689 | -2.32269 0.369907 | -50.6501 5088.47
48.24 -52.5513 | -3.15165 0.61079 | 4664.67 2752.1
48.7417 -52.5469 | -3.22153 0.124694 | 77.7086 -1506.18
49.2434 -52.5661 | -0.510595 0.543766 | -2913.89 1111.19
49.741 -52.6123 | -0.149509 3.95142 | -1571.46 -2029.26
