33.5826 -50.2429 | 3.24836 3.22728 | 7320.16 -5353.06
33.9883 -50.5542 | 2.05135 0.410383 | -7732.2 10169.6
34.4078 -50.8337 | 1.91903 1.68089 | -4693.77 -6180.64
34.8401 -51.0909 | 0.210492 1.92692 | 9738.3 4581.8
35.299 -51.3071 | 0.539307 3.82626 | 519.144 183.583
35.7735 -51.4879 | 1.51299 0.98158 | -5478.66 2001.27
36.2541 -51.6399 | 1.03534 3.18664 | 65.7087 -1642.45
36.7402 -51.7728 | 1.49259 6.63059 | 2654.14 -2616.82
37.2319 -51.8891 | 1.54783 1.13828 | -6938.55 -184.866
37.7231 -51.9828 | 1.87972 2.58203 | -7209.6 2702.02
38.2138 -52.0429 | 0.235759 2.00062 | 3948.11 -1350.31
38.7096 -52.0667 | -1.35035 0.598693 | 3323.71 5659.08
39.2076 -52.0482 | 1.20721 0.37405 | -5428.17 -7135.23
39.6998 -52.0062 | 1.84803 0.895916 | -4771.49 -4890.61
40.184 -51.9337 | -1.01529 2.76844 | 285.589 10736
40.6582 -51.8088 | -1.21039 -0.350141 | -1784.36 -3064.3
41.1237 -51.6566 | -0.563183 -0.380708 | 6982.28 -2435.4
41.5901 -51.4925 | 2.00555 -0.346632 | 7720.74 983.095
42.0576 -51.3164 | 0.50978 -0.629332 | -7749.18 727.491
42.5146 -51.1266 | -2.16374 -1.45282 | -5975.45 -4574.24
42.964 -50.9317 | -1.21863 -0.552566 | 3179.92 1971.49
43.4141 -50.73 | 1.66872 0.253711 | 14738.1 4436.59
43.8736 -50.5226 | 1.86466 2.95265 | -1146.03 753.297
44.3318 -50.3108 | 1.54731 2.00289 | -5138.57 -1560.12
44.7855 -50.097 | 2.27719 -0.80764 | 2922.82 992.71
45.2398 -49.883 | 1.85862 1.324 | -7832.64 -1239.2
45.6905 -49.673 | 0.54521 -0.463832 | 749.675 -307.552
46.1466 -49.4744 | 0.100771 -0.725309 | 5487.43 2017.57
46.6139 -49.293 | 0.945906 1.19341 | -1387.83 -1908.53
47.0895 -49.1369 | 1.4241 0.744576 | -94.6143 1107.92
47.5734 -49.0068 | 2.96503 1.09432 | 2671.84 -1822.26
48.0663 -48.9075 | 3.57028 1.8926 | 3026.32 -1512.47
48.5654 -48.8349 | 1.62367 2.80267 | -3980.82 3329.02
49.0631 -48.7772 | -0.554284 3.55436 | -10106 3654.76
49.5554 -48.7366 | -0.825353 1.41305 | 1077.93 -3070.67
50.0488 -48.7322 | 0.687175 3.27991 | 1519.16 -628.974
50.5415 -48.769 | 1.67746 -0.659654 | -3615.53 73.2778
51.0279 -48.8467 | 1.97886 -1.39668 | 7308.12 2474.24
51.5116 -48.9615 | 1.77242 0.568502 | 1653.9 -5112.25
51.985 -49.1215 | 0.420481 2.31777 | -1351.89 1510.2
52.4446 -49.3151 | 0.796847 3.46081 | -3188.5 -1777.09
52.8904 -49.535 | 1.30906 2.02906 | 480.818 5475.4
53.3309 -49.764 | 1.38254 -0.0615977 | 8855.73 -2684.2
53.7717 -50.0056 | 0.777229 0.721201 | -1583.5 -6951.7
54.2045 -50.2639 | 0.307067 1.87418 | -5839.27 10741.8
54.6321 -50.5179 | 0.667998 0.227457 | 165.09 -3265.37
55.0585 -50.776 | -0.618727 -2.4475 | 3696.97 -6644.66
55.4902 -51.0355 | -1.05587 0.135961 | 9981.29 3932.35
55.9376 -51.2784 | -0.0978289 0.213275 | -1991.23 -3739.25
56.3897 -51.5115 | 2.29831 -2.58326 | -13876.1 541.763
56.8416 -51.7254 | 2.78937 -2.02404 | 7591.75 9150.39
57.312 -51.8971 | 0.788169 -1.32798 | 317.001 528.151
57.7912 -52.0407 | -0.00868692 -0.26368 | -10316.5 -5719.63
58.2676 -52.173 | 0.623509 -0.807802 | -792.572 2165.64
58.748 -52.2823 | 2.23726 -1.27447 | 1236.14 -1465.31
59.235 -52.3648 | 1.69652 -1.76627 | 3574.29 -3396.6
59.7296 -52.4135 | 1.07739 -2.29531 | 3523.54 7699.58
60.2281 -52.411 | 3.53326 0.612417 | -8963.67 -6690.62
60.7191 -52.3735 | 2.33967 1.01814 | -1279.66 -4986.8
61.2031 -52.2938 | -0.350358 0.770784 | 4618.08 9349.01
61.6767 -52.1491 | 0.576549 -2.00093 | 4151.85 -63.4292
62.136 -51.9544 | 2.99771 -2.17429 | -826.775 1952.16
62.5771 -51.7213 | 0.701914 1.02756 | -3515.92 -8072.28
63.0023 -51.4699 | -0.633201 1.57822 | -910.699 -1692.77
63.4126 -51.1984 | 0.624001 1.98428 | 6227.05 5960.9


-27.4251 -37.7476 | -0.633155 1.301 | 3971.97 5037.01
-26.9636 -37.543 | -1.363 -0.352188 | -587.948 -10333.9
-26.4974 -37.3586 | 1.81239 -2.11952 | -5231.96 8952.5
-26.0333 -37.1754 | 2.08237 -3.36228 | -4137.54 -8796.58
-25.5664 -37.0132 | -0.132397 -0.234768 | 2689.79 2801.41
-25.0937 -36.863 | -1.12122 0.17622 | 160.322 7269.76
-24.6162 -36.7239 | -1.2567 -0.574047 | -3917.59 -5008
-24.1319 -36.622 | 2.30332 1.80774 | 8686.21 -697.799
-23.6355 -36.5648 | 0.992988 0.42846 | -4225.12 -1194.35
-23.1382 -36.5524 | -1.11568 -0.809618 | -1947.23 2184.87
-22.6432 -36.5787 | -0.568883 1.78416 | -737.534 134.614
-22.1522 -36.6448 | -0.33415 0.69631 | 1153.51 -2247.31
-21.6658 -36.7498 | -2.47562 -1.90004 | 13516.8 4616.96
-21.1789 -36.8848 | -3.21376 1.42692 | -8855.24 -3301.79
-20.7117 -37.065 | -3.04778 1.53422 | -6714.95 -2199.37
-20.2673 -37.286 | 0.187405 0.879496 | 3142.08 6603.39
-19.8354 -37.5273 | -1.03265 1.60627 | -3966.32 7666.73
-19.4221 -37.7909 | -1.58024 2.01225 | -1053.11 -15455.2
-19.0336 -38.098 | 0.12341 2.7747 | 5058.37 3278.64
-18.6528 -38.4173 | 2.05504 3.46642 | 2103.37 8228.37
-18.2742 -38.736 | 3.02389 2.53692 | -6546.16 -9217.29
-17.9072 -39.0681 | 2.87105 1.04505 | 4538.28 11712.2
-17.5341 -39.3904 | 2.32298 -0.668476 | 2505.12 -9808.77
-17.1613 -39.7219 | 2.02506 -0.479184 | 764.343 -3837.44
-16.7875 -40.057 | 2.32522 -0.107059 | 4547.57 4298.85
-16.4053 -40.3832 | -0.895832 -1.55467 | -2384.09 2567.47
-16.0234 -40.7062 | -3.1696 -1.7158 | -9741.89 -6801.78
-15.6484 -41.0362 | 0.0444674 -2.31381 | 16694.7 -3319.6
-15.2499 -41.354 | 2.85701 -2.68109 | 4043.78 1876.5
-14.8335 -41.6518 | 2.06838 -0.636484 | -9590.28 748.475
-14.4129 -41.9336 | 2.06273 3.04905 | -4600.58 -1695.05
-13.9816 -42.1934 | -0.180861 0.0591725 | 4224.91 2823.54
-13.5256 -42.4105 | -1.70375 -2.04603 | 9070.39 3826.44
-13.0438 -42.5762 | -2.8297 0.714487 | -6808.06 -2011.58
-12.5538 -42.702 | -3.21423 -1.06048 | -5261.77 1908.6
-12.059 -42.7864 | -1.40328 -2.06869 | 6104.18 6036.57
-11.5568 -42.8316 | -2.77947 3.30633 | -7223.37 -10603.2
-11.0578 -42.8649 | -2.75983 1.77662 | -1076.5 200.419
-10.5596 -42.8708 | -1.37721 0.981357 | -3090.41 5643.06
-10.0654 -42.8351 | -1.42466 1.39143 | -4443.97 -3270.04
-9.57659 -42.7681 | -0.734894 1.52202 | 11568.4 5022.7
-9.08469 -42.6695 | -0.715797 -0.843031 | 3127.01 -3422.15
-8.59334 -42.5538 | -2.34922 -2.21889 | 1257.81 -1539.71
-8.10568 -42.4201 | -3.59517 -0.212828 | -1107.18 3545.13
-7.62721 -42.2605 | -1.10533 -1.32918 | -11963.7 -2068.45
-7.16386 -42.0825 | -1.03848 0.432926 | 4211.97 -894.032
-6.70294 -41.8959 | -3.10362 0.646092 | -2802.67 -3297.01
-6.24471 -41.7058 | -3.2739 0.865865 | 7238.31 8231.92
-5.78246 -41.506 | -2.92477 0.87444 | 11117.5 -1459.77
-5.31065 -41.3117 | -2.21977 0.815736 | -8660.51 -2405.51
-4.84328 -41.1223 | 1.58765 -0.057465 | -8238.57 -1126.5
-4.38193 -40.9371 | 1.96914 -0.129154 | -3809.61 -6823.16
-3.92199 -40.7614 | 0.835204 0.305946 | 2503.37 6164.61
-3.46138 -40.5798 | 1.80701 2.14814 | 5869.64 1573.05
-2.9971 -40.3974 | -0.393665 2.48121 | -9860.63 584.494
-2.53623 -40.22 | 1.24093 0.788867 | 2596.72 -70.9601
-2.06578 -40.0626 | 2.5289 -0.738591 | 11822.1 205.232
-1.57655 -39.9369 | 1.87572 1.33918 | 8211.96 2943.06
-1.07303 -39.8456 | 2.97343 -0.102493 | -2254.84 -4756.42
-0.567254 -39.7984 | 1.00181 -2.70762 | -25862.3 -592.289
-0.0772121 -39.7891 | 0.178445 -2.18893 | 2239.14 1621.25
0.411968 -39.8123 | 0.931438 2.14221 | 8522.42 -3303.56
0.905006 -39.8672 | 0.362672 0.23778 | 4502.15 9816.55
1.39915 -39.9399 | -0.417716 -1.72113 | -358.186 -9403.95
1.88625 -40.0559 | 0.285278 0.762431 | -2867.04 -988.021
2.36373 -40.2029 | 0.362378 0.202429 | 4974.59 5463.44
2.83835 -40.3632 | 1.86106 -0.499417 | -4508.22 -728.153
3.30319 -40.5426 | 0.55748 1.47491 | -657.639 6749.65
3.75903 -40.7392 | -0.0737694 1.28851 | 4542.93 -9372.01
4.20183 -40.9747 | -0.925156 -0.913315 | -2204.54 -2490.54
4.6274 -41.2407 | -0.761013 -2.33428 | 998.819 4087.28
5.04315 -41.5207 | 0.305532 -0.0510226 | 565.305 -2283.93
5.4511 -41.8129 | 1.56688 0.524589 | -7476 -3985.06
5.85338 -42.1082 | 0.261117 1.33743 | 10027.2 14299.4
6.27372 -42.3753 | -0.30807 1.9104 | -8000.57 1822.95
6.69192 -42.6379 | -0.840446 -0.536605 | -441.677 -14323.5
7.1053 -42.918 | -1.58099 1.14482 | 12188.2 -1475.46
7.53162 -43.1915 | -3.08241 -0.30187 | -8124.5 6572.11
7.96356 -43.4444 | -2.20943 -2.85825 | 490.357 3676.66
8.40535 -43.6758 | -2.67307 0.131029 | 1557.96 1284.53
8.85283 -43.8961 | -2.87316 0.864018 | -6106.84 -7567.58
9.29699 -44.1223 | -1.91966 0.726845 | 6553.12 -8579.8
9.75212 -44.3402 | 1.09919 4.1475 | 1443.91 14887.7
10.2255 -44.5115 | 1.99899 -0.13173 | 6408.52 -5509.89
10.7137 -44.6542 | -0.496654 0.658313 | -2020.79 -4196.76
11.208 -44.7701 | 0.101195 5.08866 | -8132.12 6549.66
