-18.7739 60.9333 | -2.57452 -2.54775 | 5697.61 3667.94
-18.3237 60.7082 | -1.33903 1.40096 | 4307.92 -1707.38
-17.8766 60.473 | 1.69704 -0.289057 | -15125.8 -145.213
-17.4467 60.2261 | 3.48178 2.78276 | -4673.16 7445.87
-17.0208 59.985 | -0.354892 -1.01445 | 4327.11 -3648.06
-16.589 59.749 | -1.3859 -2.76301 | -443.808 4030.81
-16.1503 59.5272 | 0.0551621 -2.04588 | 4343.18 -7368.14
-15.7042 59.312 | -1.13627 -2.99292 | -10192.6 130.108
-15.2545 59.1179 | -0.790378 -0.211571 | 2013.64 4543.19
-14.7874 58.9672 | 0.277069 0.820022 | 19083.2 117.717
-14.2962 58.8602 | -0.00225344 -3.651 | -10566.9 -3694.26
-13.804 58.7819 | -0.88051 -5.7237 | -330.857 -2992.23
-13.3085 58.7337 | 0.316743 -2.63321 | 3360.94 2447.71
-12.8097 58.7288 | 0.296403 -1.39571 | -6582.23 -3327.25
-12.3176 58.7685 | 0.177688 -2.48012 | -4647.67 4648.34
-11.8378 58.8639 | -0.626207 -1.69659 | -7502.28 -4716.4
-11.3742 59.0001 | 1.00648 -4.59043 | 3182.54 -3328.11
-10.9209 59.1705 | 2.642 -6.43473 | 3907.73 3827.33
-10.4789 59.3786 | 1.21077 -2.94468 | 1438.68 3189.07
-10.0468 59.6147 | -0.105499 -0.495631 | 14423.1 1633.56
-9.6117 59.8622 | 1.90027 -2.72959 | -9912.62 -10502.1
-9.1885 60.1129 | 1.95874 -1.40986 | -6309.58 -1546.35
-8.78242 60.3817 | 0.392201 0.456062 | 7939.49 1806.94
-8.38994 60.6769 | -0.256789 -0.0819044 | -4414.36 4635.85
-8.02426 61.0071 | 0.745012 -1.80136 | 6204.52 9014.68
-7.67369 61.3638 | -0.211529 -4.46341 | -72.1294 -3814.39
-7.32791 61.7234 | -0.247487 -3.95704 | -7207.87 -2644.95
-6.97924 62.0738 | 1.44378 -1.62127 | 11333.3 -2193.31
-6.60411 62.4008 | 1.72256 0.0201398 | -2648.61 -5067.2
-6.21583 62.7085 | 1.22743 0.435814 | -4155.26 9480.71
-5.82453 63.0161 | 1.08561 -1.268 | 7924.97 2344.59
-5.41665 63.3103 | 1.46155 -6.23623 | -608.896 -3015.8
-4.99459 63.5809 | 0.957421 -1.41447 | -7199.93 -2960.66
-4.56407 63.8262 | 0.98275 -0.144658 | -5273.23 -1484.44
-4.12292 64.0447 | -1.2048 0.0928292 | 12849.9 4226
-3.66026 64.2356 | -2.21084 0.710557 | -5049.31 1581.82
-3.18761 64.3962 | -0.20433 -2.53202 | 1220.98 -1506.89
-2.70245 64.5161 | -1.14249 0.360955 | 3815.94 2305.87
-2.20618 64.5922 | -3.14048 2.95106 | -4855 -5365.08
-1.70752 64.6145 | -1.6654 1.09547 | 2927.44 -1646.09
-1.20733 64.5943 | -1.03566 0.158486 | -375.337 3444.98
-0.710207 64.5502 | -1.02421 -1.01994 | -12874.7 264.561
-0.223461 64.4887 | 1.09951 -1.97803 | 7186.28 8419.77
0.264752 64.4199 | 0.95886 -3.4999 | -2670.14 -2086.16
0.746209 64.3194 | 0.953636 -4.99264 | -1217.73 -4103.13
