30.0183 61.5236 | -1.07592 -1.83936 | 68.2524 -2939.89
30.4411 61.7935 | -1.52297 -1.99615 | -1056.99 133.353
30.8924 62.0101 | -1.76391 -2.26944 | -1118.94 1371.88
31.3665 62.1689 | -1.68485 -2.33317 | 206.887 -1227.05
31.8577 62.2597 | -1.37189 -1.82145 | 684.996 -3135.63
32.3574 62.2785 | -1.01249 -0.901153 | 49.8556 -1150.99
32.856 62.2353 | -0.843098 -0.326816 | -257.726 2505.54
33.3484 62.1462 | -0.922784 -0.345285 | -237.176 2610.16
33.8314 62.0179 | -0.867824 -0.0932502 | -731.669 -523.081
34.3006 61.8481 | -0.39363 0.584654 | -965.388 -866.279
34.7526 61.6383 | 0.177901 0.927745 | -201.56 2221.53
35.1863 61.3954 | 0.353544 0.515903 | -673.331 2525.68
35.5981 61.1207 | 0.296055 -0.0864613 | -2074.91 246.911
35.9817 60.8106 | 0.505576 -0.146461 | -1553.38 -830.801
36.3349 60.4671 | 0.616949 -0.0932775 | 6.05989 -1375
36.663 60.098 | 0.312491 -0.268146 | 1468.2 -1348.71
36.9766 59.714 | -0.267136 -0.68674 | 2581.73 -652.474
37.2873 59.3253 | -1.16545 -1.43813 | 2043.27 -819.812


1.57708 60.3704 | 3.30023 0.904999 | -636.6 -2161.04
1.63111 60.8651 | 2.97687 0.429624 | -40.1077 -908.761
1.69415 61.3581 | 2.26587 -0.173023 | -326.514 77.7484
1.77182 61.849 | 1.83579 -0.789868 | -78.398 536.222
1.87042 62.3365 | 1.59841 -1.20877 | 564.529 596.576
1.99602 62.8184 | 1.3962 -1.3977 | 998.35 -27.6902
2.15186 63.2916 | 1.45254 -1.55714 | 420.791 -846.387
2.33635 63.7538 | 1.74044 -1.78417 | -926.245 -535.287
2.54462 64.2053 | 1.96768 -1.99074 | -962.363 542.518
2.77375 64.6466 | 2.04639 -2.16087 | -806.932 1603.89
3.02399 65.0773 | 1.62157 -2.1402 | -602.112 1671.06
3.29936 65.4934 | 0.731467 -1.80767 | -133.55 722.015
3.6066 65.8869 | 0.0309454 -1.37421 | 249.033 -435.694
3.95166 66.247 | -0.436221 -0.851483 | -71.5579 -721.708
4.33615 66.5634 | -1.02128 -0.0387532 | -219.547 -888.378
4.75746 66.8271 | -1.62975 0.889201 | -122.171 -1066.55
5.20929 67.0328 | -1.9935 1.60592 | -236.465 -298.948
5.68286 67.1811 | -2.01693 2.05329 | -150.166 50.1959
6.16985 67.2772 | -1.81574 2.44413 | -28.6798 -112.641
6.66376 67.3285 | -1.53568 2.55711 | 0.871954 -109.202
7.16025 67.3457 | -1.38728 2.34476 | 85.1035 865.383
7.65727 67.3412 | -1.42329 2.0562 | 491.47 1770.04
8.15451 67.3251 | -1.50221 1.52395 | 783.719 1460.16
8.65206 67.3007 | -1.43895 0.989956 | 626.099 -217.471
9.14962 67.2659 | -1.18037 0.685195 | 596.257 -1402.4
9.64693 67.2193 | -0.890221 0.712551 | 1078.87 -419.757
10.1446 67.1652 | -0.753213 1.27093 | 1404.11 777.228
10.6432 67.109 | -0.769301 2.27765 | 1263.91 810.243
11.1429 67.0523 | -0.842872 3.29763 | 1065 -179.457
11.6432 66.9929 | -0.905646 3.90546 | 740.953 -2005.18
12.1439 66.9285 | -0.897049 3.8209 | 545.394 -1634.43
12.6453 66.8635 | -0.681978 3.41063 | 820.699 660.498
13.1487 66.8086 | -0.313532 3.10863 | 944.039 1320.91
13.6545 66.7713 | -0.120749 2.52914 | 615.447 933.444
14.162 66.7541 | -0.152998 1.60461 | 383.333 -277.185
14.6702 66.7562 | -0.232321 1.02898 | 412.16 -1089.92
15.1783 66.7788 | -0.319549 1.29599 | 282.447 -971.446
15.6845 66.8277 | -0.512408 2.39276 | -391.994 346.484
16.1851 66.9141 | -0.811467 3.44379 | -1816.51 2530.59
16.6737 67.0485 | -1.02751 3.76374 | -2748.51 3135.71
17.1446 67.2316 | -0.961118 3.25759 | -2183.09 1288.56
17.598 67.4518 | -0.620828 2.20672 | -885.431 -1186.52
18.0398 67.6916 | -0.25832 1.23228 | 61.2747 -2757.05
18.4771 67.9368 | -0.00149085 0.591136 | -149.382 -2462.04
18.9128 68.1823 | 0.244391 0.285523 | -567.754 -1749.46
19.3461 68.4294 | 0.732975 0.126725 | -842.845 -963.436
19.7739 68.6838 | 1.39557 0.197202 | -1042.96 284.522
20.1923 68.9519 | 1.83983 0.869535 | -987.763 1449.59
20.5993 69.2371 | 2.02941 1.87742 | -638.868 1942.3
20.9969 69.5362 | 2.23053 2.67888 | 1095.79 419.829
21.3925 69.8396 | 2.36483 3.24068 | 1689.8 -141.843
21.7929 70.1388 | 2.11381 3.70978 | 1113.91 349.306
22.2016 70.4285 | 1.51148 4.14879 | 1446.23 -67.3173
22.621 70.7045 | 1.15682 4.18481 | 1528.69 -320.727
23.0512 70.9655 | 1.34971 3.61274 | 656.597 282.743
23.49 71.2133 | 1.81614 2.94217 | 220.881 832.343
23.9355 71.4504 | 2.46061 2.12894 | 657.364 789.022
24.3872 71.6773 | 2.91066 1.31576 | 1023.04 485.787
24.8456 71.8928 | 2.85229 0.758783 | 752.544 362.071
25.3107 72.0956 | 2.27689 0.989634 | 648.222 318.845
25.7827 72.2839 | 1.66252 1.89011 | 741.417 547.122
26.2618 72.4556 | 1.28546 2.76139 | 438.667 171.445
26.7483 72.6063 | 1.05469 3.0329 | -254.182 -1144.66
27.2417 72.731 | 0.894779 2.75076 | -797.438 -1882.23
27.7403 72.827 | 0.752469 2.58502 | -780.977 -1304.59
