-25.2718 -91.1003 | 6.17611 4.37767 | 3706.5 -10969.4
-24.8945 -91.4384 | -0.667246 1.17336 | 10461.3 1158.26
-24.4954 -91.7539 | -2.25736 -0.713264 | -22910.4 25103.9
-24.1013 -92.0393 | -2.13971 1.87148 | -11494.1 -16841.9
-23.716 -92.3369 | -2.49392 1.29668 | 29254.1 -13891.3
-23.2951 -92.6184 | -3.02367 -3.71202 | -6444.8 21683.9
-22.8536 -92.8448 | -0.154666 4.45033 | -31491.6 -1930.53
-22.4157 -93.0457 | -0.112227 1.05841 | 51143.5 -16369.8
-21.931 -93.2179 | 4.83717 5.23122 | -10963.4 1432.36
-21.4355 -93.3415 | 7.2151 -4.59122 | -11043 2877.16
-20.9359 -93.3972 | 1.92563 -0.561354 | 12337.2 16215
-20.4291 -93.3684 | 6.68888 5.69068 | -20836 -10944.6
-19.938 -93.3022 | 2.83035 0.931352 | 10000.1 3054.73
-19.4471 -93.2066 | -0.0860665 -6.33857 | 3750.44 -22989.2
-18.9604 -93.099 | 0.172671 4.56002 | -23337.5 34505.4
-18.5063 -92.9085 | -3.11238 -2.39611 | 27210.2 -11812.8
-18.0409 -92.7117 | -7.20027 0.0447057 | -9975.95 -1029.87
-17.5779 -92.5172 | -2.02682 1.22878 | 14828.1 -115.019
-17.1016 -92.3347 | 7.32327 -7.57792 | 1416.95 -4545.59
-16.6267 -92.1626 | 6.42562 0.945539 | -65561.7 -4317.67
-16.1917 -91.9895 | 0.0537642 -0.821125 | 61997.2 14235.4
-15.7114 -91.8406 | -5.02201 -8.26692 | -3422.64 -13309.9
-15.2201 -91.7478 | -2.89581 4.71367 | -40261.6 -4348.61
-14.75 -91.6925 | 3.30293 1.16549 | 32223.2 10021.1


-46.8356 -21.5326 | 4.12064 -0.979406 | -501.012 3073.87
-46.4567 -21.8539 | 4.8112 -0.518816 | -7444.84 -1107.6
-46.0899 -22.1847 | 3.4051 -0.119194 | 4311.51 1729.43
-45.7187 -22.5126 | 1.02931 -2.20288 | 2694.8 -4537.75
-45.3395 -22.8368 | 0.142083 2.17998 | 5360.68 6582.4
-44.949 -23.1472 | -0.321201 2.88775 | -10554.3 -2770.83
-44.5658 -23.4603 | 0.20554 0.0929888 | 6.17894 -7222.1
-44.1782 -23.772 | 0.225872 1.37923 | 7936.47 7019.73
