-27.4322 -93.5498 | 1.08255 2.161 | 1614.52 10173
-27.035 -93.8636 | -7.59863 0.675653 | 14102.5 -29495.4
-26.6202 -94.1863 | -4.67384 10.4715 | -4345.46 3662.67
-26.1879 -94.4796 | -4.35515 -6.46167 | -7450.82 25088.6
-25.7311 -94.7077 | -2.6323 -6.99624 | 11027 -17786.9
-25.2506 -94.9033 | -10.0404 -2.36972 | -8833.31 17346.8
-24.7598 -95.038 | 1.29164 0.0649437 | -17048.6 842.97
-24.2725 -95.1365 | 1.64988 6.73759 | 8363.88 -10801.3
-23.7772 -95.2156 | -2.78188 8.52603 | -4142.58 3250.51
-23.2785 -95.2521 | -3.14978 1.44545 | 6859.04 -352.713
-22.774 -95.2352 | -0.820384 7.04475 | 7546.75 13069.3
-22.2706 -95.1527 | -0.486073 1.89871 | -14229.8 -16993.3
-21.7832 -95.0407 | -0.506405 -1.08452 | 6577.77 13629
-21.3078 -94.8749 | -2.83238 0.714797 | -19800.6 1627.36
-20.8539 -94.6815 | -1.10318 0.976987 | 18992.3 -16172.4
-20.3843 -94.5068 | -5.45795 0.215151 | 14076.9 7161.66
-19.9089 -94.3197 | -0.831551 1.72369 | -22615.9 1576.67
-19.4595 -94.1055 | -0.22952 -3.50092 | -5149.89 -10313.7
-19.0261 -93.8769 | -5.05845 0.28469 | 3385.97 4834.83
-18.6043 -93.6193 | -0.436248 1.02396 | 10848.1 16594.7
-18.1885 -93.3307 | 2.78182 -6.46123 | -8855.55 -11777.1
-17.7749 -93.0495 | -4.65672 3.05221 | 14844.8 2016.85
-17.344 -92.7804 | -0.845051 6.17705 | -2229.48 1856.79
-16.9087 -92.5196 | 3.78701 5.51997 | -10351.4 -5292.33
-16.4753 -92.2723 | 2.45608 3.43592 | -8038.59 4810.56
-16.0384 -92.0399 | 2.28504 -5.20531 | 14328.4 -12073
-15.576 -91.8512 | 2.85929 -7.21872 | -5580.8 8169.43
-15.1081 -91.678 | -1.50891 -1.70729 | -154.561 2765.93
-14.6335 -91.5242 | -2.10519 1.73262 | -3079.11 -429.479
-14.1516 -91.4047 | 3.55328 -1.80536 | -523.133 -13762.9
-13.6612 -91.3344 | -0.26267 0.94923 | 5071.28 17061.7
-13.162 -91.2721 | 2.98365 -2.59706 | 25486.6 -5767.5
-12.6425 -91.2412 | 9.22643 1.97973 | -2626.73 4235.39
-12.1251 -91.2377 | 4.90935 1.71263 | -38663.4 -11365.3
-11.6344 -91.2748 | 5.22121 6.2597 | 6634.89 15029.1
-11.1405 -91.3184 | -1.97347 1.73498 | 43511.1 -9402.04
-10.624 -91.3986 | -1.03443 1.79079 | -36392.7 1158
-10.1362 -91.5206 | -0.670597 0.756089 | -295.497 -3815.31
-9.66122 -91.6801 | -5.48648 2.03207 | 18128.5 15419.4
-9.18701 -91.8579 | 2.86403 1.71188 | -20041.7 -10969.7
-8.75549 -92.102 | 0.299629 -7.0613 | -26750.9 -11925.5
-8.36828 -92.3971 | -7.64242 -4.04025 | 44050.6 21596.3
-7.94189 -92.6604 | 3.16098 1.38827 | -10932.6 -10102
-7.5215 -92.9309 | 2.01127 2.37878 | -11980.5 13046.6
-7.1141 -93.2028 | -3.00166 2.31789 | 4685.44 -21547.1
-6.71294 -93.5004 | -4.36846 2.67258 | 6299.41 4307.67
-6.29814 -93.7841 | -2.28559 -0.647259 | 5299.18 8700.31
-5.86512 -94.0392 | -0.283456 -5.65987 | -10357.5 -7965.34
-5.4305 -94.2855 | 0.915456 1.35984 | 5310.37 2089.39
-4.98051 -94.5046 | 3.00901 -6.98165 | 436.888 11421.7
-4.52045 -94.688 | 8.01505 4.22751 | -28540.9 -5243.6
-4.07662 -94.8659 | -0.343325 12.6166 | 907.54 3609.58
-3.6243 -95.0228 | 1.69845 -1.1966 | 30429.8 -15723.7
-3.14233 -95.1604 | 4.85335 2.93166 | 2.06754 12249.5
-2.6484 -95.2462 | -5.73998 2.79336 | -15396.7 4833.06
-2.16077 -95.2991 | -5.85891 -0.128562 | -5472.74 -11661.3
-1.67587 -95.3534 | -2.02309 2.22332 | 21090.9 -670.029
-1.17706 -95.3946 | -3.47119 2.40143 | -12004.4 -10859.5
-0.683832 -95.4118 | -0.956303 2.57265 | -12446.9 14205.9
-0.200343 -95.3517 | -0.547071 3.51973 | 27964.3 8110.51
0.290922 -95.2243 | -1.87518 -3.81308 | 7263.67 -3275.73
0.778541 -95.0579 | -5.23901 -9.83162 | -16150.6 -5760.19


-55.0856 -32.0995 | 3.42547 -4.23408 | 2372.61 -3569.57
-54.6468 -31.8607 | 3.90935 -1.29781 | -6133.7 5206.78
-54.2016 -31.6403 | 2.90125 0.386337 | -5145.16 -2932.59
-53.7477 -31.4512 | 0.981832 0.184385 | -2918.73 -2611.29
-53.2824 -31.3016 | -0.595842 -0.112248 | 2384.02 464.855
-52.8046 -31.1903 | -1.0328 1.1091 | 4970.16 260.318
-52.316 -31.1122 | -0.754155 0.53148 | 2557.65 3116.63
-51.8213 -31.0571 | -1.21155 0.256925 | 1517.66 5236.42
-51.3229 -31.0243 | -1.12485 -0.181644 | 27.7558 -5814.56
-50.8235 -31.032 | -1.11064 -1.4929 | -1298.4 -2411.84
-50.3262 -31.0747 | -1.00014 -1.45641 | 2531.62 4566.17
-49.8291 -31.1364 | -0.772909 -2.90131 | 2991.77 -3182.86
-49.3321 -31.2193 | -0.892615 -3.7984 | 2885.47 2257.78
-48.8354 -31.3141 | -0.0540832 -0.817862 | -1337.23 2330.3
-48.3428 -31.4213 | 0.0631979 1.93586 | -6528.4 -5184.49
-47.8592 -31.5494 | -0.117486 3.5974 | 742.012 1647.76
-47.3774 -31.6827 | 1.27982 5.08611 | 748.96 727.219
-46.895 -31.8121 | 3.06168 3.76578 | -5666.24 1892.26
-46.4144 -31.9307 | 3.15781 0.831974 | -1380.89 4740.5
-45.9323 -32.0353 | 1.80724 -0.00302989 | 3434.89 -5721.83
-45.4472 -32.1408 | 1.52181 0.960237 | 3098.58 -1866.89
-44.9585 -32.2419 | 2.00923 1.58855 | -2734.89 267.385
-44.4682 -32.3287 | 1.37116 2.38136 | 2119.02 -293.863
-43.9722 -32.3918 | 0.762838 0.429394 | 5791.2 3176.28
-43.4691 -32.422 | -0.126418 -2.09453 | 1024.34 -3178.56
-42.9639 -32.4244 | -0.395357 -0.41325 | -3060.15 1285.31
-42.4622 -32.3917 | 1.07356 -0.206704 | -3177.13 320.735
-41.9668 -32.3215 | 2.04523 -3.1614 | 518.903 -952.474
-41.4788 -32.2145 | 3.02071 -3.53819 | -2819.25 2.80768
-41.0037 -32.0685 | 2.42977 -2.38694 | -5574.77 475.557
-40.5454 -31.8858 | -0.0815517 -1.34243 | 1910.27 -1957.98
-40.0979 -31.677 | -1.99425 -0.290677 | 3149.4 -81.0753
-39.6595 -31.4453 | -2.74865 -0.618386 | 856.322 -249.002
-39.2325 -31.1913 | -0.878817 -1.60006 | 686.011 2168.37
-38.819 -30.9141 | -0.756291 0.645757 | -1602.4 -1681.05
-38.4192 -30.6198 | -0.353964 0.0749097 | -110.544 -1484.44
-38.0306 -30.3121 | 3.14375 -1.66028 | 1102.14 805.555
-37.6519 -29.9906 | 3.68549 -1.76285 | 2315.02 811.096
-37.2824 -29.6562 | 2.10083 -2.29208 | -3094.38 2481.37
-36.9249 -29.3089 | 1.78961 -1.89228 | 142.788 -311.626
-36.5695 -28.9588 | 1.14521 1.09634 | 4476.11 1949
-36.205 -28.6132 | 3.05831 2.30915 | 4236.22 -883.75
-35.8282 -28.2778 | 6.05837 -1.59644 | -1678.79 33.8869
-35.4467 -27.9496 | 4.57135 -2.75078 | -6853.07 22.5106
