26.9056 -38.1274 | -0.656113 -1.94345 | -8040.03 -3144.18
27.3932 -38.0145 | -0.811667 -0.637248 | 9.39866 -1909.54
27.8857 -37.9285 | 0.273732 -1.73366 | 6082.98 1073.1
28.3856 -37.863 | 1.60645 -4.07766 | 1094.18 28.4596
28.8885 -37.8135 | 2.15508 -4.20306 | -3155.07 1945.8
29.3906 -37.7742 | 1.74254 -1.97027 | 1935.77 3390.64
29.8948 -37.7478 | 1.36051 0.172889 | 482.668 3034.83
30.3999 -37.7502 | 1.02228 1.97366 | -1853.81 -4466.45
30.8997 -37.8097 | 1.51078 2.27072 | -1684.56 -4298.77
31.3858 -37.9366 | 1.71874 0.534741 | -840.99 -2980.41
31.8525 -38.1238 | 0.183195 -0.739851 | 464.538 -1749.73
32.3013 -38.3537 | -0.145946 0.832102 | 3057.39 5966.55
32.7393 -38.6054 | -0.619754 -0.0920081 | 3171.53 -4339.07
33.1649 -38.8845 | -0.722729 -2.44379 | 3479.38 -2526.01
33.5768 -39.1884 | 1.05704 -2.42694 | -1223.33 7269.99
33.9683 -39.5121 | 1.66048 -2.04062 | -7867.17 -5918.09
34.3244 -39.8714 | 1.38149 -2.73074 | -303.982 -114.396
34.6538 -40.2545 | 1.32117 -2.50363 | -1759.66 3628.05
34.9646 -40.6492 | 0.937196 -2.43982 | -1946.09 -456.882
35.2653 -41.0504 | 1.95353 -1.94754 | 1952.78 2397.47
35.5694 -41.4481 | 1.96235 -1.55002 | 2199.99 2297.73
35.8807 -41.8392 | 2.24815 -0.619965 | -2479.81 534.531
36.1928 -42.2278 | 1.5364 -0.695809 | -1597.61 -1126.76
36.5049 -42.6161 | -0.547185 -2.67269 | 2676.61 193.449
36.8226 -43.0007 | 1.12652 -1.99585 | -1312.16 2301.72
37.1417 -43.3819 | 3.49277 1.22937 | -4039.87 -3039.56
37.4589 -43.7643 | 3.05149 2.134 | 957.114 -2423.8
37.7864 -44.1396 | 2.80273 1.41053 | 563.746 5702.39
38.1338 -44.4929 | 3.8479 1.10333 | -3667.27 -112.881
38.4994 -44.8245 | 3.47225 1.03956 | 3446.54 -257.589
38.8896 -45.1304 | 1.29981 1.24454 | 4935.46 -1456.1
39.3019 -45.4117 | 0.451012 0.480073 | -5482.12 -4030.67
39.7247 -45.6737 | 0.897624 -0.921393 | -2846.16 5538.19
