-77.9045 0.641557 | 4.30708 0.291183 | -12601 2214.86
-29.7302 -40.831 | 0.69662 0.59761 | -3175.06 -3390.88
-29.2942 -40.5928 | -2.16935 -0.610693 | 1194.77 11225.9
-28.8818 -40.3096 | -3.15058 1.66221 | -1150.57 -8922.58
-28.4845 -40.0111 | 0.782097 1.98097 | 3711.95 -5140.99
-28.0979 -39.6987 | 0.593065 2.30248 | 81.3226 11090.3
-27.7328 -39.3546 | -1.00018 3.18147 | -3069.15 517.028
-27.3855 -38.9929 | 0.270954 1.65851 | 2718.93 -3412.26
-27.0396 -38.6304 | 1.19954 -0.833177 | 4272.47 -249.644
-26.6896 -38.2702 | 0.2869 0.489162 | -2813.14 -3801.7
-26.3434 -37.9116 | 0.760631 0.686524 | -7631.6 -4035.58
-26.0085 -37.5502 | 2.34538 0.416241 | -630.675 6430.5
-25.6778 -37.1827 | 3.27032 0.496203 | 4917.05 -6364.35
-25.3365 -36.8265 | 3.75399 -0.034749 | -3819.01 -1255.67
-24.9929 -36.4759 | 0.340154 1.98797 | -2324.55 2238.46
-24.6474 -36.1274 | 0.133313 1.52353 | 4019.01 -1672.95
-24.2919 -35.7864 | 2.47957 0.0970212 | 3205.15 5806.66
-23.9291 -35.4458 | 1.15947 2.13836 | 2197.44 3620.29
-23.5605 -35.1074 | 0.7513 0.625233 | -8828.81 -529.8
-23.1887 -34.7794 | 1.54792 -1.4647 | 3404.39 -8687.76
-22.7962 -34.4805 | -0.922158 -1.23822 | -1225.11 2428.26
-22.3892 -34.2003 | -1.97491 -1.27296 | 2069.66 9194.02
-21.9654 -33.9343 | -1.40388 0.116077 | 14447.8 -1794.9
-21.5122 -33.7019 | -0.830131 0.896386 | -1610.92 2123.37
-21.0442 -33.4984 | -0.850627 2.23887 | 910.852 -1919.83
-20.5647 -33.3266 | -0.517322 2.59687 | -7547.14 -4569.86
-20.083 -33.1841 | -1.30031 1.02945 | -11639.3 5919.61
-19.604 -33.0585 | -2.62314 -0.145545 | 4067.97 -4038.32
-19.1148 -32.9693 | -4.83055 -1.11284 | 12325.9 -3444.78
-18.6117 -32.9174 | -2.28003 -1.98725 | 529.603 5034.78
-18.1052 -32.8846 | 0.296249 -1.95464 | -3042.68 533.671
-17.5999 -32.8719 | -0.558463 3.36561 | -3708.38 -440.664
-17.0969 -32.8833 | -1.72922 4.4336 | 5613.31 -3418.9
-16.5917 -32.9215 | -1.27895 -1.97233 | -7363.84 1996.79


-6.46855 -39.7609 | -1.55022 -3.11963 | -6446.31 -2178.74
-6.01161 -39.5748 | -2.39703 -2.61987 | 1573.02 -96.1308
-5.55099 -39.3954 | -2.81738 -1.02485 | -1881.23 5090.42
-5.0872 -39.2247 | -4.01292 1.85095 | 1460.37 -9309.35
-4.61451 -39.0844 | -0.0384659 -1.04202 | -1804.63 1870.18
-4.13847 -38.9592 | 0.786026 1.32356 | -1569.82 10836.5
-3.66005 -38.8405 | -1.60443 4.26873 | 1770.25 -7186
