34.63 9.25285 | -1.39758 -2.09759 | -821.659 -1142.47
35.128 9.27305 | -1.95362 -0.658532 | 346.945 -1284.4
35.6254 9.30165 | -2.78625 1.57161 | -1831.62 -1342.54
36.1204 9.34043 | -3.28536 1.13086 | -3993 2399.39
36.6107 9.39516 | -2.88703 -0.0935962 | -2135.24 -2245.93
37.0977 9.45968 | -2.54842 0.306392 | 933.967 -4214.33
37.5831 9.53496 | -2.38481 0.331892 | 424.062 3073.65
38.0641 9.63769 | -2.19965 0.905395 | -548.825 4821.51
38.5387 9.77039 | -1.6611 1.34496 | 2245.34 1197.04
39.0118 9.91524 | -0.178863 -0.117615 | 2908.53 -4425.79
39.4888 10.0514 | 0.94402 -0.712291 | -911.301 -2304.77
39.9676 10.1773 | 1.42359 0.667465 | -2094.66 2469.19
40.4464 10.2999 | 2.18666 1.09663 | 974.4 -725.18
40.9279 10.4154 | 2.0798 1.53922 | 3866.83 -506.977
41.414 10.5241 | 0.884264 3.12375 | 2713.34 1892.7
41.9033 10.6315 | -0.0519708 3.45774 | 1270.19 532.319
42.3946 10.738 | -0.643146 2.88819 | 2485.71 2510.76
42.8887 10.8439 | -0.849489 4.30153 | 2391.66 2610.57
43.3871 10.9418 | -0.106981 5.11784 | 1003.4 -1566.86
43.8903 11.0158 | 1.26381 3.37667 | -832.081 -6549.89
44.3961 11.0555 | 2.32092 0.155442 | -2353.64 -579.026
44.9009 11.075 | 2.7864 -2.13828 | -1185.09 6096.44
45.4046 11.0899 | 3.47362 -1.9882 | -1869.62 1466.74
45.9067 11.0915 | 4.18682 -2.36516 | -2963.05 -324.199
46.4058 11.0656 | 3.94113 -2.99517 | -659.306 -1134.68
46.9006 10.9998 | 2.86154 -2.45188 | 2526.46 -1621.84
47.3889 10.8875 | 1.51605 -2.16668 | 1669.12 -1385.36
47.8652 10.7278 | 0.81729 -2.707 | -3769.83 -2350.86
48.3229 10.5247 | 0.526174 -2.88214 | -858.425 1993.4
48.766 10.2936 | -0.00525127 -1.53548 | 3436.74 1988.8
49.2002 10.043 | -0.73219 -0.569769 | 775.402 -2151.27
49.623 9.77104 | -1.41189 -0.668716 | 58.7447 -616.539
50.0342 9.48112 | -1.52638 -0.591295 | -288.902 920.353
50.4351 9.17799 | -1.45709 -0.50028 | -841.458 -556.928
50.8269 8.86359 | -2.01884 -0.598205 | 211.001 409.173
51.2131 8.54258 | -3.04068 -1.14364 | 849.285 1365.26
