-25.2263 22.1843 | 2.26429 2.11796 | 9967.86 -2216.15
-24.8305 21.8787 | -2.58087 -0.247883 | -8390.56 3724.14
-24.408 21.6197 | -3.46564 -2.54074 | 15658.8 13497.5
-23.9518 21.4145 | 0.487625 -2.68721 | -7074.26 -18568.9
-23.4972 21.2037 | -0.520399 -5.73162 | -9426.8 2795.7
-23.0457 20.998 | -1.59617 -3.5054 | 14691 878.462
-22.5801 20.8059 | -1.12085 0.516068 | -8167.12 -5286.12
-22.1147 20.6198 | -1.29375 0.39356 | 1139.45 720.346
-21.6412 20.4563 | -2.9748 2.92742 | -3573.9 4213.89
-21.1591 20.3298 | -4.30484 1.32699 | 5449.78 -1294.41
-20.6643 20.2409 | 0.80773 2.70091 | 9364.2 5014.16
-20.1576 20.1913 | 3.50448 1.52111 | -1875.72 -1758.53
-19.6505 20.1599 | -0.209918 1.55541 | -9267.79 -11561
-19.1488 20.133 | -1.62899 0.9037 | 5405.37 13839.9
-18.6454 20.1445 | 1.76037 -0.731019 | -10892.5 -4848.07
-18.1501 20.1733 | 2.34193 0.752002 | 330.117 1950.73
-17.6574 20.2165 | -0.6679 0.517402 | -6198.4 -4055.76
-17.1692 20.2623 | -0.747188 1.49049 | 3375.21 1227.28
-16.6792 20.3133 | -1.5186 -0.216059 | 4353.91 3862.51
-16.1852 20.368 | -2.29036 -2.77193 | 5063.88 867.858
-15.6852 20.4109 | 0.225595 -0.24854 | 7273.81 -3080.12
-15.1794 20.4238 | 1.87344 -2.14664 | -11143.7 -4931.78
-14.6813 20.4004 | -0.597562 -2.94821 | -4968.92 4583.1
-14.1889 20.3547 | 0.677228 -1.39496 | 4232.45 -1995
-13.6969 20.284 | -0.0387906 -2.72592 | 621.88 2858.55
-13.2071 20.1937 | -1.11859 0.813453 | 5042.08 -1464.77
-12.7189 20.0774 | 0.129861 0.561008 | 1111.26 -1568.07
-12.2379 19.9327 | 0.205233 -3.57837 | -10723.7 3542.82
-11.773 19.7635 | 1.28651 -3.25988 | 3173.24 2057.36
-11.3178 19.5703 | 0.988826 -2.94645 | -3867.11 -1343.86
-10.8793 19.347 | 1.78043 -1.47177 | -1450.48 7408.12
-10.4574 19.0999 | 1.78971 0.331019 | 1058.74 -6514.52
-10.0559 18.8136 | 0.248569 -2.07695 | 10478.4 -9190.97
-9.66804 18.4932 | -0.256435 1.56933 | 3406.86 5285.99
-9.2949 18.1562 | -3.47711 0.21702 | -16593.2 888.127
-8.95097 17.8005 | -3.94663 -1.84986 | 5610.1 -1265.5
-8.60613 17.4425 | -1.37186 -1.31169 | 15221.1 8145.64
-8.24458 17.0951 | -0.524672 -1.2183 | -1181.68 -5737.85
-7.89985 16.7272 | -2.59851 -4.4255 | -12522.6 -11143.4
-7.5952 16.3256 | 0.443264 1.25835 | 550.248 9899.95
-7.30408 15.9201 | 1.07782 0.205371 | 3893.17 4287.69
-7.01271 15.5154 | -1.16837 -3.41315 | 1362.03 -12763.4
-6.7241 15.1008 | -2.91998 1.07206 | -2135.11 8476.68
-6.43163 14.6952 | 1.60941 0.0789534 | 1729.6 8137.15
-6.13194 14.3006 | 2.90722 -1.67027 | -4984.73 -3851.82
-5.83952 13.9005 | 1.5435 -0.33871 | 3648.71 -5316.02
-5.54838 13.494 | 1.62538 0.174715 | 450.667 -3327.07
-5.25648 13.0862 | 1.76637 0.16744 | -8504.28 10982.6
-4.96109 12.6912 | 4.93036 3.15288 | 8456.25 -3613.99
-4.64568 12.3057 | 0.248827 1.21332 | 798.236 -6972.84
-4.31627 11.9259 | 0.470663 1.76799 | -4712.8 -4032.34
-3.97038 11.5608 | 1.37372 0.678319 | 4310.26 8379.74
-3.58846 11.2368 | 1.15003 -2.2018 | 500.176 1585.25
-3.17585 10.9537 | 0.921112 -2.72696 | -718.832 -423.319
-2.74132 10.7056 | 2.38416 -1.76714 | -394.122 -8490.41
-2.2901 10.4869 | 1.20645 0.254974 | -8372.17 8432.34
-1.82361 10.3235 | -2.08168 -4.26626 | 5667.58 7686.71
-1.33864 10.2172 | -1.64661 -2.30293 | 3737.23 -12238.5
-0.844593 10.1341 | 0.0888234 2.36541 | 795.82 5464.82
-0.346275 10.0839 | 1.42498 -0.259463 | -8558.45 -3385.53
0.147963 10.0535 | -0.109753 1.69168 | -2223.29 3016.58
0.642133 10.0443 | -1.3197 2.45976 | 14452.9 1705.93
1.14596 10.0452 | -2.81432 2.33412 | 2290.23 -9602.41
1.65096 10.0375 | -3.34424 4.02457 | -18422.6 4889.65
2.1442 10.0392 | -3.31033 2.06232 | 2403.37 1662.36
2.63835 10.049 | -2.27872 -1.79616 | 11231 -4422.68
3.14065 10.0587 | -0.975893 -2.17547 | 3456.31 9458.83
3.64595 10.0783 | -0.184456 1.20594 | -3590.62 -7173.48
