-48.3055 -38.2838 | 2.33354 0.0638417 | 1559 2891.58
-47.9233 -38.5893 | 2.44045 -0.130665 | 3215.9 4658.96
-47.5129 -38.8567 | 0.456197 0.648724 | -3017.06 -14551.3
-47.0889 -39.1091 | -0.198547 2.41591 | 981.047 1511.45
-46.6424 -39.321 | -1.21888 1.61468 | 4589.47 5419.99
-46.1696 -39.4761 | -0.300868 -1.41262 | 12629 -4914.15
-45.6739 -39.5869 | 0.716264 -1.89014 | 3563.91 3136.43
-45.1678 -39.6576 | -0.689725 0.00865685 | -8383.52 -4673.06
-44.6639 -39.7062 | -2.30612 -0.179142 | 986.571 1983.88
-44.1589 -39.7295 | -3.88456 0.11901 | -3355.19 -4548.35
-43.6559 -39.731 | -3.55707 -0.763334 | -1824.65 3469.3
-43.1553 -39.6956 | -2.02974 -0.354427 | 5975.86 3249.93
-42.6551 -39.6214 | -0.952767 0.311286 | -2766.01 884.63
-42.1613 -39.5175 | -0.0268638 -0.511564 | 318.155 -603.728
-41.6718 -39.3957 | -1.74645 -0.339349 | -1258.84 -568.018
-41.186 -39.2654 | -3.11042 0.0376048 | -5201.87 -1603.92
-40.704 -39.1346 | -0.276278 0.384627 | 4315.81 -2387.47
-40.2182 -39.0085 | 0.901045 0.547039 | 3464.49 6368.83
-39.7292 -38.8804 | 1.74916 -1.69453 | 467.387 1150.13
-39.2375 -38.7652 | 1.20569 -2.27083 | -9616.01 -9091.6
-38.748 -38.6827 | -0.639751 -3.57091 | -9671.47 326.371
-38.262 -38.6233 | -1.30533 -4.27367 | 7718.86 6507.67
-37.7691 -38.5808 | -2.0864 -2.33458 | 5686.65 -2328.56
-37.2698 -38.5726 | -2.34614 -1.0194 | 53.3609 -5536.5
-36.77 -38.6039 | -0.526527 0.708555 | 2352.6 4134.44
-36.27 -38.6575 | -0.303256 1.3871 | 2226.58 -4756.16
-35.77 -38.7329 | -0.831544 2.85089 | 6234.56 3634.05
-35.2673 -38.8128 | -2.53948 2.64702 | -2808.38 9830.06
-34.7682 -38.8959 | -2.55954 2.971 | -9312.08 -7910.47
-34.2829 -39.0168 | -0.521215 0.727285 | -3214.76 -2150.27
-33.8099 -39.1733 | 0.318673 -2.91975 | 7538.6 3089.13
-33.3406 -39.3534 | -0.777286 -4.04722 | 2245.66 -6931.81
-32.8796 -39.5631 | -1.95481 -4.67408 | 262.552 3559.61
-32.4259 -39.7874 | -2.18388 -2.70262 | -148.926 2154.89
-31.9798 -40.0247 | -2.02933 -2.16469 | -1030 -1303.56
-31.5445 -40.2811 | -2.10708 -2.76554 | -759.471 -4166.49
-31.1203 -40.5573 | 0.155097 -3.73436 | 2962.64 1561.08
-30.7001 -40.8407 | 1.88006 -4.49135 | -2396.33 6147.9
-30.2865 -41.1264 | 2.59031 -1.11087 | -4132.54 -329.599
-29.8866 -41.4247 | 0.0685715 -2.29269 | -9463.73 -1053.87
-29.5027 -41.7358 | -1.05265 -4.11058 | 3386.79 -831.413
-29.1139 -42.0441 | 1.08403 6.48972e-05 | 7478.96 -1147.3
-28.7069 -42.3355 | 1.14448 0.808448 | -2302.2 3228.19
-28.2849 -42.6018 | -1.30916 -1.88493 | 1266.02 -115.986
-27.8481 -42.8443 | -1.19803 -2.79178 | 1893.38 3011.2
-27.4002 -43.065 | -0.109068 -2.35444 | -9026.01 -5588.76
-26.9529 -43.2785 | -1.62115 -1.67408 | 3215.45 -1077.55
-26.4953 -43.471 | -1.17041 -0.082177 | -5367.12 4210.5
-26.0286 -43.6263 | -1.41726 -2.0189 | -2428.15 977.101
-25.5519 -43.7405 | -1.5484 -1.85245 | 7777.23 -1664.57
-25.0623 -43.8148 | -0.108719 -0.417277 | -3731.89 -1766.48
-24.5691 -43.8506 | -0.163114 -1.17803 | 5541.4 1117.51
-24.0699 -43.8444 | 0.668782 -0.880316 | 8285.52 3170.4
-23.5655 -43.7991 | 1.03891 0.866474 | 5350.86 -999.198
-23.0596 -43.7286 | -0.972223 0.976974 | -2510.01 -5086.82
-22.5594 -43.6405 | -1.78912 0.842915 | -11834.7 1285.5
-22.073 -43.5238 | -0.975336 -0.78944 | 3095.18 2738.2
-21.5926 -43.3787 | -0.429104 -2.18339 | 5016.68 -2305.15
-21.1159 -43.2141 | -1.30832 1.38886 | -3457.35 -3759.17
-20.6508 -43.0265 | -2.20805 3.6377 | 582.287 3534.22
-20.2024 -42.8021 | -1.7045 3.06307 | -5343.8 -2677.63
-19.7788 -42.5413 | -2.42413 4.84251 | 965.057 1369.36
-19.3802 -42.2421 | -3.78497 3.31357 | 1561.24 6123.32
-19.0064 -41.9065 | -4.20526 1.51618 | 1966.49 403.536
-18.6498 -41.5497 | -0.878674 0.114063 | 1000.88 523.89
-18.3041 -41.1822 | -0.167941 1.89674 | -6391.8 -6392.52
-17.967 -40.8155 | 0.353827 1.04813 | -239.85 -1138.43
-17.6277 -40.4539 | 0.394874 -1.00254 | -1783.51 -2722.43
-17.2812 -40.1039 | -1.47295 0.955728 | -7329.56 -4301.94
-16.9257 -39.7705 | 0.065179 0.705732 | 8571.54 4969.38
-16.5465 -39.4551 | -1.1355 -0.767301 | 4784.61 -4731.29
-16.1475 -39.1623 | -1.90152 -1.57528 | -7399.27 8840.12
-15.7472 -38.8714 | -0.667322 -1.32997 | 4280.18 -1918.07
-15.3338 -38.5959 | -1.36111 -0.747046 | -822.721 1156.43
-14.9088 -38.3378 | -1.92921 0.80637 | 3884.35 2081.7
-14.4689 -38.1013 | -0.497654 1.50654 | -5667.72 -7483.5
-14.0206 -37.8944 | -1.90323 0.29575 | -7398.65 6879.5
-13.5679 -37.7028 | -1.93868 0.280157 | 11271.7 7261.5
-13.0939 -37.5434 | 0.274156 2.86513 | 6053.23 -11515.1
-12.599 -37.4494 | 0.22922 1.01865 | 1587.25 1075.15
-12.0951 -37.4044 | -3.38007 3.86935 | -6724.9 2600.46


-12.2856 -48.3842 | -8.10953 4.30472 | -1669.1 -2820.95
-11.8969 -48.0712 | -2.92609 1.3857 | 6758.62 12701
-11.5169 -47.7341 | 0.141716 -0.397414 | 2956.28 -6495.42
-11.1401 -47.3948 | -0.190189 -1.21961 | -5088.08 -4475.77
-10.7745 -47.0514 | -0.493734 -2.02727 | -5802.52 -1060.18
-10.4244 -46.6987 | 0.117638 -1.12897 | -3294.47 -1623.42
-10.0839 -46.3406 | 1.7733 0.888488 | 4955.73 605.066
-9.74101 -45.9819 | 0.950843 1.72688 | -1440.87 -785.601
-9.39815 -45.6242 | -1.61434 2.92843 | -2447.56 3433.5
-9.05385 -45.2674 | -1.84244 0.969495 | 1297.67 -1584.84
-8.69651 -44.9247 | 3.32705 0.534585 | -3628.85 -3984.29
-8.32321 -44.6046 | 0.450732 3.73901 | 906.583 4181.16
-7.92844 -44.3083 | -0.673688 4.02516 | 2826.87 262.531
-7.50667 -44.0477 | 1.2075 1.12395 | 2953.34 -2284.28
-7.05936 -43.83 | -1.47032 2.58484 | 1121.57 3566.92
-6.59477 -43.6477 | -0.588513 2.97384 | -4591.57 -687.51
-6.12016 -43.5036 | -1.18727 1.34715 | -1813.36 -7951.62
-5.63682 -43.3998 | -3.30206 0.716745 | 6370.89 15771.8
-5.14384 -43.3067 | -0.093797 -4.10424 | 11016.9 -517.586
-4.63688 -43.2515 | -0.465668 0.314668 | 892.742 -10030
-4.12635 -43.2556 | 1.98381 3.4703 | -8836.75 -1764.19
-3.62401 -43.3027 | 2.25049 0.987137 | -1591.92 10774.4
-3.12736 -43.3701 | -3.6127 -0.669403 | -4132.51 -6673.71
-2.64045 -43.4765 | -2.73374 -0.405841 | -3313.19 -415.547
-2.16219 -43.6115 | -0.847316 1.22634 | 10250.9 4176.43
-1.68209 -43.7613 | -2.50305 -1.24632 | 1754.54 -8838.5
-1.20731 -43.9355 | -3.77485 -3.59089 | -4933 10281.3
-0.740907 -44.1121 | -0.897861 3.12105 | -15700 4609.34
-0.291952 -44.2998 | 1.06256 1.10805 | -1519.89 -5131.55
0.148196 -44.5067 | -0.85865 -0.130254 | 12033.7 7.18573
0.594725 -44.7186 | 0.121561 1.70155 | 1073.39 -6186.52
1.04367 -44.9346 | 1.84427 1.14202 | 1475.58 1398.63
1.50086 -45.1353 | 0.773982 0.0281606 | 4025.38 5925.45
1.96982 -45.309 | 2.59338 -1.86865 | -3072.31 756.2
2.44048 -45.469 | 1.58431 -2.23898 | -10494.9 -2263.66
2.90422 -45.6285 | 1.21514 -2.41545 | -1141.44 -1905.65
3.36922 -45.783 | 0.155009 -4.61692 | 9661.23 3378.88
3.84599 -45.9189 | -0.139808 -1.17645 | 1820.63 -5581.72
4.3283 -46.0405 | 0.382357 1.18613 | -11538.8 7335.01
4.80917 -46.1263 | -1.69773 -0.26688 | -4819.81 2782.42
5.29223 -46.1725 | 0.540549 -3.07766 | 15689.5 -7660.66
5.78778 -46.1861 | 3.05777 2.38338 | 1394.44 8015.12
6.28409 -46.1494 | 0.256495 2.93177 | -7949.12 -4051.06
6.77145 -46.0796 | 0.708493 -0.00351945 | -1951.13 -2441.05
7.25264 -45.9821 | 0.256204 1.43087 | 8778.14 3551.24
7.73343 -45.8556 | -0.366659 2.41567 | 2796.97 -4297.36
8.20971 -45.7085 | -1.15423 2.76832 | -6479.17 -6308.92
8.67136 -45.5327 | -0.779167 1.60687 | 6182.45 10691
9.11558 -45.3027 | 1.18311 2.95393 | 3262.27 3486.47
9.53759 -45.0274 | 1.51479 -0.981291 | -4269.53 -4978.27
9.93374 -44.722 | -0.172622 -1.97216 | -1304.43 1109.65
10.3066 -44.39 | 1.32587 0.112686 | -4668.85 -593.654
10.6623 -44.0415 | -1.36736 4.13552 | 9683.53 5212.31
11.0231 -43.6865 | -1.31417 1.37828 | 13674.3 963.552
11.3962 -43.3331 | -0.411951 0.528438 | -10184.3 1340.79
11.7579 -42.9721 | 0.134845 2.26885 | -718.227 2605.61
12.1151 -42.6078 | 0.340117 4.44469 | -2231.62 -9260.49
12.4757 -42.2561 | 0.368693 0.81182 | -12273.6 1823.45
12.8381 -41.9152 | -0.519726 -1.29121 | 8736.52 -3529.82
13.2312 -41.6082 | -2.2117 1.6178 | 2846.17 -9564.52
13.652 -41.3424 | -3.99259 5.3977 | -4262.36 9984.8
14.083 -41.0899 | -1.57107 4.55417 | 5250.17 2883.24
14.5309 -40.859 | 1.30329 0.607828 | 2289.32 -5891.46
14.9953 -40.6618 | 1.60343 0.864201 | 588.134 7850.71
15.4697 -40.4861 | -0.223603 1.39985 | -8606.59 -5073.01
15.9501 -40.3493 | -0.765655 2.49219 | 988.789 -5373.3
16.4405 -40.2569 | 1.23428 3.00124 | 8091.99 12359.1
16.9396 -40.1928 | 1.1995 3.98083 | -19880.9 -11569.6
17.4297 -40.1864 | 1.1216 0.744552 | 2471.89 -4775.92
17.9188 -40.2218 | 1.04133 0.126667 | 6141.67 12540
18.4105 -40.2613 | -0.880196 -0.896362 | -6096.75 22.1349
18.897 -40.317 | 0.613177 0.324316 | 145.199 -1618.43
19.3794 -40.3978 | 0.0612631 -4.26132 | -3081.93 -1487.68
19.8555 -40.5031 | 0.58653 -2.39809 | 4220.84 672.587
20.3308 -40.6225 | 2.53976 1.6012 | 2211.32 4334.87
20.8054 -40.7495 | 0.769067 0.273551 | -2144.48 -709.366
21.2745 -40.8948 | 0.843121 -0.72153 | 5122.78 -8674.12
21.741 -41.0642 | 3.09752 1.65356 | 3365.78 4040.59
22.2088 -41.2344 | 3.07598 -2.09307 | -5776.46 3550.77
22.6739 -41.4 | 2.97586 -0.378066 | 1320.11 -2208.32
23.1409 -41.5643 | 2.08254 0.183588 | 2279.43 -1068.91
23.6134 -41.7233 | -0.224068 -3.5273 | 14965.3 1549.16
24.0988 -41.8733 | -1.21703 -4.14133 | -5612.57 -5050.07
24.5811 -42.0282 | 2.10979 -1.35996 | -4802.14 -2365.82
25.061 -42.1807 | 3.38633 -0.539483 | 3967.05 11285.8
25.5467 -42.3101 | 1.23538 2.08064 | -11865.3 -11116.7
26.0269 -42.4399 | 0.637696 3.5997 | 6439.19 3405.32
26.517 -42.5437 | 0.231243 0.275345 | 7479.69 2343.7
27.0193 -42.6121 | 3.56472 2.11753 | 4183.67 -364.654
27.5285 -42.648 | 2.42802 -1.75961 | -2650.97 -181.421
28.0374 -42.6536 | -0.331199 -1.35792 | -4359.23 -2262.85
28.5425 -42.6285 | -0.800905 -1.24628 | 1584.7 6814.54
29.0449 -42.5626 | -0.946153 -1.66643 | 1203.58 -4771.23
29.5435 -42.4708 | -0.447496 -0.439068 | -3945.83 -244.808
30.0331 -42.3487 | -0.132834 3.18753 | 2931.44 4470.07
30.5149 -42.1919 | -0.34834 1.33722 | 1165.24 -4025.84
30.9867 -42.0105 | 1.60082 -1.19568 | -12985.2 -1413.77
31.4364 -41.8005 | 0.528743 1.86351 | -1229.42 -4819.08
31.8709 -41.567 | 0.409197 -0.561517 | 4943.32 6479.44
32.2921 -41.3015 | -0.951315 -3.20317 | 1477.19 -478.627


-16.568 28.8704 | 0.728865 -2.43134 | -11841.5 -1223.16
-16.0783 28.8404 | 3.09638 -1.14128 | 13368.5 -2758.37
-15.5781 28.8509 | 3.13993 2.05952 | 6934.84 6900.39
-15.076 28.9164 | 2.6235 1.69269 | -4616.48 -622.146
-14.5844 29.0252 | 1.39941 -1.66371 | -7873.48 109.492
-14.1074 29.1669 | 0.274346 -1.56225 | -85.4955 -7871.12
-13.6382 29.3247 | 0.331309 -0.523669 | 1044.25 768.005
-13.1787 29.5099 | -0.721099 2.7078 | -2689.56 6017.23
-12.7336 29.73 | 0.0731733 1.24069 | 9610.01 2961.85
-12.2911 29.9692 | 0.564618 0.909284 | -4075.36 -4175.41
-11.8541 30.212 | -1.20442 3.93015 | -4603.74 127.921
-11.4198 30.4536 | -0.565881 0.89048 | 4211.63 1008.43
-10.977 30.6831 | -0.765988 1.0337 | -4000.78 -3836.28
-10.5262 30.889 | 1.26916 1.99566 | 569.059 1708.55
-10.0638 31.0693 | 1.33578 1.04403 | 5448.49 -5123.59
-9.58723 31.2161 | 1.02178 0.964806 | -2273.93 4118.69
-9.10632 31.3463 | 1.12076 1.91959 | -1891.62 3005.94
-8.62333 31.4609 | 1.01487 0.0384556 | -8150.44 -3785.68
-8.1408 31.548 | 2.77712 -0.302968 | 1956.46 2762.66
-7.65361 31.6075 | 2.15545 2.47029 | 151.325 -2070.57
-7.16359 31.631 | 2.26425 0.615027 | -3722.65 -3962.55
-6.67492 31.6215 | 1.98631 1.3857 | 6678.23 11644.9
-6.1823 31.6013 | 0.526763 4.0198 | 2660.13 -6589.07
-5.69021 31.5464 | 1.01497 2.31423 | -5464.57 1196.54
-5.20663 31.4616 | 1.81644 0.0166362 | -4971.99 7196.15
-4.73323 31.3523 | 2.0906 -0.868426 | -1936.43 -3189.85
-4.27194 31.202 | 1.92501 -2.7403 | 8583.02 -683.041
-3.81903 31.0129 | -0.77064 -3.87826 | 473.912 -164.965
-3.38207 30.7863 | -1.00632 -3.3064 | -171.871 -2794.33
-2.96344 30.525 | -0.469068 -1.19265 | 4153.22 3851.22
-2.55787 30.2424 | 0.664646 0.867313 | -3689.34 2568.4
-2.17237 29.936 | -0.3124 -1.40812 | 6577.23 -8358.12
-1.80407 29.5988 | 1.10926 0.6367 | -2041.06 -4704.51
-1.45409 29.2404 | 2.3577 0.113881 | -4867.15 5659.49
-1.10953 28.8841 | 0.367915 -1.38403 | 4897.87 9984.46
-0.752055 28.5452 | -0.732375 3.5616 | -1730.15 -3518.06
-0.392716 28.2075 | -0.427253 2.01636 | -1908.91 -4071.2
-0.0341523 27.867 | -0.0279422 -1.99724 | 1513.87 3.32019
0.332446 27.5327 | 1.26283 -2.66566 | 3476.56 -3472.6
0.71409 27.209 | 0.0478476 -1.36655 | 6945.76 -1364.85
1.11615 26.9029 | -2.86137 -2.47129 | -2380.58 -290.611
1.53122 26.615 | 0.279696 -2.06796 | 3805.52 2529.75
1.96094 26.3479 | 2.71006 0.181549 | -6307.22 -4487.23
2.39509 26.0925 | 3.09229 -0.898561 | -594.891 2587.25
2.84063 25.8624 | 3.5888 -2.43789 | -2848.97 3701.95
3.29782 25.6654 | 1.65156 -1.06032 | -5048.11 -4126.28
3.76431 25.5003 | 0.713057 -0.739816 | 1341.13 5921.07
4.24497 25.3859 | -1.33309 -0.0163858 | -622.05 -4155.92
4.73469 25.3153 | -1.16605 -0.71561 | 5655.03 -2195.02
5.23315 25.2952 | 1.25041 -0.736862 | 2211.59 14362.2
5.73219 25.3373 | 0.345483 -1.34844 | -5612.56 -17047.9
6.22529 25.3945 | -0.164474 0.0491632 | 344.651 1399
6.71309 25.4852 | -1.51434 -4.04334 | 960.547 11548.1
7.19218 25.6205 | -2.32877 -7.83026 | -2703.25 -15902.5
7.66379 25.7654 | -0.641275 -2.59047 | -2124.76 5836.42
8.12398 25.9426 | 0.907876 -4.31031 | 5890.2 1136.64
8.57629 26.1492 | 0.994437 -4.38286 | -504.207 5391.29
9.01708 26.3827 | -3.98826 3.28549 | -3577.49 -911.836
9.45184 26.6218 | -2.91058 3.40113 | 272.845 -11308.9
9.892 26.8433 | 2.33937 3.69182 | 771.335 8410.25
10.3356 27.0641 | 1.20866 3.19964 | 413.939 1964.97
10.787 27.272 | 0.379463 2.69228 | 4921.16 -6580.39
11.2532 27.4496 | 1.45165 1.88805 | 882.905 1535.54
11.728 27.6091 | -0.0892043 0.3519 | 1542.79 10240.3
12.2094 27.7596 | -0.0590844 -0.702903 | 5456.17 -12683.7
12.7016 27.8732 | -1.34774 -0.107325 | -9396.48 5679.65
13.1897 27.9727 | -1.06133 -0.522167 | -14923 1980.63
13.6697 28.0536 | 0.529949 -4.92928 | -3190.21 -7842.32
14.1513 28.0962 | -1.09708 -3.7603 | 9536.12 3691.53
