-13.3712 -91.3407 | 3.0528 1.4232 | -6875.68 9358.17
-12.9032 -91.4817 | -0.584464 2.58329 | 37925 -14768.8
-12.4292 -91.6775 | -1.49298 -0.465011 | -30540.3 -16124.2
-11.9984 -91.9322 | -1.67653 4.44098 | -16026.6 40498.8
-11.5788 -92.1649 | -4.12581 -0.927773 | 32387 -30922.5
-11.1433 -92.4205 | -2.88135 -1.17848 | -5684.09 17594.2
-10.7085 -92.669 | 0.818183 2.1865 | 2176.81 -9279
-10.2818 -92.9409 | 6.9138 -3.89563 | 6721.5 -20790.9
-9.86315 -93.2402 | 7.17463 5.93622 | -12176.8 45930.8
-9.45039 -93.5083 | 0.901839 -0.181958 | -6974.08 -26914.5
-9.06633 -93.8191 | 2.18352 -2.27994 | 2613.55 18762
-8.69885 -94.1409 | 6.28203 4.97501 | -11772 -19808
-8.36174 -94.5021 | 4.91889 2.52372 | 21380.4 -13847.8
-8.00266 -94.8651 | 5.74431 3.45097 | 7732.36 26161
-7.60935 -95.184 | 0.889214 -2.83253 | 2562.52 -12827.3
-7.21104 -95.5032 | 0.837797 -7.45163 | -19495.1 7517.56
-6.83352 -95.8272 | 2.1738 5.01732 | -14516.6 -9667.63
-6.46425 -96.1592 | 3.19772 0.621894 | 50142.6 -1328.95
-6.03683 -96.4581 | 3.6396 -1.89945 | -24465.6 -9012.54
-5.60637 -96.7355 | -1.97542 -0.729666 | -21882.1 26733.1
-5.16252 -96.9463 | -0.444965 -7.74144 | 33049.5 -1214.04
-4.68165 -97.1092 | 3.09858 -3.11398 | -21574.6 -6073.16
-4.20826 -97.2646 | 3.273 0.0333878 | 2079.08 -10853.6
-3.73329 -97.4193 | 2.74162 4.05302 | -4865.21 11116.3
-3.2533 -97.5379 | 2.39035 1.73584 | -5567.3 -5762.81
-2.76771 -97.6248 | 0.804307 -7.97497 | 32094.1 25506.3
-2.25946 -97.6611 | 6.44262 4.04378 | -30091.2 -48748.3
-1.77017 -97.7396 | 4.11099 -4.001 | 2239.97 34185
-1.27762 -97.7545 | 4.8533 4.84953 | 7427.89 -7559.94


-51.8444 -32.3951 | 4.42338 0.542482 | 517.008 4767.37
-51.4189 -32.1291 | 2.23819 -1.29936 | -2189.01 -8948.47
-50.9717 -31.9111 | -0.363486 -1.74208 | -2093.11 1947.28
-50.5092 -31.7304 | -2.34529 -0.716988 | 3757.19 306.467
-50.032 -31.5835 | -3.57504 2.98662 | 1511.67 4493.21
-49.5451 -31.4634 | -1.83881 4.33488 | -119.71 -961.863
-49.051 -31.3779 | 1.48838 2.25826 | -478.061 -6983.47
-48.5523 -31.3303 | 1.43186 2.27321 | 2328.97 3804.77
-48.0509 -31.2962 | -0.932786 -0.363699 | 265.672 876.54
-47.5488 -31.2655 | -1.34249 -3.27366 | -249.134 1667.98
-47.047 -31.2308 | 0.055316 -2.72372 | -538.399 2804.43
-46.5459 -31.1911 | -0.385905 -3.19443 | -1055.76 -513.011
-46.0452 -31.1563 | -1.49888 -2.73174 | -660.041 -2029.31
-45.5446 -31.1343 | -0.920383 -1.28986 | -91.6722 -1288.52
-45.0439 -31.1253 | 0.292199 0.0638362 | -720.174 -1032.42
