34.4474 19.0248 | 2.36113 1.98832 | 1415.63 -4094.78
34.8011 19.3557 | -0.0266323 1.59191 | 6866.65 4599.34
35.1753 19.6716 | 0.268728 2.44809 | 1262.93 800.863
35.5693 19.9645 | 1.06598 0.779199 | -5074.49 -6888.61
35.978 20.2274 | -0.74006 -2.13353 | -1240.77 4925.33
36.3986 20.4728 | -1.98873 -1.73693 | 3347.49 3164.84
36.8352 20.6972 | -0.944382 -1.44617 | 7579.58 -2793.5
37.2903 20.8941 | -0.271338 -0.341796 | 24.7532 10088.8
37.7537 21.0788 | 0.0500254 0.387076 | -4186.32 -3240.5
38.2255 21.232 | 0.557207 -2.93733 | 3018.41 -3042.15
38.7096 21.3443 | 1.3532 0.633266 | 2275.77 2550.49


-22.4789 -72.7243 | 0.9459 2.89352 | -3263.72 -2105.2
-22.0133 -72.8984 | 1.69663 1.50235 | -2590.02 3343.19
-21.5423 -73.0501 | 1.58761 -0.129771 | 1768.2 1726.55
-21.062 -73.1736 | 1.84118 -0.355347 | 3018.1 -2949.82
-20.5722 -73.2721 | 1.96607 -3.10453 | 9664.14 3859.93
-20.0703 -73.3408 | 2.27384 -4.23031 | 1064.25 -8141.95
-19.5655 -73.3947 | 2.73932 -3.04495 | -11333.9 2065.92
-19.0665 -73.4173 | 2.63225 0.652842 | -3468.97 1967.64
-18.5712 -73.3975 | 1.44274 1.11724 | -264.475 2264.92
-18.0798 -73.3335 | 1.13367 -0.038514 | 2535.25 1569.92
-17.5918 -73.2343 | 1.33278 0.773067 | 3798.03 -2743.76
-17.1053 -73.1148 | 3.75038 0.482838 | 4666.32 -1408.12
-16.6201 -72.9765 | 5.56215 -2.17161 | 703.399 4881.35
-16.1423 -72.8125 | 3.96785 -2.72117 | -8653.36 -5870.99
-15.6774 -72.6345 | -0.469403 0.505173 | -4615.37 -2812.99
-15.2232 -72.4415 | -0.640396 1.31868 | 4918.11 -258.073
-14.7757 -72.2284 | 1.83488 -0.139187 | -2923.92 4794.61
-14.3424 -71.9867 | 0.198634 2.85596 | 6803.49 -4210.87
-13.9164 -71.7274 | -0.171118 2.18512 | -3567.86 5377.7
-13.509 -71.4407 | 1.90687 2.5927 | -8568.16 -276.034
-13.1182 -71.1401 | -0.261749 4.0557 | 4695.77 -9788.04
-12.7234 -70.849 | -0.78812 0.307132 | -533.109 -2929.09
-12.3305 -70.5568 | -0.373925 -1.26173 | 2613.92 10026.3
-11.9464 -70.2435 | -0.896878 -1.94044 | 1673.1 6576.17
-11.5688 -69.916 | -0.176252 -3.49207 | -1450.51 -7187.96
-11.1888 -69.5966 | -2.16703 -0.750278 | 1115.88 -3799.15
-10.8023 -69.2881 | -0.870299 -1.33744 | -5813.32 3041.76
-10.4162 -68.9823 | 0.60892 -1.18124 | 1839.68 935.475
-10.02 -68.6877 | -2.03812 -1.14639 | 576.758 853.531
-9.60835 -68.4136 | -4.15691 -0.15879 | 1267.82 -3164.17
-9.1772 -68.1699 | -2.66233 0.953863 | 5646.09 4840.99
-8.72683 -67.9517 | -0.189539 -2.20574 | 167.421 4108.2
-8.26225 -67.7627 | 0.23133 -1.67595 | -4780.86 -8568.74
-7.78643 -67.6215 | -1.98471 4.93864 | -4963.19 1037.2
-7.30366 -67.5189 | -2.13839 4.65106 | 8375.4 2089.84
-6.80899 -67.4511 | -0.510999 -0.613287 | 2751.93 760.606
-6.30828 -67.4172 | 0.0671263 0.740026 | -3431.18 491.164
-5.80823 -67.4171 | -0.451903 2.71242 | 366.276 333.36
-5.3091 -67.4523 | -0.733164 3.45801 | 3756.77 -1978.15
-4.81162 -67.5252 | -0.0481586 3.50712 | -2908.09 -2739.56
-4.32169 -67.6311 | 0.917856 2.86147 | -2912.51 3818.33
-3.83811 -67.7528 | -0.00462584 3.17495 | 3870.58 4208.15
-3.3566 -67.8861 | -0.540048 0.555529 | -5628.62 -6284.23
-2.88509 -68.044 | -0.0838444 -3.70701 | 579.356 5769.66
-2.41773 -68.2107 | 0.590954 -2.48212 | 3585.21 2649.46
-1.95421 -68.3919 | -1.4823 0.133615 | -832.224 -6344.3
-1.50382 -68.6048 | -1.37909 2.17226 | -5727.5 2640.62
-1.07013 -68.8413 | 0.680489 0.103099 | -873.387 -1580.36
-0.647493 -69.0956 | 3.06002 0.564867 | -556.342 -984.555
-0.228243 -69.3532 | 1.57511 -0.651538 | -6024.77 8105.49
0.193974 -69.5934 | 1.35044 -2.27693 | -493.329 -1135.99
