-24.5265 20.7441 | -3.45368 0.0784552 | 4447.4 -1864.89
-24.038 20.8648 | 0.53573 0.314927 | -5105.34 -3659.9
-23.5649 21.0234 | 0.756554 0.546262 | -5931.31 703.053
-23.1135 21.2261 | 0.853604 -1.05308 | 985.812 3772.75
-22.6816 21.4686 | 1.66276 -0.806159 | -1923.08 -5153.24
-22.2659 21.7312 | 0.629282 -1.65428 | -8708.95 -4638.44
-21.8655 22.0063 | -0.0880795 -2.69702 | 10251.5 1546.03
-21.463 22.2907 | -2.13175 -0.257269 | 12841 11917
-21.0578 22.5917 | -0.890467 -2.39029 | -8053.22 -5467.49
-20.662 22.8958 | 0.412647 -0.414548 | -6484.93 -8868.25
-20.2731 23.1973 | -1.43594 2.38816 | 3408.02 11998.4
-19.8849 23.5092 | -0.227262 -0.118709 | 4095.79 -2511.37
-19.4862 23.8102 | 0.0047312 -4.82209 | -3501.08 92.1941
-19.0771 24.0936 | -1.28059 -1.16633 | 68.7977 -4199.24
-18.6507 24.3477 | 1.1181 -0.566809 | 4707.95 -31.9804
-18.2065 24.5745 | -0.145181 -2.2162 | -5509.27 6811.01
-17.7546 24.7822 | 0.315807 -3.04273 | -2766.08 -6249.17
-17.2895 24.9494 | 1.92707 -1.2314 | 5930.85 -1504.77
-16.8085 25.0761 | 0.181983 -2.9684 | -2199.21 8187.7
-16.3201 25.174 | -0.700465 -1.46867 | 2033.39 2676.51
-15.8226 25.224 | -1.94307 -3.48646 | 7044.68 -11152.7
-15.3189 25.1977 | -0.455343 -5.5592 | -4720.44 -4452.55
-14.8231 25.1121 | 0.142735 -0.659918 | 1813.26 6102.93
-14.3326 25.0018 | -0.195591 1.92683 | -2578.89 8319.02
-13.8499 24.8771 | 4.01899 2.52687 | -13258 -6798.61
-13.3842 24.7203 | 3.12682 3.6243 | 8978.95 3100.49
-12.9188 24.5502 | -0.388013 2.31694 | 2844.88 2615.27
-12.4554 24.3678 | 0.243564 2.57945 | 4703.25 -1641.02
-11.998 24.1613 | -0.216396 4.9753 | 958.185 -1398.15
-11.5566 23.9206 | 0.519509 2.96035 | -9676.2 -8365.88
-11.1428 23.6409 | -0.868866 1.08238 | -908.97 12404
-10.7388 23.3568 | -3.29647 -1.15772 | 6207.95 5000.99
-10.3393 23.065 | -1.41576 0.0385733 | -3984.68 -9125.02
-9.96232 22.7419 | -3.73544 1.64429 | 30.0216 -986.179
-9.60347 22.3972 | -2.86609 0.168678 | 380.987 -1503.63
