-17.2697 -61.8138 | 3.44027 -0.0111891 | -488.575 11332.1
-16.8741 -61.511 | 3.05007 -1.75859 | 3575.24 5453.69
-16.4607 -61.2237 | 4.29692 -3.32138 | 674.664 501.494
-16.0294 -60.9604 | 2.5962 -3.28578 | 4845.24 3096.02
-15.5769 -60.7286 | 1.18212 -2.00262 | -7052.98 -2340.66
-15.1096 -60.5432 | -0.952269 3.33354 | -2750.42 -13025.3
-14.6281 -60.4205 | -0.267728 1.13712 | -6689.92 9179.38
-14.1432 -60.3305 | 0.545843 -2.02722 | 394.999 972.862
-13.6526 -60.2811 | -1.22586 -0.567804 | 3771.58 -6285.5
-13.1572 -60.2814 | -2.60975 0.838641 | -631.996 10304.5
-12.6627 -60.3118 | -2.09964 -0.494259 | 661.9 -6785.01
-12.172 -60.3919 | -0.0140127 -4.4336 | 7892.12 -7980.88
-11.6842 -60.513 | 1.78025 -2.01338 | -10085.5 10440.2
-11.2055 -60.6382 | 0.474612 2.46069 | -2116.31 1916.56
-10.7298 -60.764 | 0.0605349 0.642692 | 2044.22 303.199
-10.2537 -60.892 | -2.09653 1.12352 | 692.832 -2080.46
-9.77777 -61.0257 | -2.03966 0.228799 | 3543.9 1501.33
-9.30091 -61.161 | 1.15833 -2.83927 | -9473.96 -39.1528
-8.83083 -61.3007 | -0.306503 1.45484 | 3928.13 -3200.68
-8.35746 -61.4416 | -0.970299 0.12947 | 11153.5 3667.1
-7.87317 -61.5712 | 0.191515 -2.9731 | 1861.16 -3270.95
-7.38651 -61.7 | 0.396108 -0.992392 | -9144.17 -2673.02
-6.90511 -61.828 | 1.39956 -0.590585 | 1901.43 10446.7
-6.42094 -61.9392 | -1.05502 2.86217 | 209.864 -6287.5
-5.93851 -62.0587 | -0.99261 5.398 | -5872.1 -6712.67
-5.46098 -62.187 | 1.50547 -0.579786 | 546.117 6684.93
-4.97884 -62.2953 | 0.399034 -0.143296 | 5696.35 -2415.04
-4.48795 -62.3816 | 1.15483 0.577766 | 1816.72 1509.94
-3.99102 -62.4385 | 0.650941 -2.32992 | -109.307 -2013.6
-3.49162 -62.4669 | 0.369422 0.715369 | -3795.59 1658.07
-2.99333 -62.4601 | -0.406799 2.65191 | 5855.11 -149.183
-2.4925 -62.4187 | -1.83082 -0.33996 | 6035.26 1508.24
-1.99211 -62.342 | 1.36182 -1.78902 | -9543.59 -9902.24
-1.50451 -62.2341 | 1.80958 3.04622 | 2149.33 10082.1
-1.03271 -62.0652 | -0.41607 -0.365781 | 40.1232 2943.18
-0.582819 -61.8445 | -1.58732 -4.28072 | -10998.2 -9026.65
-0.158921 -61.5936 | -4.61427 0.854352 | 6521.98 -563.112
0.251371 -61.3146 | 0.0191445 2.34984 | 5177.52 13867.9
0.64735 -61.0002 | 3.0198 1.55248 | 4984.87 -396.924
1.0392 -60.6759 | 0.041004 0.858224 | -3958.62 -9346.97
1.4284 -60.3573 | 1.56862 -0.0525657 | -1755.47 233.868
1.81517 -60.0373 | -1.32624 -0.270401 | 6944.43 2196.48
2.20319 -59.7128 | -3.10835 -0.886275 | -5579.88 1728.53
2.58023 -59.3794 | -2.30355 -2.54227 | -9540.02 -2477.82
2.94849 -59.0463 | 0.510392 -3.16851 | 1617.41 -6928.86
3.32824 -58.7305 | 2.09054 -0.504622 | 3204.34 4868.4
3.72429 -58.4282 | 3.63807 -1.82532 | 7348.59 4683.26
4.14155 -58.1438 | 0.911443 -0.679254 | 1444.21 427.789
4.57674 -57.8854 | -0.854967 3.31278 | -6676.41 -3108.75
5.02444 -57.6612 | -0.907289 -0.0776937 | -5192.58 -3804.26
5.48596 -57.4784 | -1.1018 -1.10129 | 6950.87 -1100.57
5.96676 -57.3354 | 0.698287 0.876729 | 13122.6 10723.9
6.46435 -57.2192 | 1.19268 -0.755544 | -15375.5 -9819.67
6.95941 -57.1503 | -0.297996 -0.886676 | -11693.1 112.52
7.44977 -57.1179 | -0.769054 -1.7568 | 10751.8 3388.55
7.94763 -57.1142 | 0.510776 -0.406411 | 3237.41 1526.53
8.44811 -57.1431 | 2.50438 2.56123 | 1232.55 -4739.53
8.94614 -57.2134 | 0.82134 2.23351 | -1885.61 3924.17
9.43831 -57.3155 | 0.25505 2.27243 | 8486.92 -6721.82
9.92782 -57.4555 | -0.455674 0.576887 | 1701.82 1965.51
10.4094 -57.6201 | 0.00375031 0.249701 | -15094.9 10467.5
10.8709 -57.8035 | -0.309941 1.57726 | -1876.71 -4793.73
11.314 -58.0247 | -0.241486 0.585879 | 4009.13 -3723.41
11.7421 -58.2796 | -0.189397 -3.81453 | -760.138 4319.12
12.1554 -58.5545 | -0.402011 -2.62639 | -1165.29 2592.18
12.5526 -58.8486 | 1.79619 -1.57497 | -3794.53 -1450.86
12.9303 -59.1652 | 4.35727 -1.83589 | 2805.38 -1520.63
13.2973 -59.4972 | 1.27408 0.717832 | 989.468 282.724
13.6592 -59.8372 | -2.89003 0.0918592 | 6225.46 -2950.02
14.0229 -60.1827 | 0.0967354 -0.530686 | -602.778 -7829.14
14.3853 -60.5337 | 2.86019 0.781705 | -4209.43 13537.1
14.754 -60.8666 | 2.39961 -1.91458 | 2052.81 -5399.4


-18.4149 85.7981 | 2.12234 -5.57018 | 671.52 4099.37
-17.9409 85.9629 | 1.57676 -1.81035 | 1641.8 -6312.4
-17.4716 86.1393 | -0.55396 0.225462 | -531.117 760.68
-17.0101 86.3348 | 0.744443 -2.89277 | 163.657 3300.57
-16.5585 86.5531 | -2.09539 -3.24871 | -3691 -4843.17
-16.1177 86.7855 | -0.539679 -1.59592 | 2797.03 1657.43
-15.6854 87.0366 | 2.968 0.888464 | -4510.68 7238.38
-15.2644 87.3071 | -1.04343 3.93631 | 7126.8 -8863.97
-14.837 87.5707 | -2.12092 2.70425 | 3802.84 6880.69
-14.4087 87.8403 | 0.341635 -0.228739 | -10093 4796.57
-13.9868 88.1115 | 1.32913 1.30328 | -4638.32 -15086.8
-13.5558 88.3517 | 3.31742 6.28705 | 4897.14 5973.07
-13.1102 88.5721 | 1.77514 4.6669 | 2150.2 -3709.11
-12.6522 88.7679 | 1.84424 -0.101917 | -2336.33 3750.44
-12.1886 88.9517 | 2.20287 -1.73973 | 4089.96 9825.92
-11.7145 89.1226 | 2.11905 -0.480691 | 4263.82 -9793.39
-11.2243 89.247 | 0.470141 0.905897 | 2265.88 1850.09
-10.7235 89.3314 | -1.63725 1.82828 | 532.334 -4819.46
-10.2178 89.3751 | 2.18103 -0.562836 | -6668.43 7412.89
-9.71503 89.3957 | 3.15673 -0.0108716 | -543.711 560.609
-9.21389 89.3798 | -0.5427 -1.28476 | -5300.35 -10107.3
-8.71997 89.3116 | -0.626231 -1.98186 | 4875.19 2286.96
-8.22804 89.2175 | -0.669452 1.50693 | -1674.33 4079.01
-7.74025 89.113 | 0.848654 1.07412 | -4826.09 6288.44
-7.25865 89.0003 | -0.412572 -0.0627728 | 896.792 -3421.97
-6.78356 88.8603 | -0.687373 0.895642 | 566.174 -5580.76
-6.31745 88.6892 | 0.618844 0.945498 | -942.878 6138.75
-5.85891 88.5051 | -1.36895 1.27115 | -3998.74 2367.74
-5.41037 88.3057 | -0.580215 -2.00046 | -409.712 -5517.01
-4.97016 88.0858 | 0.890656 0.427659 | 5112.57 2574.83
-4.52935 87.8615 | -1.31435 1.90567 | -127.307 -3030.8
-4.08966 87.6341 | 0.179331 1.17357 | -2693.07 12821.5
