6.44044 -42.7223 | -0.928114 1.71346 | 17404.1 -7480.53
6.84671 -43.0142 | -0.99647 1.65969 | 6677.12 -6705.02
7.27454 -43.2878 | -3.59649 2.32919 | -4619.42 6706.79
7.71673 -43.5294 | -4.01851 2.95218 | -3563.17 -3224.69
8.1709 -43.7433 | -0.325153 0.132197 | -13.1561 -867.294
8.6417 -43.917 | -2.47586 0.348738 | 4663.69 2491.28
9.13109 -44.0333 | -0.716042 0.621351 | -9003.98 4366.17
9.62522 -44.0864 | 0.605213 -0.426841 | 1042.66 2345.81
10.1223 -44.0849 | -2.50457 2.27385 | -147.896 -6309.05
10.6184 -44.0491 | -0.580534 0.154015 | 3952.99 1732.17
11.1129 -43.9754 | 2.22299 0.378403 | -1165.99 -2322.49
11.5997 -43.8672 | 0.666666 2.85735 | -7176.1 1408.33
12.0726 -43.7209 | -1.71442 -0.341921 | 8069.34 -729.195
12.5406 -43.5436 | -4.24422 1.50272 | 8411.16 3973.7
13.0017 -43.3329 | 0.868668 0.475931 | -7194.06 2347.6
13.4439 -43.0921 | 0.775749 -1.39266 | 18.9648 -12078.8
13.8726 -42.839 | -3.69721 -3.64697 | -11552.1 1041.56
14.2735 -42.5549 | -5.36047 -1.89629 | 3619.6 7027.66
14.6575 -42.2407 | -2.61902 0.420352 | 8954.84 2191.23
15.0382 -41.9144 | 2.33662 -0.910582 | -9466.61 -6944.58
15.411 -41.5891 | 0.696334 -0.363119 | 5550.76 567.807
15.7897 -41.2674 | -0.152805 -0.055394 | -2538.13 1244.32
16.1717 -40.9488 | -0.0937723 3.82588 | 7532.7 5098.82
16.5664 -40.636 | -1.0573 1.28922 | -1575.21 1897.15
16.9718 -40.3374 | 3.20788 -3.53376 | -5308.8 -8370.6
17.3909 -40.0696 | 3.17377 0.192255 | 731.276 8.84639
17.8275 -39.8299 | 3.85991 0.332962 | 6300.08 6909.13
18.2842 -39.6139 | 4.85852 -3.16029 | 10593 -638.835
18.7629 -39.4324 | 2.53082 -1.6185 | -7106.82 -855.949
19.2482 -39.2853 | 2.51543 1.21248 | -9098.01 -148.954
19.7347 -39.1759 | 2.41663 -2.20769 | -11060.6 -9303.42
20.2202 -39.1158 | 3.15444 -0.929398 | 1125.59 5530.5
20.7091 -39.0829 | 3.54044 0.969121 | 7699.36 2247.58
21.2059 -39.0753 | -0.560197 -0.505805 | 12631.4 -4070.33
21.7118 -39.0973 | 0.225304 -3.03335 | -1958.59 2127.92
22.2154 -39.1367 | 1.11707 -0.791673 | -8325 15495.4
22.7102 -39.1886 | 2.0625 -2.434 | -8359.27 -17061.8
23.1889 -39.306 | 1.73464 -3.95499 | 6486.3 2240.82
23.6574 -39.4674 | 3.09368 -1.97576 | -3887.54 5790.43
