-7.98784 -65.6758 | 0.430028 -0.79271 | -2510.83 1215.52
-7.49077 -65.6725 | 0.292891 -2.13646 | -11294.5 6791.9
-7.00153 -65.6852 | 0.421922 -4.48385 | 3691.71 1144.56
-6.51151 -65.7222 | -0.162197 -2.86519 | 6945.37 -2423.38
-6.02016 -65.7952 | 0.71259 -1.10293 | 715.651 -2000.43
-5.53418 -65.9053 | 1.54866 -0.899272 | -280.458 516.045
-5.05604 -66.0448 | 0.93962 0.0465352 | -1610.44 4763.2
-4.58643 -66.2053 | 0.316166 -1.34207 | 4009.76 1342.87
-4.1252 -66.393 | -0.369429 -2.24157 | -2942.97 -4511.93
-3.68144 -66.6186 | 0.263409 -0.0297875 | -1628.38 -2231.56
-3.25166 -66.8723 | 1.0565 1.35911 | 12172.6 -142.232
-2.81941 -67.1372 | 2.09165 2.84121 | 2325.12 -4426.99
-2.38878 -67.4118 | 1.26324 0.777909 | -2274.23 3427.03
-1.96011 -67.6849 | -0.982656 -3.56985 | -4195.98 2928.07
-1.53276 -67.9532 | -0.167573 -3.53936 | -1189.67 -4852.11
-1.10161 -68.2176 | 1.00427 -2.22814 | 8318.04 -428.003
-0.653236 -68.4611 | 0.907769 -0.143805 | -2493.19 5031.29
-0.19211 -68.6725 | 1.1727 -0.0792271 | -4755.42 2366.86
0.276807 -68.8534 | 2.2227 -0.384335 | -7263.25 -2150.22
0.750443 -69.0069 | 3.19467 0.875858 | 1680.45 2788.4
1.23623 -69.1213 | 2.54333 0.107779 | 12496.1 2335.77
1.73828 -69.1974 | 0.964045 0.708478 | 1130.19 -8644.01
2.24573 -69.2512 | -0.0319824 -2.52561 | -3085.03 6195.88
2.75316 -69.2656 | 0.105687 -6.35207 | -5782.07 2570.82
3.25603 -69.2453 | 0.304551 -3.95397 | -1379.97 -3747.08
3.75686 -69.2051 | 1.60162 -3.04103 | 8428.29 794.594
4.26134 -69.144 | 1.88153 -3.16666 | 1023.71 715.92
4.76414 -69.0616 | 0.229346 -0.356304 | -2825.6 -802.901
