37.6596 -57.0745 | 1.69584 1.10265 | -818.154 -4315.66
38.0724 -57.3518 | 0.341706 3.06481 | -3014.99 -871.587
38.4983 -57.6068 | 2.19955 2.37559 | 7789.47 654.642
38.9491 -57.8235 | 2.73189 0.83346 | -3336.81 1867.95
39.4169 -57.9959 | 1.85582 1.3811 | -368.592 -3996.7
39.8995 -58.1237 | -0.697242 0.817258 | 6825.34 6700.36
40.398 -58.1919 | -1.13184 -0.914079 | -1852.45 -1619.81
40.9003 -58.216 | 2.25402 -1.83156 | -410.205 -2154.36
41.4028 -58.2048 | 2.93121 -0.117069 | -694.997 -4864.63
41.903 -58.159 | 0.395633 0.183576 | 3742.24 6265.74
42.3982 -58.0595 | -1.91615 2.92142 | -987.316 1824.45
42.8803 -57.9105 | -1.28511 1.81798 | -3916.69 -3759.27
43.3444 -57.7235 | 2.37705 -1.73904 | -5170.21 -5212.03
43.7861 -57.5003 | 1.02107 3.52613 | -1850.5 3728.97
44.2023 -57.2327 | -1.80741 3.24916 | 4573.66 2084.71
44.5979 -56.9294 | -0.816172 1.6219 | 839.515 2546.59
44.9741 -56.5996 | 0.749216 2.81005 | 2394.97 -8088.95
45.3361 -56.258 | 4.10157 -1.19859 | -7439.4 4303.64
45.6729 -55.8942 | 3.64161 -1.03425 | 2312.74 -3810.18
45.9983 -55.5211 | 2.9473 0.0551955 | 2051.7 3258.94
46.3167 -55.1384 | 2.30034 -0.640223 | -239.936 4118.76
46.6316 -54.7502 | 2.97191 -0.947515 | -181.169 -6753.43
46.9531 -54.3711 | 5.28304 0.111994 | 2627.05 4072.73
47.2851 -53.997 | 1.59871 -0.526033 | 1869.06 -882.236
47.6283 -53.6313 | -0.487475 -0.992395 | 3515.5 893.56
47.9796 -53.2699 | 0.144684 -1.00209 | -764.097 3496.95
48.3293 -52.9048 | -4.20064 3.53974 | -1874 2842.45
48.6751 -52.5365 | -2.2265 0.447236 | -6480.16 -7924.48
49.0203 -52.1778 | -3.08962 0.257523 | -5608.94 -792.186
49.3733 -51.831 | -1.45036 0.889224 | 12985.1 3492.14
49.7552 -51.5048 | -1.86845 3.03768 | -3290.56 1029.55
50.1559 -51.2018 | -2.62287 4.30501 | 650.638 721.024
50.5783 -50.9286 | 1.57569 1.81085 | 1158.58 376.824
