32.3521 -53.6639 | 3.79054 1.11739 | -4313.93 -45.5038
32.7592 -53.95 | 3.77486 -0.740233 | 5056.59 -6713.48
33.1846 -54.2188 | 3.30152 2.94785 | 7504.73 3668.32
33.6337 -54.4531 | 2.80009 4.19388 | -4862.38 1907.24
34.0935 -54.6568 | 2.46663 3.20441 | -8900.5 -812.853
34.5579 -54.8351 | 1.05434 0.857416 | 4879.23 -1126.45
35.0359 -54.982 | 1.19833 -0.801811 | 3398.26 1289.9
35.5255 -55.0904 | 0.24475 1.99727 | -8320.1 2646.25
36.0163 -55.161 | -2.17852 1.42841 | -1298.06 -1591.22
36.5098 -55.2024 | -2.32368 -0.625722 | 8427.09 -4336.59
37.0101 -55.2175 | 0.22707 -4.54968 | -2214.59 5107.48
37.5086 -55.1945 | 0.699899 -3.08329 | -6737.8 -6935.85
38 -55.1434 | -1.84131 -0.740887 | 1258.89 607.847
38.485 -55.0492 | -1.44976 -2.76642 | 588.963 12971.2
38.9593 -54.902 | -0.202302 -2.8481 | 834.054 -10589
39.4285 -54.7435 | -1.54657 0.331457 | -768.119 -7187.74
39.8924 -54.5751 | -2.51181 0.660451 | -1326.15 14843.6
40.3464 -54.3724 | -3.71322 -0.437795 | 11697.1 -4638.84
40.8062 -54.1662 | -2.93487 0.359726 | -20.3084 -261.249
41.2662 -53.9576 | -1.26031 -0.577143 | -186.402 592.758
41.7248 -53.7452 | -1.65181 0.8749 | 1691.12 1181.2
42.1827 -53.529 | -0.472236 0.896565 | -7447.92 4110.75
42.6368 -53.3122 | 0.668099 -4.52221 | 5010.38 -8240.66
43.1022 -53.1197 | 0.0401435 -6.70438 | 1886.83 292.687
43.5753 -52.9434 | -0.50541 -3.63309 | -3636.07 8093.31
44.0501 -52.7748 | -0.240072 -2.01222 | -4542.12 -10933
44.5304 -52.6392 | 1.583 -0.423342 | 3476.86 3339.11
45.019 -52.5241 | 1.91484 -1.67349 | 6883.08 3585.7
45.5166 -52.4279 | 1.5066 0.195223 | -5203.21 -938.724
46.015 -52.3586 | 2.55917 -0.620064 | -5580.04 -3976.39
46.5123 -52.3232 | 0.950403 -0.539253 | -1029.73 -1657.62
47.0091 -52.3143 | -0.853111 -0.374486 | -232.529 981.385
47.5061 -52.3174 | -1.596 -0.832823 | 6506.86 5786.36
48.007 -52.3212 | -0.0285824 -2.31961 | -4565.72 -875.893
48.505 -52.3371 | 1.20984 -4.16677 | -4061.96 -473.127
48.9994 -52.3717 | -0.114177 -1.95754 | 4373.44 653.225
49.4948 -52.4284 | -1.56965 0.214782 | 3228.21 522.423
49.9895 -52.5135 | -1.74622 -3.12629 | 6260.36 -8145.12
50.4816 -52.637 | -0.629169 -1.16158 | -3684.44 5848.52
50.9649 -52.7808 | 1.47442 -0.287107 | -3778.51 5281.05
51.4372 -52.9475 | 0.965854 -1.75189 | 3647.45 -12953.2
51.898 -53.1567 | 1.22593 2.93338 | 5142.78 5492.26
52.3517 -53.3852 | 0.772671 0.575016 | -9827.42 -5571.19
52.7891 -53.6357 | -0.0893562 -2.24642 | 1375.23 4931.88
53.2273 -53.8827 | 1.05235 -1.68895 | 5696.29 1483.78
53.6747 -54.1184 | 0.787212 -2.005 | -1566.81 -3590.49
54.1259 -54.3453 | -0.333858 0.737973 | -8974.96 3682.41
54.5797 -54.5501 | 1.0224 2.37099 | -1896.48 4629.18
55.0439 -54.7216 | 0.528891 0.366032 | 6347.88 465.252
55.522 -54.8633 | 0.644907 -1.63902 | -855.691 -1627.09
56.0054 -54.9859 | 2.4801 -0.319902 | -5175.16 -6834.48
56.49 -55.0951 | 2.16752 -0.182057 | 2927.05 2389.98
56.9835 -55.1673 | 1.4799 -1.06478 | 9415.5 2574.37
57.4876 -55.1907 | 0.659051 1.26671 | -5886.83 1985.98
57.9884 -55.1663 | -0.830633 -0.317855 | -3537.43 -6826.02
58.4826 -55.103 | -1.36239 0.906696 | 1999.94 11528.2
58.9686 -54.9848 | -1.05702 2.47966 | -3964.1 -4838.89
59.445 -54.8408 | 0.981683 2.47787 | 5606.41 -5707.68
59.9197 -54.684 | 1.90513 1.79665 | 242.301 5387.77
60.3871 -54.5019 | 0.673989 -0.0744356 | 1138.44 -7994.9
60.8466 -54.3023 | 2.73326 -0.97519 | 477.048 9687.14
61.2899 -54.0626 | 6.02967 -2.83554 | -3168.25 -3966.46


-25.963 -38.8245 | -1.2383 -0.783959 | 4406.62 -4314.9
-25.4908 -38.653 | 0.169523 1.61068 | -2249 7411.12
-25.0269 -38.4618 | 3.03595 0.249013 | -8820.53 -1870.83
-24.5716 -38.2647 | 0.70678 -0.180385 | 3836.77 -1287.75
-24.1108 -38.0771 | 0.236415 1.60037 | 4181.52 -2696.57
-23.641 -37.9067 | 1.95156 1.82926 | -1572.21 2807.49
-23.1674 -37.7471 | 0.908012 0.0647202 | 85.0895 -581.783
-22.6892 -37.6025 | -1.96914 0.837984 | 843.316 -874.471
-22.2067 -37.4747 | -1.95295 -0.0719417 | -8766.5 5863.58
-21.7257 -37.3619 | 1.65996 -0.822373 | 340.155 -9559.48
-21.2382 -37.2898 | 1.76029 -0.546628 | 4182.02 6993.81
-20.744 -37.2448 | -0.0439297 -1.19913 | 3676.34 -442.091
-20.2453 -37.2382 | 0.457761 -1.78841 | -5866.31 -7724.14
-19.7518 -37.2767 | 2.54633 2.85373 | -1892.3 12462.5
-19.2625 -37.3336 | 4.37468 4.69316 | 2241.16 -435.294
-18.7779 -37.4298 | 4.89279 3.18655 | 3066.19 -5034.93
-18.3041 -37.5826 | 1.15741 2.34289 | 6233.86 -4361.76
-17.845 -37.7898 | -0.06809 3.69011 | -1801.89 -1421.93
-17.407 -38.0398 | 0.638872 3.62543 | 1280.97 2682.27
-16.9848 -38.3174 | 2.92581 2.43588 | 6546.78 -6441.8
-16.5746 -38.6217 | 0.479024 0.968812 | -6541.48 3706.38
-16.1808 -38.9395 | 0.219957 2.79382 | -2637.27 4295.44
-15.7959 -39.2621 | -2.41305 0.841723 | 5099.65 1958.49
-15.4135 -39.5886 | -3.00313 0.143157 | -7352.12 -3075.31
-15.0453 -39.9279 | -3.08761 -0.48845 | -2384.73 -1817.71
-14.681 -40.2702 | -4.70359 -3.9459 | 6601.83 5892.18
-14.302 -40.5968 | -2.41403 -1.98192 | 887.496 1863.97
-13.915 -40.9138 | 1.23827 3.51044 | -2284.74 -5343.29
-13.5308 -41.2341 | 1.22046 2.90815 | -9396.6 2038.47
-13.1512 -41.5496 | -1.57445 0.241168 | -4474.21 5283.14
-12.7611 -41.8433 | 3.29433 3.4427 | 7818.55 1920.01
-12.3469 -42.1067 | 2.78364 3.69963 | -2820.98 1090.21
-11.92 -42.3474 | -0.229236 -1.4665 | -635.24 -13509.5
-11.4837 -42.5784 | -0.346575 -2.25192 | -1047.34 3925.91
-11.0279 -42.7659 | -0.740646 0.631422 | 8843.28 2922.13
-10.5457 -42.8922 | -2.20818 1.75058 | 9527.3 1731.14
-10.0464 -42.9607 | -2.64548 -0.101642 | -20365 -1209.38
-9.55583 -42.9879 | -1.25955 -0.820223 | -958.737 1175.93
-9.06609 -42.983 | 1.24029 1.32956 | 10961.3 -9583.57
-8.57035 -42.9617 | 1.0217 1.95542 | -6729.82 5018.2
-8.08034 -42.9024 | -0.690891 2.12238 | 4355.68 4310.63
-7.59243 -42.8067 | -0.0152278 0.409346 | 6607.14 -7099.41
-7.10447 -42.693 | 0.184244 0.875582 | -1838.1 2469.23
-6.62513 -42.5486 | 1.55418 1.13323 | -1374.06 2162.1
-6.15816 -42.3726 | 1.96809 -2.84319 | -9685.1 -3573.08
-5.70693 -42.175 | 2.4782 0.0760223 | 6712.11 -1886.16
-5.25846 -41.9622 | 2.42177 4.43772 | 6829.97 8487.1
-4.81235 -41.7268 | 2.74464 2.09806 | 2864.85 4030.78
