-28.1369 63.0337 | -0.973778 1.40761 | -5714.63 2978.67
-27.7741 63.3839 | -0.257216 2.92407 | 1980.23 174.798
-27.3986 63.7208 | 2.27319 0.639568 | 935.896 -6880.62
-27.0059 64.0329 | 1.5349 0.561329 | -7868.46 2097.13
-26.6041 64.3276 | 0.242632 1.93127 | 6805.5 7.39039
-26.1809 64.596 | 0.512822 -0.986006 | -525.442 -2856.62
-25.7428 64.8354 | -2.0469 1.00065 | -11875.4 -2074.9
-25.3009 65.051 | -2.92853 1.79052 | 5320.29 -2182.9
-24.8463 65.2438 | -1.72575 -0.386175 | 4135.92 7762.66
-24.3842 65.4282 | -1.13668 0.106365 | -7555.67 -736.119
-23.9218 65.595 | -1.28477 1.07398 | -12624.2 -8369.63
-23.4606 65.7308 | -1.94176 1.02858 | 563.676 501.861
-22.9938 65.8459 | -1.61534 0.539638 | 9273.81 10871.7
-22.5165 65.9513 | -0.56061 1.99675 | 1817.81 -5724.84
-22.0311 66.0234 | 0.710615 2.94424 | -473.263 2697.11
-21.5417 66.0667 | 0.462748 1.84277 | 4062.52 3337.65
-21.0478 66.0782 | -0.551383 3.75233 | -1549.83 -4229.81
-20.556 66.0445 | 0.189749 1.07095 | -3973.1 5241.04
-20.0715 65.9731 | 0.807285 -2.21024 | -382.085 -1973.39
-19.5954 65.8552 | -0.293609 -0.220582 | 7957.84 -6441.9
-19.1239 65.6931 | -0.712873 0.0192737 | 11412.1 -1742.92
-18.6512 65.5074 | -1.44577 -1.02454 | 1565.95 2278.47
-18.1806 65.3124 | 0.436166 -2.01462 | -3039.51 3897.44
-17.7159 65.1114 | 0.541332 -1.79338 | -5094.77 -4532.99
-17.2599 64.8968 | -1.14549 -0.158284 | 966.594 -188.405
-16.8035 64.6824 | 0.210842 1.21912 | 3121.84 4081.8
-16.3401 64.4819 | -0.984823 -0.158286 | -1819.62 1918.1
-15.8737 64.2928 | -2.61942 0.833622 | -903.965 -829.942
-15.4063 64.1075 | 0.037 0.899998 | 566.886 -1925.48
-14.9389 63.9226 | 0.094882 -1.54648 | -5994.41 1806.36
-14.4745 63.7423 | -1.11854 -1.35498 | -2733.46 947.899
-14.0093 63.5697 | -1.92641 -0.785386 | 4905.19 -2552.84
-13.5363 63.4071 | -1.3837 -1.09723 | 5201.18 1008.81
-13.0537 63.2612 | -0.909919 0.259624 | 1734.76 -1940.7
-12.5653 63.1302 | -2.18253 0.822161 | -5708.73 -1586.4
-12.0761 63.0176 | -0.465243 2.75793 | -3420.3 1938.34
-11.5835 62.937 | 1.97335 -0.996534 | 3002.83 -522.004
-11.0845 62.8965 | 3.65114 -3.31586 | 1364.29 3246.19
-10.5832 62.9054 | 2.08131 1.1544 | -1761.28 -2599.37
-10.0866 62.9586 | -2.37083 1.46 | -8935.82 7106.28
-9.60265 63.0602 | -2.71753 0.111263 | 3730.65 -4333.97
-9.12044 63.181 | -1.10581 -0.749289 | 14798.1 608.51
-8.63108 63.3121 | -1.62211 -1.32964 | -6810.11 1803.17
-8.14717 63.4509 | -2.43451 0.113943 | -4729.13 -4967.86
-7.66545 63.5834 | -2.23717 1.45084 | 7710.34 -4716.73
-7.17781 63.7115 | -0.706777 0.78291 | 4941.16 6820.82
-6.69097 63.86 | -1.49607 1.2574 | -4015.29 -1116.86
-6.21461 64.0315 | -4.20808 2.16115 | -7041.04 1966.05
-5.75296 64.2304 | -2.75796 0.831033 | 4010.1 8150.27
-5.29553 64.4488 | 2.31049 -1.66893 | 7406.26 -12283.1
-4.83147 64.6545 | 0.725618 0.857841 | -12383.2 2149.58
-4.37635 64.8647 | -2.29655 1.31648 | 1714.19 8009.19
-3.9196 65.0773 | -2.41958 1.8064 | 7557.22 -10599.4
-3.44852 65.2629 | 0.145927 3.29471 | -789.351 5042.5
-2.97141 65.4369 | -0.201501 2.33101 | 3385.26 167.254
-2.48763 65.596 | -2.54283 -0.591298 | -6986.37 -4470.16
-2.00464 65.7377 | -1.2472 -0.639407 | -5733.96 3194.82
-1.52439 65.87 | 0.874405 0.967352 | -7861.92 910.331
-1.04599 65.9831 | -0.433782 1.22465 | -4048.36 -5377.09
