-4.30475 -38.4468 | 1.96296 -1.4528 | -5352.16 -3950.05
-3.81406 -38.3379 | -1.51351 -2.87686 | -7886.21 -3185.7
-3.32336 -38.265 | -1.18479 1.25309 | -4212.49 7835.68
-2.83078 -38.2183 | 1.78881 0.921909 | 19982.5 -971.401
-2.32382 -38.2198 | 4.37704 -0.341886 | -6275.35 -11142.2
-1.82396 -38.2845 | 4.22133 0.0721868 | -11883.5 6779.1
-1.33826 -38.3827 | 1.44775 -1.79001 | 1922.39 1329.87
-0.856857 -38.5059 | 1.82097 -2.9913 | 13954.5 -1836.93
-0.37109 -38.6524 | 1.97812 -3.31611 | 7801.23 -2024.51
0.112205 -38.8243 | -1.24267 -2.40475 | -11678.3 3817.46
0.575627 -39.0228 | -1.89564 -2.08684 | -9523.16 3806.13
1.01493 -39.2522 | -3.43764 -1.0381 | 1681.03 -384.491
1.43331 -39.5176 | -0.970294 1.01146 | -2701.75 -6376
1.82812 -39.8213 | -0.631001 -0.750937 | 12644.8 -5016.61
2.21791 -40.1456 | -0.850872 0.81923 | -1060.05 3568.26
2.59951 -40.4761 | 1.04923 0.983437 | -10866.1 9046.56
2.9672 -40.8072 | 0.584672 4.08319 | -2321.03 -614.687
3.32871 -41.1431 | -2.26223 2.51049 | 7288.19 -7354.07
3.69762 -41.4819 | -1.18562 0.121075 | 4370.34 -5734.75
4.07985 -41.8122 | 2.57029 1.31873 | -7223.01 15082.9
4.47544 -42.1105 | 2.08444 1.65215 | -4133.39 -3592.2
4.88219 -42.3891 | -1.82747 -0.00149928 | -673.432 -2167.97
5.30593 -42.6415 | -1.08378 0.523492 | 4176.57 2078.32
5.75331 -42.8537 | 1.12203 -0.0483812 | 808.38 -39.6752
6.21865 -43.0255 | -0.781057 0.00590204 | -776.126 -3831.22
6.69572 -43.1606 | -2.16962 -1.35825 | -6088.61 2041.51
7.17924 -43.249 | -1.22743 2.67026 | 1835.07 -2441.26
7.67008 -43.2883 | -1.53455 1.26423 | 896.511 3641.08
8.16372 -43.2703 | 0.159402 -0.242049 | 5369.94 1799.2
8.65851 -43.2055 | 1.60747 5.62588 | 7384.09 -8109.17
9.15361 -43.1118 | 2.11247 4.40965 | 167.837 6340.78
9.63818 -42.9725 | 0.0103102 0.683347 | -11666.8 -2786.62
10.1012 -42.7962 | -0.303449 1.19167 | -6667.38 -2395.99
10.5464 -42.5924 | 0.671233 0.966305 | 5738.17 -544.514
10.9854 -42.3709 | -0.350584 -0.200453 | -2824.04 766.204
11.4159 -42.1366 | -0.183194 -1.77775 | -4077.39 -2757.16
11.8424 -41.902 | 2.41177 -4.1954 | 3329.34 -1217.05
12.2753 -41.6747 | 1.48126 -1.24576 | 9701.09 5728.89
12.7185 -41.4524 | 1.55451 -1.8395 | -11508 -4807.77
13.161 -41.2436 | 0.723679 0.732675 | 6200.5 -219.908
13.6141 -41.0484 | 1.80851 1.0647 | 7628.9 6966.61
14.078 -40.8586 | -1.35065 3.54167 | 1778.88 2766.42
14.5514 -40.6816 | -3.56034 4.2457 | 12554 -5317.64
15.041 -40.5305 | -3.15928 6.52905 | -8550.26 4170.64
15.5296 -40.39 | -1.27955 5.57599 | -4188.14 1471.38
16.0197 -40.266 | 2.99067 2.62639 | 5334 -5639.91
16.518 -40.1744 | 1.12294 3.00655 | -8078.43 732.367
17.0148 -40.1085 | -2.00255 1.29609 | -5366.38 4841.93
17.5102 -40.0682 | -1.36407 -2.32164 | 4178.09 -6909.92
18.0086 -40.0738 | 1.38734 -1.15721 | -5563.48 73.5686
18.5022 -40.1167 | 3.97097 0.211037 | 5485.61 2949.95
18.9943 -40.1861 | 0.116744 -0.502084 | -11984.1 -3300.46
19.4739 -40.2821 | 0.925768 -1.92603 | -4325.5 6031.09
19.9483 -40.3839 | 3.58854 -1.37859 | 13159.1 5332.64
20.4287 -40.4919 | 3.09524 0.925196 | -4174.19 -5707.44
20.9 -40.6324 | 1.28127 -0.413812 | -1252.58 84.5529
21.3601 -40.8045 | -0.989291 4.52142 | 4041.05 5246.49
21.8115 -41.0042 | -3.11287 -0.0749321 | 7025.88 -8206.84
22.249 -41.2498 | -1.38714 1.04728 | 6744.39 -13011.9
22.669 -41.5401 | 0.363286 1.74098 | -6275.55 10726.3
23.0712 -41.8419 | 2.44233 3.15198 | -11570.2 7316.89
23.4577 -42.1477 | 2.25774 3.59066 | 4374.47 -1676.31
23.8455 -42.4551 | 0.0362042 2.76736 | 8631.22 833.235
24.2407 -42.7603 | -0.891944 2.40504 | -6173.92 -9520.87
24.6293 -43.0738 | 0.138856 3.64037 | -6095.49 15518.1
25.0213 -43.3672 | 1.74821 4.83718 | 1302.93 -1336.44
25.4202 -43.651 | 2.53511 3.56261 | -670.165 -5428.02
25.8237 -43.9315 | 1.17407 -0.897495 | -2944.56 -125.286
26.2371 -44.1971 | -0.298034 -0.770864 | 11262.8 -4955.39
26.6758 -44.4364 | -3.2157 -2.66117 | 6502.5 5174.76
27.1374 -44.6357 | -3.10288 -2.50225 | -9856 -42.7138
27.6035 -44.8076 | -2.42733 -1.82644 | -3586.82 -631.128
28.074 -44.957 | 0.246508 -2.0211 | -4398.26 -4410.41
28.5504 -45.083 | -2.48946 0.135138 | 15273.2 -2417.45
29.0463 -45.1668 | -2.95373 -0.28346 | 3019.87 4560.37
29.5517 -45.1893 | -0.546583 -1.21082 | -6264.42 3645.49
30.0538 -45.1503 | -1.61615 0.556713 | 11354.6 2050.3
30.5574 -45.0632 | -1.71688 3.74058 | -1081.97 -4345.39
31.0528 -44.9435 | -1.36933 4.27214 | -13565 -2197.05
31.5295 -44.7901 | 0.0475222 -2.05941 | 5535.95 7997.03
31.997 -44.6012 | 0.866365 -4.24654 | 194.736 -12547.1
32.4565 -44.4017 | -0.490205 -1.66839 | -5203.9 3530.11
32.8977 -44.1718 | 0.0606817 0.464806 | -11431.8 3095.86
33.317 -43.9132 | 0.339743 -0.933236 | 16620.7 -5535.2
33.7426 -43.6496 | -0.80522 -2.07369 | 6985.85 9233.07
34.1638 -43.3654 | -1.41176 -0.292093 | -7666.87 -9015.26
34.5667 -43.0666 | -2.83552 -0.0140742 | -4814.75 9182.82
34.9461 -42.7381 | -1.36997 0.490768 | 1914.67 -5296.17


-17.9413 29.7403 | 0.903342 3.21402 | 2173.95 4337.74
-17.4608 29.8856 | 0.222079 -1.2779 | -5425.02 -8564.21
-16.9879 30.0371 | -4.78259 0.532505 | -1936.6 3733.48
-16.521 30.2037 | -4.88848 0.4431 | 3771.01 -2651.75
-16.0545 30.3774 | -1.85219 -2.00955 | 3835.28 2426.39
-15.5896 30.5638 | 0.0837208 -0.543867 | -274.322 -2306.03
-15.1311 30.7626 | -0.739544 3.63396 | -9460.72 264.209
-14.687 30.9812 | -0.227156 -0.000253819 | 7928.46 9272.4
-14.2436 31.2176 | 1.18012 -1.28024 | 8080.09 -6100.99
-13.7924 31.4462 | -0.632957 1.11487 | -9632.16 -1665.94
-13.3453 31.6719 | -3.18287 3.39325 | 3249.84 7835.65
-12.8937 31.8975 | -1.94292 1.06444 | 6378.94 -4316.54
-12.4276 32.1012 | -2.43775 0.0894877 | 3611.67 4166.62
-11.9497 32.2836 | -4.41965 1.54447 | -8245.54 -2700.57
-11.4665 32.4321 | -2.94855 -0.342282 | -4141.83 -2481.11
-10.9753 32.5351 | -1.01197 -1.45575 | 7293.74 -737.265
-10.4725 32.5859 | 1.28584 -0.110238 | -5304.08 819.634
-9.97013 32.5824 | -1.1816 -3.09786 | -1899.01 -7440.5
-9.4721 32.5183 | -3.13238 -2.33314 | 9280.69 2137.91
-8.97458 32.4164 | 0.21513 -0.701286 | -3845.76 2824.54
-8.48609 32.2863 | -0.876096 -1.89857 | -3474.28 -1426.13
-8.00839 32.1282 | -2.66389 -1.85925 | 1284.09 3289.03
-7.53786 31.95 | -0.971949 -0.9933 | 6119.4 4580.01
-7.07604 31.7462 | -1.60692 -0.363571 | -6215.72 -2838.11
-6.64489 31.4914 | -1.73758 -0.205847 | -11156.1 -4136.58
-6.25779 31.1801 | -0.761655 -0.323349 | 8019.75 -5623.57
-5.89492 30.8326 | 0.262589 -0.634127 | -913.373 8416.13
-5.5483 30.4753 | -1.79948 0.0122098 | -8628.85 8365.33
-5.21766 30.1134 | -3.47863 1.22005 | 6775.46 -7754.78
-4.88837 29.741 | -1.09349 -1.47171 | 4431.74 -9567.41
-4.55408 29.3627 | -2.82759 -4.17992 | 5823.32 4917.29
-4.205 28.9979 | -4.23409 -0.0850693 | -7813.62 9407.31
-3.85402 28.6473 | -1.15825 1.74124 | -10223.7 -39.1114
-3.50764 28.2993 | -1.96328 -0.625425 | 13201.4 -4562.01
-3.14588 27.9568 | -0.82592 2.37472 | -6913.53 1511.6
-2.78184 27.621 | -0.758148 4.30925 | -2109.69 -3197.54
-2.40966 27.2942 | -1.30514 0.174339 | 4301.94 4069.26
-2.01614 26.9916 | 1.62374 -2.17945 | 2143.58 -2899.88
-1.60343 26.709 | -1.28883 -3.80919 | 8810 -7388.96
-1.17035 26.4447 | 0.595666 -0.741883 | -8095.12 8404.92
-0.727227 26.2106 | 0.926357 0.631048 | -1533.81 -4379.18
-0.273597 25.9975 | -1.04677 1.3541 | 6502.77 -644.898
0.197179 25.814 | -0.388794 1.15193 | -99.9105 2162.81
0.68 25.6651 | -1.22328 -1.71255 | 21.7931 1736.44
1.17015 25.5479 | -0.910674 -0.565512 | -9840.53 -2848.64
1.65897 25.4535 | 1.44322 -2.42135 | 1383.42 77.1933
2.15328 25.3891 | 2.14871 -0.329129 | 9023.79 342.286
2.65578 25.3612 | 3.06427 2.56622 | -13334.5 -878.79
3.1516 25.372 | 0.612829 2.03422 | 8617.93 1951.29
3.64956 25.4269 | 1.14571 3.28777 | 3914.47 2984.26
4.14419 25.5242 | 1.97306 3.25627 | -5569.25 -5509.73
4.62783 25.6518 | 0.309669 -0.169929 | -250.95 4744.57
5.10048 25.8162 | 0.689509 1.62489 | -830.924 1381.21
5.56479 26.0053 | 2.35411 0.38953 | 9052.67 -2807.24
6.03136 26.203 | 0.335761 -1.86436 | 2149.58 5783.66
6.49511 26.413 | 2.33988 -5.20634 | -9613.37 -10166.4
6.95102 26.6202 | 0.782089 -4.96996 | -1745.08 4774.32
7.40238 26.8363 | 1.74804 -3.40494 | 6993.15 1004.47
7.85809 27.0533 | 0.554524 -0.995706 | -548.578 -3190.89
8.31471 27.2668 | -1.57319 -1.34624 | -3206.94 6678.71
8.7687 27.484 | -0.19552 -2.11251 | -3744.18 -7845.4
9.22627 27.6848 | -2.23922 1.57907 | 6029.01 7572.74
9.69492 27.8737 | -0.571998 2.56669 | 4696.72 -2097.5
10.1779 28.0331 | -0.35709 4.18033 | 1324.09 -6229.08
10.6715 28.157 | -1.373 2.76559 | -775.165 10188
11.1684 28.263 | -0.215543 -0.826102 | -14608.5 -5892.24
11.6617 28.3273 | -2.69224 -3.17911 | 698.452 -2807.17
12.1581 28.3421 | -2.62888 -1.03743 | 6616.72 -4692.91
12.6579 28.3115 | 1.19112 0.946736 | -5121.62 13317.4
13.153 28.2597 | 0.939428 -2.12024 | 6065.62 -5014.09
13.6447 28.1593 | -1.63959 -2.34989 | -1663.62 -10678.6
14.1224 28.0018 | -2.08619 -3.52915 | -1893.14 7300.4
14.5892 27.8199 | -1.04431 -2.7413 | 4289.93 1148.07
15.0503 27.6195 | 1.28412 0.588201 | -4221.46 -5660.44
15.5013 27.3987 | -0.544939 3.7699 | 5847.82 7036.75
15.9533 27.1793 | -3.96839 2.39988 | -9528.02 3417.65
16.3955 26.955 | -3.44366 -0.382698 | -596.971 -2000.12
16.8313 26.7182 | 0.0557191 0.279352 | 14039.6 4909.9
17.267 26.4693 | 2.11456 1.2873 | -12431.4 -9528.39
17.6726 26.1787 | -1.35647 1.85949 | 2326.41 -361.948
18.0582 25.8614 | -6.24586 -0.949685 | -3256.51 9007.14
18.427 25.5327 | -3.12018 -2.24006 | 186.786 -4727.44
18.7803 25.1855 | -0.27784 -0.0333278 | 2838.1 -244.791
19.1236 24.828 | -2.23952 3.28553 | -15297.1 6493.9
19.4521 24.469 | -3.20862 0.223836 | 9254.74 -4615.4
19.7979 24.1183 | 1.32492 -3.27444 | 8567.84 -2843.86
20.171 23.7867 | 4.44204 -3.23368 | -4169.86 -4037.18
20.5639 23.4781 | 0.272239 -1.60212 | 2665.4 2251.4
