-24.7026 -70.6003 | -0.725046 0.604677 | -203.261 -314.615
-24.2127 -70.4903 | -0.378144 -0.586741 | 205.678 52.5025
-23.716 -70.4168 | -0.221437 -0.989371 | 291.792 -501.968
-23.2148 -70.3848 | -0.19368 -1.81384 | -585.831 -990.831
-22.7132 -70.3971 | -0.183964 -1.90863 | -637.802 -452.899
-22.2148 -70.4525 | -0.0273367 -1.87957 | 670.931 -78.6248
-21.7219 -70.5479 | 0.0998944 -1.86221 | 998.478 533.223
-21.237 -70.6805 | 0.252518 -1.23868 | 75.3966 -790.722
-20.7634 -70.8505 | 0.324374 -0.404671 | 428.995 -695.181
-20.3031 -71.0556 | 0.322326 0.138574 | 707.962 -1018.66
-19.8572 -71.2925 | -0.201209 -0.461318 | -214.005 -2371.02
-19.4255 -71.5561 | -1.00927 -1.44129 | 572.494 356.15
-19.003 -71.8347 | -1.90602 -2.54962 | 873.76 1871.61
-18.5851 -72.1199 | -2.98278 -3.51216 | 269.486 281.678
-18.1708 -72.4104 | -4.04027 -4.37086 | 293.591 -42.4704
-17.76 -72.7062 | -4.55687 -4.89321 | -443.758 68.5491
-17.3535 -73.0073 | -4.59004 -4.9201 | -916.952 194.931
-16.9516 -73.3132 | -4.25808 -4.45307 | -1345.44 -502.693
-16.5533 -73.6226 | -3.52329 -3.40552 | -780.524 508.493
-16.1549 -73.9301 | -2.84329 -2.70788 | -1283.03 100.825
-15.7522 -74.2303 | -2.09747 -2.24237 | -1352.37 -362.467
-15.3398 -74.5153 | -2.2749 -2.8075 | 296.757 1561.54
-14.9107 -74.7729 | -3.12144 -4.23918 | 689.501 2338.35
-14.4626 -74.9948 | -3.65224 -5.30324 | -214.989 830.6
-13.9989 -75.181 | -4.03684 -6.41538 | -573.024 -351.796
-13.5237 -75.3346 | -3.9792 -6.38491 | -393.879 -1293.63
-13.0397 -75.458 | -3.7142 -5.14541 | -250.527 -1628.48
-12.5486 -75.5486 | -3.52671 -4.39137 | -430.296 695.423
-12.0523 -75.5982 | -3.31705 -3.4804 | -1159.77 1660.49
-11.5546 -75.6019 | -3.0627 -2.48998 | -1060.86 -643.344
-11.0593 -75.5628 | -2.59528 -2.14701 | -15.084 -960.305
-10.5691 -75.4834 | -2.16705 -2.27194 | 159.501 461.265
-10.0869 -75.3641 | -1.83222 -2.50507 | -356.978 -1043.45
-9.61554 -75.2092 | -1.59985 -2.50846 | -839.966 -632.784
-9.15736 -75.0208 | -1.32452 -2.67634 | -135.717 -165.237
-8.71332 -74.8015 | -1.096 -2.57115 | 495.355 251.518
-8.28329 -74.555 | -0.864286 -2.58655 | 558.138 -90.3749
-7.86622 -74.2865 | -0.307955 -2.92122 | -458.233 815.949
-7.46063 -74.0006 | -0.0155426 -2.66328 | 291.029 197.931
-7.06132 -73.7054 | -0.330708 -1.97227 | 2253.06 -2043.82
-6.66222 -73.4092 | -0.76903 -1.50082 | 836.491 -1069.79
-6.26448 -73.1111 | -0.812232 -1.97197 | -716.712 28.3934
-5.87249 -72.8063 | -0.697672 -2.7213 | -1166.65 544.823
-5.48924 -72.4915 | -0.500195 -3.3556 | -1727.71 934.428
-5.11473 -72.1674 | -0.841657 -3.24609 | -1136 348.833
-4.7441 -71.8398 | -1.28242 -2.81412 | -357.692 -322.614
-4.37019 -71.5169 | -1.67425 -2.31921 | -1216.29 -268.474
-3.98712 -71.2066 | -1.88285 -1.6628 | -1273.88 100.565
-3.5888 -70.9174 | -1.41778 -1.50995 | 1301.22 -379.534
-3.16875 -70.6596 | -1.75004 -0.454141 | 2632.83 -444.49
-2.7261 -70.4388 | -2.49402 1.36704 | 796.138 1212.16
-2.2661 -70.2534 | -2.62863 2.24692 | -708.228 2543.64
-1.79326 -70.1022 | -2.53829 2.38118 | 512.839 -168.721
-1.30871 -69.9922 | -2.53796 2.46206 | 1112.89 -1404.95
-0.815192 -69.9273 | -2.3585 1.8705 | 1058.72 188.506
-0.316887 -69.9039 | -1.86785 0.464421 | 842.852 1645.38
0.182653 -69.9167 | -1.49909 -0.528387 | 373.422 1985.5
0.680196 -69.9663 | -1.43671 -0.468473 | 523.495 -531.093
1.17168 -70.0601 | -1.43815 -0.482651 | 710.826 -314.882
1.65158 -70.2028 | -1.37244 -0.654506 | -392.69 -43.0995
2.11245 -70.397 | -1.09032 -0.702484 | -2010.36 -1880.15
2.54655 -70.6436 | -0.497812 -0.147816 | -1189.37 -200.859
2.95208 -70.9335 | -0.218672 0.322139 | -365.53 1287.96
3.33129 -71.2557 | -0.969642 -0.425076 | -1004.04 1110.96
3.68621 -71.6026 | -1.57226 -1.13246 | -1265.6 858.513
4.01963 -71.9685 | -2.40909 -2.23767 | -839.498 430.491
4.33595 -72.3481 | -3.53603 -3.33371 | -521.696 26.7609
4.64087 -72.7366 | -4.15269 -3.42038 | 757.016 549.816
4.94133 -73.1285 | -3.9037 -2.81905 | 1611.41 714.031
5.24131 -73.5214 | -2.62839 -1.84847 | 317.848 -1016.64
5.53944 -73.9168 | -1.25935 -1.1202 | 820.652 -1418.71
5.83552 -74.3156 | -0.882694 -0.978329 | -350.636 -2168.71
6.12972 -74.7175 | -0.97331 -0.921274 | -416.12 -1815.3
6.42702 -75.1187 | -1.54263 -1.29186 | 583.661 -510.842
6.73641 -75.5116 | -2.46825 -1.99074 | 1236.19 1265.54


-47.347 -18.2041 | -3.76231 0.785017 | 1314.27 -308.72
-46.9301 -17.9263 | -3.15306 -0.0415687 | 844.878 471.76
