-30.9058 57.6085 | 1.38276 -2.63491 | -3210.76 1293.03
-30.4933 57.9077 | 0.468249 0.0979857 | -7260.25 -8281.52
-30.0947 58.2121 | -1.06102 2.89502 | 680.25 -5594.65
-29.7044 58.5226 | 1.9115 -0.892175 | 2631.57 8897.81
-29.3281 58.8558 | 0.773347 -0.33375 | -9363.53 -169.765
-28.9701 59.2029 | 0.0936857 -0.907035 | 2322.58 -6731.05
-28.6088 59.5452 | 0.40623 -1.12242 | 11768.8 9391
-28.2343 59.8885 | 0.286425 0.370253 | 5806.78 -1234.53
-27.8535 60.2289 | -1.03126 2.03436 | -12924.4 1877.37
-27.488 60.5754 | -0.0265255 1.90428 | -14409.2 -9653.45
-27.13 60.9114 | 1.61551 0.57931 | 7051.55 -5514.96
-26.7515 61.2235 | 0.265352 2.10995 | 1290.48 6058.55
-26.3564 61.5205 | -0.317986 0.955102 | 938.307 1157.08
-25.9433 61.7968 | 2.08961 -2.6063 | 12532.9 -1556.93
-25.5071 62.0494 | 1.88847 -2.06813 | -7642.69 14926.9
-25.0673 62.2976 | 3.41611 -2.43849 | -1553.55 -14440.3
-24.6113 62.5037 | 3.09101 -3.59699 | 5467.69 1732.69
-24.1387 62.6777 | 1.66555 -1.5753 | -1965.11 6129.48
-23.6577 62.8279 | 1.67066 -0.446945 | -246.302 -6809.25
-23.1677 62.939 | 0.652786 -0.701426 | -1423.18 1047.84
-22.6731 63.0208 | -0.619879 -1.68946 | -913.719 2195.78
-22.1755 63.0788 | -0.0834874 0.891866 | 3231.42 -4951.61
-21.6746 63.1096 | 0.108165 1.07768 | -6940.15 4204.32
-21.1784 63.1305 | -0.0668429 -1.99363 | -6490.45 2066.69
-20.687 63.1419 | 0.514745 -2.43974 | 92.6063 -1581.21
-20.1955 63.1357 | 0.371899 -2.94002 | 6531.44 5368.29
-19.6998 63.1113 | -0.588494 -0.352241 | 3966.85 -10003.2
-19.2038 63.0473 | -4.20835 2.80902 | -666.975 -899.894
-18.7111 62.9619 | -2.83304 2.04058 | -3934.88 9893.71
-18.2218 62.877 | 0.640385 2.99074 | 2097.33 -3124.93
-17.7333 62.7775 | -0.086004 -0.299788 | 5513.49 -1126.44
-17.2444 62.6598 | -1.36388 -1.18267 | 5203.8 -2426.17
-16.7574 62.5204 | -0.731194 -0.274853 | -8059.88 597.693
-16.2813 62.361 | 0.900403 2.42754 | 1056.15 -3926.25
-15.8094 62.1847 | -0.558371 1.28325 | 6757.41 2749.47
-15.3337 62.008 | -3.0433 -0.132637 | -3248.87 -5334.42
-14.859 61.8307 | 0.124745 1.74228 | -5166.48 2801.04
-14.3814 61.6747 | 2.06185 -0.542025 | -129.814 4780.38
-13.8939 61.557 | 0.553915 -4.37015 | 5681.33 -2534.51
-13.3944 61.4776 | 0.019922 -0.32089 | 5675.55 -1838.24
-12.8868 61.4439 | 0.835829 0.903503 | -13899 3934.63
-12.3881 61.4703 | 1.28417 -0.647562 | -2981.8 3831.38
-11.8977 61.5561 | 0.58943 -1.61706 | 12759.5 686.144
-11.408 61.6843 | 0.896626 -3.84854 | -1676.16 -3022.34
-10.9277 61.8422 | 0.556866 -0.043485 | -1572.17 -790.821
-10.4608 62.029 | 1.59863 -1.69035 | -10140.5 -2949.58
-10.0143 62.243 | 0.635052 -3.43713 | -1713.56 -5736.95
-9.58308 62.4812 | 2.33886 -2.12839 | 11424.7 10346
-9.16367 62.758 | 4.18595 0.290077 | 2954.19 -4318.49
-8.76401 63.0658 | 3.66579 0.80466 | -4812.45 13911.2
-8.39795 63.4183 | 3.81367 -1.93418 | 251.659 -3036.12
-8.04913 63.7856 | 1.7197 -1.71236 | -1600.68 -14679.7
-7.70535 64.1477 | 2.02254 -0.301269 | 1561.68 10328.7
-7.36782 64.5221 | 4.12025 0.589933 | 3950.97 -127.641
-7.03115 64.8995 | -0.73547 3.98382 | -5869.74 -4820.78
-6.70125 65.2756 | -2.42668 5.27118 | -5799.23 -3489.72
-6.37504 65.6493 | -2.90303 4.36795 | 6903 5089.02
-6.03736 66.0208 | -2.11243 4.79084 | 6440.33 8726
-5.68494 66.3875 | 1.17964 2.57325 | -10936.5 -10182.2
-5.32255 66.7309 | 3.47933 -0.770178 | -2606.23 -2205.02
-4.93863 67.0457 | 1.12015 0.463328 | 13325.7 4984.39
-4.5208 67.3277 | -0.133185 -0.768844 | -9489.15 -6380.76
-4.08671 67.5709 | 0.167086 0.137326 | -3134.93 63.783
-3.63855 67.7821 | 3.80104 0.822214 | 4815.18 4685.61
-3.17375 67.965 | 3.05197 2.56518 | 708.68 3709.53
-2.69494 68.1118 | 1.70705 2.11417 | -468.526 -8152.96
-2.2048 68.2024 | 1.35058 0.202169 | -8629.72 -462.593
-1.71429 68.2482 | 1.33003 2.11157 | 1313.16 4427.47
-1.22136 68.2621 | 2.39195 0.517547 | 3754.83 1977.39
-0.726661 68.2412 | 0.577961 2.40432 | -3981.32 1337.65
-0.238538 68.1778 | 0.851589 3.9535 | -2933.95 -4018.97
0.238148 68.0628 | 3.59864 3.12032 | 361.67 3591.79
0.704143 67.9091 | 1.90527 2.12454 | 9447.74 674.06
1.16216 67.7178 | -0.947775 1.23384 | -2725.87 -3142
1.59924 67.482 | -0.719906 0.55673 | 1247.41 2520.93
2.01555 67.2088 | -0.421263 -1.59949 | 9351.71 -8645.25
2.41205 66.8936 | -3.16787 -1.40763 | -1700.6 -203.802
2.78066 66.5452 | -5.06123 0.882554 | -2919.26 -1351.55
3.1217 66.1703 | -3.51098 0.966291 | -2734.08 -5165.86
3.44583 65.7792 | -0.623152 -0.603896 | 3813.27 10835.1
3.77714 65.3987 | -0.0114815 -0.706312 | 2245.85 -3299.15
4.11639 65.0223 | 0.95829 3.85746 | -5958.1 4385.48


14.9334 -16.9882 | 0.120464 1.52698 | -3719.76 -1732.42
15.1903 -16.5623 | -1.15498 -0.0712779 | 8861.88 -1248.37
15.461 -16.1411 | 0.650558 -0.867289 | -86.2613 9269.27
15.7306 -15.7129 | 1.5886 -0.683395 | -4030.83 -3320.79
15.9957 -15.2846 | 0.682653 0.652383 | -1141.66 1389.89
16.2637 -14.8574 | -0.453573 -0.78869 | 1714.25 4453.17
16.5479 -14.4363 | -0.930402 -0.503256 | 9023.85 -115.575
16.8623 -14.0332 | -2.40293 3.45203 | -7318.78 -1154.8
17.1936 -13.6507 | -2.31896 2.48957 | -11155 -13832.9
17.5439 -13.3036 | -0.216048 1.33966 | 3406.8 -737.528
17.924 -12.9892 | -1.67261 1.17145 | 6933.65 3499.48
18.3299 -12.7 | -2.99192 -1.6452 | -3873.07 -673.195
18.746 -12.4277 | -1.604 -0.354854 | -712.762 7972.68
19.1697 -12.1616 | -1.1437 -1.02081 | 5801.54 167.803
19.6106 -11.9164 | 0.0346176 -1.4649 | 581.84 4656.54
20.0682 -11.6999 | 1.42224 -1.66196 | 681.318 -5727.11
20.5439 -11.536 | 0.894345 -0.00325606 | -14585.4 -6668.58
21.0238 -11.4312 | 0.704349 0.319782 | -6927.45 5001.93
21.5061 -11.3754 | -1.89213 -2.14829 | 3952.78 1505.29
21.9946 -11.3779 | -3.26605 -0.385959 | 11604.8 -9336.72
22.4885 -11.4466 | -0.803737 0.572418 | 7921.23 681.706
22.9833 -11.5509 | 0.202685 1.71759 | -3162.93 8710.76
23.4728 -11.668 | 1.71262 -1.6939 | -937.041 -4351.75
23.9551 -11.8072 | 0.252895 -4.9042 | -6723.66 1208.78
24.4276 -11.96 | 0.873192 -1.76201 | -5880.82 2387.96
24.8941 -12.1161 | 1.15209 1.04959 | 3670.37 -2067.51
25.3645 -12.2687 | -0.171142 -1.58544 | 6126.44 7536.77
25.8435 -12.4064 | 3.7027 -1.57196 | 6244.87 -9022.33
26.3264 -12.5527 | 3.38505 -1.32517 | -3467.24 -7099.43
26.8075 -12.7025 | -0.706926 -0.548175 | -4641.45 10823.6
27.2911 -12.8218 | -0.962428 -0.802366 | -3666.89 4320.51
27.7766 -12.9138 | -0.778471 -4.17151 | -1661.32 -6919.64
28.263 -12.9967 | -0.0974835 -6.70611 | 2489.71 3341.44
28.7536 -13.0612 | -1.04411 -4.39355 | 690.369 -234.707
29.2467 -13.1135 | -1.12236 1.60364 | 3090.67 -794.684
29.743 -13.1601 | 1.11328 5.45252 | 4151.4 -606.552
30.2424 -13.2063 | -1.74031 4.40309 | -225.44 -7882.3
30.7412 -13.2568 | -1.48382 2.14223 | -11451.8 293.485
31.2338 -13.2858 | 0.178737 0.918214 | -4075.12 10609.3
31.7254 -13.2673 | -1.29249 2.48354 | 22281.3 2537.76
