-32.2587 60.0733 | 1.35199 4.97361 | -2890.93 1181.64
-31.824 60.3159 | 1.42512 2.96856 | -105.327 -3723.98
-31.4027 60.5795 | -0.571048 3.03313 | 3809.06 1263.26
-30.9931 60.8656 | -0.174702 1.26901 | 1545.81 2471.45
-30.5992 61.1761 | 1.36227 -1.40278 | -1840.28 -3079.51
-30.2252 61.5065 | 0.231298 -1.64354 | -2198.6 -4076.3
-29.8751 61.8576 | 0.697329 -1.18198 | -2820.37 6533.27
-29.5526 62.2375 | 1.2329 -1.67215 | 6522.38 5366.98
-29.242 62.6353 | 2.20871 -2.21241 | 2602.33 -352.952
-28.9368 63.039 | 3.89655 -3.7064 | -283.373 -5018.2
-28.6374 63.4427 | 0.544481 -2.46141 | -5076.24 -2988.67
-28.3509 63.8498 | -1.29037 -0.4279 | -4672.23 -1756.95
-28.0758 64.26 | -0.790917 -1.55373 | -2520.91 -1352.91
-27.8002 64.6671 | -0.998679 -2.27579 | 927.308 957.48
-27.5076 65.063 | 0.355736 -2.82568 | 8398.11 -4053.13
-27.1853 65.4378 | -1.60599 -1.04494 | -4981.54 8324.32
-26.8517 65.8047 | 0.667729 -1.69214 | -3919.21 -4311.75
-26.5012 66.1498 | 0.684982 -2.49705 | 1674.41 -5560.4
-26.1263 66.4652 | -0.998513 -2.89649 | -2841.08 6791.05
-25.7338 66.7623 | -2.28882 -1.74074 | 8496.74 3456.56
-25.314 67.0319 | -4.77344 -1.16697 | 5642.45 -1654.18
-24.8708 67.2677 | -1.8875 -0.041565 | -9088.74 714.949
-24.4204 67.4775 | 0.797713 -1.92773 | -4214.83 4192.58
-23.9607 67.6587 | -1.12223 -3.18549 | 796.842 -5584.87
-23.4856 67.7882 | -0.40539 -1.2196 | -2490.47 -5620.8
-23.0013 67.8662 | -1.36621 -3.36274 | 2219.51 7308.98
-22.5104 67.9184 | -2.61207 -4.0827 | 9570.52 936.864
-22.0098 67.945 | -1.60369 -3.54475 | 3983.36 -2262.75
-21.5048 67.946 | -0.380749 -0.500279 | -2587.7 1600.15
-21.0009 67.9313 | 1.57347 -0.598531 | 2125.75 3606.49
-20.4964 67.9047 | -0.200261 -2.60326 | 1255.35 -3446.73
-19.9936 67.8553 | 0.457558 0.671245 | -10221.2 -5206.72
-19.5004 67.7859 | 2.06509 2.61878 | -5818.49 5823.53
-19.0115 67.7233 | -0.0180631 3.21671 | 5775.29 4442.21
-18.5175 67.6736 | -0.405834 -0.697028 | 7039.91 569.587
-18.0185 67.6228 | 1.21324 -1.01007 | -3254.22 -8131.66
-17.523 67.5529 | 3.48957 0.471546 | -4162.48 3451.88
-17.0309 67.4788 | 6.35611 -1.92469 | 4633.67 478.971
-16.5367 67.4034 | 2.56191 -3.46461 | -1380.47 -1167.89
-16.0437 67.326 | 0.308803 -2.28769 | -4665.61 -130.36
-15.5529 67.2509 | 0.487038 0.727284 | 4134.71 -4231.5
-15.0576 67.1843 | -1.37486 1.27427 | 5082.57 1358.74
-14.5554 67.1473 | -2.44531 2.62164 | 1668.23 10145.3
-14.051 67.1545 | -4.25116 3.59811 | -6496.03 -3440.51
-13.552 67.1797 | -2.56029 2.62394 | -3465.73 -8943.66
-13.0571 67.2095 | -0.144641 0.184944 | -2740.38 6657.89
-12.5663 67.2651 | -1.64255 -1.61203 | 341.546 -3425.33
-12.0775 67.3389 | -1.84971 0.938485 | 7291.66 -41.9271
-11.5876 67.4361 | -0.931049 2.37087 | 1030.99 2953.58
-11.1032 67.5647 | -0.299847 -0.892467 | -1837.83 -4426.36
-10.6286 67.721 | -0.293958 -2.63751 | 2739.05 -291.558
-10.1676 67.9164 | -0.846385 0.543676 | -1161.31 1100.15
-9.73175 68.164 | 0.341139 3.08016 | 2804.88 11138.9
-9.32771 68.4719 | 0.153313 2.12669 | 5189.74 4631.03
-8.95071 68.821 | -1.01761 -0.761734 | -1601.49 -4321.08
-8.5988 69.1919 | -1.36836 -1.73973 | -6535.03 -2375.66
-8.27121 69.578 | -2.38813 0.396487 | 263.8 -5267.89
-7.95464 69.9692 | -0.402879 -0.448371 | 1389.68 3035.55
-7.64454 70.368 | -0.632082 -2.22692 | 1400.32 2217.46
-7.33713 70.7711 | -1.16417 -3.53074 | 539.065 -3640.8
-7.02988 71.1718 | -1.90198 -2.15704 | -7325.31 1537.75
-6.72698 71.5718 | 0.193241 -1.08757 | 976.069 -7283.94
-6.41134 71.9562 | 2.51409 -1.70795 | 2165.07 -4695.02
-6.08091 72.3255 | 1.24059 -1.41332 | -1121.66 4652.15
-5.74769 72.6937 | 1.84101 -0.933524 | -3357.9 -2357.88
-5.41623 73.06 | 4.01354 -0.679997 | -1344.41 893.698
-5.08459 73.4259 | 4.35805 1.95316 | 3160.95 1724.27
-4.74625 73.7884 | 2.92547 4.1289 | -5430.58 2539.37
-4.40223 74.1445 | -0.62698 4.63608 | 3183.13 -1968.98
-4.03545 74.4782 | -0.591 1.91537 | 2775.21 905.669
-3.64203 74.7831 | -0.82472 0.0517636 | 743.099 -1934.63
-3.22504 75.0551 | -2.48754 2.83945 | -1194.68 5301.84
-2.79086 75.2995 | -2.18178 0.810498 | -6221.68 857.693
-2.34099 75.5022 | -2.69169 0.116652 | -3074.34 -15670.6
-1.87285 75.6389 | -1.61117 -1.63928 | 142.729 10535
-1.39423 75.7455 | -2.23469 -2.85046 | 10600.8 5514.52
-0.901317 75.8216 | -1.46827 0.463002 | 2828.66 -5901.42
-0.400857 75.8532 | 1.21278 0.268768 | -877.999 -2089.22
0.0997966 75.8526 | 0.0797991 -0.0717785 | -4702.79 6652.85
0.595867 75.8409 | -1.3497 0.174335 | -8566.72 -1760.49
1.08462 75.8141 | -2.29804 0.485361 | -2355.98 -1733.56
1.57074 75.777 | -0.873291 0.186386 | 5814.5 6572.9
2.06123 75.743 | 1.30839 -3.7593 | 5416.07 -2519.49
2.5562 75.6976 | 1.66072 -3.31379 | 6212.71 -4607.14
3.0549 75.6354 | 1.87629 -1.42892 | 1374.39 -2561.92
3.5539 75.5678 | 1.53136 -0.29207 | -7942.01 2349.14
4.04859 75.5158 | 1.66232 0.0527628 | -4688.22 6342.17
4.54154 75.4941 | 2.83193 -0.0938736 | 3445.02 935.979
5.03746 75.4918 | 3.82823 4.28815 | 6067.77 -1259.55
5.53729 75.4937 | 3.74485 5.43132 | -5569.82 -4311.8
6.03396 75.4888 | 2.46027 2.23198 | 673.276 2163.28
6.53053 75.4833 | 0.364911 -1.14121 | 1713.29 -210.48
7.02731 75.4746 | -0.204195 -0.0066887 | -6825.52 -7440.63
7.51937 75.4603 | 0.590728 1.49156 | -2335.12 6430.16
