29.3853 8.39499 | 0.130635 1.51445 | 2828.61 5025.45
29.8173 8.1526 | 0.0364832 0.324562 | -1332.01 -1106.31
30.2564 7.92483 | -0.775907 -3.03667 | -3012.6 -2156.89
30.6997 7.70915 | -0.0396416 -3.76811 | -2778.46 1369.97
31.1498 7.51377 | 1.68095 -0.01981 | -258.461 -2225.18
31.6102 7.34408 | 1.62594 0.193698 | 1561.51 2794.24
32.0838 7.21244 | 0.23381 -2.67133 | 2127.34 113.433
32.5682 7.11605 | -0.76107 -2.04599 | 5045.58 -4461.14
33.062 7.04681 | -0.881209 -0.7494 | 2858.77 -862.627
33.562 7.00978 | -1.36923 0.281715 | 678.391 2642.06
34.064 7.01141 | -2.03254 1.72015 | -3382.86 1363.81
34.5627 7.0469 | -2.51261 3.26659 | 764.68 -1429.64
35.0602 7.1053 | -3.29289 3.35073 | 6713.86 -2345.29
35.5596 7.18173 | -3.4561 0.051585 | -234.447 696.959
36.0547 7.28277 | -3.03203 -1.02344 | -4541.89 1658.84
36.54 7.41211 | -2.18393 0.136463 | -3040.38 464.386
37.016 7.56414 | -0.930626 -0.448861 | -811.15 -864.523
37.4866 7.72862 | -1.55015 0.0755711 | 1435.32 -2834.9
37.9552 7.89714 | -1.87688 0.908235 | -3673.19 -2414.18
38.4181 8.07161 | -1.05434 0.650577 | -3139.57 -27.2965
38.8735 8.25831 | 0.0946722 -0.554561 | 555.29 926.425
39.3235 8.45926 | 0.252906 -0.293411 | 2078.68 2869.1
39.7704 8.67284 | -1.03717 1.07373 | 3770.63 -1021.1
40.2181 8.88965 | -0.879679 0.345871 | -2195.82 -1373.2
40.6632 9.10794 | 0.0994504 -1.35578 | -3972.38 3799.32
41.1051 9.32862 | -0.162054 -1.54473 | -636.068 -2184.36
41.5522 9.53404 | -0.0617036 -0.930708 | -2902.41 -4071.39
42.0076 9.71279 | 0.523605 -0.80894 | 2607.2 -717.574
42.474 9.86719 | 0.529214 -1.26634 | 5812.62 2792.92
42.9505 10.0072 | -0.410934 -1.38949 | 4114.71 6461.2
43.4344 10.1393 | -0.986145 -0.975794 | 1769 -1634.81
43.9251 10.2502 | -0.289931 0.378112 | -2223.65 -3237.47
44.4196 10.3345 | 0.160417 2.0837 | 1287.48 494.866
44.9177 10.399 | 0.0839944 2.25249 | 604.164 281.667
45.4179 10.449 | 0.0261852 0.730648 | -1066.52 3789.36
45.9184 10.4894 | -0.378825 -2.01725 | -692.178 774.874
46.4193 10.5102 | -1.04255 -3.3296 | -2117.77 -1921.1
46.9188 10.4984 | -2.02187 -2.54622 | -155.48 1282.13
47.4151 10.4493 | -2.86345 -1.5055 | -1423.05 1837.34
47.9027 10.3542 | -3.17041 0.535687 | -2005.5 -1056.48
48.3731 10.2003 | -2.9968 3.50192 | 358.151 -2248.17
48.8187 9.98416 | -3.03287 3.35422 | -575.205 477.049
49.2334 9.7139 | -2.86437 2.39217 | -152.859 -1212.85
49.6161 9.39851 | -2.3937 1.17658 | 2067.54 -79.2843
49.972 9.05091 | -2.48689 -0.757245 | 715.172 -111
50.305 8.68039 | -3.31939 -1.79924 | -60.9338 477.603
50.6193 8.29464 | -2.61265 -1.46011 | -964.062 3512.94
50.9195 7.90076 | 0.455435 0.560049 | -3136.78 -1628.97
51.2086 7.49927 | 3.34138 2.5368 | 3083.95 41.0516
51.5014 7.09902 | 4.73834 2.42334 | 798.556 84.3873
51.8032 6.70475 | 3.2644 0.277485 | -257.351 -1023.3
52.1169 6.31894 | 2.27706 -1.00511 | 2551.35 962.968
52.4476 5.94587 | 2.44684 -0.496727 | 1005.09 -4453.2
52.7929 5.58188 | 1.05174 0.0971984 | 2730.1 -1172.42
53.1549 5.23168 | 0.496652 0.41869 | -309.981 5569.91
53.5294 4.89929 | 2.69517 1.30975 | -8836.17 -4282.98
53.9055 4.57351 | 4.55923 0.694308 | -234.382 -234.898
