45.9982 -71.7289 | -1.75624 -0.431083 | -3643.81 -6688.19
46.3395 -71.362 | -2.56876 2.66802 | -6356.39 -16965.9
46.7046 -71.035 | -2.55617 1.76067 | 306.631 12913.1
47.0921 -70.7258 | -1.52672 -0.329908 | 13812.6 6271.59
47.5153 -70.4493 | -0.707398 0.117009 | -4336.52 -10194.4
47.962 -70.2223 | -1.76927 -1.54234 | -5618.73 3242.69
48.422 -70.0295 | -0.54649 4.4247 | 8105.34 848.725
48.9002 -69.8716 | -0.525253 4.94283 | -2216.75 735.27
49.3865 -69.7459 | -2.49198 -0.917005 | -5182.99 -3619.48
49.8756 -69.653 | -1.93168 1.78806 | -3444.18 2336.56
50.3663 -69.5822 | -1.21512 2.65696 | 6465.67 4108.1
50.8635 -69.5327 | 1.40232 -1.44595 | -2516.47 630.891
51.3608 -69.5174 | 1.99934 -2.59061 | -9271.2 -8785.97
51.8513 -69.5507 | -0.379711 -0.0063132 | 5081.62 6176.09
52.3431 -69.6088 | 0.419264 1.69207 | 10944.4 -3301.96
52.8395 -69.6932 | 0.611268 0.447196 | -282.873 587.181
53.3335 -69.796 | 0.724246 0.24602 | 1064.73 5395.91
53.8244 -69.9126 | -1.24146 0.509386 | -711.964 -2834.57
54.3066 -70.0599 | -2.45289 0.411658 | -3111.74 -7516.79
54.7754 -70.2437 | 0.440142 -0.312306 | -661.685 3690.53
55.2368 -70.4406 | 1.75232 2.75017 | -4557.82 104.955
55.6934 -70.6394 | -0.872037 -0.823823 | -4408.68 3127.69
56.1522 -70.8234 | -5.45984 -3.1905 | 4495.64 -3196.36
56.6231 -70.9834 | -3.96287 -1.62927 | 3711.99 -1194.4
57.1085 -71.1016 | -0.144048 -2.79114 | -1953.17 8603.38
57.6024 -71.1591 | -2.72829 0.614949 | -6240.94 1752.44
58.0956 -71.1709 | -3.98233 1.85067 | 962.272 -4288.34
58.5895 -71.1601 | -1.09313 0.185326 | 3364.83 -395.057
59.0862 -71.1343 | 0.203303 -0.985059 | 8874.93 3076.52
59.5884 -71.0995 | 1.71165 0.483853 | -2491.36 -7662.28
60.0892 -71.0729 | 0.432048 -1.56619 | -6634.37 -9310.18
60.5847 -71.0435 | -0.654331 -5.30155 | -3789.07 19230.4
61.0731 -70.9647 | 3.07034 -1.36256 | 4018.12 -9219.8
61.5604 -70.8697 | 3.39104 0.831657 | 4418.52 -2955.77
62.0456 -70.7541 | 1.07451 -1.29769 | -6203.89 6084.05
62.5181 -70.6015 | -0.625011 0.101565 | 2903.72 -3384.45
62.9831 -70.4236 | 1.06787 -1.59655 | 5250.33 -1089.4
63.4401 -70.2177 | 2.28938 -0.657897 | -79.8572 4359.49
63.8796 -69.9724 | 2.26904 -3.04707 | 2337.24 5023.45
64.3 -69.69 | -1.00594 0.952447 | -1879.87 -3591.33
64.7009 -69.3855 | -2.77944 2.95034 | -5620.41 -6947.36
65.0807 -69.0656 | 0.288056 2.96977 | -4391.75 -118.688
65.4391 -68.7265 | 1.45916 3.58663 | -1782.71 4565.51
65.785 -68.373 | 3.52041 1.00936 | 9918.79 -4737.04
66.1397 -68.0246 | 3.38369 0.0393331 | -1624.67 4525.7


-22.681 70.7416 | -0.188814 -0.302938 | -10855.3 2760.2
-22.2324 70.5427 | 2.45917 1.71646 | 11300.7 -1761.96
