-29.8473 -87.7043 | 2.73168 -3.85344 | 4420.38 14476.2
-29.3835 -87.836 | -2.92559 1.08841 | 7949.84 -2501.49
-28.9264 -88.0118 | -0.145702 -5.29025 | 16616.3 -32089.8
-28.4855 -88.2647 | 8.25229 -0.040845 | -14818 22554.7
-28.0669 -88.5289 | 2.58185 -2.56748 | -2369.91 9090.13
-27.6582 -88.8016 | 2.22666 2.00473 | 20561.1 -20812.7
-27.2506 -89.1095 | 7.95278 12.7278 | 8240.4 -489.681
-26.8551 -89.4402 | 1.1 9.48775 | -22596.3 17211.1
-26.5007 -89.7908 | 3.78271 2.43706 | 7560.48 -16741.5
-26.1789 -90.1817 | -4.4276 -0.555812 | -21635 1300.13
-25.8905 -90.5908 | -1.74433 0.20475 | 40131.7 -648.48
-25.5615 -90.9864 | -3.06778 -4.48005 | -19653.2 6418.61
-25.2418 -91.378 | -0.245394 2.66493 | -13048 -9695.7
-24.9265 -91.7706 | -1.96639 1.54384 | 34878.1 18531.9
-24.563 -92.1256 | 6.30749 -2.86873 | -33003.6 -7592.38
-24.2241 -92.4894 | 3.98651 -2.35893 | -3323.98 -3634.49
-23.8824 -92.8465 | 5.04318 -1.87695 | 13830.6 29516.4
-23.5054 -93.1584 | -0.267557 -4.31951 | -14489.8 -43969.9
-23.1336 -93.4937 | 6.64901 -0.328534 | 23562.7 27145.9
-22.7148 -93.7736 | -4.70788 -6.87156 | -6001.94 -11038.9
-22.2829 -94.0336 | 9.19928 4.63893 | -13725.6 -336.759
-21.8454 -94.2669 | -2.40549 -1.83043 | 9360.64 22489.8
-21.3857 -94.4484 | 3.38536 1.20235 | -2517.19 -19868.3
-20.9294 -94.6437 | 3.1134 -3.20294 | -10485.4 -1970.8
-20.4809 -94.8434 | -1.65779 4.17113 | -451.543 12190.9
-20.0245 -95.0213 | 3.95988 -8.91856 | 26735.7 -12261
-19.548 -95.1986 | -1.74599 -0.02981 | -11348 -9558.91
-19.0748 -95.3751 | -2.95794 7.47346 | -14862.1 15088.3
-18.599 -95.5095 | 7.15021 2.50643 | 23897.5 -4108.33
-18.0985 -95.6061 | 3.23658 -0.956551 | 2269.09 -3666.3
-17.5871 -95.6659 | -0.453045 -8.26099 | 9783.47 4394.43
-17.0673 -95.6765 | 2.03542 -1.52033 | -16812.7 1809.19
-16.5604 -95.6396 | -9.28353 1.92207 | -10307.6 3700.46
-16.0669 -95.562 | -4.87907 2.45014 | 2006.23 -10540.4
-15.5779 -95.4677 | -2.10931 5.92357 | -5581.83 10072.3
-15.0986 -95.3396 | -2.77873 3.2817 | 10975.7 -14381
-14.618 -95.2033 | 6.81816 10.2924 | -15054.2 9085.94
-14.1561 -95.0235 | -1.75841 -1.6726 | 27013.8 17033
-13.6887 -94.8038 | -1.11259 -3.8731 | -17574.4 -13637.5


-41.5177 -21.4697 | 1.33522 -2.96354 | 9087.15 219.93
-41.016 -21.5503 | 3.13749 1.59067 | -3887.62 -2877.74
-40.5235 -21.6628 | 2.70421 -0.739803 | -6586.3 1166.13
-40.0414 -21.797 | 1.15129 0.4835 | 136.006 -4424.9
-39.5623 -21.9432 | 2.11684 5.38432 | 8663.36 9078.66
-39.0758 -22.0751 | 2.62278 1.22409 | -7723.36 -924.236
-38.5945 -22.2058 | 2.21752 -2.08293 | -10497.5 -3825.36
-38.1208 -22.3392 | -0.16497 -1.96642 | 7484.01 10079.6
-37.641 -22.4578 | -2.07472 -4.72103 | -3014.1 -10171
-37.1636 -22.5877 | -0.592777 -5.13108 | 3160.84 -805.087
-36.6835 -22.7151 | 0.0970651 -2.09963 | -400.918 5346.44
-36.2006 -22.8251 | -1.62328 -1.69283 | -7449.98 -1641.38
-35.7195 -22.9241 | -1.85619 -1.26022 | 6760.48 1843.35
-35.231 -23.0086 | -0.768787 1.26323 | 6384.92 -5824.58
-34.7352 -23.0869 | 0.253818 0.310413 | 5210.8 886.705
-34.233 -23.1484 | -0.911494 2.33615 | -2922.13 4799.97
-33.7314 -23.1883 | -0.999321 3.36873 | -9634.17 -6220.66
-33.2356 -23.2207 | -0.152495 1.46936 | 2319.12 1821.72
-32.7378 -23.2331 | -1.71274 -0.120908 | 5558.12 -2275.87
-32.2362 -23.2207 | -1.83879 -2.31296 | -777.571 4202.17
-31.737 -23.1705 | -0.189316 -1.40246 | -3691.83 830.838
-31.2448 -23.0867 | -1.01926 -0.416927 | 723.602 -5309.94
-30.757 -22.979 | -0.0884867 2.04165 | 5411.33 4664.18
-30.2736 -22.8355 | 0.435199 4.77778 | 2311.51 3087.95
-29.799 -22.659 | 1.50091 2.9912 | -3534.82 -5540.17
-29.3372 -22.461 | 1.15946 0.873376 | -5878.05 -1763.38
-28.8928 -22.237 | -1.84742 2.28756 | 1125.07 1516.28
-28.4639 -21.9837 | -1.61573 0.837321 | 2412.15 -3313
-28.0517 -21.7038 | 0.790164 -1.3366 | -4064.5 6528.09
-27.6656 -21.3872 | -1.8586 2.03859 | 3218.59 2405.04
-27.294 -21.0474 | -4.86003 3.26234 | 12032.7 -253.116
-26.925 -20.6956 | -3.94104 1.06746 | -6659.89 7501.15
-26.5759 -20.3244 | -1.2415 1.14467 | -7887.52 -12300.3
-26.2391 -19.9555 | 0.963786 2.80009 | -707.336 -6527.39
-25.9033 -19.5907 | 0.893519 3.39496 | 6079.89 14709.4
-25.5635 -19.2158 | 2.11126 1.96968 | 1541.55 3722.06
-25.2124 -18.8465 | 2.40016 0.343702 | -1087.62 -5394.9
-24.8393 -18.503 | 1.72587 1.58993 | 4290.36 -1137.13
-24.4361 -18.1938 | 1.68007 2.37571 | -2052.8 -406.288
-24.0083 -17.9224 | 0.461097 1.42538 | -1568.22 -2649.31
-23.5576 -17.6958 | -0.312662 1.92803 | 1940.36 -6351.04
-23.0874 -17.5167 | 1.0903 -2.08284 | -7468.77 4069.44
-22.6121 -17.3643 | 1.73714 -2.56295 | -1860.41 5526.28
-22.1301 -17.2386 | 0.398083 -1.70408 | 660.058 -9535.32
-21.6384 -17.1625 | -1.79153 -1.97189 | 3448.36 4238.6
-21.1396 -17.1199 | -0.358718 -3.36762 | 3053.24 591.826
-20.6368 -17.1094 | 1.29398 0.142651 | -4225.08 -2389.64
-20.1361 -17.1306 | 1.81207 0.840048 | 6826.08 1496.54
-19.6328 -17.1737 | 1.46612 0.380645 | -548.702 456.326
-19.1324 -17.2356 | 1.07927 -1.2731 | -10186 4342.94
-18.6425 -17.3143 | 1.94406 -1.75795 | -4070.71 -3301.4
-18.161 -17.4199 | 1.73599 -0.685465 | 295.841 -2073.44
-17.6832 -17.5458 | 0.532002 1.06865 | 11662.8 4245.04
-17.1992 -17.6772 | 0.545656 2.88583 | 1834.92 -4491.18
-16.7166 -17.824 | 0.0566375 4.23537 | -3952.55 1895.19
-16.2395 -17.9808 | 1.29703 2.4835 | 2567.19 -142.128
-15.7643 -18.1471 | 1.63079 -0.588062 | -484.04 -957.661
-15.2933 -18.3235 | -0.0485788 2.48133 | -4221.47 262.664
-14.828 -18.5065 | 0.087979 2.74046 | -3058.26 -787.484
-14.3647 -18.6894 | -1.08995 -2.13459 | 4202.3 1573.35
-13.8942 -18.8597 | 1.48042 -3.11946 | 3046.6 -761.961
-13.4158 -19.0143 | 3.17556 -0.995814 | -2823.02 3079.5
-12.9332 -19.1501 | 0.974389 -2.59386 | 4708.42 -5240.23
-12.4431 -19.2748 | 1.02545 -2.02973 | 4383.67 -2071.33
-11.9451 -19.3789 | 0.909115 0.00828331 | -5001.15 6051.81
-11.4449 -19.4472 | 0.565155 -1.17838 | -4606.01 2314.75
-10.945 -19.4847 | 1.10937 -0.105109 | 3091.35 -6006.63
-10.4419 -19.5039 | 0.794337 1.70211 | 4367.19 -268.222
-9.9358 -19.4935 | 0.510138 1.98286 | -4006.29 6220.89
-9.43555 -19.4411 | -0.867199 1.26111 | -9649.41 -8297.78
-8.94659 -19.36 | -1.86317 -1.80407 | 3465.34 1708.46
-8.46506 -19.2349 | -1.83982 -1.66838 | 4513.2 7170.12
