1.80786 64.0218 | -0.362455 -2.64245 | -8485.18 5989.84
2.29205 64.1467 | 0.36519 0.144205 | -743.812 -6283.02
2.78451 64.2171 | 0.5698 -1.73327 | 37.9412 -3330.73
3.28145 64.2298 | 1.63666 -4.6962 | 540.97 9960.27
3.77792 64.1967 | 1.7448 -4.8728 | 3401.7 -16021.1
4.26781 64.092 | 0.911367 -2.37004 | -4107.69 9637.59
4.74594 63.9536 | -1.59191 -1.59137 | 1947.01 6000.63
5.21441 63.7846 | -0.477814 -2.08257 | 4058.94 -12748.4
5.6678 63.5649 | 1.77611 -1.87731 | 100.77 1776.76
6.10625 63.3166 | 1.72886 -0.312454 | -2478.3 5881.5
6.5318 63.0534 | 0.174872 -2.6334 | 1750.54 2893.76
6.94482 62.7729 | -0.975226 -3.88447 | -4775.18 -3862.72
7.3349 62.4636 | -1.10662 -2.8162 | 535.545 2328.96
7.70661 62.1336 | -2.27089 -4.22126 | 1606.01 -1429.96
8.06131 61.7834 | -1.9937 -1.54005 | -1211.74 -2507.07
8.39878 61.4156 | -0.741517 0.554917 | 648.015 3570.51
8.72631 61.0405 | 0.567183 0.126061 | -1270.72 -574.903
9.0457 60.6577 | 3.12363 0.839868 | 4220.27 -8735.86
9.36591 60.2666 | 0.256273 2.23173 | -316.56 -3731.59
9.69611 59.8811 | -1.17476 4.09313 | -225.124 7365.87
10.0515 59.524 | 0.953716 2.03142 | -59.6498 2750.35
10.4373 59.2023 | 2.01533 -0.309395 | 4611.45 -2861.37
10.8546 58.9168 | 3.66106 1.59125 | 35.7716 3132.75
11.2963 58.6732 | 0.380434 1.85473 | -6690.37 2709.31
11.7513 58.4676 | -0.810139 1.78246 | -3471.43 8.45104
12.2184 58.2975 | 2.07484 1.31775 | 5958.96 -5707.23
12.7029 58.1639 | 3.40243 2.32021 | 9490.34 6901.9
13.2052 58.0839 | 2.23749 3.90177 | -2109.79 -752.345
13.7118 58.0432 | 0.854684 0.552025 | -1958.34 -4789.28
14.2175 58.0313 | -0.0342269 0.0789613 | -9284.98 9616.62
14.716 58.058 | -0.744647 -1.96186 | 259.032 -9703.79
15.2134 58.0944 | -1.53626 1.98728 | 6689.9 2293.32
15.7133 58.1505 | 0.0668945 1.77616 | -1007.1 -2152.81
16.2099 58.2283 | 1.60519 -0.649977 | -4340.08 8111.4
16.6987 58.3376 | 0.470884 1.14954 | 5168.93 -10093.8
17.1861 58.4545 | 0.752748 1.36783 | -10657.1 5852.74
17.6603 58.5958 | 1.8438 -0.365195 | -5598.08 -802.926
18.1266 58.7467 | 1.65138 0.912243 | 5810.2 -5029.85
18.5971 58.8904 | 1.67921 -0.0228099 | -4254.12 6461.52
19.067 59.0326 | -0.952996 1.84765 | 4370.3 -7325.88
19.5446 59.152 | -3.08289 -0.101917 | -2079.64 2588.36
20.025 59.2594 | -3.33357 -1.291 | 4243.38 2127.29
20.5112 59.3559 | -1.92388 3.26034 | 748.034 7257.22
21.0021 59.4375 | 0.860779 -1.85503 | 1889.47 -8520.82
21.5 59.4728 | 0.493968 0.248607 | 5310.57 -5935.73
22.0038 59.4661 | -1.52655 4.26692 | 5436.61 11026
22.5112 59.4457 | -1.14263 -3.07645 | -4617.41 -5040.01
23.0141 59.3953 | 0.333771 1.64776 | -1846.19 1110.44
23.5126 59.3188 | 0.367943 5.07747 | 5665.8 -465.344
24.0093 59.2154 | -1.0742 3.67002 | -4683.7 1373.64
24.4961 59.0838 | -0.0746107 0.554966 | -3693.54 -2922.08
24.9709 58.9194 | 2.22007 -0.295245 | 5957.94 1828.03
25.4394 58.7311 | 2.99151 2.02196 | -1848.56 -159.646
25.8938 58.5166 | 1.92184 2.36016 | -15515.4 7393.32
26.3235 58.2794 | 0.44571 -0.458692 | 4426.84 551.556
26.7397 58.0156 | 1.15837 2.19964 | 9969.42 -9582.17
27.143 57.7163 | -1.01132 0.844981 | -3377.15 3065.63


-28.4586 -10.1913 | -4.00336 -1.3288 | -521.213 1520.75
-28.0151 -9.95888 | -0.684137 0.565004 | 648.493 1461.56
-27.5728 -9.72074 | 2.0797 1.84096 | 9998.15 4082.98
-27.1214 -9.4881 | 0.771097 -1.93741 | -13015.8 -14283.9
-26.6712 -9.27897 | -0.0738406 0.502549 | -2896.51 2198.82
-26.2214 -9.07477 | 1.75367 2.1595 | 2662.22 406.906
-25.7694 -8.86976 | 0.866542 2.29377 | 5213.65 11640.5
-25.3132 -8.65561 | -2.03345 1.42291 | 7640.39 -434.273
-24.8451 -8.45811 | 0.0393728 0.0903227 | -13081.5 -5655.01
-24.3743 -8.29535 | 3.2011 -0.253941 | -5276.77 -6465.5
-23.8955 -8.17728 | 1.01357 0.106654 | 11809.8 9929
-23.4025 -8.09253 | -2.13536 2.12109 | -11566.2 -12100.5
-22.9101 -8.06204 | -2.97358 0.153531 | 1443.7 11535.2
-22.4141 -8.05926 | 0.844251 -0.318625 | 19937.2 -6312.59
-21.9055 -8.10281 | 3.0283 4.40397 | 1622.29 -7254.09
-21.3987 -8.18885 | 1.23792 -0.94431 | -2653.34 8436.26
-20.8983 -8.28861 | 1.57075 0.843567 | -11618 4222.49
-20.4111 -8.40445 | 0.822833 4.77967 | -4405.2 -989.682
-19.9362 -8.54729 | -1.03042 0.373943 | -4677.12 4358.74
-19.4743 -8.71832 | 0.38361 0.302361 | 8116.43 -11274.5
-19.0203 -8.93055 | -0.627521 1.30179 | 11431.6 2542.73
-18.5689 -9.16448 | 0.0563046 1.33501 | -2732.95 3199.57
-18.1334 -9.42347 | 2.14082 1.72286 | -4611.45 -6489.45
-17.7236 -9.72025 | 1.42624 1.95276 | -2390.49 -1706.6
-17.3342 -10.0415 | 2.3639 0.0734043 | -836.165 6675.01
-16.9528 -10.3661 | 2.60451 0.467642 | -1434.4 6367.18
-16.5749 -10.6901 | 0.359221 1.65587 | 4327.81 -11392.1
-16.1993 -11.0269 | -2.1791 0.864256 | -1085.86 -1979.11
-15.8222 -11.3623 | -2.17332 3.6585 | -6536.75 11558.9
-15.4347 -11.6742 | 2.75513 4.77857 | 13541.8 -1210.03
-15.0238 -11.9676 | -0.539685 2.69712 | -51.4302 -10742.7
-14.6069 -12.2605 | 2.2853 6.72727 | -4983.4 5777.52
-14.1864 -12.5381 | 2.784 1.50615 | -10728 4953.96
