-15.4286 -93.2741 | -1.20165 3.01809 | 2985.69 -20599.7
-14.9755 -93.0597 | 2.07631 -3.37587 | 19344.4 31082.9
-14.5183 -92.8108 | 4.01674 0.04965 | -3120.66 -17786.8
-14.0655 -92.569 | 0.681241 2.98025 | -33646 6303.02
-13.6384 -92.3172 | 1.46932 1.08329 | 18810.2 -4184.71
-13.1867 -92.0986 | 4.2983 -0.84035 | -1886.31 -9357.33
-12.7173 -91.9297 | 0.92769 4.00217 | -6630.29 1613.71
-12.2413 -91.7934 | 0.945102 0.472352 | 4635.85 8149.76
-11.756 -91.682 | -0.579583 -1.06793 | -9072.74 -7402.78
-11.268 -91.6164 | -0.835758 0.463766 | 7670.1 -559.657
-10.7709 -91.5896 | -3.32088 0.399279 | 13155.3 13240.8
-10.2661 -91.5888 | -5.01122 0.632947 | -26206 -8119.78
-9.78164 -91.6513 | -2.51727 0.0342097 | 2708.24 -2788.6
-9.30786 -91.7742 | -0.646445 2.81931 | 9202.91 -6963.83
-8.83958 -91.9397 | -1.03528 -4.03538 | 793.909 19822.9
-8.37585 -92.1083 | 3.61209 -8.04089 | -2104.52 -6571.51
-7.93052 -92.314 | 3.96587 -2.8185 | -22138.8 9255.13
-7.52035 -92.5558 | 0.855787 -2.98329 | 24006.7 -1626.25
-7.1213 -92.837 | 4.26027 5.47623 | -10033.7 -19539.6
-6.76191 -93.1762 | -0.507254 1.22706 | 16304.9 11500.1
-6.40706 -93.5246 | -1.72087 -6.44483 | -6552.57 -4015.87
-6.07521 -93.8894 | -1.76396 0.101538 | -24904.5 24515.8
-5.7689 -94.2481 | -1.6686 0.289619 | 20205.1 -15238.4
-5.44565 -94.6116 | 1.24469 -1.01803 | 5341.76 -12673.3
-5.10649 -94.9755 | 0.636091 1.18037 | 7032.49 13337.6
-4.74489 -95.3172 | 1.34257 1.68352 | -1952.41 -20516.2
-4.3828 -95.6679 | 1.98592 2.44392 | 913.745 29893.9
-4.01572 -95.9952 | 1.82717 5.36703 | -19304.8 -17627.9
-3.67814 -96.3546 | 0.093063 -0.806089 | 34495.1 -25725.3
-3.32011 -96.7326 | -1.65968 -1.60778 | -5764.42 22203.2
-2.95602 -97.0916 | -2.52448 2.047 | -9971.11 -7192.4
-2.60226 -97.457 | -1.27795 0.585093 | 3406.34 388.627
-2.24299 -97.8187 | -0.469883 1.54776 | 1838.36 312.011
-1.87328 -98.1709 | -0.336403 -4.44488 | -3203.64 -80.1088
-1.49354 -98.5101 | 3.55844 0.816036 | 868.637 453.877
-1.09569 -98.8279 | -0.677201 -3.68627 | -4354.51 12533


-57.1687 -32.393 | 1.17986 -2.3744 | 2674.57 -3191.21
-56.7644 -32.0988 | 1.37932 -2.59814 | -3293.1 3201.65
-56.3533 -31.8158 | 1.22415 -1.69798 | -2760.45 93.5543
-55.9344 -31.5478 | 0.756931 -1.22928 | -514.289 -2235.35
-55.5029 -31.3033 | 0.0965401 -0.574522 | 306.486 1128.55
-55.0577 -31.0835 | 0.562686 0.682494 | 639.175 2629.7
-54.5981 -30.8926 | 2.0114 1.60268 | 660.425 -1907.53
-54.1235 -30.7423 | 2.62685 1.75602 | 1258.86 -3388.77
-53.6369 -30.635 | 1.47402 0.770138 | 1232.31 885.383
-53.1432 -30.5576 | -0.398795 -0.608999 | 712.583 4138.13
-52.646 -30.4983 | -1.579 -1.02913 | 388.108 989.212
-52.1462 -30.4603 | -2.14024 0.051061 | -317.225 -3106.83
-51.6457 -30.4504 | -1.34701 1.24263 | -2204.44 -2458
-51.1474 -30.4624 | 0.244038 1.12452 | -3698.55 1218.24
-50.6524 -30.4797 | 0.602095 0.0210359 | -1739.87 3790.57
-50.159 -30.4897 | 0.142635 -0.589669 | 1224.34 278.392
-49.6646 -30.4951 | -0.0862584 1.50787 | 995.08 -31.6037
-49.1698 -30.4996 | -0.212709 2.38019 | -2185.18 -259.369
-48.6768 -30.5068 | -0.501831 1.42638 | -3890.02 -1032.15
-48.187 -30.5186 | -0.62694 0.318791 | -1861.85 -29.6404
-47.6987 -30.5324 | -0.140185 -0.408047 | 2550.15 -1535.24
-47.2079 -30.5452 | 0.291035 0.580756 | 6323.23 -852.764
-46.7117 -30.5481 | -0.0383104 1.14201 | 4955.13 273.203
-46.2116 -30.5297 | -0.332525 0.119088 | -306.065 2692.47
-45.7132 -30.4801 | -1.02762 -1.27596 | -1856.1 1280.88
-45.2197 -30.4002 | -1.9725 -1.48723 | 519.233 -2636.12
-44.7302 -30.2973 | -2.3411 -0.906216 | 1044.33 2640.17
-44.2455 -30.168 | -1.5303 -2.19863 | 2361.03 2388.49
-43.7639 -30.0184 | -0.403447 -2.78753 | 4245.85 -3961.58
-43.2822 -29.8606 | -0.589456 -0.727774 | 1267.59 1372.32
-42.8041 -29.688 | -0.369039 -1.0031 | -1598.44 1973.57
-42.3336 -29.498 | -0.0198924 -2.63576 | -3128.36 -1889.93
-41.8712 -29.2963 | -0.384276 -2.77616 | -1973.68 -1598.97
-41.4153 -29.0857 | -0.549404 -2.18009 | 207.037 -2393.24
-40.9646 -28.8663 | -0.838324 -0.906459 | -119.946 -1318.98
-40.5226 -28.6311 | 0.105727 0.140783 | -830.395 3380.58
-40.0952 -28.3692 | 1.45118 0.668582 | -872.969 1735
-39.6835 -28.0832 | 1.5695 0.435775 | -1228.85 -1346.69
