-23.1799 86.3815 | -1.07951 1.8235 | 6930.25 589.431
-22.7739 86.6723 | -0.56841 0.430191 | -3493.23 -3728.34
-22.3758 86.9681 | -1.04101 0.645403 | -7251.5 -1277.01
-21.9894 87.2718 | -3.30705 2.41352 | 4522.94 900.437
-21.6031 87.5802 | -6.23028 0.145564 | 4171.96 1361.69
-21.2147 87.8933 | -3.84896 0.275906 | 9595.22 8607.47
-20.8235 88.2171 | -3.11676 2.72298 | -5022.74 -1091.75
-20.4399 88.5457 | -0.386814 -1.82038 | -8461.43 -4462.32
-20.0626 88.8713 | 0.425222 -1.22228 | 3588.19 -1056.16
-19.6772 89.186 | -0.558977 1.04167 | -7002.52 -6598.75
-19.287 89.4843 | 1.85044 -0.764029 | -2129.99 5555.21
-18.8877 89.772 | 2.35472 -1.87718 | 8435.41 3002.53
-18.4648 90.0353 | 1.01469 -2.95439 | 2967.46 -5611.11
-18.0194 90.262 | 2.12941 -0.672245 | 1679.38 8949.69
-17.56 90.4665 | 1.51578 3.00667 | -6289.35 -3037.24
-17.0908 90.6335 | 2.14035 2.97013 | -1563.64 -7282.67
-16.6103 90.7528 | 0.800911 1.57568 | -1182.45 11935.5
-16.1226 90.8419 | -1.89167 0.0283415 | 3182.19 -12047.4
-15.6254 90.8725 | -0.312745 0.850294 | 9071.68 4285.16
-15.121 90.8677 | -1.90595 -2.62833 | -3710.13 9766.51
-14.6197 90.8346 | -2.97033 -0.959475 | -5101.47 -13476.8
-14.1276 90.7428 | -1.63796 3.18055 | 9320.95 2896.81
-13.6373 90.616 | -1.58121 4.34074 | -99.1884 1891.78
-13.1543 90.4605 | -1.10465 2.9169 | 4153.84 -2897.94
-12.6796 90.2732 | -0.633378 1.35917 | -4810.84 -1194.85
-12.2205 90.0577 | 0.283755 3.28604 | -8930.48 2269.27
-11.7763 89.8254 | -1.14545 2.38837 | 8983.62 650.119
-11.3305 89.5881 | -3.14922 2.38138 | -2013.18 3736.56
-10.889 89.3479 | -1.00807 -0.903543 | -7952.1 -6564.77
-10.4581 89.0968 | -0.697063 -5.32054 | -4633.4 7588.5
-10.0257 88.8607 | -0.121764 -1.10043 | 2419.77 7230.44
-9.58239 88.6466 | -0.694219 -1.57169 | 6468.96 -13097.8
-9.13068 88.4322 | 0.133249 -0.15097 | 1624.73 8136.99
-8.67151 88.2343 | 1.53344 2.27632 | -1434.22 -1157.67
-8.2122 88.0379 | -0.310691 -1.70093 | -1944.05 -7340.29
-7.75507 87.8344 | -0.0458218 2.8367 | 3077.63 5813.07
-7.29148 87.6441 | 1.82376 3.95796 | 658.531 -5032.27
-6.82277 87.4633 | 0.723552 -0.389697 | -4616.54 1928.68
