49.1684 -49.9157 | -2.21392 -1.34229 | -187.059 1679.02
49.511 -50.277 | 0.103531 -2.04625 | 2115.58 3364.6
49.8442 -50.6471 | 0.778291 -0.378291 | -2058.97 -11605.3
50.1635 -51.036 | -2.04941 0.12356 | 7175.31 3682.09
50.4869 -51.4235 | -0.896636 -0.185566 | -2111.31 3953.7
50.8081 -51.8089 | 2.05297 -1.05636 | -7411.58 -2012.95
51.1216 -52.1982 | 3.68788 -1.38764 | 7791.45 -524.138
51.446 -52.5828 | 3.33949 -0.168611 | 4483.6 35.5735
51.7782 -52.9629 | 1.10349 -0.686429 | -13893.9 1331.61
52.1008 -53.3439 | -0.584849 -2.57253 | 6946.57 -4926.54
52.4377 -53.7197 | 1.14329 -0.404172 | 4885.69 -3656.61
52.7986 -54.0798 | 2.25815 1.73942 | 3896.28 732.421
53.1879 -54.4126 | 0.724325 -1.50588 | 74.6771 2700.64
53.6014 -54.7124 | 2.97845 -0.906566 | -5165.68 2264.96
54.0325 -54.9795 | 2.3333 -2.51851 | 5654.03 2397.09
54.4839 -55.2131 | -1.17531 -2.76284 | -8227.6 -2102.93
54.9409 -55.4233 | 0.0933166 -0.921407 | -8470.18 2697.78
55.4037 -55.6031 | 3.559 -0.867821 | 5847.37 5223.04
55.8806 -55.7458 | 3.87691 1.06159 | -3953.04 -8302.78
56.3621 -55.8688 | 3.20768 -0.0035305 | 4112.6 3270.81


-26.344 -41.9728 | -5.8357 -4.44457 | -3833.23 5887.39
-25.8551 -41.8867 | -0.869393 1.50193 | -2215.08 -9232.15
-25.3656 -41.8188 | -0.926522 0.527176 | 3802.34 -8364.16
-24.8737 -41.7634 | -2.375 0.327451 | -8342.78 12912.8
-24.3893 -41.6806 | -3.23362 -1.28801 | 4692.44 3630.2
-23.9028 -41.5854 | -1.17614 0.555383 | 9804.9 -4867.59
-23.4067 -41.5051 | 0.830205 3.94563 | 610.23 1984.83
-22.906 -41.4427 | 0.630232 1.59665 | 676.221 -2251.04
-22.4016 -41.4082 | 0.419835 5.01493 | 5124.03 -2952.9
-21.8929 -41.4034 | 1.16673 2.36524 | -4117.67 5394.6
-21.3878 -41.4199 | 1.45158 2.52241 | -4962.7 2035.5
-20.8911 -41.4715 | 3.07082 4.28834 | -17113.8 -7211.28
-20.414 -41.5784 | 1.53297 0.949851 | 8853.35 -517.332
-19.9406 -41.722 | -0.750553 -2.86053 | 12661 5873.82
-19.4651 -41.8867 | 1.59464 0.371861 | 1036.41 -8724.94
-19 -42.0897 | 3.22967 2.57822 | 3733.96 3542.38
-18.5468 -42.3198 | 1.69044 -0.329926 | -9259.79 6322.17
-18.1195 -42.5811 | 0.632061 0.627618 | -2056.82 -8905.36
-17.7226 -42.8887 | -0.51822 0.658872 | 4585.22 858.795
-17.3481 -43.225 | -2.07665 0.12642 | -7096.1 6949.1
-17.0011 -43.58 | -2.09482 1.44504 | -2053.04 1323.67
-16.6767 -43.9518 | -2.37966 -0.0186721 | 166.756 2235.97
-16.3688 -44.3351 | -0.252781 -1.46204 | -1102.51 1692.38
-16.0746 -44.7272 | 1.12418 -0.260186 | 16.0308 -3800.02
-15.7892 -45.1274 | -0.20748 -0.930836 | -4380.4 2045.3
-15.503 -45.5239 | 0.68125 -0.734744 | 7009.66 1658.19
-15.1944 -45.9056 | 1.34266 -0.103993 | 3207.27 -527.579
-14.8672 -46.2744 | 2.83402 1.23832 | -4121.13 -3084.98
-14.5338 -46.6378 | 1.63315 1.08489 | -245.907 1284.75
-14.1904 -46.9903 | 1.799 2.71261 | -880.012 3732.09
-13.836 -47.3294 | 0.312332 0.135365 | 2967.75 -5169.45
-13.472 -47.6637 | -0.472443 -0.881387 | 25.1336 -2400.64
-13.1008 -47.9915 | -0.5776 -1.67619 | -8536.73 1431.36
-12.7232 -48.3049 | -1.33278 -2.29112 | 3691.87 -2743.59
-12.3209 -48.5902 | 0.655719 -0.171332 | 6245.02 3950.63
-11.8864 -48.829 | 0.803457 2.12058 | -281.876 -2191.14
-11.4308 -49.0269 | -2.34178 1.26268 | -3514.62 -4931.51
-10.9613 -49.1846 | -1.9694 1.49097 | -1550.72 7064.15
-10.4786 -49.283 | -0.105926 1.45935 | -1937.37 1680.69
-9.98978 -49.3321 | -1.56999 -0.295474 | 1892.43 -13498.6
-9.4974 -49.3521 | -1.91055 1.96501 | -1082.12 10277.6
-9.00698 -49.3121 | -0.815531 3.48435 | -1914.8 -5234.04
-8.52365 -49.2276 | 1.5543 0.81093 | 2622.09 -1342.08
-8.04881 -49.0975 | 1.35038 3.14097 | 845.433 5123.58
-7.58727 -48.918 | 0.736485 2.88945 | 5983.55 4049.34
-7.13425 -48.7045 | 2.46799 -0.563235 | 2706.98 -2962.23
-6.68545 -48.4806 | 0.415717 2.055 | -4926.14 -6180.23
-6.2424 -48.2564 | -0.103712 2.56726 | -3871.53 776.973
