-5.28933 15.2074 | 0.227707 1.44535 | 5693.14 3125
45.9845 -50.7828 | -0.228994 2.49737 | -2575.77 -5989.26
46.4319 -51.022 | -0.823043 -0.0758448 | -1985.92 1098.07
46.8609 -51.2912 | -2.11654 0.968515 | 4500.54 1421.91
47.2776 -51.5833 | -2.65684 1.92033 | 2749.41 -4497.35
47.6772 -51.9033 | -4.42432 -0.352709 | -5615.24 -1345.05
48.0531 -52.2471 | -1.36063 1.7656 | -3340.5 6755.38
48.4127 -52.6004 | 0.339768 3.12525 | -444.32 1152.19
48.7613 -52.9625 | -1.07036 1.41335 | 3089.86 965.295
49.1022 -53.3336 | -0.965574 0.244159 | -4639.11 -12407.2
49.4296 -53.7219 | -2.09333 -0.544832 | 2390.85 6193.74
49.7664 -54.0982 | -2.0048 -0.497062 | -1372.78 10957.9
50.1199 -54.45 | -3.84958 0.329255 | -1770.29 -1011.79
50.4848 -54.7887 | -4.97274 0.933081 | 843.729 -2836.13
50.8597 -55.1194 | -3.18296 0.637956 | 2733.18 -3603.59
51.2465 -55.4418 | -0.922037 1.79147 | -1185.65 -2908.92
51.6464 -55.75 | -1.46472 0.735541 | 4635.96 3017.2
52.0689 -56.0289 | -3.46887 -0.399374 | 562.389 1709.28
52.5092 -56.2774 | -2.76888 -0.148246 | -6285.29 1606.97
52.9586 -56.4989 | -1.49847 -0.0855575 | -3305.36 -2030.63
53.4173 -56.6949 | -2.59976 1.14668 | 2893.94 2611.94
53.8906 -56.8553 | -2.27015 -0.168181 | -324.657 -1233.44


-32.8689 -49.9788 | -1.83441 -2.46042 | -2925.1 -1406.01
-32.4597 -49.6961 | 1.9222 0.168781 | 2139.47 2339.28
-32.0637 -49.3918 | 0.785751 1.38051 | 3105.89 -3852.98
-31.6779 -49.0743 | 1.06499 1.47458 | -2983.47 755.371
-31.311 -48.7362 | 1.3591 0.383001 | 1126.49 4831.88
-30.9618 -48.3757 | 0.664693 1.22495 | -126.968 2871.44
-30.6245 -48.0018 | -0.621536 2.20281 | 1566.02 -5543.33
-30.2875 -47.6291 | 0.243501 -2.78027 | 2492.81 5064.09
-29.9486 -47.2537 | 1.44705 -1.50867 | -317.35 369.41
-29.6062 -46.8817 | 1.17587 1.74809 | -1105.34 -6008.62
-29.2581 -46.5217 | -0.00694867 1.65038 | -10158.6 -5462.08
-28.9111 -46.1721 | -2.52662 2.50974 | -962.236 -966.01
-28.5549 -45.8332 | -4.74887 2.35516 | 10317.7 8606.1
-28.1781 -45.5032 | -3.32795 1.38325 | 1327 -567.096
-27.785 -45.1902 | -3.19994 1.30434 | -2879.74 -1400.65
-27.3803 -44.8955 | -1.88295 -0.212583 | -1574.94 3645.54
-26.9634 -44.6188 | -0.726643 1.73194 | -2958.2 -2240.93
-26.5294 -44.3752 | -2.04897 2.58072 | 1134.33 -111.894
-26.0731 -44.1768 | -1.41287 3.7267 | 474.438 -4630.1
-25.5969 -44.0345 | -0.1109 3.35106 | 2174.76 554.039
-25.1073 -43.9394 | -0.391762 0.450493 | -1311.65 5798.09
-24.6122 -43.8808 | 1.32247 0.54869 | -2095.81 -4994.08
-24.1151 -43.8699 | 2.42158 1.00837 | 2926.26 -413.888
-23.6167 -43.8969 | 1.90683 1.78468 | 139.826 5083.16
-23.1202 -43.9491 | 1.71094 2.67759 | -1254.68 -3041.03
-22.6278 -44.0334 | 1.20424 2.01894 | 6503.59 992.983
-22.136 -44.1439 | 0.935102 0.666347 | 2419.2 -2048.31
-21.6483 -44.2826 | -0.49878 1.90064 | 2208.47 1424.53
-21.1676 -44.4464 | -0.98259 2.2961 | -4999.2 134.466
-20.7014 -44.6398 | 1.24896 0.625697 | -3191.31 -5415.08
-20.2502 -44.8644 | 1.01786 -1.12188 | 4771.65 2360.61
-19.8034 -45.1006 | 0.302421 -2.26872 | -8112.86 -788.792
-19.3635 -45.3411 | -0.667688 -3.04821 | 2467.1 -2523.98
-18.9153 -45.5683 | 0.611426 -2.08362 | 5423.54 11796.8
-18.4493 -45.7557 | 3.17475 -1.02975 | -5910.23 -3588.9
-17.9786 -45.9234 | 3.53603 -1.56863 | 126.739 -1944.68
-17.5027 -46.073 | 4.31718 -2.7404 | -7495.83 5077.47
-17.0256 -46.1976 | 3.45084 -2.40852 | 891.806 -3856.09
-16.5435 -46.3052 | 1.8621 -1.46696 | 4962.51 723.874
-16.0538 -46.3903 | 2.98367 0.530578 | -3115.17 -3491.8
-15.5616 -46.4535 | -0.136899 1.53364 | 4088.21 187.791
-15.0642 -46.4824 | -1.95094 0.660186 | -3456.96 7071.42
-14.5684 -46.4672 | 0.588415 0.873178 | -3338.27 -9186.56
-14.0762 -46.4284 | 2.47941 1.35135 | 6809.84 -187.516
-13.5845 -46.3513 | 2.34857 0.402104 | -2143.09 9978.41
-13.1039 -46.2211 | -0.2733 -1.02649 | -1628.3 -4687.28
-12.6344 -46.0646 | -1.2943 0.0859162 | -8365.4 -8156.7
-12.1779 -45.8947 | 0.162122 3.53511 | -1547.78 -227.812
-11.7314 -45.7038 | 0.823741 3.70198 | 7949.95 2303.06
-11.2906 -45.4875 | 2.01797 0.634975 | -2743.68 3155.7
-10.863 -45.2448 | -0.632751 0.565954 | 5627.84 -1549.43
-10.4403 -44.9879 | -4.82046 2.4984 | 1403.18 -1503.94
-10.0255 -44.7177 | -0.472078 0.633443 | -4510.91 1520.41
-9.62527 -44.4297 | 2.95622 -1.26445 | 2115.41 -3945.72
-9.2339 -44.131 | 1.955 0.609915 | -1610.35 2119.81
-8.8556 -43.8154 | 2.32035 0.21039 | 2295.04 3028.41
-8.48619 -43.4854 | 0.947235 -0.150073 | -698.889 -310.923
-8.12165 -43.1495 | 1.08676 -1.42043 | 3602.93 1415.61
-7.75339 -42.8137 | 1.12803 -2.8105 | 631.396 1879.9
-7.37922 -42.4822 | -0.89502 -1.06473 | -562.598 -2537.23
-6.99545 -42.1633 | -0.159727 -2.87312 | 4887.12 -1551.07
-6.59926 -41.8575 | 0.447758 -4.81963 | -6220.33 3720.86
-6.20256 -41.5548 | -1.0687 -1.17688 | -1631.05 2129.05
-5.79722 -41.2634 | 0.784665 -2.22529 | 3307.79 4218.62
-5.36941 -41.0005 | 1.9816 -4.0941 | 4338.21 -6551.09
-4.91139 -40.7948 | 2.18208 -3.73641 | -3463.62 -2356.11
-4.43476 -40.6493 | 0.153544 -3.07396 | -10456.7 506.543
-3.95223 -40.562 | 1.09944 -5.77728 | -4989.44 -1188.11
-3.46683 -40.5361 | 4.20857 -3.49683 | 3375.03 -1001.93
-2.97959 -40.566 | 6.18683 -1.91961 | 963.264 1473.47
-2.4953 -40.6354 | 6.0379 -3.25081 | -1025.31 1013.32
-2.01577 -40.7298 | 4.59439 -0.330037 | 361.186 5214.22
-1.53813 -40.8357 | 3.03196 0.667333 | 8964.83 -690.456
-1.05814 -40.9602 | 2.40233 1.03496 | 4522.34 -1324.45
-0.582455 -41.1119 | 1.71508 0.411977 | -6955.07 2526.07
-0.123264 -41.2959 | 2.91837 1.72053 | -3148.46 -4461.74
0.31751 -41.519 | 2.36069 2.03244 | 6071.56 2789.45
0.749707 -41.7676 | 1.82388 2.32064 | 10968.7 -10876.2
1.17618 -42.0475 | 2.06429 1.9997 | 4205.01 -4100.63
1.59557 -42.3462 | -1.05426 -0.858959 | -3683.94 12456
2.00572 -42.6465 | -3.89714 -2.85557 | -6110.92 -4119.81
2.39789 -42.9658 | -2.69412 -0.721514 | 1421.11 68.8666
2.77847 -43.2997 | -1.13955 0.534032 | -1185.69 -5170.41
3.14998 -43.6467 | 1.28885 -0.0309929 | -15.4329 -2060.97
3.52544 -43.991 | 1.78559 -1.34071 | 4414.93 6984.83
3.92105 -44.3111 | 1.62863 -1.59184 | 302.123 -3230.45
4.33427 -44.6094 | 3.46321 1.23467 | -3482.33 3293.81
4.76452 -44.8762 | 3.2719 -0.861151 | -294.653 6120.75
5.21368 -45.1047 | 2.74995 -5.02121 | 1769.88 -5745.68
5.67737 -45.3072 | 1.78685 -4.07716 | -3921.91 2254.84
6.15161 -45.4756 | -0.381535 -2.42188 | 400.258 1018.19
6.63734 -45.6061 | -2.63142 -1.77466 | 277.414 -1003.48
7.13241 -45.6979 | -2.96541 -1.47626 | 2225.08 1609.3
7.63527 -45.7463 | -0.700232 -1.76661 | 3380.28 -1002.68
8.14187 -45.7532 | 0.580493 -2.06148 | -10408.9 436.693
8.64044 -45.7163 | 0.0564765 -2.20954 | 650.894 -3185.42
9.13374 -45.6357 | -0.693096 0.0478713 | 7403.18 7206.41
9.62071 -45.499 | -0.293552 -1.21234 | 79.1719 -318.669
10.0936 -45.3174 | 1.8024 -4.87956 | -3179.61 -326.933
10.5485 -45.0985 | 1.96577 -6.6027 | -3254.59 -3275.18


-27.5695 68.3048 | 1.22424 -4.09821 | 4719.15 894.433
-27.0876 68.154 | 1.83125 -4.15557 | 2617.7 -6284.33
-26.5954 68.0299 | 2.96023 -4.30126 | -695.247 3402.3
-26.0947 67.9476 | 2.48488 -3.46225 | 3195.3 1111.45
-25.5868 67.911 | 2.03746 -3.17679 | -1281.57 2163.95
-25.0787 67.9208 | 2.50324 -1.22331 | -2522.43 -769.556
-24.575 67.9707 | 3.32333 -0.997971 | 422.872 -3724.53
-24.0784 68.0588 | 4.42515 -1.07885 | -8625.6 2335.73
-23.6004 68.1974 | 4.13618 -1.0389 | -6663.23 -817.662
-23.145 68.3827 | 3.88652 0.366611 | -1431.14 -5419.43
-22.7094 68.6041 | 3.16123 0.684562 | 2706.22 1357.38
-22.2941 68.8649 | 1.89714 -1.54046 | 2144.35 3375.33
-21.9014 69.1632 | 0.491661 -1.35674 | -1101.77 -1698.61
-21.5306 69.4873 | -0.335703 -0.0857868 | -905.046 1240.3
-21.1763 69.8298 | -2.49298 2.78985 | 229.541 614.628
-20.8267 70.1781 | -3.77687 5.20554 | 3073.58 -1052.67
-20.4682 70.5195 | -1.82418 2.78016 | 5510.62 285.553
-20.0956 70.8501 | 0.884719 0.64538 | -4801.25 1953.84
-19.7173 71.1729 | 0.618446 1.57366 | 2455.01 -578.986
-19.3251 71.4817 | -0.560578 1.20654 | 8345.83 -620.64
-18.916 71.7765 | -0.216025 -1.62999 | -892.045 8323.94
