41.947 -75.3461 | -0.67373 6.12885 | -8972.08 -2204.57
42.4475 -75.3335 | -0.282272 6.60618 | -10768.2 5172.55
42.9374 -75.2747 | 0.153864 2.06594 | 7785.85 -3788.28
43.4262 -75.1814 | -0.797067 0.503804 | 5356.34 3060.81
43.9101 -75.0489 | -1.38481 0.25744 | -1445.74 -8202.9
44.3797 -74.8824 | 0.657327 -1.11394 | -10956.3 1748.2
44.8178 -74.6602 | -0.360413 -1.13814 | 2020.32 1728.48
45.2246 -74.383 | 0.115016 -0.542357 | 4783.01 2416.71
45.6001 -74.059 | 4.39617 1.76914 | -3346.88 -1157.57
45.9398 -73.6998 | 1.11103 1.13758 | 2248.67 -6033.26
46.251 -73.3178 | -1.72763 1.45158 | -7794.94 13376.1
46.5304 -72.907 | -2.87342 4.23139 | 10195 -8053.24
46.8184 -72.5012 | 1.26235 2.6815 | 927.975 4468.18
47.117 -72.0988 | -2.47876 1.90515 | 4987.07 1367.56
47.433 -71.7045 | -4.13576 -0.672091 | 6968 3120.34
47.7634 -71.3166 | -0.0103977 0.669439 | -13512.9 -1885.24
48.0887 -70.9332 | 3.45906 -1.24575 | -1523.76 -5571.42
48.426 -70.5653 | 0.618822 -4.00871 | 10364.4 4202.55
48.7879 -70.2134 | -1.57702 -4.99982 | -5035.12 -3343
49.1614 -69.8793 | -3.29471 -5.33133 | -5738.69 -3796.55
49.5425 -69.5609 | -3.223 -2.85049 | 4015.4 8332.96
49.9371 -69.2523 | -5.53592 0.178879 | 45.892 -11798.5
50.347 -68.9704 | -3.65654 -0.770166 | -1264.24 8510.9
50.7629 -68.6919 | 0.417316 -0.234925 | 3916.21 11508.1
51.1919 -68.4204 | -2.1812 -1.12224 | 4884.99 -5442.89
51.6466 -68.1909 | -0.32515 -0.581115 | 1117.67 -5448.52
52.1237 -68.0171 | -0.501643 2.49593 | -9123.5 542.668
52.6107 -67.8952 | -3.96347 -0.621309 | 4498.42 -5619.24
53.1093 -67.8316 | -0.858817 0.453291 | -6094.4 1068.21
53.6069 -67.8096 | 0.606475 3.53221 | -7908.5 12724.9
54.0993 -67.8167 | 0.171818 -4.49832 | 6195.25 -18221.3
54.59 -67.8905 | 1.05754 -1.99929 | -7152.4 10015.1
55.0726 -67.9932 | -2.53 2.77984 | 19229.3 270.601
55.5617 -68.1239 | -1.76571 2.78965 | 4384.02 -15711.6
56.0453 -68.2949 | -1.75413 0.805616 | -9713.57 15544.7
56.5191 -68.4648 | -2.66195 2.06757 | -6382.42 1663.3
56.9839 -68.6416 | 1.53805 2.94365 | -909.845 -606.275
57.4423 -68.8315 | 1.08288 -0.286065 | 961.365 -4000.75
57.8967 -69.0363 | -1.3548 0.0979633 | 6021.25 -3647.27
58.3539 -69.2449 | 1.38047 1.77607 | -4608.9 12620.6
58.8122 -69.4386 | 1.43287 0.729514 | -2143.81 -16224.9
59.2704 -69.6411 | 3.44221 -1.18193 | 14108.3 6391.43
59.7475 -69.8164 | 2.71794 -1.26383 | -3182.06 3556.4
60.233 -69.9634 | -3.295 -0.659349 | 1954.83 -8545.29
60.7252 -70.093 | -3.37332 -0.894633 | -4548.79 9374.79
61.2209 -70.1827 | 0.465753 -1.47328 | -10020 -1418.29
61.7141 -70.2419 | -0.479698 -2.94123 | 3941.51 -2525.81
62.2113 -70.2702 | -2.95393 -0.401455 | -2593.01 8524.55
62.7071 -70.2588 | -1.04512 -2.22161 | -4553.19 -10975.3
63.1998 -70.2345 | -1.0615 1.36055 | 7906.11 -5657.35
63.6959 -70.1812 | -1.04853 3.7833 | 9351.18 18016.1
64.1882 -70.0598 | 0.638534 1.96516 | -5705.6 -11247.9
64.6635 -69.898 | 0.457392 1.06058 | -8836.49 2144.83
65.1129 -69.6842 | 1.78938 -1.23264 | 10370.9 10110.6
65.5461 -69.4225 | 1.39651 -0.66953 | 7881.43 -15513.1
65.9638 -69.1403 | 0.776066 1.74738 | -23134.6 1093.39
66.3272 -68.8091 | -0.651198 2.39159 | -1028.53 4684.23
66.6517 -68.438 | -1.78677 1.05934 | 12539.6 -948.467
66.9652 -68.0505 | -1.01797 0.0965147 | -1513.04 2141.12
67.2621 -67.6492 | 2.05087 -0.489613 | -2563.05 -7348.94
67.5453 -67.2432 | -0.1548 -0.479663 | -1587.85 7277.28
67.8193 -66.8258 | -1.48947 -2.12674 | 11652.5 6656.06
68.1048 -66.4047 | -1.4769 -1.09759 | 5254.41 2618
68.398 -65.9829 | -3.70395 0.394378 | -6068.02 -48.0595
68.685 -65.5588 | -0.290202 -6.4571 | -6087.91 -10084.2


-18.3086 61.1741 | -2.34381 -0.285167 | 13230 -1568.12
-17.7982 61.1836 | 0.85325 -1.78497 | -13573.3 7898.05
-17.2985 61.1721 | 2.71797 -0.251544 | -12346.3 -7970.02
-16.811 61.1187 | 0.462759 -2.45248 | 5621.18 -2465.77
-16.3245 61.0383 | 1.99391 -1.62341 | -29.5265 7060.45
-15.838 60.9558 | 2.5434 -1.82662 | 4937.57 -881.753
-15.3476 60.8677 | -0.15495 -0.505044 | 10850.5 -4939.76
-14.8513 60.7711 | -2.04571 0.448139 | -8681.92 6707.63
-14.3608 60.6779 | -0.543103 -4.00143 | -8548.34 -5124.55
-13.8779 60.5778 | 0.515292 -1.51841 | -642.258 -1021.68
-13.3944 60.4859 | 0.83766 -1.51834 | 5089.7 10559.5
-12.904 60.422 | 0.561134 -3.13516 | -588.958 -6290.28
-12.412 60.3604 | -1.79273 -0.732295 | 5388.78 -2914.28
-11.9148 60.2995 | -2.14858 0.536612 | 8592.48 -3478.31
-11.4106 60.2471 | -1.72546 -1.08342 | -7977.75 8362.76
-10.9098 60.2214 | 0.00541488 -0.0508333 | -5139.86 -5406.57
-10.4122 60.2093 | -0.0492581 1.20909 | 6270.27 1850.92
