40.6321 -73.5323 | -1.29044 0.957402 | -4873.86 -601.98
41.0603 -73.7957 | -0.939697 0.618337 | -3620.2 1766.74
41.4933 -74.0435 | -0.907104 0.17375 | -1.67709 4013.89
41.9428 -74.2548 | -1.29307 -1.39101 | 1837.66 6399.55
42.4108 -74.4206 | -1.72448 -2.49534 | 1762.01 -3440.98
42.8908 -74.5585 | -1.40272 -2.40012 | 3396.44 -5522.04
43.38 -74.6768 | -0.645102 -1.86134 | 1703.25 1130.74
43.8767 -74.7654 | -0.874963 -0.971226 | -2111.25 3682
44.3764 -74.8197 | -1.70453 -0.618548 | -3187.51 1113.42
44.8756 -74.8481 | -2.3612 -1.22267 | -949.012 145.499
45.3739 -74.8633 | -2.42827 -0.657459 | -857.066 -2281.08
45.8709 -74.8788 | -1.92873 1.0073 | -2277.6 -2422.64
46.366 -74.8994 | -1.85344 2.62387 | -80.7005 -1379.85
46.8611 -74.9205 | -1.99354 3.18343 | 682.088 -1021.47
47.3571 -74.9321 | -2.07467 3.02506 | -372.113 -1906.42
47.8529 -74.9211 | -2.28905 1.10993 | -91.4182 3002.37
48.346 -74.8683 | -2.48799 0.107385 | 40.2455 2225.91
48.8323 -74.7687 | -2.95309 -0.472863 | 2762.52 -1119.26
49.3103 -74.628 | -2.84811 -1.01779 | 1054.99 188.876
49.7753 -74.4472 | -2.12006 -0.44518 | -1441.16 -1911.31
50.2218 -74.2287 | -1.27475 -0.895403 | -1992.3 -642.753
50.6445 -73.971 | -1.1112 -0.438814 | -3279.05 1498.51
51.04 -73.6759 | -1.3864 1.2876 | 684.779 -1542.51
51.4154 -73.356 | -0.76596 1.22364 | 3649.8 -2550.49
51.7767 -73.0192 | 1.45255 -1.5302 | -1161.74 1729.33
52.1185 -72.6618 | 1.45646 -1.65183 | 1615.08 1722.48
52.4432 -72.2861 | -0.482646 0.460741 | 2634.54 1661.3
52.7537 -71.8956 | -2.08912 1.71153 | -807.901 1217.41
53.0488 -71.4925 | -1.86126 0.134233 | -1969.74 -558.199
53.3322 -71.0822 | -2.26429 -1.84452 | -1854.63 1902.63
53.614 -70.6695 | -2.95064 -2.68446 | 3185.71 3270.65
53.913 -70.2651 | -4.49509 -1.52173 | 5205.75 -2159.27
54.2421 -69.8827 | -5.64702 0.112731 | 1326.52 -2310.87
54.5969 -69.5239 | -5.91584 1.63051 | 167.257 1948.83
54.9687 -69.1812 | -5.73288 3.13204 | -1292.93 2704.46
55.3522 -68.851 | -3.52807 2.47062 | -3801.64 419.656
55.7487 -68.5399 | -1.43875 1.57514 | -1083.61 -2937.93
56.1668 -68.2625 | -0.527943 0.925903 | 2754.64 -2528.4
56.611 -68.0281 | 0.275287 -0.253369 | 1007.53 2029.25
57.076 -67.8353 | 0.523696 0.189741 | -1516.87 -212.51
57.5563 -67.689 | -0.126596 3.01887 | -1035.25 -4871.22
58.0475 -67.5947 | -0.757812 4.09249 | -2518.48 -2006.03
58.5421 -67.5396 | -1.87504 4.59216 | -3737.7 3302.23
59.0358 -67.5027 | -2.65774 4.18739 | 183.175 1491.91
59.5302 -67.4762 | -2.62552 1.87462 | 2513.6 330.094
60.0271 -67.4577 | -2.66279 -0.0979713 | 2831.1 1311.57
60.5269 -67.4451 | -2.84379 -0.473685 | 2424.13 1563.07
61.0289 -67.4406 | -2.86875 0.701698 | 8.6349 -840.858
61.5309 -67.4523 | -2.51673 -0.232605 | -1635.35 -48.6024
62.0306 -67.4847 | -1.51467 -0.524193 | -1260.15 -1757.22
62.5269 -67.5419 | -0.677572 0.905129 | -1219.45 -4175
63.0195 -67.6209 | -0.612141 2.71267 | -939.018 2876.96
63.5104 -67.702 | -0.808191 3.09153 | -1425.97 1030.72
64.001 -67.7764 | -0.539611 2.59165 | -1372.42 -1188.34
64.4919 -67.839 | -0.0103665 1.4845 | -1505.23 -11.1448
64.9837 -67.8798 | 0.540819 2.12348 | -519.928 3253.75
65.4766 -67.8893 | 0.44966 2.83892 | 708.529 -88.9253
65.97 -67.8729 | 0.114989 3.45468 | 1679.05 -1902.8
66.464 -67.8374 | -0.0434667 3.25334 | 3047.77 -3742.39
66.9585 -67.7828 | -0.0673824 2.64802 | 845.603 2917.3
67.4491 -67.6947 | -0.304054 3.82509 | -1677.73 4200.67
