-5.87162 12.0564 | -0.0273435 2.70499 | -780.765 -348.841
30.5595 -53.7064 | -1.91709 -2.06772 | 3993.2 -200.421
31.0404 -53.8371 | -3.11622 -0.102404 | -1677.44 88.8537
31.5318 -53.9152 | -1.68544 -0.858687 | 58.2282 -1798.19
32.0282 -53.9416 | -0.719054 -1.23708 | -2310.87 684.512
32.5225 -53.9126 | -2.22301 0.770744 | -2678.1 -377
33.0089 -53.8297 | -3.23144 1.23673 | 2986.68 -25.5841
33.4865 -53.6971 | -2.73318 2.29454 | 3790.94 862.409
33.9528 -53.5192 | -2.7495 2.94493 | 3241.94 1618.64
34.4052 -53.3011 | -2.09204 2.14956 | -872.406 1307.69
34.8402 -53.0495 | -2.94879 3.61967 | -1420.26 -807.207
35.2601 -52.7748 | -3.06571 1.46872 | 3338.13 -3146.47
35.6709 -52.4854 | -3.90939 1.79044 | -3686.37 6611.59
36.0679 -52.175 | -4.38725 1.77237 | 5729.18 2115.94
36.4664 -51.8593 | -1.52592 -3.59474 | 3309.78 -1440.74
36.8723 -51.5514 | -0.241057 -3.65595 | -5196.45 -5710.26
37.2817 -51.2568 | 0.000588503 -0.949147 | -2228.65 1946.41
37.6957 -50.9705 | -0.354427 1.30538 | 1696.83 983.886
38.1207 -50.698 | -0.608022 -0.273327 | 3824.64 -503.945
38.5605 -50.4462 | -1.70918 -3.90107 | -2940.79 2595.99
39.0107 -50.2167 | -1.6081 -2.15797 | -5219.12 -7097.54
39.4727 -50.0248 | -0.697171 0.664496 | 3487.34 426.854
39.9494 -49.8668 | -0.844391 0.253872 | 3233.03 6196.4
40.4378 -49.7381 | 0.703259 -1.20848 | -5259.92 -3512.08
40.9319 -49.6554 | 1.92999 -1.7173 | -3175.85 -2839.04
41.4289 -49.6252 | 1.96542 -0.332298 | 493.738 -208.974
41.9266 -49.6429 | 1.78671 -1.2853 | 1220.44 5249.79
42.4218 -49.7015 | 1.2434 -1.36047 | -121.525 -7337.19
42.9086 -49.8138 | 1.88581 -0.246437 | 629.229 -665.693
43.3858 -49.9626 | 1.33528 -1.82585 | -276.213 12190
43.8542 -50.1281 | 0.749776 -2.47536 | -4633.29 -1895.82
44.3034 -50.3338 | 1.27591 -3.64223 | 4511.23 -5397.64
44.7307 -50.5894 | 2.05926 -1.98473 | -620.113 -3762.16
45.1302 -50.8881 | 3.05061 2.26676 | -8429.44 4967.26
45.504 -51.2091 | 2.04328 3.22163 | 5615.4 6713.14
45.8717 -51.5369 | 1.47647 2.02361 | 3805.32 -7090.72
46.2304 -51.882 | 1.59197 0.493634 | -4512.12 -6701.09
46.5784 -52.2403 | -0.209617 -0.383555 | 3881.54 6440.82
46.9374 -52.5858 | -1.56053 -1.01085 | -2379.84 2769.47
47.3098 -52.9144 | 0.609533 -0.460686 | 8812.97 -3174.33
47.7024 -53.2291 | 1.82376 -1.03621 | 3114.86 -5802.66
48.1062 -53.5366 | 1.3693 0.672698 | -7384.66 2593.52
48.5143 -53.8311 | -0.110504 4.3993 | 1329.16 3267.37
48.9345 -54.1066 | -0.1012 4.02333 | 4670.87 -797.013
49.3671 -54.3678 | -0.651512 3.84475 | -3673.66 -6301.26
49.8039 -54.6224 | -2.15684 3.41327 | 860.762 4292.27
50.252 -54.8534 | -3.19177 1.77924 | -3672.84 3673.38
50.7088 -55.0575 | -2.33777 2.276 | -3427.92 -3600.2
51.1728 -55.2398 | -1.6217 0.368248 | 2843.75 1970.04


-31.6079 -48.1214 | 4.1316 3.88586 | 11377.4 4259.26
-31.2457 -47.7622 | 2.95691 -0.542204 | -10525.3 3667.8
-30.9196 -47.3744 | 1.98586 1.09903 | -1719.08 -3950.69
-30.6145 -46.9739 | 2.06574 2.83376 | 3679.18 -323.903
-30.3154 -46.5681 | 3.47252 4.38103 | -959.523 -311.108
-30.0202 -46.1608 | 2.55271 4.25077 | -3987.73 -3542.58
-29.7255 -45.7584 | -0.222116 3.7503 | -1750.34 -3705.3
-29.4215 -45.3666 | 1.58789 3.97016 | 5864.36 2965.81
-29.0991 -44.9852 | 1.30879 3.49385 | -5364.82 2675.01
-28.7639 -44.6154 | 1.2013 2.30411 | 3489.87 -2289.59
-28.4022 -44.2706 | 3.00721 0.525277 | 4966.72 -596.003
-28.0129 -43.9536 | 1.79487 0.0294589 | -4688.98 454.641
-27.6088 -43.659 | 1.06311 2.16886 | -1744.85 2593.44
-27.1898 -43.3877 | 2.74947 1.37303 | -3060.59 -2338.01
-26.7534 -43.1531 | 2.82067 -0.324257 | -2879.49 -9000.05
-26.2997 -42.9662 | 0.613959 -0.347064 | -2454.39 5717.15
-25.8357 -42.8066 | -1.97716 -0.960346 | 4426.38 3828.88
-25.3585 -42.6747 | -1.42176 -1.5678 | 7377.27 -2387.11
-24.8673 -42.5788 | -0.128984 -3.45558 | 898.339 8031.16
-24.37 -42.5117 | 0.262633 -1.57235 | -7892.83 -4574.71
-23.8747 -42.4958 | 1.30262 0.631596 | -4687.84 23.6489
-23.3845 -42.5357 | 0.0290814 -0.39935 | 3692.26 -5918.06
-22.8993 -42.6326 | -1.81017 -0.361087 | 3187.83 4586.86
-22.4196 -42.7619 | -2.44544 0.22903 | -37.0005 2410.15
-21.9475 -42.9178 | -1.24424 -1.39194 | 724.344 -7066.36
-21.4837 -43.1034 | 0.0562044 -1.48075 | 3442.77 2563.63
-21.0212 -43.2963 | -1.66957 -0.729901 | 1524.08 8771.33
-20.5588 -43.4869 | -0.798014 0.249979 | -1972.53 -2585.47
-20.1061 -43.6981 | 0.896524 0.124797 | 429.332 -5070.81
-19.6684 -43.9407 | -1.41568 -0.0486677 | -5851.89 -2086.98
-19.2484 -44.2066 | -2.52085 1.15895 | -6501.7 7752.34
-18.8362 -44.4727 | -2.17199 1.85886 | 5255.01 -744.059
-18.4164 -44.733 | -1.1948 -0.589261 | 7750.72 -5248.68
-17.9843 -44.9861 | 0.0845283 -0.580481 | -820.549 1514.82
-17.5431 -45.2235 | 0.784911 3.99469 | 3002.56 3590.65
-17.092 -45.4433 | 0.0980943 1.5299 | -3598.99 -6246.18
-16.6395 -45.6592 | 0.268995 -0.654955 | -2637.9 -2180.44
-16.1813 -45.8594 | 1.67125 1.52811 | 3413.3 11048.6
-15.7096 -46.0205 | 1.86137 2.783 | -7998.35 -7267.93
-15.2358 -46.1621 | 0.69516 0.0976869 | -493.693 1582.77
-14.7548 -46.2709 | 2.12767 0.988149 | -542.778 4223.52
-14.2674 -46.3401 | 1.78378 2.4542 | 2015.38 -8426.09
-13.775 -46.3821 | -1.29584 0.386412 | 1414.33 5622.12
-13.2807 -46.3785 | -1.43823 1.08069 | -9310.9 4.28706
-12.794 -46.3368 | -0.30345 2.53471 | 3422.14 -4213.96
-12.3086 -46.2691 | 0.537476 0.837882 | 5412.48 2473.59
-11.8249 -46.1719 | -0.0452193 -1.05143 | -6541.47 -7697.98
-11.3511 -46.0525 | 0.674376 -2.10464 | 118.169 4609.23
-10.8876 -45.8943 | 1.51364 -2.17804 | 5882.58 4739.64
-10.4308 -45.7013 | 1.84194 -2.92649 | 8923.04 516.035
-9.97593 -45.4897 | 2.3215 -3.04116 | -5120.7 -3831.89
-9.53032 -45.269 | 2.15617 -4.41216 | -10905.4 -2505.36
-9.09601 -45.0417 | 2.02333 -2.79425 | 8635.57 4737.76
-8.65604 -44.8135 | 2.09027 1.5697 | 3496.56 -3352.77
-8.20814 -44.5986 | 2.081 0.687107 | -7676.6 -2408.41
-7.75981 -44.3957 | 2.2392 1.02552 | 2755.79 255.763
-7.30573 -44.2022 | 1.56222 2.92646 | 1855.85 2019.62
-6.84666 -44.0133 | 1.54816 -0.285349 | 4776.35 6170.71
-6.38093 -43.8284 | 1.20747 -1.43332 | -78.6229 -7030.09
-5.90882 -43.6643 | 0.580422 -1.75302 | -4783.34 983.225
-5.4355 -43.5119 | 0.344555 -2.65003 | 1688.86 6849.19
-4.95672 -43.3687 | -0.653065 -2.67717 | 4854.54 -7808.13
-4.46647 -43.257 | -0.870224 -4.5189 | 6076.86 5560.93
-3.96675 -43.1649 | -1.03443 -5.44744 | -200.023 2470.65
-3.46288 -43.0989 | -2.24041 -2.78303 | -6422.21 -5293.06
-2.96058 -43.0762 | -0.935391 0.487189 | -4120.2 -2601.26
-2.46226 -43.0958 | 0.524435 1.26201 | -4218.03 5448.42
-1.96983 -43.1458 | -0.402428 0.316368 | 271.761 -2825.54
-1.48298 -43.2338 | -0.755825 -0.829047 | -1207.16 -4891.47
-1.00341 -43.3537 | -0.0244426 -1.5182 | -485.666 7723.19
-0.526598 -43.4783 | 0.60598 -0.629638 | 4439.74 3550.57
-0.049931 -43.609 | 0.0984738 -0.532619 | -6749.47 -4356.59
0.415976 -43.7621 | -0.68679 0.78472 | -4354.95 5708.19
0.872623 -43.9289 | 0.428147 1.72739 | 4131.79 1386.18
1.32362 -44.1168 | 1.96802 1.26905 | 5436.05 -2441.4
1.76455 -44.3395 | 1.67141 -2.05649 | 4011.15 -12829.7
2.18902 -44.6069 | 1.37982 -3.64165 | 1051.46 4599.18
2.60316 -44.8917 | 1.38229 -2.48006 | 5068.97 -891.208
3.01401 -45.1879 | 1.4389 -0.395681 | 1913.53 -5717.98
3.42101 -45.4946 | 1.60133 0.619547 | -1270.68 9762.17
3.82657 -45.7964 | -0.814629 -2.93989 | -1929.39 -1911.68
4.22522 -46.1065 | 0.00281611 -4.20902 | -2115.05 -9558.33
4.6172 -46.4294 | 1.66949 -1.07724 | 3716.04 5337.1
5.01973 -46.7391 | -0.980095 -1.13278 | 1778.48 1537.91
5.4356 -47.0298 | -2.43952 -4.51273 | -4769.94 4843.4
5.85934 -47.2997 | 0.433039 -1.16732 | -5055.1 1450.48
6.288 -47.5546 | 2.08678 1.53605 | -516.585 -10100.1
6.72624 -47.7983 | 1.61898 1.14414 | 6245.38 5255.59
7.18887 -47.999 | -0.653584 -0.852657 | 8616.29 8388.82
7.67411 -48.1495 | -0.204813 -1.65209 | -10026.8 -5968.94
8.16135 -48.28 | -0.553439 -1.8708 | 5963.16 -2790.06
8.65793 -48.3927 | -0.563593 -1.70682 | 10907.2 6265.03
9.166 -48.4824 | -0.604285 -1.36478 | -5230.8 -8665.77
9.67205 -48.5726 | -1.62948 -2.37822 | -2897.85 -2902.54
10.177 -48.6527 | 0.786613 0.55772 | -6900.89 3367.68
10.6799 -48.6981 | 3.30185 1.3855 | -5028.21 5700.82
11.18 -48.6929 | 4.11794 0.493429 | -2187.19 -301.699
11.6757 -48.6429 | 3.65237 0.872173 | 3329.73 -1365.56
12.1684 -48.5536 | 1.80275 1.67264 | 4827.91 3500.26
12.6564 -48.4243 | 4.47947 -0.354585 | -5337.76 -2805.46


-25.0876 63.2775 | -0.0403686 -1.4943 | 1365.95 -1606.74
-24.5917 63.3529 | -0.0199038 -3.70657 | 3604.06 724.054
-24.1027 63.4724 | -1.16237 -2.12717 | -4492.2 608.444
-23.6312 63.642 | -2.56294 -2.98431 | -1122.62 3506.59
-23.1801 63.8618 | -2.27851 -3.01692 | 7396.03 220.943
-22.7441 64.1197 | 0.148201 -4.1127 | 1557.5 -753.559
-22.3297 64.4127 | 0.827287 -4.09148 | -5263.11 3105.48
-21.9472 64.7436 | 0.401613 -1.97974 | -469.317 -5023.5
-21.5924 65.0994 | 0.157797 -0.49622 | 873.439 -4556.2
-21.268 65.4799 | -0.132892 0.220029 | -3869.56 5623.96
-20.9872 65.8953 | 2.0901 -1.17863 | 1649.41 3124.05
-20.7443 66.3377 | 0.306896 -0.0121634 | 222.128 5290.45
-20.5325 66.8001 | -2.58036 2.7907 | -805.15 -2147.9
-20.3402 67.2695 | -0.469694 1.23537 | -485.193 -5544.01
-20.1545 67.7383 | -1.63814 0.399449 | 6583.24 3668.32
-19.9655 68.2102 | -3.10492 0.466536 | -3103.1 7251.75
-19.7833 68.6894 | -4.69373 0.303254 | -217.627 -910.919
-19.5998 69.1681 | -5.03114 0.866273 | 1833.34 -2817.5
-19.4064 69.6413 | -2.72569 1.03936 | -2167.57 -42.4599
-19.2033 70.1092 | -2.02256 2.19348 | -3971.38 1097.29
-18.9829 70.5685 | -0.725349 1.38853 | 4601.85 -3208.66
-18.7231 71.0062 | -1.42219 -2.82663 | 4617.79 2410.93
-18.4189 71.4182 | -0.327531 -5.64539 | 1092.61 597.002
-18.0751 71.7979 | 1.53004 -4.01603 | -4547.73 -8655.79
-17.6979 72.1344 | 1.9497 -2.95886 | -5077.77 -1789.86
-17.2934 72.4304 | 0.984328 -3.71201 | 4819 -1586.85
-16.8596 72.6843 | -1.09773 -2.83477 | -3540.22 3560.72
-16.4087 72.9047 | -0.535845 -1.55423 | -845.762 -1880.93
-15.9414 73.0845 | -0.518362 -1.24958 | 1325.01 -1235.18
-15.4594 73.223 | -2.41576 -2.80846 | 2003.1 5298.61
-14.9668 73.3254 | -2.86608 -0.284166 | -3231.79 -3665.81
-14.4698 73.3777 | -2.61372 3.00102 | -7300.57 -3485.7
-13.9752 73.3795 | -0.922879 1.03841 | 2793.82 1857.1
-13.4801 73.3446 | 0.530455 0.655814 | 3893.29 247.074
-12.9845 73.2809 | 0.515123 1.79108 | 1322.92 -2888.32
-12.4893 73.1947 | 1.33767 2.29887 | 10360.1 2439.51
-11.9882 73.102 | -0.266391 -0.9456 | -909.366 -300.563
-11.4879 73.0044 | -0.843525 -2.70283 | -5436.56 1179.12
-10.9912 72.9047 | -0.630328 -3.0183 | 4928.69 1377.93
-10.4914 72.8036 | -1.0497 -2.72936 | 5194.85 -4022.01
-9.9886 72.6933 | -0.210718 0.700358 | 2710.17 -3966.21
-9.48493 72.5777 | -0.750795 -1.10436 | -7190.01 6337.93
-8.98556 72.4739 | 0.27815 0.0163643 | -10506.5 2150.47
-8.49334 72.3805 | 2.63347 0.769873 | -4026.88 -3351.54
-8.00425 72.294 | 2.27814 -2.65955 | -5030.49 1973.42
-7.51579 72.2278 | 2.65222 -3.30086 | 4964.27 2448.67
-7.0212 72.1885 | 2.20747 -4.06056 | 5487.61 264.773
-6.5211 72.1706 | 0.723029 -4.26421 | -909.104 -1466.4
-6.02033 72.1655 | 0.19629 -4.86542 | 2292.48 -3337.52
-5.51779 72.17 | -0.989222 -3.38941 | 461.792 1854.19
-5.01479 72.1938 | -0.710403 -1.89054 | 2855.77 -954.272
-4.51123 72.2393 | 0.214755 -0.540591 | -524.083 -2490.15
-4.01103 72.3133 | -0.723791 1.8107 | 565.644 6309.37
-3.5177 72.4328 | -1.51313 2.40036 | 7675.86 2784.3
-3.0306 72.5931 | -2.83374 0.634645 | -4845.09 -2992.57
-2.55961 72.7858 | -2.23045 -0.247439 | -7514.85 -2212.57
-2.11015 73.0108 | -0.374095 1.16647 | -3074.44 2461.97
-1.68071 73.2674 | 1.04262 0.238949 | 238.286 -5978.99
-1.26474 73.5414 | 2.06328 0.803039 | 1520.74 2212.55
-0.863066 73.8376 | 2.46679 1.34936 | -3866.8 1509.83
-0.478972 74.1539 | 4.02487 -0.860286 | 355.681 -5603.52
-0.103905 74.4781 | 4.43359 -1.07615 | 4383.45 4493.33
0.264317 74.8154 | 3.48685 -2.01824 | -1108.26 -795.343
0.621686 75.1628 | 2.66715 -2.10273 | -2407.13 -4887.98
0.966243 75.5174 | 1.44988 -0.0422377 | -3885.64 363.954
1.29496 75.8846 | -0.439306 1.05584 | 1832.91 4495.33
1.61695 76.263 | -0.566982 0.741926 | 8342.06 6140.99
1.94514 76.6452 | -0.907334 0.769893 | -4349.67 -2668.92
2.27704 77.0205 | -0.99679 2.57382 | -2511.02 -5861.99
2.61958 77.3801 | -0.255378 3.04121 | 1983.21 803.167
2.9773 77.7257 | 0.622759 -0.00428721 | 166.698 3277.65
3.34852 78.0586 | 2.10496 -2.98069 | -1036.2 -3817.27
3.73339 78.3702 | 2.40776 -6.27817 | -11255.3 -4036.29
4.1249 78.6602 | 1.64691 -6.20059 | -1576.27 3425.4
4.53415 78.9257 | -0.397349 -2.01572 | 13379.8 3342.84
4.97719 79.1522 | 0.13084 -4.03281 | 6939.54 2481.23
5.44727 79.334 | -0.0617407 -3.52807 | -2154.85 14.8142
5.93226 79.4666 | -0.135902 -1.30912 | -5919.57 -2977.7
6.42368 79.5449 | 0.666474 0.528853 | -4726.04 -1034.93
6.91636 79.5722 | 2.23432 0.2764 | -1087.73 -3305.61
7.40816 79.5573 | 1.89911 -2.57861 | -2073.93 4004.67
7.89812 79.5247 | 1.40214 -5.85704 | 5945.45 4729.4
8.39215 79.4847 | 2.02565 -3.97951 | 7997.83 -575.584
8.89073 79.4277 | 2.86174 1.97088 | 784.369 1600.59
9.38584 79.3453 | 2.46321 2.26785 | -10643.1 -5472.24
9.86576 79.2232 | 0.908013 1.34839 | -3821.38 2154.66
10.3355 79.0758 | 1.76373 2.73765 | 9760.21 237.692
10.806 78.9127 | 2.33247 2.68687 | -1749.43 -2690.32
11.2716 78.7361 | 0.569309 0.573212 | -2993.33 3750.51
11.7338 78.5594 | -1.15889 0.998228 | -1775.69 813.793
12.1951 78.3855 | -1.03892 1.93067 | -605.404 128.958
12.6574 78.2166 | -0.63507 1.31048 | 1167.08 222.723
13.1227 78.055 | -0.895379 0.723013 | -4578.86 -2660.79
