-8.09213 75.838 | -0.182836 0.718579 | 3892.04 -4542.91
-7.59097 75.8454 | 0.651055 -1.81622 | 6877.49 2287.55
-7.08527 75.8281 | 0.570617 -0.104328 | -3838.47 1473.74
-6.58226 75.7916 | 1.7772 3.20253 | 2877.7 -1748.38
-6.0801 75.7362 | 0.147633 2.80575 | -6752.02 2753.82
-5.58462 75.6684 | -0.476665 1.22202 | -5410.4 1564.7
-5.09475 75.5869 | 1.11575 1.58481 | 11537.5 674.797
-4.60184 75.486 | 1.92331 3.98489 | -3318.8 -3622.48
-4.11836 75.3534 | 2.12299 6.64519 | -10827.4 -3892.97
-3.65041 75.1928 | 1.23932 4.7862 | -11.5584 9288.8
-3.18457 75.0315 | 1.21034 1.288 | 9367.86 -3381.65
-2.71368 74.8621 | 2.65076 0.171471 | 7671.96 -9443.95
-2.23967 74.6808 | 0.355386 -0.96184 | -8191.61 7591.89
-1.76864 74.5113 | -1.35157 -1.90426 | -8701.68 5040.7
-1.30013 74.357 | -3.196 -4.36049 | 4250.13 -5134.47
-0.826822 74.2101 | -1.66314 -3.39721 | -1021.35 3476.95
-0.349933 74.0802 | -0.492922 -1.85682 | -4003.84 -1878.32
0.127828 73.9634 | -1.88293 -2.22386 | -391.164 -3721.14
0.610011 73.8648 | -2.21874 -2.45737 | 6218.48 5042.62
1.10143 73.8027 | -1.69987 0.940182 | -4138.54 -3496.58
1.59313 73.7712 | -0.0626286 -1.03729 | -5731.56 -699.689
2.08192 73.7765 | 0.744201 1.24273 | 3309.25 1256.05
2.57093 73.825 | 0.471685 2.46402 | 7709.71 864.915
3.06004 73.915 | 1.02725 -0.783219 | 1843.28 -2953.43
3.54244 74.0418 | 1.55026 -0.0675624 | -1482.51 -1728.24
4.00973 74.212 | -0.285237 1.56954 | -5665.42 6805.63
4.45299 74.4349 | -1.10291 0.0540728 | 8905.4 -3944.03
4.88342 74.6894 | -1.46939 -1.32747 | 103.592 -1599.2
5.29205 74.9767 | -2.13273 -0.841113 | -8397.47 4637.68
5.66795 75.3023 | -1.59806 -1.18183 | 2643.99 793.997
6.02838 75.647 | 0.382724 -1.48076 | 5021.7 -6205.16
6.38696 75.9938 | 2.4396 -0.705129 | 1866.72 1852.66
6.73828 76.351 | 1.91617 -0.915921 | -2191.55 4013.39
7.07512 76.7245 | -0.796092 -0.474468 | 4996.39 2488.27
7.40435 77.1099 | -4.16176 3.69922 | -1604.41 2341.16
7.72342 77.5053 | -1.00737 3.16812 | -4300.48 -7297.01


-28.2221 72.0322 | -0.181633 2.08765 | -5406.08 -2155.8
-27.7733 71.8166 | 3.06019 -1.42734 | 17782.1 4074.98
-27.3105 71.6126 | 7.59165 -1.2663 | -24758.5 -9248.02
-26.8602 71.4074 | 0.480149 1.63315 | 14611.3 16669.4
-26.3904 71.2435 | 1.90051 -2.51545 | -4514.41 -3265.09
-25.9184 71.091 | 1.64344 1.28793 | -2843.68 -10148.8
-25.4485 70.9345 | 0.187518 4.5879 | -9275.45 833.046
-24.9775 70.7999 | -1.08241 3.18959 | 15833.3 5761.68
-24.4876 70.7153 | 1.00543 -3.082 | -12363.6 -585.183
-23.999 70.6765 | -2.10121 -1.05437 | -1710.16 -6781.38
-23.511 70.6815 | 3.31367 -0.866631 | -1934.48 11883
-23.026 70.7511 | -2.39495 -3.41461 | 27202 -6873.38
-22.5301 70.8542 | -3.19274 -1.84315 | -14657.6 4860.46
-22.0512 70.9967 | -3.38394 -3.42816 | -4863.72 -8848.77
-21.5843 71.1573 | 0.0988098 -3.86377 | 1699.59 -5009.23
-21.1261 71.3427 | -1.40974 -0.774917 | 12357.6 10780.4
-20.6799 71.5786 | -2.51258 -0.322414 | -1721.98 11358.6
-20.2616 71.8637 | 4.47687 2.00778 | -19128.6 -34916.6
-19.8737 72.1544 | 2.52347 2.32244 | 7939.37 28763.5
-19.5106 72.4967 | -0.0207829 -1.73281 | 15976.8 -3723.74
-19.1533 72.8566 | 5.22618 -4.10792 | -6751.47 3918.86
-18.8217 73.2376 | -1.78662 3.49344 | -6043.51 -18788.8
-18.5138 73.6217 | -0.877418 0.727635 | -3220.72 -1264.93
-18.236 74.027 | 1.61584 -0.0983528 | 6148.06 32886.9
-17.9829 74.4717 | 2.66255 3.73744 | 7911.22 -13280
-17.7299 74.913 | 0.345696 -1.68376 | -12143 -5384.41
-17.4885 75.351 | 1.69572 2.44202 | 7537.88 -11549.4
-17.2387 75.778 | -1.57696 1.83305 | -15852.5 8811.52
-17.0018 76.2135 | -5.32902 -3.3158 | 15388.6 9178.73
-16.7329 76.6449 | -5.53738 1.13609 | 18477.2 9435.19
-16.4238 77.0648 | -0.944154 0.71237 | -19131.8 566.961
-16.1072 77.4689 | -0.651858 -2.1719 | 637.338 -30841
-15.7592 77.8242 | -3.92265 -2.49647 | -4248.18 14359.8
-15.3992 78.1708 | 0.55069 2.45519 | 5334.22 -4024.89
-15.0219 78.499 | -0.309176 -0.399302 | -15908.6 203.121
-14.6425 78.8172 | 3.58649 -2.55577 | 27192.4 16146
-14.2278 79.1194 | -3.61111 -3.98058 | -16755.1 -19547.8
-13.7988 79.3778 | -2.29613 0.458805 | 6890.8 14781.6
-13.3494 79.615 | 0.0108167 7.69723 | 10490.9 -4632.04
-12.876 79.8073 | 1.42806 4.00375 | -24673.1 -17680.6
-12.4065 79.9532 | 1.03937 -1.14147 | -8648.28 13299
-11.9403 80.0977 | 2.13935 -5.79992 | 26739.2 518.11
-11.4532 80.2271 | -1.69613 3.38238 | -14945.2 402.949
-10.9684 80.3443 | -3.22548 0.171794 | 21041.7 162.065
-10.4694 80.4462 | 0.256875 3.6152 | -26816.8 2755.63
-9.98265 80.5388 | 7.83832 2.37698 | 18413.1 -4335.95
-9.48227 80.6066 | 0.659804 4.29254 | -928.195 1517.28
-8.97913 80.6571 | 1.22333 3.53091 | -3809.64 -1678.61
-8.47702 80.6923 | 0.753348 4.30858 | 4059.35 3032.57
-7.97331 80.7201 | -6.616 -0.308852 | -13043.4 5433.19
-7.47699 80.7363 | 0.340649 -2.53625 | 9961.62 -20148.5
-6.97666 80.7139 | 3.44104 1.36594 | -13344.2 17475.7
