-23.4518 -15.6511 | 0.196069 4.25917 | -3376.85 -10501.5
-23.0671 -15.9769 | 1.61679 1.87683 | 6155.73 2824.16
-22.6736 -16.2978 | 4.43936 3.57501 | 7774.66 -4811.32
-22.2656 -16.612 | 4.05947 5.63373 | 964.957 -4947.98
-21.8456 -16.9151 | -0.323466 3.00371 | -4292.51 3705.28
-21.4106 -17.1886 | 0.797316 -0.32633 | -1026.75 4305.72
-20.954 -17.4156 | 4.41548 -0.877542 | -5225.81 5250.79
-20.4785 -17.5847 | 3.98278 0.643062 | 3648.06 6042.64
-19.9852 -17.6945 | 3.63998 -0.131767 | -1358.3 -2961.6
-19.4856 -17.767 | 2.83759 -0.584018 | -5728.06 -4619.27
-18.9859 -17.8121 | 1.00286 1.43038 | 4784.06 3678.21
-18.4819 -17.8196 | 0.584304 3.96157 | 220.668 -5067.08
-17.9789 -17.7939 | 1.76237 3.25106 | -6621.66 2409.25
-17.4865 -17.7199 | 2.71818 3.94767 | -8320.71 1125.32
-17.0109 -17.5956 | 3.51234 -0.000271436 | -287.507 -4927.34
-16.5494 -17.4311 | 1.35368 -1.26721 | 4071.45 4907.52
-16.1023 -17.2219 | -0.366777 -3.31198 | -688.753 1049.35
-15.6706 -16.981 | -1.10373 -1.50058 | 938.525 -2603.95
-15.2469 -16.7251 | -1.19143 0.800676 | 6527.46 1440.57
-14.8234 -16.4598 | 0.984961 -1.47776 | 5954.78 -4683.87
-14.402 -16.1867 | 0.91121 -0.230642 | -3486.89 6062.7
-14.0008 -15.8844 | -0.349737 1.92032 | -6264.23 3509.03
-13.6234 -15.5553 | 0.158082 0.821864 | -231.313 -212.98
-13.2527 -15.2189 | 0.109472 -0.71575 | 5347.57 -3913.36
-12.8708 -14.894 | 0.318342 -3.77823 | 1246.59 -1797.69
-12.4787 -14.5821 | -0.990858 -3.45603 | -5015.42 443.518
-12.0834 -14.2781 | -1.53874 -2.3538 | -1116.27 2744.02
-11.6798 -13.9847 | -0.947185 -3.4195 | 3955.79 532.158
-11.258 -13.7155 | -0.712467 -2.24674 | -5531.5 -2501.97
-10.8206 -13.4825 | 0.39151 -0.516469 | -4867.8 -6478.85
-10.3666 -13.2975 | 0.151798 0.67091 | 1268.57 2147.64
-9.89708 -13.1523 | 0.749506 0.34057 | 3622.47 3405.41
-9.41458 -13.0426 | 1.91188 -0.386546 | 1063.81 1152.47
-8.92392 -12.9714 | 2.02593 -0.0871174 | -2896.89 -2617.08
-8.43147 -12.9433 | 2.95725 0.531878 | -6093.19 -4669.07
-7.94227 -12.9502 | 3.24881 -1.49165 | 4028.48 10143
-7.45042 -12.9631 | 4.06401 -0.886388 | 7037.98 5408.13
-6.95368 -12.9932 | 5.50211 -1.91129 | 3813.42 -10878.1
-6.45866 -13.0729 | 4.4743 -1.0182 | -2784.55 167.701
-5.97374 -13.1913 | 3.07374 0.540857 | -7889.57 11108.5
-5.50311 -13.3348 | -0.0142268 0.97326 | 33.4737 -8896.65
-5.04693 -13.5256 | -2.42996 2.3653 | 10685.5 -8145.24
-4.5958 -13.7509 | -0.15915 4.0039 | 6117.89 6839.34
-4.14437 -13.9826 | 0.764 0.776776 | -1830.54 -2.45087
-3.69927 -14.225 | 2.28257 0.408882 | -1475.49 -366.037
-3.26253 -14.4811 | 2.06682 1.36061 | 4798.5 471.139
-2.83245 -14.752 | -2.10032 0.95819 | -5321.75 -5595.74
-2.42013 -15.0453 | -3.13272 0.0278452 | -12381.8 7533.57
-2.02333 -15.3423 | -2.86231 0.186102 | 1361.26 5367.28
-1.62335 -15.6303 | -2.6479 2.13925 | 1521.21 -3283.34
-1.21597 -15.9124 | -3.00285 1.29675 | 4200.64 -4926.49
-0.795136 -16.1843 | -3.03391 -0.0442641 | 11297.7 521.4
-0.353848 -16.4342 | -1.05301 -0.521816 | -9023.67 2686.94
0.0905855 -16.6646 | -1.41288 -1.96843 | -13490.9 61.5093
0.533855 -16.8763 | -2.09999 -0.839052 | 2292.56 1430.95
0.990896 -17.0541 | -0.249766 1.62586 | -1391.34 1051.1
