-9.15734 24.3064 | -4.80911 1.84168 | -3375.65 -2508.14
-8.67357 24.4391 | -2.98524 3.02072 | 36.723 4204.02
-8.18297 24.551 | -0.886789 4.14728 | 13664 -6153.54
-7.6764 24.6179 | -1.6671 3.34927 | -7618.12 2050.43
-7.16984 24.6441 | -2.94108 1.14784 | -1760.55 725.743
-6.6638 24.6227 | -3.17731 -0.373342 | 9125.48 -15004.4
-6.15639 24.5415 | -0.196514 -0.515083 | 3375.09 11691.8
-5.65138 24.4413 | 0.361807 0.620253 | -6958.08 6758.12
-5.16005 24.3147 | -1.53646 2.36196 | -17287.4 -6383.14
-4.69801 24.1337 | 0.66544 0.0447114 | 4126.8 3743.28
-4.25554 23.9097 | 1.45664 -0.433147 | -2536.21 -1851.82
-3.83901 23.641 | 0.10897 1.75316 | 4734.63 -3284.92
-3.44363 23.3352 | -2.30149 0.717313 | 911.562 2069.57
-3.06789 23.0039 | -5.93944 1.73199 | 4351.01 -3371.83
-2.70955 22.6478 | -4.58281 -1.74899 | 1009.86 -4532.68
-2.37121 22.2688 | 0.124742 -0.866515 | -2671.74 3876.97
-2.05168 21.8776 | -2.24772 2.17364 | 3485.61 5911.84
-1.74671 21.4774 | -3.09478 -0.940286 | -2732.28 -7006.94
-1.47141 21.0541 | -3.10271 -0.0174708 | -5709.21 -1309.43
-1.22634 20.6145 | -0.843206 2.02295 | -2583 8046.78
-0.992937 20.1752 | -1.20344 0.163524 | 585.209 960.765
-0.753298 19.7406 | -0.338704 2.23767 | 1013.22 -2703.49
-0.494494 19.3157 | -1.51198 -0.0159102 | -3802.29 -98.4321
-0.206158 18.9122 | -2.33927 -1.32639 | 8156.81 5295.3
0.131686 18.5483 | -3.92027 0.307089 | -566.854 -2807.42
0.505276 18.2186 | -3.89757 0.00858568 | -1368.13 -1194.59
0.906515 17.9235 | -2.13103 2.10044 | -640.991 6381.28
1.33094 17.6675 | 0.0880883 1.35489 | 783.1 55.9239
1.7682 17.4331 | -0.958148 2.1083 | 357.064 -7033.87
2.20813 17.1994 | -1.60813 2.6665 | -5443.84 -1939.34
2.64732 16.9685 | 0.166718 -0.475874 | 526.871 114.201
3.09614 16.7537 | 0.566053 0.256351 | 12767.2 -2515.97
3.56558 16.5663 | 1.3376 -0.060135 | -8137.4 -3181.43
4.04316 16.4144 | -1.49622 0.0315483 | -4649.63 12137
4.53012 16.3248 | -2.33783 2.14356 | -2178.67 -3642.19
5.02216 16.2801 | 0.865736 3.16227 | 6095.24 -3018.05
5.52089 16.2753 | -2.0287 0.157093 | 5401.16 12602.4
6.02245 16.3151 | -2.95055 0.0382351 | -1912.54 -17741.8
6.52166 16.3535 | -0.367882 1.34916 | -7566.2 4158.25
7.01262 16.4138 | 1.12332 -2.05361 | -6128.54 2625.92
7.49435 16.4992 | 2.17697 -2.18113 | -2907.36 -8820.98
7.96976 16.5974 | -0.778878 -1.44828 | -142.822 12284.9
8.43873 16.7268 | -0.23376 -2.85333 | 325.181 -10977.4
8.90734 16.8544 | 1.57563 -0.492417 | 3499.25 5666.6
9.37788 16.9904 | -1.27689 -0.59751 | 5283.21 9439.08
9.85458 17.1258 | -0.802593 -1.62013 | 5145.65 -15369.6
10.3427 17.2202 | -1.0844 1.68129 | -6111.57 5583.81
10.8319 17.2974 | -0.501155 -2.37769 | 7881.91 2371.88
11.3288 17.3578 | 0.692312 -3.4516 | -190.332 452.921
11.8293 17.3959 | 0.40347 -2.75965 | 3720.27 404.862
12.3344 17.4046 | 0.304539 -2.98341 | 4826.9 -6446.87
12.8419 17.3754 | 2.67142 -0.757753 | -5157.22 559.499
13.3435 17.324 | 2.76858 -0.266264 | -9774.88 6558.57
13.8364 17.2652 | 2.81165 1.9735 | 318.577 1574.89
14.3263 17.1912 | 1.40169 2.6602 | 3296.83 888.149
14.8127 17.0891 | -0.853457 -2.55941 | -3902.06 -5213.57
