0.101528 55.797 | 3.17278 4.40176 | 5319.52 514.915
0.549274 56.0207 | 2.35264 3.03679 | 1424.77 3694.22
0.996333 56.251 | 1.56703 2.6412 | -4251.75 2083.38
1.44338 56.4777 | 4.7653 1.01112 | 1152.75 -3383.36
1.90182 56.6788 | 6.14535 -0.00755571 | 3129.15 -3371.07
2.37538 56.8445 | 2.3767 1.72335 | -327.869 1020.15
2.85885 56.9799 | -0.537154 2.01992 | -42.238 1406.27
3.3493 57.086 | 0.15665 1.36689 | -4496.71 -1831.47
3.8423 57.1578 | 1.32362 0.628916 | -3027.34 -1628.97
4.33662 57.1958 | 1.05462 0.245143 | 2117.8 832.864
4.8336 57.2072 | 0.112226 -0.617978 | 1705.82 4352.58
5.33188 57.1968 | -0.537064 1.25887 | -1278.8 -2046.89
5.82788 57.1536 | -1.16293 -0.741722 | 286.691 2887.15
6.32025 57.0758 | -0.667787 -4.00308 | 5619.41 -2449.47
6.80783 56.951 | 0.964326 -3.65958 | 4664.92 -8016.1
7.28451 56.773 | 1.32917 -1.70477 | -8192.37 7305.31


-39.4669 -15.3222 | -0.416097 1.36308 | 1802.9 -1117
-38.9956 -15.1507 | 1.08325 0.899783 | 1546.38 5111.22
-38.5346 -14.9497 | 2.01793 0.406806 | -5749.99 -7171.44
-38.0868 -14.735 | 1.95778 -0.988867 | -5592.77 -2112.99
-37.6532 -14.504 | 0.0451499 -1.52253 | -4626.78 3411.37
-37.2314 -14.2564 | -0.925743 -1.33025 | 4131.59 -2076.24
-36.806 -14.0104 | -0.5362 -0.732148 | 7887.66 314.414
-36.3706 -13.7713 | -1.92642 2.64504 | -353.729 623.688
-35.9318 -13.5348 | -2.05444 3.99849 | 2802.73 4839.42
-35.4893 -13.2962 | -1.38005 1.20361 | 6134.29 4460.25
-35.0383 -13.0615 | -1.07057 -2.75318 | -953.158 -3747.83
-34.5789 -12.8446 | -1.40655 -2.59466 | 4144.7 -848.267
-34.1095 -12.6462 | -0.890636 -1.6918 | -5995.26 1993.53
-33.6381 -12.4618 | 0.887347 -2.99018 | -4455.06 -2063.36
-33.1618 -12.3004 | 2.7034 -4.03649 | 6648.7 -3444.67
-32.673 -12.1679 | 2.62098 -3.01004 | 2469.75 3176.03
-32.1768 -12.0538 | 0.0783083 -0.16249 | -928.704 7569.52
-31.6766 -11.9573 | -1.49291 1.20296 | -2794.16 -10103.9
-31.1729 -11.9089 | 0.637701 1.9327 | -3480.71 549.104
-30.6697 -11.9022 | 2.7996 1.61924 | 635.6 1866.75
-30.1679 -11.9347 | 3.14933 0.917333 | -2678.36 814.465
-29.6728 -12.0116 | 1.873 2.11925 | 1585.19 -3909.91
-29.1867 -12.14 | 0.35404 1.72279 | 2574.83 -3605.35
-28.7122 -12.3131 | 0.833099 -1.0576 | -3017.52 4982.91
-28.2508 -12.5133 | 0.107007 -0.230897 | 5291.01 801.969
-27.7991 -12.7405 | -1.14798 -0.0770762 | -261.704 -1142.09
-27.3663 -13.0023 | -1.19715 -3.54912 | -3092.99 -3641.46
-26.96 -13.3032 | -1.96412 -3.81134 | -3094.45 -5677.43
-26.5771 -13.6338 | -2.70663 -3.59183 | -2285.59 7498.61
-26.2 -13.9651 | -2.27929 -3.77582 | 8001.92 2406.02
-25.8128 -14.2885 | -0.745102 -1.28139 | -1907.72 -6082.96
-25.4236 -14.6116 | 1.7857 0.173649 | -1375.64 9053.88
-25.0287 -14.9204 | 2.08503 1.67034 | 154.547 752.297
-24.633 -15.2256 | 1.76981 3.26209 | -8242.68 -1782.4
-24.2471 -15.5367 | 1.57215 2.59064 | -1223.2 888.209
-23.8614 -15.8463 | 2.23714 3.29871 | 3335.57 -4816.04
-23.4648 -16.1475 | 3.27548 3.7401 | 2280.47 4439.67
-23.0501 -16.4229 | 1.62234 1.08468 | -1045.91 7.33809
-22.6209 -16.6723 | 1.13165 0.371069 | -8023.95 309.614
-22.1825 -16.894 | 1.68049 -1.21895 | 1927.56 7491.6
-21.7281 -17.0788 | 1.54187 -2.6115 | 5250.18 -8728.77
-21.2622 -17.2491 | 2.18357 -0.309577 | 105.62 -2729.98
-20.7884 -17.4023 | 1.13382 -1.07377 | 3178.06 3710.99
-20.3051 -17.5281 | -1.35151 -2.28109 | -1911.82 -5435.11
-19.8179 -17.6338 | -2.04326 -1.21815 | -6215.24 3189.59
-19.3289 -17.7053 | -0.95868 0.871501 | 2922.96 -970.337
-18.8343 -17.7393 | 1.68867 2.87686 | 2571.66 -4878.97
-18.336 -17.7313 | 1.53048 1.01294 | 5824.07 8314.54
-17.8378 -17.659 | -0.864087 -1.43966 | 3304.95 1043.51
-17.3477 -17.5326 | -1.40968 -3.02717 | -5876.25 -2784.73
-16.8743 -17.3637 | -0.461235 -3.97048 | 1649.61 1819.09
-16.4149 -17.1557 | -0.86018 -3.03676 | 3640.95 3344.64
-15.9671 -16.9157 | -3.13743 0.740655 | 1065.65 991.6
-15.5286 -16.656 | -3.32661 2.08003 | 3229.13 -2902.27
-15.095 -16.3883 | -2.07631 3.06152 | -8796.47 -2964.02
-14.6755 -16.1125 | -1.72473 1.58889 | -6830.38 -6924.97
-14.2689 -15.8324 | 0.181037 0.51213 | -4068.78 -2226.12
-13.8748 -15.5429 | 3.15645 0.0770467 | -802.044 -447.868
-13.4906 -15.2413 | 2.98465 -0.794747 | 1013.86 8209.84
-13.1115 -14.9253 | 0.908614 -0.689452 | 6636.14 3978.31
-12.7198 -14.6137 | -1.72495 -1.4182 | 12105.5 -2874.55
-12.304 -14.324 | -4.6244 0.406386 | -4110.73 2249.53
-11.8808 -14.0479 | -4.12702 2.03921 | -12239.7 1916.71
-11.455 -13.7889 | -2.25745 2.19668 | 4131.52 -12484.4
-11.0076 -13.5736 | -0.521823 1.13726 | 7437.13 -1252.61
-10.5442 -13.3819 | 0.0376697 -0.569414 | 2381.23 15339.3
-10.0787 -13.1792 | 1.0883 -0.886726 | -1832.11 3097.12
-9.61032 -12.9803 | 2.45406 0.325472 | 1848.8 -4128.62
-9.1299 -12.8116 | 2.63499 -1.02976 | 3136.07 -1588.07
-8.63632 -12.6848 | 1.15562 0.613551 | -9517.58 -6146.7
-8.13995 -12.6067 | 1.19901 3.68039 | -1082.4 280.846
-7.64041 -12.5668 | 4.05753 3.27288 | 4510.67 3031.39
-7.13726 -12.5587 | 4.37235 0.0632484 | -6223.54 -4029.31
-6.63919 -12.5892 | 0.42354 -1.65162 | -3326.79 2867.51
-6.14645 -12.6476 | -2.52956 -1.73785 | 1949.79 2120.77
-5.65623 -12.7331 | -0.461767 0.844673 | 6600.13 -1058.69
-5.16793 -12.8532 | 2.63305 0.353981 | 4849.1 -5832.09
-4.6873 -13.0152 | 2.43778 1.40198 | -7096.6 135.532
-4.22267 -13.2085 | -0.0999388 1.82056 | -727.541 2680.33
-3.76781 -13.4185 | -1.02163 0.852693 | 266.552 6499.23
-3.32079 -13.6385 | -0.445551 0.904265 | -8902.17 -4835.99
-2.89067 -13.8826 | -1.42916 0.126334 | 4534.57 -724.891
-2.46292 -14.1386 | -2.37952 -1.64247 | 10526 -3336.28
-2.02718 -14.3986 | -1.16586 -0.430077 | 5661.91 -7135.46
-1.58428 -14.66 | 0.35558 0.0338884 | -1727.32 3798.86
-1.13426 -14.9053 | 1.10094 -0.116332 | -4999.81 83.3682
-0.676203 -15.1273 | 2.8908 1.17741 | 1978.22 5001.5
-0.202199 -15.3102 | 1.97556 -0.796532 | 1248.7 5478.55
0.28442 -15.4546 | -0.288131 -1.77115 | -2861.64 -4873.12
