15.5809 18.932 | -2.03203 1.93661 | -4365.46 1160.54
16.0731 19.0015 | -2.27334 1.93048 | -3434.09 -6325.47
16.5595 19.0946 | -0.793576 -0.23806 | 16030.7 8651.27
17.0477 19.2297 | -3.60236 -0.034964 | -2733.69 5920.9
17.5246 19.4005 | -3.23373 -2.23143 | -8715.51 -19514.5
17.9896 19.5774 | -0.49999 -1.30402 | 8625 9952.11
18.4434 19.7962 | 1.18131 -0.000725703 | -1233.31 5848.23
18.8726 20.0621 | 0.147771 -1.08471 | -9420.3 -3346.23
19.2726 20.359 | -2.25712 -0.987864 | -4973.44 -640.711
19.6566 20.6708 | -1.95529 -2.33402 | 9613.81 -7930.33
20.0487 20.9758 | -2.63584 0.198141 | 4392.85 10745.1
20.4411 21.29 | -2.49031 2.89997 | -8615.47 -8650.94
20.8269 21.6002 | -0.249106 0.409255 | 718.225 -7583.2
21.2104 21.9088 | 0.830705 -2.68226 | 4243.12 13777.1
21.5837 22.2412 | 2.39102 -1.95627 | 326.854 -1674.57
21.9461 22.5873 | 2.64 -0.458041 | 1405.41 6807.79
22.3002 22.9476 | -1.36856 -0.773708 | -3615.69 129.567
22.6538 23.3071 | -2.54003 -1.979 | 235.875 -3288.76
23.0253 23.647 | -2.55191 -1.32429 | 12432.1 2621.87
23.4299 23.9582 | -1.95116 -2.14371 | -2866.19 -5611.73
23.8541 24.2363 | -2.61272 -2.6403 | -7246.5 -1651.53
24.287 24.4916 | -2.88103 -0.323056 | 4405.46 1455.85
24.7321 24.731 | -1.13293 1.86757 | 1497.15 4342.01
25.1855 24.9604 | -2.69799 3.27616 | -437.307 3572.36
25.6479 25.1743 | -4.24671 4.0363 | -7193.29 -8694.58


-21.4611 -68.0871 | -0.0230015 0.136424 | -1951.78 5584.5
-20.9735 -68.1871 | -1.80581 0.401798 | 2543.85 -8406.22
-20.4841 -68.2951 | -1.83522 -1.88848 | 4543.63 1907.87
-19.9892 -68.3965 | 1.24287 -0.341872 | 5935.67 -591.347
-19.4885 -68.4874 | 0.514365 0.890987 | -6629.56 -1932.31
-18.9906 -68.5645 | -1.15284 3.29702 | -11452.2 8187.85
-18.4984 -68.6138 | -0.44102 3.50035 | 539.623 -2446.86
-18.0053 -68.6499 | -0.641831 2.26735 | 8730.21 -5135.2
-17.5067 -68.6776 | -0.410233 2.36926 | -10942.8 -2022.78
-17.014 -68.6839 | -0.146435 0.825163 | -1569.1 1494.05
