-25.3089 58.6137 | -2.75518 1.25481 | 2330.19 -284.414
-24.8869 58.8822 | 0.317243 1.58393 | 3495.65 4177.29
-24.4736 59.1696 | 0.958549 2.58052 | -4508.06 3196.75
-24.0736 59.4731 | 1.83668 2.32436 | -6365.12 -3000.16
-23.6777 59.7743 | 2.01243 1.49495 | 7690.09 -8388.32
-23.2659 60.0557 | 1.33548 2.54428 | 6227.95 7653.85
-22.8457 60.3363 | 3.08509 0.698915 | -538.229 1984.55
-22.4271 60.6196 | 2.86913 -1.09144 | -8598.65 -8148.17
-22.0175 60.9025 | 2.28885 -0.737367 | -844.284 6067.62
-21.6147 61.1982 | 2.15406 -1.32801 | 10823.1 3771.76
-21.2059 61.4998 | 3.33336 -2.65909 | 624.854 5256.89
-20.7957 61.8052 | 3.23375 -2.24472 | -2429.76 -1933.28
-20.3806 62.1002 | 1.38575 -0.264891 | -4267.8 -8445.32
-19.9568 62.3724 | 1.97152 -1.41549 | -2335.74 11470.9
-19.5211 62.6294 | 1.3287 -2.81774 | 9845.01 -5286.75
-19.0554 62.8361 | -1.82924 -1.11732 | -2978.51 -6012.31
-18.5704 62.9814 | -2.58784 -1.65853 | -5074.89 935.741
-18.076 63.072 | -2.00959 -1.0317 | 559.239 -5924.5
-17.5743 63.1069 | -0.413959 -0.984352 | 5323.74 7212.4
-17.0678 63.1081 | 0.252969 0.860549 | -376.919 -301.669
-16.5639 63.0691 | -0.230892 2.85391 | -12256.8 -4239.44
-16.0734 62.9845 | 0.403218 2.60035 | 2713.5 1272.27
-15.5879 62.8693 | 1.26468 2.99486 | 6206.21 -623.367
-15.1034 62.7325 | 1.34837 1.86041 | 1119.82 3266.27
-14.6224 62.5812 | 1.16472 -0.0804407 | 117.55 -5219.47
-14.1484 62.4085 | 0.933964 2.14985 | -8558.71 3990.69
-13.6845 62.2276 | -0.328682 2.70477 | -1918.34 3481.84
-13.224 62.0451 | -0.642037 2.73102 | 5844.27 -1170.66
-12.7611 61.8569 | 0.649422 1.97703 | 4925.01 -2433.15
-12.298 61.6578 | 0.796193 2.80515 | 11.4774 -6739.8
-11.8393 61.4447 | -1.44493 4.5492 | -6280.62 7916.67
-11.3841 61.2383 | -3.9424 3.72481 | -3173.74 -2975.23
-10.9285 61.0373 | -3.22562 3.88414 | 3195.11 -4773.81
-10.4627 60.8553 | -1.93655 2.60036 | -1938.55 11523.8
-9.98465 60.7222 | -0.524644 2.31439 | -4731.2 -4897.51
-9.50054 60.6254 | -0.363678 1.74288 | 1574.9 108.261
-9.00814 60.5725 | -0.548761 0.386902 | 7196.15 767.185
-8.50675 60.5674 | -1.08443 0.570014 | 8616.87 358.052
-8.00041 60.6087 | -0.704532 1.63987 | -3645.41 1556.89
-7.50126 60.6947 | 0.650081 -0.28876 | -2341.72 -1792.99
-7.01257 60.8177 | 0.0554232 1.62217 | -4464 -3911.92
-6.53789 60.9758 | -0.996083 2.41881 | 2311.5 2530.63
-6.07743 61.1787 | -0.877221 0.118091 | 9529.46 9520.83
-5.63104 61.4303 | 1.33306 -1.54557 | -2594.08 3260.93
-5.20381 61.7153 | 3.52878 -0.581057 | 2538.13 -6098.2
-4.78577 62.0107 | 3.61075 -0.332461 | -4111.83 -5502.48
-4.38163 62.3154 | 0.908001 -1.45226 | -6900.46 -3769.31
-3.9989 62.637 | -0.97899 0.822066 | -476.578 1568.62
-3.63812 62.9819 | 1.91097 1.77972 | -789.403 836.759
-3.29972 63.3488 | 1.9503 1.14113 | 3515.89 -1122.88
-2.98021 63.7328 | -2.02705 2.30587 | -4513.58 -505.439
-2.68855 64.1343 | -0.586969 1.97469 | -5728.83 -7447.52
-2.42249 64.546 | 1.32969 3.26769 | 2950.43 4194.68
-2.16905 64.9696 | 2.23417 4.36366 | 1448.89 9562.96
-1.91833 65.4022 | 2.65089 1.23867 | 3978.31 -4813.32
-1.65333 65.8241 | 1.93169 0.564009 | -3130.63 -11435.5
-1.37735 66.2286 | 0.554073 2.00283 | -14633.2 2036.66
-1.10107 66.6267 | -2.82847 1.54488 | 12067.7 1913.91
-0.788814 67.0043 | -3.69117 1.36306 | 2716.51 1364.14
-0.444775 67.3579 | -3.12017 2.6197 | -1053.63 2196.95
-0.077633 67.6904 | -1.65226 2.28247 | 5878.07 4081.99
0.31298 68.0036 | -0.377752 1.11028 | -3999.2 5331.09
0.719376 68.2971 | 1.03961 -0.143167 | 1704.5 -4533.01
1.15053 68.5511 | 1.05634 0.125652 | 2851.29 -7330.45
1.60376 68.7615 | 0.0754511 -2.99789 | -6279.81 9570.68
2.06368 68.9536 | -2.08467 -3.25343 | 2520.7 -2540.83
2.53602 69.1137 | -1.40405 -0.550113 | -2520.53 -3363.22
3.016 69.2393 | 0.466547 -0.30701 | -2803.86 660.932
3.4993 69.3401 | 2.07594 2.31293 | -3142.12 3315
3.9841 69.4229 | 4.12518 2.66279 | -712.602 2229.8
4.47359 69.481 | 5.08078 3.03982 | 13857.8 595.251
4.97666 69.5009 | 6.23197 2.3822 | 9509.43 -10118.6
5.48748 69.4706 | 5.85875 -0.25194 | -13551.3 6524


24.6815 -17.9173 | -3.76055 -0.200887 | 490.664 1667.34
25.1767 -17.9888 | -3.49669 2.67932 | 331.456 -1109.12
25.6747 -18.0425 | -2.99246 5.35839 | 1757.26 1341.3
26.1749 -18.0845 | -2.91282 2.47262 | -1012.59 -3074.35
26.6745 -18.1271 | -1.45266 2.33558 | -711.593 -2400.28
27.1731 -18.1705 | -1.14421 -0.139353 | -4833.87 -1045.24
27.6689 -18.2053 | -0.938761 -1.03459 | 875.262 3382.91
28.1653 -18.2166 | 0.0208217 1.59586 | -20.6133 3550.06
28.6609 -18.2039 | -1.08075 -2.86974 | -5765.59 -1158.62
29.1514 -18.1815 | -0.905294 -2.17696 | -6369.5 910.792
29.6369 -18.16 | 0.36966 1.71602 | 172.278 1445.92
30.1224 -18.1543 | 0.40765 -1.1063 | 3295.04 -2290.8
30.6093 -18.1834 | 1.0983 -1.68703 | 553.851 -5113.74
31.0935 -18.2528 | 1.4218 0.80875 | 236.768 5281.19
31.5745 -18.3443 | 2.06778 1.07551 | 5010.33 2205.59
32.0541 -18.4586 | 2.701 0.619166 | 2213.95 -1910.24
32.5268 -18.6062 | -0.794713 0.199523 | -2531.22 -2818.19
32.9859 -18.7892 | -2.26221 1.73612 | -692.925 4725.83
33.4333 -18.9954 | -2.25994 1.56534 | 1182.22 1438.87
33.8685 -19.227 | -2.38792 1.08449 | 1613.05 -2770.44
34.2876 -19.4904 | -0.678621 1.47674 | 3046.42 2417.76
34.6886 -19.7829 | -2.80463 0.455363 | -7.19194 -2209.4
35.0619 -20.1121 | -2.96338 0.445866 | -2402.91 -8358.67
35.403 -20.4786 | 0.741582 3.04608 | 2022.15 4111.98
35.7277 -20.8579 | 0.323797 5.41827 | 1834.07 10540.2
36.0424 -21.2389 | 0.802797 4.25587 | -5864.27 -1773.97
36.3335 -21.6364 | 2.04682 3.90655 | 3664.03 -5189.44
36.6074 -22.0514 | 0.608972 2.87575 | 3777.3 -3850.34
36.8681 -22.4796 | 1.46908 1.83752 | -260.34 3419.08
37.1138 -22.9144 | -0.726383 2.47166 | -733.784 2601.55
