-4.96418 42.1915 | -1.82714 3.28292 | -1122.88 -2521.18
-4.99024 42.6841 | -1.83908 3.00635 | 1600.29 -1055.93
-4.97349 43.1758 | -1.29347 2.85492 | -378.572 -198.266
-4.91233 43.6638 | -1.0208 2.64449 | -1245.37 606.369
-4.80729 44.1449 | -1.27022 2.96596 | 942.201 2667.75
-4.65693 44.6167 | -0.947866 4.1154 | 2565.61 3666.51
-4.46378 45.0764 | 0.148366 5.39023 | -1997.54 1393.18


11.6756 -20.3197 | 3.53512 1.57125 | 592.094 -468.256
12.1694 -20.4018 | 3.20198 2.74321 | -499.194 -2.58213
12.6677 -20.4467 | 2.40775 2.6761 | 901.096 994.927
13.1688 -20.4515 | 1.89771 2.99356 | 1224.53 3503.24
13.6696 -20.4176 | 1.97342 3.64287 | -488.466 -1123.08
14.1677 -20.3607 | 1.99485 2.81082 | -2579.44 -3884.01
14.6617 -20.2926 | 1.54986 1.40185 | -3410.75 -1464.79
15.1506 -20.2116 | 1.51746 0.478215 | -1897.04 -421.968
15.6342 -20.1131 | 2.42222 -0.0429825 | -813.363 271.246
16.112 -19.9932 | 3.53287 -0.134988 | -1093.51 1053.39
16.583 -19.8517 | 4.03157 -0.21628 | -464.236 -1244.27
17.0486 -19.6952 | 4.23397 -1.11307 | 284.973 -1005.23
17.5102 -19.5273 | 4.02143 -0.886965 | 364.028 1935.75
17.9687 -19.3487 | 3.15832 0.151667 | 1493.82 116.103
18.4278 -19.1673 | 2.10119 0.814275 | 3372.88 -925.024
18.8912 -18.9894 | 0.960868 2.60286 | 3963.66 592.171
19.359 -18.8138 | -0.141205 4.45522 | 1350.68 1551.92
19.8282 -18.6368 | -1.12507 5.59423 | -561.213 61.4187
20.2968 -18.4588 | -1.37103 5.80164 | -810.899 -565.214
20.7643 -18.2803 | -0.555921 4.37462 | -1234.97 395.777
21.2303 -18.1008 | 0.413515 2.78696 | -767.485 467.381
21.6961 -17.9221 | 1.06341 1.7039 | -638.337 42.1665
22.1633 -17.7488 | 1.39241 0.932912 | 391.246 -1241.07
22.6343 -17.5859 | 0.892204 1.43452 | 861.233 508.806
23.1092 -17.4331 | 0.58621 1.5219 | -370.38 1272.98
23.5874 -17.2907 | 1.11504 0.736031 | -1626.89 1091.55
24.0689 -17.1636 | 1.64288 -0.0115565 | -661.578 -13.7512
24.5559 -17.0616 | 1.54979 0.519058 | 1343.6 -813.131
25.0498 -16.994 | 1.36817 1.98858 | 1906.96 -2066.04
25.5489 -16.9655 | 1.32941 3.30801 | 699.156 -1060.93
26.0497 -16.9709 | 1.19788 4.30709 | 962.1 1082.05
26.5505 -17 | 0.854699 5.024 | 764.599 903.381
27.0506 -17.0466 | 0.768351 5.4857 | -183.009 1266.59
27.5492 -17.108 | 1.1626 4.90322 | 1137.84 1911.13
28.0461 -17.1862 | 1.36148 3.27541 | 2032.32 735.631
28.5394 -17.2914 | 1.35233 2.55047 | 780.773 -1008.89
29.0226 -17.4374 | 1.17005 2.10569 | -1370.72 -2510.09
29.486 -17.6348 | 1.57566 2.72017 | -2854.74 -1527.29
29.9217 -17.884 | 2.86581 4.57628 | -772.882 1594.01
30.3275 -18.177 | 2.83225 4.78235 | -592.778 -874.204
30.7009 -18.5103 | 2.17317 4.27693 | -313.184 -2400.56
31.0428 -18.8778 | 1.88004 3.83226 | 1498.03 -705.961
31.3602 -19.2687 | 1.39956 3.16362 | -580.254 -722.805
31.6578 -19.6752 | 0.838652 2.26493 | -1420.08 990.313
31.9434 -20.0884 | 0.600848 1.43773 | 215.578 4740.41
32.2267 -20.4992 | -0.34147 -0.0913275 | -1861.1 4005.59
32.5082 -20.9066 | -0.770141 -1.56331 | -2871.5 51.2223
32.7876 -21.3135 | -0.125473 -2.1571 | -101.856 -1731.71
33.0721 -21.7181 | -0.315326 -2.97617 | 1318.52 -1550.73
33.371 -22.1142 | -0.414286 -3.17387 | 1225.32 314.221
33.6903 -22.4947 | 0.29572 -2.28329 | 292.84 1106.5
34.0313 -22.8556 | 1.51482 -1.00737 | -554.437 -823.329
34.3917 -23.1974 | 2.82845 0.216701 | 769.89 -972.906
34.7718 -23.5189 | 3.37532 0.143885 | 1105.12 -860.376
35.1708 -23.8189 | 3.92834 -0.448246 | 599.943 -754.678
35.5869 -24.0963 | 4.32367 -0.866924 | 924.228 -784.725
36.0191 -24.3506 | 4.19227 -0.839544 | 1573.84 -1377.9
36.4664 -24.5809 | 3.66851 -0.16435 | 1563.99 966.149
36.9276 -24.784 | 2.86925 0.188507 | 155.729 2706.41
37.3981 -24.9625 | 1.95297 -0.527406 | -1863.98 -159.512
37.8716 -25.1287 | 1.31702 -1.07185 | -1323.02 -671.486
38.3444 -25.2931 | 0.73499 -1.33527 | 34.2234 900.536
38.8148 -25.4626 | -0.343633 -2.06402 | -1600.56 -861.486
39.2782 -25.647 | -1.21431 -2.44072 | -2960.23 -2026.6
39.7315 -25.8513 | -1.57951 -2.77213 | -946.437 -114.004
40.1777 -26.0694 | -1.42558 -2.19221 | 905.202 2264.39
40.6208 -26.2936 | -0.866964 -0.503749 | 392.97 1520.26
41.0601 -26.5243 | -0.606418 0.480672 | -818.097 -1264.45
41.4926 -26.7674 | -0.431392 0.877848 | -1190.79 -1152.45
41.9175 -27.0226 | -0.217236 0.979641 | 143.939 1610.42
42.3382 -27.2839 | -0.273935 0.656143 | 1370.07 1496.77
42.7563 -27.5504 | -0.579506 0.107003 | 2331.34 -475.746
43.1694 -27.8277 | -0.824284 -0.571448 | 1447.92 -1976.42
43.5724 -28.123 | 0.225939 -0.245912 | 212.958 -757.262
43.9601 -28.4391 | 1.83021 0.316514 | -953.199 392.1
44.3287 -28.7762 | 1.7292 0.0665198 | -618.623 431.415
44.6765 -29.1339 | 0.716335 0.192468 | -445.531 -595.029
45.003 -29.5112 | -0.203052 0.392323 | -327.51 571.285
45.3098 -29.9037 | -0.720142 0.316439 | 1020.44 2538.57
45.5998 -30.3077 | -0.112554 0.553535 | 837.124 153.311
45.8699 -30.7257 | 0.842508 0.729864 | 1017.96 -2438.04
46.1151 -31.1612 | 1.47343 0.687691 | 323.484 -2508.88
46.331 -31.6142 | 1.88897 0.600433 | -1133.89 -1036.06
46.5163 -32.0811 | 2.26703 0.584818 | -1165.58 829.1
46.6751 -32.5566 | 1.96933 0.557759 | 1312.43 2341.5
46.8159 -33.036 | 1.50848 0.412838 | -693.608 2041.07
46.9404 -33.518 | 1.37567 -0.0541784 | -1475.12 402.67
47.0517 -34.0025 | 0.669414 -1.11311 | 2849.92 34.2591
47.1585 -34.4883 | -0.0513606 -2.35439 | 1366.48 -55.4963
47.2591 -34.9757 | 0.0980804 -3.00276 | -2191.65 -643.455
47.3465 -35.4658 | 0.00739315 -3.0733 | -825.93 119.967
47.4232 -35.9575 | -1.5907 -3.12724 | -1569.07 409.625
47.4951 -36.4493 | -2.72503 -3.17707 | 67.095 347.963
47.5742 -36.9397 | -2.17719 -3.09943 | 2119.2 589.138
47.6716 -37.4266 | -0.890777 -2.74051 | 1399.45 0.156118
47.7892 -37.9095 | 0.375485 -1.94566 | -382.709 -1068.68
47.9227 -38.3891 | 1.153 -1.04832 | -1675.53 -1652.13
48.0698 -38.8659 | 1.91656 -0.0687578 | -412.682 -1608.33
48.2357 -39.3378 | 1.37292 0.454714 | 1309.23 -517.173
48.4279 -39.8005 | -0.822023 0.0879474 | -164.03 1261.24


-80.8382 -18.1609 | -3.28146 -1.34057 | 494.254 -2341.97
-80.4269 -18.4488 | -1.68898 1.39226 | 1782.72 -511.891
-79.9994 -18.7144 | -0.829919 3.16101 | 1566.32 1032.69
-79.5532 -18.9489 | -0.000161502 4.57992 | 733.837 1376.11
-79.09 -19.1485 | 0.897485 5.6611 | 654.867 -15.3491
-78.6128 -19.3146 | 1.32769 5.8207 | 1111.44 -888.73
-78.1247 -19.4489 | 1.11944 5.07814 | 859.215 928.212
-77.6281 -19.5502 | 0.569962 3.47762 | -890.106 1013.66
-77.1272 -19.6204 | 0.0633258 1.49542 | -2317.76 149.913
-76.6255 -19.6646 | -0.281894 -0.0899148 | -2922.77 -190.377
-76.125 -19.6869 | -0.522805 -1.25005 | -2810.41 -693.956
-75.6267 -19.6907 | -0.663747 -1.82998 | -1553.61 -858.759
-75.1299 -19.6766 | -0.709029 -1.98499 | 458.393 -530.265
-74.6337 -19.6425 | -0.549112 -2.706 | 1850.13 95.4919
-74.1382 -19.5852 | -0.140768 -3.73774 | 1646.03 740.99
-73.6449 -19.5019 | 0.145306 -3.62577 | 646.074 -17.7199
-73.156 -19.3928 | -0.160388 -2.39994 | -120.401 -1285.59
-72.6739 -19.2581 | -1.11199 -0.926088 | -624.252 620.584
-72.2016 -19.0933 | -1.82816 -0.974202 | 295.995 1651.99
-71.7407 -18.8972 | -1.76993 -2.49101 | 1787.68 98.099
-71.2908 -18.6738 | -1.24049 -4.32682 | 1207.71 1015.11
-70.8528 -18.4251 | -0.200416 -6.47222 | 615.621 1504.96
-70.4271 -18.1534 | 0.894274 -8.07448 | 1212.5 -94.0255
-70.0124 -17.8637 | 0.832252 -7.42303 | 384.577 734.77
-69.6089 -17.5573 | -0.533339 -4.99535 | 411.215 1637.37
-69.2162 -17.2352 | -2.18232 -2.63415 | 1658.73 1508.39
-68.8315 -16.9005 | -2.63665 -1.73144 | 669.58 1620.91
-68.4537 -16.5562 | -1.83186 -1.89072 | -2082.07 1587.06
-68.0808 -16.2069 | -0.995082 -1.61489 | -2523.09 -33.4011
-67.7045 -15.8637 | -0.439403 -0.624089 | -1390.24 -2991.09
-67.3125 -15.5433 | 0.146624 0.474233 | -901.291 -5477.64
-66.8976 -15.2601 | 1.07571 0.840499 | -2023.66 -4344.85
-66.4616 -15.0178 | 2.33964 -0.206147 | -2682.55 -647.098
-66.0112 -14.8094 | 3.3069 -1.87456 | -1785.31 1887.49
-65.5504 -14.6281 | 3.45391 -2.79779 | -1325.95 2276.99
-65.0803 -14.4747 | 2.80304 -2.79226 | -993.961 656.694
-64.6005 -14.3585 | 2.04097 -3.30197 | 182.518 -1756.48
-64.1119 -14.29 | 1.46071 -4.58976 | 795.195 -1266.17
-63.6182 -14.2698 | 0.951847 -4.19951 | 1365.65 472.459
-63.1231 -14.29 | 0.611872 -2.00766 | 1828.12 937.068
-62.6285 -14.3419 | 0.127754 -0.5299 | 1532.25 -104.217
-62.1361 -14.4198 | -0.62853 0.00881669 | 186.263 -332.797
-61.6469 -14.5172 | -1.1346 0.969707 | -1391.32 1657.56
-61.1616 -14.6259 | -1.13606 1.69768 | -1761.39 1904.02
-60.6801 -14.7427 | -0.61013 1.74967 | -1286.29 274.105
-60.2027 -14.8697 | 0.0531464 1.1547 | -1546.83 -962.361
-59.7299 -15.0083 | 0.323233 0.25288 | -1165.44 430.021
-59.2603 -15.154 | 0.32102 0.159023 | 19.1952 589.993
-58.7917 -15.3024 | 0.430815 1.24911 | 1203.14 -284.447
-58.3223 -15.4512 | 0.563249 2.22452 | 976.125 261.978
-57.8517 -15.598 | 0.278887 1.60146 | -1458.46 -764.125
-57.3814 -15.7427 | -0.170263 0.0457218 | -2495.97 -1722.61
-56.9109 -15.8812 | -0.421966 -0.851217 | -423.754 -309.914
-56.4356 -16.0018 | -0.95855 -1.0066 | 2268.52 1276.91
-55.9521 -16.0922 | -2.04204 -0.879855 | 2435.52 1035.57
-55.4616 -16.1491 | -3.09795 -0.582583 | 305.83 -769.304
-54.968 -16.1772 | -3.54791 -0.505044 | -652.219 -982.389
-54.4739 -16.1803 | -3.42998 -0.638461 | 445.031 -460.678
-53.9797 -16.16 | -3.20563 -0.465525 | 1565.23 -604.016
-53.4854 -16.1178 | -2.98528 -6.2251e-05 | 2148.42 366.298
-52.9913 -16.0535 | -2.65977 0.923949 | 3228.43 -148.212
-52.4974 -15.9685 | -2.35547 2.06099 | 3234.7 -115.633
-52.0048 -15.8625 | -2.03152 2.32516 | 336.851 817.433
-51.5172 -15.7329 | -1.5464 2.14457 | -1398.04 -200.237
