29.9727 -37.1144 | 0.692313 -0.180454 | 2810.39 268.824
30.4083 -37.361 | 1.13593 0.312496 | 2500.39 -3082.21
30.8619 -37.58 | 0.750588 -0.25529 | 2858.38 -17.492
31.3326 -37.7659 | -0.103294 -1.84468 | 1255.13 1321.94
31.8165 -37.9163 | -0.671 -3.59572 | -1734.16 -56.7905
32.3078 -38.0343 | -0.115207 -3.23222 | -3773.92 -1225.83
32.8025 -38.1207 | 0.619255 -1.91815 | -2739.07 -69.5851
33.2999 -38.1687 | 0.286612 -2.14542 | 26.4791 1577.13
33.7992 -38.1701 | -0.800909 -3.36108 | 1883.94 1254.27
34.2977 -38.1238 | -1.76448 -5.13634 | 1193.92 1090
34.7913 -38.0339 | -2.11411 -5.58774 | -983.057 113.182
35.2765 -37.9085 | -2.30355 -3.26387 | -1609.4 -277.675
35.7526 -37.7568 | -2.3105 -1.27325 | -2002.51 743.132
36.2214 -37.5882 | -1.76391 -1.70146 | -1938.58 -1569.71
36.687 -37.4172 | -1.91875 -0.95041 | -695.967 -3291.39
37.1541 -37.255 | -2.50133 0.799751 | 307.234 -1665.59
37.6239 -37.1014 | -2.43746 0.592565 | 1026.18 1834.62
38.0956 -36.9495 | -2.93256 1.07712 | 627.943 4332.78
38.569 -36.7978 | -3.67493 2.30741 | 236.496 540.146
39.0473 -36.6604 | -3.46254 2.11581 | 899.999 -4413.06
39.5331 -36.5524 | -3.09601 1.9949 | 1144.66 -1771.44
40.0252 -36.4709 | -3.24949 2.35577 | 1960.45 3353.85
40.5218 -36.4039 | -3.6948 1.80964 | 3300.76 4148.51
41.0235 -36.3513 | -3.87767 1.6129 | 3494.25 798.819
41.5305 -36.328 | -3.5227 2.14132 | 1515.12 -3317.11
42.0386 -36.3518 | -2.99019 2.18499 | -2287.82 -4956.49
42.54 -36.4293 | -2.66048 1.31864 | -2625.02 142.215
43.0311 -36.5489 | -2.61039 0.338386 | 384.564 3609.07
43.5128 -36.6996 | -2.7002 -0.207837 | 688.358 2467.99
43.9816 -36.8847 | -2.75477 -0.208261 | -1508.19 445.034
44.4271 -37.1165 | -2.95338 -0.495358 | -2557.22 -2445.12
44.8365 -37.4052 | -3.03872 -1.48949 | -307.477 -1877.3
45.2024 -37.7477 | -2.33315 -2.14264 | 63.4362 519.519
45.5207 -38.1343 | -0.828241 -1.83754 | -2129.55 1576.52
45.787 -38.5562 | 0.375708 -1.24776 | -2247.18 43.6984
46.0032 -39.0051 | 1.316 -0.354864 | 615.651 -338.501
46.1804 -39.4714 | 1.81992 0.345346 | 1512.9 300.456
46.3302 -39.9477 | 0.592267 0.198127 | -149.591 -656.846
46.4598 -40.4308 | -1.4138 -0.238272 | 577.274 -2030.85
46.5783 -40.9186 | -2.03814 -0.390612 | 1581.16 -1033.5
46.6944 -41.4082 | -1.41546 -0.151309 | -971.066 3349.55


-44.6883 -29.135 | 5.3643 3.76649 | -1671.49 -338.53
-44.3863 -29.532 | 1.42507 0.533402 | -1520.05 -1334.07
