-28.7401 61.2626 | -0.668425 0.0156798 | -15840.3 -7137.35
-28.4125 61.6359 | 3.74713 -0.0858391 | 4152.14 -4275.77
-28.0687 61.993 | 3.44119 -2.6944 | 3220.35 8243.79
-27.705 62.338 | 2.45783 -3.4785 | 8151.65 -1624.72
-27.3147 62.6583 | 1.3265 -2.68265 | -7318.65 -5703.96
-26.9141 62.9564 | 1.46992 -1.46503 | -2883.94 6324.66
-26.5066 63.2453 | 1.22817 -0.899509 | 1009.9 2974.52
-26.0839 63.513 | -1.27092 1.64123 | -3202.92 -8004.04
-25.6414 63.737 | 1.33251 -2.91799 | 3361.9 -564.115
-25.1786 63.9189 | -1.8337 -1.59268 | -2728.22 1410.93
-24.7047 64.0666 | -3.76183 0.860002 | 3149.62 -2050.47
-24.2205 64.1828 | 0.0784066 -1.15831 | 290.609 6354.88
-23.7323 64.2824 | -0.280002 -1.77428 | -11060.8 -1291.56
-23.2461 64.356 | -0.0126899 0.613686 | 9410.69 -1543.45
-22.7509 64.3966 | 1.1836 -2.72438 | -943.705 -1731.78
-22.2533 64.4067 | 0.363867 -0.838926 | 3078.51 3564.55
-21.7518 64.3979 | -0.648083 1.95517 | 12649.1 605.749
-21.2416 64.3675 | -1.30942 -2.33584 | 899.119 -8352.47
-20.7304 64.3083 | 1.33857 -3.4118 | 9301.79 7385.18
-20.215 64.2433 | 1.87138 -6.13584 | -9420.23 4793.64
-19.7096 64.1636 | -1.31061 -3.64363 | -16737.8 -5426.76
-19.2226 64.0444 | -1.29571 -1.45968 | 16752.4 -2497.05
-18.7361 63.8882 | 0.0526672 0.144885 | -2913.32 -6641.21
-18.2617 63.6952 | 3.42059 1.12879 | -3091.58 -3549.19
-17.7952 63.4869 | 3.8466 0.705763 | -1661.4 12620.7
-17.3251 63.2998 | 3.33335 -0.0223259 | -3507.62 1449.69
-16.8519 63.1286 | 2.63398 0.779497 | 6224.27 -1470.69
-16.3721 62.9667 | -0.661056 0.507201 | -7002.28 -4115.1
-15.894 62.8089 | 2.46869 3.55335 | 2030.67 3114.4
-15.4099 62.6702 | 4.04339 3.16667 | 762.971 1746.3
-14.9205 62.5535 | -1.83922 -3.5629 | -8997.36 -2746.64
-14.4318 62.4551 | 1.09597 -0.99258 | 11685.9 2358.99
-13.9314 62.386 | 0.984721 4.41099 | -2008.15 -6474.56
-13.4291 62.344 | -0.159768 2.50173 | -9218.98 7448.46
-12.9318 62.3525 | 2.43398 -0.125168 | -12.1976 2793.59
-12.4378 62.4054 | 1.89329 -1.37924 | 1699.85 165.16
-11.9457 62.4844 | 2.97575 -0.507662 | 7024.43 -8356.86
-11.4519 62.5706 | 3.38112 1.85968 | -11353.4 2551.46
-10.9688 62.6792 | 2.564 1.55122 | 3766.07 2857.01
-10.4889 62.8096 | -0.476283 2.19473 | 4598.37 -5022.38
-10.0102 62.951 | -2.45625 3.0125 | -7446.27 -631.562
-9.54181 63.1139 | 1.59178 -0.552485 | 8250.23 8069.45
-9.07595 63.3065 | 1.26016 2.34446 | 14020.1 1287.97
-8.60698 63.5166 | -1.55658 3.69457 | -6300.27 -1383.99
-8.14895 63.7424 | -1.16524 -2.09606 | -4247.08 -1708.67
-7.70268 63.9832 | -2.50408 -3.0209 | -2558.13 4686.85
-7.26505 64.2397 | 0.208322 -0.156635 | 8170.37 1516.48
-6.82209 64.4953 | 0.775728 2.17758 | -7095.72 -5380.43
-6.37769 64.7356 | -0.126323 0.598598 | -9338.15 -4582.84
-5.92894 64.9545 | 1.41079 -2.86664 | 19747.5 8257.69
-5.45704 65.1527 | 1.38261 -2.04446 | -4903.78 -10002.3
-4.9767 65.3174 | 1.31208 -0.275861 | -9329.73 3325.79
-4.49752 65.468 | 0.442028 1.49703 | 2649.23 4975
