8.40231 -25.3272 | 3.36684 -1.17989 | -225.104 -505.875
8.87431 -25.4939 | 3.47204 -0.783023 | -0.422859 -80.1473
9.35932 -25.6175 | 3.56998 -0.430439 | 105.346 264.92
9.85363 -25.6955 | 3.58748 -0.139446 | -85.0851 55.3529
10.3529 -25.7271 | 3.60819 0.0937708 | -164.209 858.064
10.8527 -25.7126 | 3.60695 -0.357319 | -1.61519 364.505
11.3497 -25.6562 | 3.64132 -0.598187 | 89.8171 261.759
11.8414 -25.564 | 3.71265 -0.949247 | -2.24604 -128.899
12.3269 -25.4434 | 3.72066 -1.17265 | -4.77697 -458.111
12.8065 -25.3012 | 3.59364 -0.875953 | 117.202 -779.549
13.2808 -25.1425 | 3.55207 -0.948744 | -134.254 93.5198
13.7498 -24.9693 | 3.46897 -0.88095 | -77.5149 -316.138
14.2139 -24.7841 | 3.49813 -1.06415 | -185.328 337.641
14.6735 -24.5881 | 3.58114 -1.43907 | -220.436 678.578
15.1295 -24.384 | 3.36913 -1.19145 | -204.74 -321.188
15.5838 -24.1768 | 2.94902 -0.712614 | -720.452 601.392
16.0382 -23.9704 | 2.33409 0.214573 | -23.4461 -122.421
16.4957 -23.7713 | 1.8269 1.22255 | 64.1366 -72.887
16.9589 -23.5857 | 1.55523 1.74804 | -451.066 785.359
17.429 -23.4188 | 1.48918 1.52102 | -185.992 -390.152
17.9075 -23.2792 | 1.41191 1.03231 | -433.207 27.7958
18.3942 -23.1735 | 1.48372 0.0812891 | -201.452 -343.738
18.8877 -23.1079 | 1.5556 -0.365413 | 455.361 -1286.83
19.3853 -23.0862 | 1.54494 -0.169795 | 508.357 -126.99
19.8835 -23.1053 | 1.49339 -0.171876 | -191.699 -227.092
20.3789 -23.1603 | 1.3756 -0.103644 | -493.077 -367.242
20.87 -23.2442 | 1.18589 -0.447579 | 201.57 544.445
21.3575 -23.3473 | 1.16738 -0.448853 | 756.583 1560.84
21.8428 -23.4618 | 1.4501 0.298523 | 287.06 -462.878
22.3261 -23.5859 | 1.6846 0.629068 | 248.727 -398.545
22.8081 -23.7161 | 1.60719 0.592831 | -93.7824 24.8216
23.2893 -23.8488 | 1.51178 1.20707 | 48.3371 1996.76
23.7702 -23.981 | 1.18802 1.03045 | 57.2439 1378.98
24.2497 -24.118 | 0.474308 -0.715495 | -517.381 -2692.64
24.7249 -24.2698 | 0.0592275 -1.72692 | 330.86 -1598.04
25.196 -24.4357 | 0.3318 -0.74974 | 1024.79 800.905
25.665 -24.6095 | 0.682755 0.615562 | -119.461 -712.576
26.1321 -24.7887 | 0.613507 0.889994 | -1112.02 -2434.51
26.5987 -24.9688 | 0.140193 0.206675 | 447.051 2018.09
27.0702 -25.135 | -0.39541 -0.597982 | 102.202 1976.28
27.5479 -25.2805 | -0.902124 -1.45798 | -562.175 105.021
28.0309 -25.4058 | -1.26489 -2.54432 | -86.8924 739.056
28.5182 -25.5119 | -1.49465 -3.99357 | 177.246 -396.847
29.0087 -25.6032 | -1.83148 -5.65979 | 87.9622 -2551.35
29.5016 -25.6833 | -2.11261 -6.57856 | 400.751 -120.62
29.9973 -25.7464 | -2.12728 -6.04584 | 315.727 1814.78
30.4956 -25.7868 | -2.03358 -4.50598 | -19.9486 -1898.48
30.9952 -25.8071 | -2.09154 -3.25477 | 154.778 140.025
31.4953 -25.8026 | -2.33843 -2.78003 | -175.53 1822.52
31.9943 -25.7699 | -2.52359 -2.39851 | -410.417 -497.036
32.4907 -25.7136 | -2.70033 -0.738839 | -259.251 -1555.01
32.9841 -25.6371 | -2.97762 1.42165 | -482.394 1573.67
33.4732 -25.5383 | -3.02999 1.7022 | -62.3907 1102.66
33.9587 -25.4223 | -2.90357 0.844614 | 726.243 -1085.97
34.4427 -25.2989 | -2.78634 0.325461 | 719.598 -1118.92
34.9266 -25.1735 | -2.4672 -0.621294 | 498.981 -1100.51
35.4105 -25.0471 | -2.13444 -1.90287 | -647.288 1631.35
35.8931 -24.9164 | -2.02059 -2.43789 | -401.714 675.824
36.3754 -24.7851 | -1.94824 -2.87884 | 391.471 -681.832
36.8595 -24.6601 | -1.80546 -3.68887 | 10.3245 -488.658
37.3461 -24.5455 | -1.75195 -4.12607 | -401.123 -385.916
37.8352 -24.4438 | -1.63039 -4.5174 | 98.8529 -918.469
38.327 -24.3561 | -1.65238 -3.80706 | 350.989 522.384
