-9.4091 25.9684 | 0.0726815 0.11046 | 8212.7 -6753.94
-8.96574 25.7446 | -1.74316 4.77352 | 4066.23 274.36
-8.53555 25.4882 | -2.84196 3.41537 | 3619.21 -6031.76
-8.1213 25.1982 | -1.46358 4.4474 | 5734.08 5453.28
-7.72321 24.8866 | -1.90644 3.57854 | -19261.6 4987.28
-7.3652 24.5453 | -2.03402 0.391517 | 8101.34 -6312.97
-7.02696 24.1744 | -1.2052 -0.222521 | 12002.8 -15357.2
-6.69914 23.7772 | -0.626706 -0.0254969 | -7978.42 13125.5
-6.38575 23.3782 | 0.339579 -0.0831868 | 11457.8 1776.98
-6.07766 22.9723 | 0.495337 0.576744 | -16153.9 -12335.6
-5.80713 22.5406 | -0.38516 -0.684725 | 4561.87 14282.8
-5.54432 22.1123 | -1.19372 -0.812973 | 608.495 3804.18
-5.29164 21.6816 | -0.916165 -1.89541 | -10414.1 -6794.33
-5.06067 21.2387 | 2.1887 -0.886966 | 8383.07 3832.65
-4.82075 20.8 | 0.384305 1.55832 | -5660.39 -4920.56
-4.57397 20.365 | -0.398698 0.390533 | 3733.91 9960.49
-4.30017 19.953 | 1.34284 -0.932801 | -4618.98 8340.63
-4.00711 19.5622 | 0.15819 -2.89544 | -451.88 -10164.4
-3.69958 19.1759 | -1.16447 -1.03846 | 2394.41 -7348.87
-3.36856 18.8013 | -3.43626 -0.527845 | 9919.26 1420.46
-3.00088 18.4569 | -2.23256 -2.38985 | -3398.68 9924.49
-2.61327 18.1444 | -2.28025 -1.6816 | -10133.4 -2990.08
-2.22556 17.8393 | -0.749377 0.347577 | 2375.44 -3707.62
-1.82974 17.5389 | 2.48423 -0.810761 | 10051.7 -8857.43
-1.41645 17.247 | 1.16323 0.89146 | -5103.53 3109.16
-0.989066 16.9817 | 0.067723 -0.199529 | -2546.69 3225.58
-0.54239 16.756 | 1.60744 -2.41455 | 8704.13 3223.55
-0.0711861 16.5759 | 1.75362 -1.40046 | -1467.02 -2387.53
0.410502 16.4277 | 0.885209 2.23502 | -5981.74 -214.076
0.894131 16.3074 | -2.14676 -2.01596 | -12791.1 5656.43
1.37378 16.2165 | -0.555197 -0.460403 | -60.7334 -1302.54
1.8554 16.1408 | -0.493415 0.708482 | 6753.03 -10181.6
2.3436 16.0705 | -0.531144 0.501356 | 2315.01 1994.21
2.83753 16.0326 | 0.0478757 1.46514 | 1012.87 8439.75
3.33379 16.0428 | 0.0473056 0.988995 | 2293.69 -3881.08
3.82956 16.0812 | -1.94757 -0.0534049 | -7376.49 -1017.27
4.31774 16.142 | -1.62102 1.21047 | -2800.2 1051.69
4.80048 16.2205 | 1.93355 -0.906286 | -3319.32 -2198.87
5.28045 16.3048 | 3.5319 -3.29159 | 9568.29 -37.7635
5.76699 16.39 | -0.365479 -0.911593 | 6170.82 -1979.89
6.25734 16.4759 | -2.24631 -1.94073 | -10221.8 1658.28
6.73974 16.5733 | -1.16218 1.89013 | 4344.04 -86.5998
7.22176 16.6819 | 0.756245 -0.198326 | -1391.4 6086.98
7.70201 16.8033 | -2.00589 -1.74778 | 5586.69 -1564.49
8.18907 16.9152 | -3.71808 1.05896 | 6838.43 -2645.38
8.68471 17.0057 | -0.823497 0.270117 | -7750.54 1852.34
9.17883 17.0775 | 0.37229 1.57474 | -2478.65 2092.97
9.67415 17.1235 | -1.96573 4.08873 | 4450.53 -1868.28
10.1742 17.1274 | -2.76862 -0.537147 | 460.855 -4593.65
10.6731 17.0823 | -4.31379 -0.0434047 | -950.751 3201.83


-16.9597 -71.2736 | -1.94499 -0.190359 | 1932.31 3003.06
-16.4595 -71.228 | -2.15826 -1.40897 | 343.605 -1131.35
-15.9593 -71.178 | -1.0935 -1.72758 | 3603.74 -6954.54
-15.4573 -71.1257 | -1.27055 0.607415 | -399.52 6852.08
-14.9591 -71.0449 | -0.596484 -1.24117 | -4903.06 -3790.38
-14.4702 -70.9368 | 1.75835 -3.06592 | -2053.87 2704.5
-13.9929 -70.7905 | -0.256186 1.57983 | -975.065 2318.51
-13.5277 -70.6081 | -1.07234 0.4387 | 5455.9 2452.02
-13.0691 -70.4005 | 1.62886 -1.03965 | 2087.74 -8290.44
-12.6172 -70.1827 | 2.05044 0.803196 | -11646.2 -4064.29
-12.1872 -69.9403 | -0.801481 3.13165 | 1791.61 5541.37
-11.7777 -69.66 | -2.7724 0.688592 | 7853.18 5990.54
-11.3849 -69.346 | -0.201083 -1.34622 | -1944.5 -3897.38
-11.0133 -69.0114 | 0.315288 -0.0821233 | -5773.59 -11878.8
-10.6672 -68.6619 | 0.00711026 0.0709701 | -307.752 9914.8
-10.3513 -68.2793 | 0.437545 0.320499 | 7188.19 4380.69
-10.0558 -67.8737 | -0.343786 0.567471 | -5814.35 -1430.51
-9.78451 -67.4552 | 0.244233 0.351506 | -1534.13 -9275.44
-9.52287 -67.0373 | 0.086288 3.07457 | 3960.23 3621.62
-9.26175 -66.615 | -0.394529 1.75219 | 8613.48 3744.38
-9.00052 -66.186 | 0.549423 -0.154702 | -3589.37 1951.28
-8.76094 -65.7442 | 0.530908 0.411976 | -10430.8 1006.66
-8.54997 -65.2904 | 1.64087 -0.70122 | 4732.29 -1083.63
-8.33663 -64.8365 | 2.28536 -3.4025 | 2368.44 5868.67
-8.10678 -64.3856 | 0.693093 -5.12452 | 6272.26 -1113.58
-7.84751 -63.9488 | 1.52823 -0.56023 | -5445.55 662.139
-7.56636 -63.5276 | -1.73669 4.71416 | -261.323 -2464.86
-7.25181 -63.1326 | -3.66069 1.90579 | 11314.1 -3222.76
-6.89454 -62.7718 | -4.7978 -0.754422 | -8084.56 1543.93
-6.52155 -62.4335 | -2.2481 -0.243565 | -11287.3 -7234.73
-6.13889 -62.1228 | -0.585932 1.85468 | -5288.67 -7251.18
-5.74108 -61.8433 | -0.624161 -0.472799 | 4207.34 8289
-5.32461 -61.5837 | -2.50836 0.610833 | 530.913 1311.3
-4.88923 -61.3538 | -1.32714 3.59191 | 23.5487 534.034
-4.43395 -61.1629 | -0.261137 0.643295 | 9834.87 -5919.59
-3.95571 -61.0183 | -1.61816 0.673738 | 3570.82 5648.69
-3.46759 -60.8931 | -2.59887 0.400686 | -2375.19 8985.74
-2.97768 -60.7767 | -1.86297 -3.7491 | -7404.88 -11213.4
-2.48704 -60.6938 | -2.31262 -2.16908 | 2779.02 2889.05
-1.9912 -60.6291 | -3.12331 -1.2702 | 10929.5 7262.82
-1.48587 -60.5772 | -2.39588 -3.3764 | -2357.62 -7016.27
-0.979815 -60.558 | -1.08025 -3.16852 | -8065.18 -6027.76
-0.47926 -60.5642 | 0.192836 -4.01657 | 105.18 14707.6
0.0206364 -60.5648 | 0.71599 -4.61468 | 2511.63 -10956.4
0.521603 -60.5878 | 1.21485 -3.88753 | 126.926 -1363.3
1.02109 -60.6173 | 2.85323 -1.78183 | -12056.7 10926
1.51261 -60.6312 | 2.34491 -0.264136 | -1773.41 -4166.62
2.00309 -60.65 | 2.43708 0.904343 | 14296.7 -4356.39
2.50261 -60.6773 | 2.21255 1.20607 | -4022.56 1976.37
3.00177 -60.7004 | -0.353502 0.680499 | 4694.81 3833.03
3.50489 -60.7146 | -0.608048 2.996 | 5654.94 -3423.38
4.01216 -60.7306 | -1.55155 3.27957 | -2675.92 -451.031
