-0.907158 -98.6181 | 6.89915 9.0945 | -6398.74 8856.89


-56.1795 -31.2178 | 0.42708 -3.24669 | -2115.98 -992.262
-55.7424 -30.9804 | -0.248022 -2.00417 | -606.978 -1766.43
-55.2918 -30.772 | -1.27044 -0.98938 | -1947.99 3480.28
-54.8303 -30.5903 | -0.559996 -1.20892 | -337.583 1449.46
-54.3559 -30.4464 | 0.093297 -0.924822 | 229.193 -3097.69
-53.8688 -30.3563 | 1.17841 -0.353393 | 1375.74 -20.4134
-53.3732 -30.3213 | 2.52438 -2.60531 | 3702.36 -365.358
-52.8735 -30.3391 | 2.18095 -4.35571 | 1840.09 -2230.31
-52.3758 -30.4043 | 1.96573 -3.24135 | -1243.44 -75.632
-51.884 -30.5022 | 1.43066 -2.07333 | -698.584 867.752
-51.3963 -30.6175 | 0.513611 -1.2039 | 2745.6 2181.55
-50.9084 -30.7383 | -0.0194703 -1.06993 | 2454.1 576.875
-50.4196 -30.8627 | -0.301271 -0.567795 | -1853.33 -2917.54
-49.9326 -30.9922 | 0.787489 0.0915575 | 297.297 2943.32
-49.4445 -31.1159 | 0.90346 -0.0321836 | 2030.23 6013.62
-48.9547 -31.2339 | 0.150762 2.14412 | -2950.99 -4212.9
-48.4711 -31.3696 | -0.0996153 3.22089 | -1960.51 -2918.83
-47.9955 -31.5284 | -0.847514 0.701678 | 507.752 1372.63
-47.5255 -31.7031 | -0.817837 -0.555337 | 26.0692 -1962.7
-47.0604 -31.8925 | -0.827352 -1.92155 | 1643.33 -1819.58
-46.596 -32.0886 | -1.79375 -4.28138 | 1573.47 -352.168
-46.1281 -32.2796 | -1.63174 -4.01805 | 1479.97 2838.43
-45.6537 -32.4541 | -1.00498 -1.48186 | -2975.41 2351.3
-45.1764 -32.6113 | -0.273041 -0.862953 | -4957.4 -2239.75
-44.6984 -32.7562 | 0.761519 -0.325879 | 1216.16 -642.872
-44.2143 -32.881 | 0.459908 -1.62017 | 1206.14 -526.293
-43.723 -32.9759 | 0.477809 -3.04816 | -2724.93 1014.35
-43.2273 -33.03 | 1.06891 -1.92528 | 981.455 4181.92
-42.7279 -33.0359 | 1.61559 -2.36547 | 3615.5 741.538
-42.2268 -33.004 | 2.38996 -4.41028 | 1033.41 -5766.57
-41.7273 -32.9479 | 2.05776 -4.35014 | -2626.33 130.543
-41.2347 -32.8587 | 0.934719 -0.332762 | -2800.83 511.989
-40.7536 -32.7297 | -0.276293 2.39068 | 198.699 -4417.6
-40.2872 -32.5596 | -0.326762 -0.0156483 | -1278.48 2825.83
-39.846 -32.3337 | 0.187124 -1.00345 | -2911 2552.62
-39.4386 -32.0529 | 0.49395 -0.876119 | -286.387 -2545.69
-39.0623 -31.7331 | 0.540118 -0.692841 | 1835.62 -332.059
-38.7119 -31.3829 | -0.685922 0.196312 | 3845.86 2770
-38.3835 -31.0067 | -1.02802 -1.22975 | 2179.75 4628.53
-38.0758 -30.6086 | -1.75373 -2.14005 | -88.0582 -1256.35
-37.7855 -30.1985 | -4.30341 -1.26815 | -1571.84 -6290.65
-37.5105 -29.7834 | -4.51977 -0.984568 | -2866.58 -628.993
-37.252 -29.3602 | -2.22722 -1.32906 | -112.798 1667.51
-37.004 -28.9299 | -1.50132 -1.31871 | 534.092 1479.88
-36.7573 -28.4971 | -2.55637 -0.506999 | 2937.2 377.763
-36.5022 -28.0676 | -3.55279 -0.0126332 | 238.39 -339.124
-36.2378 -27.6436 | -1.9731 -1.15193 | -4484.46 2126.96
-35.9647 -27.2259 | 0.950703 -2.01875 | 945.319 -1322.86
-35.667 -26.826 | 2.03589 -1.84144 | 4549.61 -2505.72
-35.3353 -26.4528 | 1.19602 -0.922147 | -377.268 1748
-34.978 -26.1032 | 0.437751 -0.031825 | -3338.41 154.615
-34.6002 -25.7781 | 0.813871 -0.560919 | 481.826 -2426.44
-34.1994 -25.483 | 2.26007 -2.43336 | 2551.18 144.554
-33.778 -25.2149 | 2.29124 -3.38455 | -293.732 4501.85
-33.3428 -24.9663 | 0.309172 -0.353763 | -115.607 3035.16
-32.8931 -24.7428 | -0.540784 3.32277 | -239.249 -2263.78
-32.4261 -24.5613 | 0.849244 1.31502 | -1694.25 -2975.44
-31.9445 -24.4312 | 1.35582 -0.339556 | -1186.14 -1570.64
-31.4533 -24.3523 | 0.726757 0.614646 | -188.249 1492.26
-30.9568 -24.317 | 0.109516 0.302884 | 2550.8 -367.705
