-4.82822 17.2003 | -1.07783 4.78182 | 1507.68 2416.01
-4.33893 17.1436 | 0.760064 9.18535 | 14088.4 -5419.69
-3.83805 17.1017 | 2.5215 1.47112 | -3071.8 -338.852
-3.33516 17.0818 | 1.57291 0.783569 | 7546.52 6313.12
-2.82583 17.0923 | 0.221014 0.600482 | 9990.27 -2683.5
-2.31081 17.1178 | 0.114773 -2.049 | -12103.6 -2425.61
-1.80462 17.1541 | 0.839253 -0.347823 | -8232.24 3759.52
-1.30586 17.2045 | 1.34302 -1.4752 | 6619.77 -6194.35
-0.803999 17.256 | 0.751369 0.166447 | 2984.28 -4441.14
-0.302283 17.3216 | 1.4045 3.36857 | -8743.68 8563.76
0.186803 17.4318 | 1.71987 0.0920031 | -1066.91 -242.777
0.665632 17.5797 | -0.640396 -1.37916 | 11172 1411.63
1.14105 17.7597 | -1.08432 -1.16449 | -2458.33 2032.49
1.60293 17.971 | -3.73439 1.03726 | -4617.14 -4519.47
2.04929 18.2043 | -2.43903 0.0243911 | -2040.02 4094
2.48148 18.462 | -3.9681 -0.470099 | 3021.22 -1961.74
2.90802 18.7303 | -6.40871 -1.39885 | -1193.64 -2007.24
3.3285 19.005 | -6.10046 0.0621983 | -3994.97 1779.1
3.74181 19.2862 | -5.769 1.04989 | 1600.92 -9881.29
4.15524 19.5617 | -5.38977 0.686967 | -3309.19 7063.37
4.5593 19.8518 | 0.468584 -1.55214 | -1002.83 6910.24
4.96007 20.1498 | 1.53707 -0.918771 | 5141.88 -12404.3
5.37413 20.4258 | -1.55066 0.788764 | -4034.11 1912.51
5.79115 20.6956 | -3.00456 2.01279 | 3459.15 8537.57
6.21397 20.9657 | -2.86979 4.35397 | 1092.81 -402.16
6.64806 21.2189 | -1.41201 5.14183 | -1583.59 -5723.72
7.09622 21.4413 | -2.01892 3.14003 | 4022.47 -1183.52
7.55897 21.6369 | -1.5685 1.9603 | 1734.16 2405.82
8.0291 21.8185 | -3.22421 0.762419 | -4836.66 5413.15
8.49924 21.992 | -3.96598 -2.54788 | -9220.08 -9721.06
